* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 28, 2025 8:22:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (-DDfilt, AEX07) 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.185	-2.6000
20.600000	97.171	-3.6878
20.900000	97.164	-4.8330
21.200001	97.168	-5.9181
21.400000	97.174	-6.5985
21.799999	97.189	-7.8648
22.000000	97.195	-8.4612
22.400000	97.203	-9.6096
22.700001	97.206	-10.4473
23.000000	97.208	-11.2679
23.299999	97.211	-12.0659
23.600000	97.214	-12.8355
24.000000	97.215	-13.8177
24.299999	97.213	-14.5322
24.700001	97.204	-15.4789
25.000000	97.194	-16.1963
25.400000	97.182	-17.1634
25.799999	97.173	-18.1259
26.200001	97.168	-19.0620
26.500000	97.165	-19.7413
26.900000	97.159	-20.6220
27.200001	97.152	-21.2718
27.600000	97.142	-22.1325
28.000000	97.131	-22.9873
28.500000	97.118	-24.0373
29.000000	97.106	-25.0578
29.500000	97.093	-26.0533
30.000000	97.078	-27.0343
30.400000	97.066	-27.8109
30.700001	97.057	-28.3869
31.100000	97.045	-29.1434
31.500000	97.033	-29.8855
32.000000	97.017	-30.7950
32.500000	97.000	-31.6893
33.000000	96.982	-32.5715
33.500000	96.964	-33.4413
34.000000	96.945	-34.2976
34.500000	96.926	-35.1410
35.000000	96.906	-35.9721
35.500000	96.885	-36.7897
36.000000	96.865	-37.5920
36.500000	96.844	-38.3799
37.000000	96.823	-39.1578
37.500000	96.801	-39.9287
38.200001	96.768	-40.9936
38.700001	96.743	-41.7395
39.500000	96.701	-42.9065
40.000000	96.673	-43.6225
40.599998	96.640	-44.4696
41.200001	96.605	-45.3035
41.799999	96.569	-46.1246
