* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 28, 2025 4:01:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (-DDfilt, Pro01) 3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.892	3.1047
20.600000	96.869	2.1167
20.900000	96.848	1.0284
21.200001	96.837	-0.0604
21.400000	96.836	-0.7715
21.799999	96.844	-2.1344
22.000000	96.850	-2.7804
22.400000	96.864	-4.0016
22.700001	96.871	-4.8646
23.000000	96.875	-5.6938
23.299999	96.876	-6.4982
23.600000	96.875	-7.2841
24.000000	96.873	-8.3094
24.299999	96.869	-9.0650
24.700001	96.861	-10.0609
25.000000	96.853	-10.8036
25.400000	96.842	-11.7908
25.799999	96.831	-12.7707
26.200001	96.822	-13.7327
26.500000	96.817	-14.4369
26.900000	96.808	-15.3508
27.200001	96.801	-16.0207
27.600000	96.790	-16.9008
28.000000	96.777	-17.7725
28.500000	96.762	-18.8511
29.000000	96.747	-19.9103
29.500000	96.730	-20.9454
30.000000	96.712	-21.9605
30.400000	96.696	-22.7613
30.700001	96.683	-23.3551
31.100000	96.667	-24.1355
31.500000	96.651	-24.9008
32.000000	96.630	-25.8369
32.500000	96.608	-26.7559
33.000000	96.584	-27.6619
33.500000	96.559	-28.5530
34.000000	96.533	-29.4242
34.500000	96.506	-30.2751
35.000000	96.478	-31.1128
35.500000	96.449	-31.9460
36.000000	96.421	-32.7777
36.500000	96.392	-33.6015
37.000000	96.363	-34.4078
37.500000	96.330	-35.1925
38.200001	96.282	-36.2667
38.700001	96.249	-37.0286
39.500000	96.197	-38.2387
40.000000	96.162	-38.9786
40.599998	96.117	-39.8453
41.200001	96.071	-40.6949
41.799999	96.025	-41.5307
42.500000	95.971	-42.4859
43.099998	95.922	-43.2917
43.700001	95.874	-44.0932
44.400002	95.819	-45.0166
45.000000	95.773	-45.7849
45.500000	95.731	-46.4082
46.200001	95.672	-47.2708
46.799999	95.621	-48.0114
47.500000	95.564	-48.8744
48.200001	95.507	-49.7257
48.700001	95.466	-50.3231
49.400002	95.410	-51.1456
50.000000	95.363	-51.8405
50.799999	95.300	-52.7541
51.500000	95.245	-53.5428
52.200001	95.189	-54.3231
53.000000	95.126	-55.1979
53.799999	95.064	-56.0538
54.500000	95.011	-56.7978
55.200001	94.956	-57.5328
56.000000	94.893	-58.3547
57.000000	94.819	-59.3701
58.000000	94.744	-60.3620
59.000000	94.669	-61.4024
60.000000	94.597	-62.4573
60.799999	94.535	-63.1732
61.500000	94.481	-63.7513
62.200001	94.429	-64.3632
63.000000	94.371	-65.0930
64.000000	94.299	-65.9897
65.000000	94.228	-66.8781
66.000000	94.156	-67.7469
67.000000	94.086	-68.6030
68.000000	94.016	-69.4513
69.000000	93.947	-70.2823
70.000000	93.879	-71.1015
71.000000	93.812	-71.9054
72.000000	93.746	-72.6977
73.000000	93.680	-73.4876
74.000000	93.614	-74.2660
75.000000	93.549	-75.0299
76.199997	93.471	-75.9325
77.500000	93.387	-76.8996
78.800003	93.306	-77.8561
80.000000	93.232	-78.7134
81.199997	93.159	-79.5572
82.500000	93.080	-80.4575
83.800003	93.002	-81.3366
85.000000	92.931	-82.1359
86.199997	92.861	-82.9291
87.500000	92.786	-83.7802
88.500000	92.728	-84.4220
90.000000	92.643	-85.3679
91.199997	92.576	-86.1181
92.500000	92.506	-86.9259
93.800003	92.436	-87.7184
95.000000	92.372	-88.4335
96.199997	92.310	-89.1367
97.500000	92.242	-89.8885
98.800003	92.174	-90.6335
100.000000	92.112	-91.3157
101.500000	92.036	-92.1521
103.000000	91.961	-92.9712
104.400002	91.893	-93.7262
106.000000	91.815	-94.5775
107.500000	91.743	-95.3632
109.000000	91.672	-96.1397
110.599998	91.598	-96.9493
112.000000	91.534	-97.6410
113.800003	91.454	-98.5257
115.000000	91.400	-99.1118
117.199997	91.304	-100.1648
118.000000	91.269	-100.5411
120.599998	91.157	-101.7396
122.000000	91.099	-102.3649
124.099998	91.012	-103.2877
125.000000	90.976	-103.6771
126.500000	90.915	-104.3199
128.000000	90.854	-104.9539
131.500000	90.717	-106.4064
132.000000	90.698	-106.6099
134.000000	90.624	-107.4044
136.000000	90.549	-108.1862
138.000000	90.474	-108.9694
140.000000	90.402	-109.7195
143.000000	90.295	-110.7981
145.000000	90.224	-111.5063
147.500000	90.138	-112.3772
150.000000	90.052	-113.2230
152.500000	89.965	-114.0162
155.000000	89.884	-114.7635
157.500000	89.812	-115.5107
160.000000	89.744	-116.2479
162.500000	89.679	-116.9630
165.000000	89.617	-117.6589
167.500000	89.558	-118.3545
170.000000	89.502	-119.0684
172.500000	89.443	-119.7853
175.000000	89.378	-120.4527
177.500000	89.323	-121.0417
180.000000	89.284	-121.6795
182.500000	89.240	-122.4356
185.000000	89.180	-123.1671
187.500000	89.114	-123.8043
190.000000	89.055	-124.3582
192.500000	89.010	-124.8718
195.000000	88.979	-125.4081
197.500000	88.953	-126.0308
200.000000	88.920	-126.7381
203.000000	88.868	-127.6121
206.000000	88.812	-128.4523
209.000000	88.748	-129.1861
212.000000	88.679	-129.8820
214.000000	88.635	-130.3188
218.000000	88.552	-131.1614
220.000000	88.514	-131.5652
224.000000	88.440	-132.3513
227.000000	88.387	-132.9369
230.000000	88.333	-133.5193
233.000000	88.279	-134.0818
236.000000	88.226	-134.6197
240.000000	88.157	-135.3035
243.000000	88.105	-135.7968
247.000000	88.041	-136.4331
250.000000	87.997	-136.8991
254.000000	87.939	-137.5136
258.000000	87.883	-138.1267
262.000000	87.826	-138.7237
265.000000	87.784	-139.1563
269.000000	87.730	-139.7170
272.000000	87.689	-140.1245
276.000000	87.636	-140.6487
280.000000	87.584	-141.1596
285.000000	87.521	-141.7815
290.000000	87.461	-142.3777
295.000000	87.402	-142.9515
300.000000	87.345	-143.5060
304.000000	87.300	-143.9319
307.000000	87.267	-144.2409
311.000000	87.223	-144.6462
315.000000	87.180	-145.0443
320.000000	87.128	-145.5253
325.000000	87.078	-145.9914
330.000000	87.029	-146.4404
335.000000	86.981	-146.8683
340.000000	86.934	-147.2802
345.000000	86.887	-147.6807
350.000000	86.842	-148.0664
355.000000	86.798	-148.4355
360.000000	86.755	-148.7870
365.000000	86.712	-149.1275
370.000000	86.671	-149.4575
375.000000	86.631	-149.7734
382.000000	86.577	-150.1938
387.000000	86.540	-150.4848
395.000000	86.482	-150.9279
400.000000	86.446	-151.1899
406.000000	86.404	-151.4910
412.000000	86.362	-151.7787
418.000000	86.320	-152.0505
425.000000	86.274	-152.3438
431.000000	86.237	-152.5902
437.000000	86.201	-152.8246
444.000000	86.159	-153.0813
450.000000	86.124	-153.2973
455.000000	86.095	-153.4693
462.000000	86.055	-153.6903
468.000000	86.021	-153.8663
475.000000	85.983	-154.0609
482.000000	85.947	-154.2454
487.000000	85.922	-154.3717
494.000000	85.888	-154.5381
500.000000	85.859	-154.6689
508.000000	85.821	-154.8286
515.000000	85.788	-154.9524
522.000000	85.755	-155.0655
530.000000	85.719	-155.1847
538.000000	85.683	-155.2898
545.000000	85.652	-155.3684
552.000000	85.623	-155.4398
560.000000	85.590	-155.5088
570.000000	85.551	-155.5774
580.000000	85.512	-155.6298
590.000000	85.475	-155.6613
600.000000	85.440	-155.6752
608.000000	85.412	-155.6738
615.000000	85.389	-155.6639
622.000000	85.366	-155.6470
630.000000	85.341	-155.6149
640.000000	85.310	-155.5575
650.000000	85.281	-155.4803
660.000000	85.253	-155.3872
670.000000	85.227	-155.2783
680.000000	85.202	-155.1555
690.000000	85.179	-155.0196
700.000000	85.158	-154.8704
710.000000	85.138	-154.7075
720.000000	85.121	-154.5338
730.000000	85.106	-154.3484
740.000000	85.092	-154.1522
750.000000	85.080	-153.9466
762.000000	85.068	-153.6839
775.000000	85.058	-153.3835
788.000000	85.052	-153.0675
800.000000	85.049	-152.7639
812.000000	85.048	-152.4520
825.000000	85.052	-152.1041
838.000000	85.058	-151.7472
850.000000	85.067	-151.4098
862.000000	85.079	-151.0674
875.000000	85.096	-150.6940
885.000000	85.112	-150.4048
900.000000	85.141	-149.9733
912.000000	85.166	-149.6330
925.000000	85.198	-149.2676
938.000000	85.234	-148.9072
950.000000	85.269	-148.5804
962.000000	85.307	-148.2607
975.000000	85.350	-147.9232
988.000000	85.396	-147.5978
1000.000000	85.441	-147.3100
1015.000000	85.499	-146.9672
1030.000000	85.559	-146.6414
1044.000000	85.616	-146.3507
1060.000000	85.683	-146.0375
1075.000000	85.746	-145.7636
1090.000000	85.811	-145.5025
1106.000000	85.882	-145.2415
1120.000000	85.944	-145.0350
1138.000000	86.024	-144.7955
1150.000000	86.076	-144.6465
1172.000000	86.167	-144.3787
1180.000000	86.199	-144.2766
1206.000000	86.308	-143.9194
1220.000000	86.370	-143.7227
1241.000000	86.469	-143.4467
1250.000000	86.513	-143.3391
1265.000000	86.587	-143.1722
1280.000000	86.662	-143.0188
1315.000000	86.843	-142.7365
1320.000000	86.869	-142.7059
1340.000000	86.973	-142.6091
1360.000000	87.076	-142.5480
1380.000000	87.176	-142.5179
1400.000000	87.275	-142.5154
1430.000000	87.417	-142.5513
1450.000000	87.508	-142.5972
1475.000000	87.618	-142.6705
1500.000000	87.724	-142.7568
1525.000000	87.826	-142.8549
1550.000000	87.924	-142.9594
1575.000000	88.020	-143.0640
1600.000000	88.114	-143.1685
1625.000000	88.206	-143.2736
1650.000000	88.297	-143.3816
1675.000000	88.386	-143.4884
1700.000000	88.474	-143.5923
1725.000000	88.562	-143.6956
1750.000000	88.649	-143.8000
1775.000000	88.737	-143.9078
1800.000000	88.824	-144.0192
1825.000000	88.911	-144.1355
1850.000000	88.999	-144.2572
1875.000000	89.087	-144.3873
1900.000000	89.176	-144.5276
1925.000000	89.265	-144.6808
1950.000000	89.355	-144.8468
1975.000000	89.445	-145.0259
2000.000000	89.534	-145.2195
2030.000000	89.642	-145.4748
2060.000000	89.748	-145.7558
2090.000000	89.854	-146.0632
2120.000000	89.958	-146.4016
2140.000000	90.025	-146.6464
2180.000000	90.155	-147.1758
2200.000000	90.216	-147.4544
2240.000000	90.332	-148.0265
2270.000000	90.414	-148.4654
2300.000000	90.490	-148.9072
2330.000000	90.560	-149.3392
2360.000000	90.626	-149.7490
2400.000000	90.709	-150.2444
2430.000000	90.772	-150.5708
2470.000000	90.860	-150.9515
2500.000000	90.933	-151.2108
2540.000000	91.044	-151.5677
2580.000000	91.167	-151.9908
2620.000000	91.298	-152.5086
2650.000000	91.397	-152.9645
2690.000000	91.530	-153.6623
2720.000000	91.626	-154.2502
2760.000000	91.750	-155.1109
2800.000000	91.864	-156.0474
2850.000000	91.994	-157.3049
2900.000000	92.106	-158.6362
2950.000000	92.201	-160.0168
3000.000000	92.280	-161.4327
3040.000000	92.333	-162.5910
3070.000000	92.366	-163.4766
3110.000000	92.401	-164.6756
3150.000000	92.423	-165.8805
3200.000000	92.432	-167.3631
3250.000000	92.424	-168.7869
3300.000000	92.406	-170.1346
3350.000000	92.385	-171.4127
3400.000000	92.365	-172.6674
3450.000000	92.343	-173.9613
3500.000000	92.310	-175.3130
3550.000000	92.257	-176.6784
3600.000000	92.186	-178.0011
3650.000000	92.099	-179.2481
3700.000000	92.001	179.5894
3750.000000	91.896	178.5096
3820.000000	91.738	177.1252
3870.000000	91.620	176.2197
3950.000000	91.423	174.9073
4000.000000	91.295	174.1732
4060.000000	91.141	173.3700
4120.000000	90.984	172.6328
4180.000000	90.822	171.9567
4250.000000	90.624	171.2673
4310.000000	90.450	170.7729
4370.000000	90.272	170.3668
4440.000000	90.059	170.0149
4500.000000	89.875	169.8240
4550.000000	89.722	169.7386
4620.000000	89.507	169.7360
4680.000000	89.325	169.8539
4750.000000	89.119	170.1273
4820.000000	88.923	170.5226
4870.000000	88.790	170.8647
4940.000000	88.611	171.4136
5000.000000	88.463	171.9478
5080.000000	88.274	172.7707
5150.000000	88.116	173.6161
5220.000000	87.972	174.5847
5300.000000	87.828	175.8307
5380.000000	87.715	177.1913
5450.000000	87.644	178.4366
5520.000000	87.600	179.6913
5600.000000	87.582	-178.9165
5700.000000	87.596	-177.3084
5800.000000	87.639	-175.8777
5900.000000	87.700	-174.6096
6000.000000	87.772	-173.4786
6080.000000	87.835	-172.6568
6150.000000	87.893	-171.9851
6220.000000	87.953	-171.3471
6300.000000	88.023	-170.6457
6400.000000	88.115	-169.7782
6500.000000	88.216	-168.8799
6600.000000	88.332	-167.9208
6700.000000	88.473	-166.8987
6800.000000	88.648	-165.8240
6900.000000	88.868	-164.7112
7000.000000	89.148	-163.6054
7100.000000	89.500	-162.6105
7200.000000	89.935	-161.8766
7300.000000	90.455	-161.5725
7400.000000	91.054	-161.8743
7500.000000	91.728	-162.9708
7620.000000	92.624	-165.6918
7750.000000	93.634	-171.1709
7880.000000	94.451	-179.8723
8000.000000	94.786	169.8197
8120.000000	94.573	158.7889
8250.000000	93.743	148.0516
8380.000000	92.486	140.0634
8500.000000	91.166	135.4577
8620.000000	89.847	133.1593
8750.000000	88.517	132.6452
8850.000000	87.590	133.2616
9000.000000	86.362	135.3146
9120.000000	85.514	137.6385
9250.000000	84.719	140.6185
9380.000000	84.044	143.9211
9500.000000	83.522	147.1331
9620.000000	83.090	150.3929
9750.000000	82.718	153.8604
9880.000000	82.435	157.1333
10000.000000	82.240	159.8636
10150.000000	82.058	162.7273
10300.000000	81.898	164.8651
10440.000000	81.716	166.2294
10600.000000	81.407	167.3254
10750.000000	80.990	168.3831
10900.000000	80.456	169.9736
11060.000000	79.797	172.8108
11200.000000	79.232	176.6716
11380.000000	78.700	-176.9467
11500.000000	78.496	-172.3901
11720.000000	78.392	-164.1357
11800.000000	78.429	-161.2520
12060.000000	78.786	-152.5983
12200.000000	79.111	-148.5221
12410.000000	79.748	-143.3670
12500.000000	80.068	-141.5658
12650.000000	80.650	-139.1826
12800.000000	81.275	-137.6428
13150.000000	82.744	-137.6541
13200.000000	82.936	-138.0667
13400.000000	83.601	-140.6012
13600.000000	84.041	-144.0916
13800.000000	84.220	-147.6402
14000.000000	84.208	-150.2344
14300.000000	84.190	-151.9965
14500.000000	84.274	-152.6192
14750.000000	84.485	-153.2038
15000.000000	84.875	-153.9913
15250.000000	85.482	-156.0501
15500.000000	86.219	-160.8514
15750.000000	86.790	-169.5240
16000.000000	86.746	178.5917
16250.000000	85.770	166.7892
16500.000000	84.033	159.9642
16750.000000	82.631	160.4377
17000.000000	82.593	157.9175
17250.000000	82.322	146.7857
17500.000000	81.035	135.4680
17750.000000	79.247	126.7170
18000.000000	77.232	119.7984
18250.000000	75.008	114.7639
18500.000000	72.620	112.2554
18750.000000	70.185	112.6531
19000.000000	67.821	115.8699
19250.000000	65.607	121.5490
19500.000000	63.579	129.3020
19750.000000	61.817	138.6099
20000.000000	60.717	146.9755
