* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 28, 2025 3:37:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (-DDfilt, Pro01) 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.571	-0.3801
20.600000	96.550	-1.3144
20.900000	96.528	-2.3387
21.200001	96.510	-3.3669
21.400000	96.502	-4.0442
21.799999	96.495	-5.3619
22.000000	96.494	-5.9968
22.400000	96.492	-7.2138
22.700001	96.489	-8.0838
23.000000	96.484	-8.9243
23.299999	96.477	-9.7423
23.600000	96.467	-10.5438
24.000000	96.452	-11.5936
24.299999	96.439	-12.3694
24.700001	96.420	-13.3905
25.000000	96.405	-14.1466
25.400000	96.384	-15.1407
25.799999	96.363	-16.1167
26.200001	96.343	-17.0720
26.500000	96.328	-17.7742
26.900000	96.307	-18.6918
27.200001	96.290	-19.3675
27.600000	96.265	-20.2539
28.000000	96.238	-21.1264
28.500000	96.204	-22.2006
29.000000	96.168	-23.2584
29.500000	96.132	-24.2985
30.000000	96.095	-25.3164
30.400000	96.064	-26.1122
30.700001	96.040	-26.6984
31.100000	96.007	-27.4680
31.500000	95.974	-28.2265
32.000000	95.933	-29.1615
32.500000	95.891	-30.0805
33.000000	95.847	-30.9813
33.500000	95.802	-31.8628
34.000000	95.756	-32.7257
34.500000	95.711	-33.5706
35.000000	95.665	-34.3999
35.500000	95.618	-35.2185
36.000000	95.571	-36.0317
36.500000	95.524	-36.8411
37.000000	95.479	-37.6440
37.500000	95.434	-38.4358
38.200001	95.370	-39.5193
38.700001	95.324	-40.2736
39.500000	95.250	-41.4515
40.000000	95.204	-42.1755
40.599998	95.148	-43.0343
41.200001	95.092	-43.8808
41.799999	95.036	-44.7159
42.500000	94.971	-45.6755
43.099998	94.916	-46.4739
43.700001	94.862	-47.2432
44.400002	94.799	-48.1275
45.000000	94.745	-48.8998
45.500000	94.700	-49.5495
46.200001	94.637	-50.4399
46.799999	94.583	-51.1770
47.500000	94.521	-52.0233
48.200001	94.458	-52.8618
48.700001	94.414	-53.4510
49.400002	94.351	-54.2611
50.000000	94.299	-54.9465
50.799999	94.229	-55.8494
51.500000	94.168	-56.6248
52.200001	94.107	-57.3867
53.000000	94.039	-58.2509
53.799999	93.971	-59.1060
54.500000	93.911	-59.8310
55.200001	93.851	-60.5380
56.000000	93.784	-61.3425
57.000000	93.703	-62.3404
58.000000	93.620	-63.3205
59.000000	93.544	-64.2013
60.000000	93.471	-65.0523
60.799999	93.402	-65.8600
61.500000	93.339	-66.5950
62.200001	93.282	-67.2687
63.000000	93.219	-67.9867
64.000000	93.142	-68.8806
65.000000	93.066	-69.7512
66.000000	92.990	-70.6058
67.000000	92.914	-71.4459
68.000000	92.838	-72.2726
69.000000	92.764	-73.0894
70.000000	92.691	-73.8945
71.000000	92.618	-74.6888
72.000000	92.546	-75.4691
73.000000	92.475	-76.2328
74.000000	92.404	-76.9816
75.000000	92.335	-77.7254
76.199997	92.251	-78.6174
77.500000	92.161	-79.5686
78.800003	92.075	-80.4967
80.000000	91.997	-81.3373
81.199997	91.919	-82.1671
82.500000	91.836	-83.0473
83.800003	91.752	-83.9103
85.000000	91.676	-84.6987
86.199997	91.602	-85.4715
87.500000	91.521	-86.2969
88.500000	91.460	-86.9243
90.000000	91.371	-87.8495
91.199997	91.299	-88.5827
92.500000	91.222	-89.3666
93.800003	91.147	-90.1329
95.000000	91.080	-90.8277
96.199997	91.013	-91.5103
97.500000	90.940	-92.2369
98.800003	90.868	-92.9582
100.000000	90.803	-93.6183
101.500000	90.723	-94.4290
103.000000	90.644	-95.2275
104.400002	90.571	-95.9629
106.000000	90.490	-96.7875
107.500000	90.415	-97.5472
109.000000	90.342	-98.2993
110.599998	90.265	-99.0903
112.000000	90.198	-99.7721
113.800003	90.113	-100.6329
115.000000	90.057	-101.1954
117.199997	89.958	-102.2167
118.000000	89.921	-102.5828
120.599998	89.804	-103.7493
122.000000	89.742	-104.3693
124.099998	89.650	-105.2823
125.000000	89.611	-105.6668
126.500000	89.548	-106.2935
128.000000	89.485	-106.9084
131.500000	89.342	-108.3251
132.000000	89.322	-108.5264
134.000000	89.242	-109.3297
136.000000	89.161	-110.1030
138.000000	89.084	-110.8388
140.000000	89.011	-111.5706
143.000000	88.898	-112.6537
145.000000	88.824	-113.3606
147.500000	88.733	-114.2059
150.000000	88.641	-115.0250
152.500000	88.547	-115.8427
155.000000	88.455	-116.5969
157.500000	88.367	-117.2805
160.000000	88.286	-117.9202
162.500000	88.217	-118.5329
165.000000	88.157	-119.1340
167.500000	88.107	-119.7723
170.000000	88.061	-120.4753
172.500000	88.012	-121.2290
175.000000	87.954	-121.9986
177.500000	87.890	-122.7472
180.000000	87.825	-123.4557
182.500000	87.759	-124.1345
185.000000	87.694	-124.7923
187.500000	87.630	-125.4254
190.000000	87.567	-126.0367
192.500000	87.505	-126.6357
195.000000	87.443	-127.2215
197.500000	87.382	-127.7866
200.000000	87.322	-128.3271
203.000000	87.250	-128.9505
206.000000	87.181	-129.5384
209.000000	87.118	-130.0905
212.000000	87.057	-130.6627
214.000000	87.020	-131.0249
218.000000	86.954	-131.7040
220.000000	86.923	-132.0572
224.000000	86.861	-132.7838
227.000000	86.815	-133.3436
230.000000	86.768	-133.9081
233.000000	86.716	-134.4520
236.000000	86.664	-134.9655
240.000000	86.597	-135.6110
243.000000	86.548	-136.0942
247.000000	86.487	-136.7294
250.000000	86.444	-137.1945
254.000000	86.386	-137.8047
258.000000	86.325	-138.4022
262.000000	86.263	-138.9748
265.000000	86.217	-139.3804
269.000000	86.157	-139.9041
272.000000	86.113	-140.2912
276.000000	86.056	-140.7919
280.000000	86.001	-141.2677
285.000000	85.934	-141.8359
290.000000	85.870	-142.3797
295.000000	85.807	-142.8979
300.000000	85.747	-143.3960
304.000000	85.699	-143.7828
307.000000	85.664	-144.0678
311.000000	85.619	-144.4321
315.000000	85.574	-144.7837
320.000000	85.520	-145.2089
325.000000	85.466	-145.6126
330.000000	85.414	-146.0002
335.000000	85.363	-146.3731
340.000000	85.313	-146.7290
345.000000	85.264	-147.0743
350.000000	85.217	-147.4018
355.000000	85.172	-147.7133
360.000000	85.127	-148.0159
365.000000	85.083	-148.3001
370.000000	85.041	-148.5699
375.000000	85.001	-148.8350
382.000000	84.945	-149.1765
387.000000	84.905	-149.4069
395.000000	84.844	-149.7648
400.000000	84.808	-149.9797
406.000000	84.764	-150.2165
412.000000	84.720	-150.4338
418.000000	84.679	-150.6249
425.000000	84.634	-150.8293
431.000000	84.599	-150.9984
437.000000	84.565	-151.1558
444.000000	84.529	-151.3336
450.000000	84.499	-151.4870
455.000000	84.475	-151.6173
462.000000	84.441	-151.8043
468.000000	84.411	-151.9608
475.000000	84.375	-152.1369
482.000000	84.338	-152.2926
487.000000	84.312	-152.3909
494.000000	84.275	-152.5168
500.000000	84.244	-152.6109
508.000000	84.204	-152.7168
515.000000	84.169	-152.7967
522.000000	84.135	-152.8584
530.000000	84.098	-152.9137
538.000000	84.061	-152.9566
545.000000	84.030	-152.9794
552.000000	84.001	-152.9924
560.000000	83.968	-152.9980
570.000000	83.927	-152.9894
580.000000	83.887	-152.9572
590.000000	83.850	-152.9037
600.000000	83.815	-152.8360
608.000000	83.788	-152.7669
615.000000	83.765	-152.6964
622.000000	83.743	-152.6173
630.000000	83.718	-152.5172
640.000000	83.689	-152.3772
650.000000	83.662	-152.2160
660.000000	83.637	-152.0383
670.000000	83.613	-151.8506
680.000000	83.591	-151.6490
690.000000	83.571	-151.4341
700.000000	83.552	-151.2078
710.000000	83.535	-150.9680
720.000000	83.520	-150.7160
730.000000	83.506	-150.4541
740.000000	83.495	-150.1818
750.000000	83.486	-149.8978
762.000000	83.477	-149.5438
775.000000	83.471	-149.1439
788.000000	83.468	-148.7283
800.000000	83.470	-148.3334
812.000000	83.475	-147.9295
825.000000	83.485	-147.4827
838.000000	83.500	-147.0288
850.000000	83.517	-146.6044
862.000000	83.538	-146.1773
875.000000	83.564	-145.7156
885.000000	83.588	-145.3612
900.000000	83.628	-144.8354
912.000000	83.663	-144.4182
925.000000	83.706	-143.9778
938.000000	83.753	-143.5527
950.000000	83.799	-143.1729
962.000000	83.848	-142.8054
975.000000	83.904	-142.4262
988.000000	83.963	-142.0669
1000.000000	84.019	-141.7541
1015.000000	84.091	-141.3909
1030.000000	84.165	-141.0631
1044.000000	84.234	-140.7895
1060.000000	84.314	-140.5067
1075.000000	84.387	-140.2698
