* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 28, 2025 3:40:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (-DDfilt, Pro01) 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.886	4.6038
20.600000	96.865	3.6184
20.900000	96.846	2.5345
21.200001	96.836	1.4507
21.400000	96.835	0.7428
21.799999	96.843	-0.6152
22.000000	96.850	-1.2594
22.400000	96.865	-2.4777
22.700001	96.872	-3.3391
23.000000	96.877	-4.1676
23.299999	96.879	-4.9726
23.600000	96.880	-5.7609
24.000000	96.878	-6.7916
24.299999	96.875	-7.5523
24.700001	96.868	-8.5549
25.000000	96.860	-9.3019
25.400000	96.850	-10.2933
25.799999	96.842	-11.2752
26.200001	96.835	-12.2377
26.500000	96.831	-12.9420
26.900000	96.825	-13.8579
27.200001	96.818	-14.5320
27.600000	96.807	-15.4219
28.000000	96.795	-16.3062
28.500000	96.782	-17.3979
29.000000	96.769	-18.4620
29.500000	96.756	-19.4957
30.000000	96.740	-20.5086
30.400000	96.726	-21.3088
30.700001	96.716	-21.9024
31.100000	96.702	-22.6826
31.500000	96.687	-23.4491
32.000000	96.667	-24.3915
32.500000	96.646	-25.3213
33.000000	96.625	-26.2374
33.500000	96.604	-27.1350
34.000000	96.582	-28.0149
34.500000	96.559	-28.8841
35.000000	96.534	-29.7462
35.500000	96.509	-30.5971
36.000000	96.483	-31.4313
36.500000	96.457	-32.2484
37.000000	96.430	-33.0524
37.500000	96.401	-33.8452
38.200001	96.360	-34.9358
38.700001	96.330	-35.7021
39.500000	96.281	-36.9116
40.000000	96.248	-37.6557
40.599998	96.208	-38.5337
41.200001	96.168	-39.3953
41.799999	96.127	-40.2406
42.500000	96.078	-41.2065
43.099998	96.035	-42.0230
43.700001	95.992	-42.8347
44.400002	95.941	-43.7689
45.000000	95.894	-44.5485
45.500000	95.854	-45.1835
46.200001	95.798	-46.0614
46.799999	95.752	-46.8100
47.500000	95.696	-47.6757
48.200001	95.640	-48.5274
48.700001	95.601	-49.1273
49.400002	95.548	-49.9593
50.000000	95.502	-50.6664
50.799999	95.441	-51.5932
51.500000	95.387	-52.3853
52.200001	95.333	-53.1660
53.000000	95.272	-54.0468
53.799999	95.211	-54.9129
54.500000	95.160	-55.6609
55.200001	95.108	-56.3985
56.000000	95.047	-57.2352
57.000000	94.973	-58.2741
58.000000	94.900	-59.2779
59.000000	94.832	-60.3445
60.000000	94.767	-61.4177
60.799999	94.706	-62.1383
61.500000	94.650	-62.7260
62.200001	94.597	-63.3497
63.000000	94.541	-64.0898
64.000000	94.470	-64.9996
65.000000	94.401	-65.9008
66.000000	94.331	-66.7803
67.000000	94.263	-67.6477
68.000000	94.195	-68.5074
69.000000	94.127	-69.3506
70.000000	94.060	-70.1820
71.000000	93.994	-71.0031
72.000000	93.928	-71.8141
73.000000	93.863	-72.6131
74.000000	93.799	-73.4004
75.000000	93.735	-74.1767
76.199997	93.660	-75.0888
77.500000	93.579	-76.0638
78.800003	93.499	-77.0239
80.000000	93.425	-77.8967
81.199997	93.352	-78.7592
82.500000	93.274	-79.6765
83.800003	93.197	-80.5788
85.000000	93.127	-81.3981
86.199997	93.058	-82.2054
87.500000	92.983	-83.0668
88.500000	92.926	-83.7184
90.000000	92.843	-84.6839
91.199997	92.777	-85.4439
92.500000	92.706	-86.2479
93.800003	92.635	-87.0422
95.000000	92.570	-87.7695
96.199997	92.507	-88.4828
97.500000	92.439	-89.2463
98.800003	92.373	-90.0071
100.000000	92.311	-90.7028
101.500000	92.236	-91.5507
103.000000	92.162	-92.3802
104.400002	92.093	-93.1458
106.000000	92.015	-94.0058
107.500000	91.943	-94.8023
109.000000	91.873	-95.5848
110.599998	91.799	-96.4064
112.000000	91.735	-97.1180
113.800003	91.653	-98.0196
115.000000	91.599	-98.6110
117.199997	91.502	-99.6666
118.000000	91.468	-100.0442
120.599998	91.356	-101.2531
122.000000	91.297	-101.8919
124.099998	91.208	-102.8386
125.000000	91.170	-103.2390
126.500000	91.108	-103.8960
128.000000	91.047	-104.5400
131.500000	90.905	-106.0127
132.000000	90.885	-106.2201
134.000000	90.805	-107.0306
136.000000	90.724	-107.8156
138.000000	90.643	-108.5868
140.000000	90.561	-109.3236
143.000000	90.436	-110.3766
145.000000	90.355	-111.0204
147.500000	90.257	-111.7161
150.000000	90.155	-112.2870
152.500000	90.064	-112.7019
155.000000	90.034	-113.0744
157.500000	90.052	-113.7787
160.000000	90.056	-114.7628
162.500000	90.025	-115.8363
165.000000	89.972	-116.8640
167.500000	89.905	-117.8272
170.000000	89.833	-118.7053
172.500000	89.764	-119.5014
175.000000	89.699	-120.2548
177.500000	89.640	-121.0162
180.000000	89.577	-121.7935
182.500000	89.507	-122.5501
185.000000	89.435	-123.2370
187.500000	89.372	-123.8650
190.000000	89.318	-124.4680
192.500000	89.269	-125.0825
195.000000	89.222	-125.7281
197.500000	89.172	-126.3949
200.000000	89.119	-127.0602
203.000000	89.054	-127.8223
206.000000	88.989	-128.5304
209.000000	88.922	-129.1971
212.000000	88.856	-129.8488
214.000000	88.814	-130.2790
218.000000	88.734	-131.1120
220.000000	88.696	-131.5124
224.000000	88.621	-132.2894
227.000000	88.566	-132.8643
230.000000	88.511	-133.4277
233.000000	88.457	-133.9769
236.000000	88.403	-134.5049
240.000000	88.335	-135.1862
243.000000	88.285	-135.6844
247.000000	88.218	-136.3271
250.000000	88.171	-136.7897
254.000000	88.112	-137.3807
258.000000	88.056	-137.9706
262.000000	88.003	-138.5616
265.000000	87.963	-139.0017
269.000000	87.908	-139.5713
272.000000	87.868	-139.9871
276.000000	87.815	-140.5282
280.000000	87.762	-141.0488
285.000000	87.697	-141.6719
290.000000	87.634	-142.2697
295.000000	87.573	-142.8456
300.000000	87.513	-143.3997
304.000000	87.466	-143.8279
307.000000	87.432	-144.1400
311.000000	87.387	-144.5457
315.000000	87.344	-144.9409
320.000000	87.290	-145.4173
325.000000	87.238	-145.8763
330.000000	87.187	-146.3193
335.000000	87.137	-146.7438
340.000000	87.088	-147.1578
345.000000	87.041	-147.5569
350.000000	86.995	-147.9363
355.000000	86.950	-148.3031
360.000000	86.906	-148.6585
365.000000	86.862	-148.9996
370.000000	86.819	-149.3250
375.000000	86.778	-149.6322
382.000000	86.720	-150.0488
387.000000	86.680	-150.3342
395.000000	86.619	-150.7699
400.000000	86.582	-151.0296
406.000000	86.537	-151.3248
412.000000	86.494	-151.6059
418.000000	86.451	-151.8723
425.000000	86.403	-152.1721
431.000000	86.364	-152.4122
437.000000	86.326	-152.6356
444.000000	86.282	-152.8863
450.000000	86.246	-153.0935
455.000000	86.216	-153.2576
462.000000	86.175	-153.4740
468.000000	86.140	-153.6498
475.000000	86.100	-153.8411
482.000000	86.061	-154.0169
487.000000	86.033	-154.1347
494.000000	85.995	-154.2921
500.000000	85.962	-154.4174
508.000000	85.920	-154.5671
515.000000	85.884	-154.6854
522.000000	85.849	-154.7965
530.000000	85.809	-154.9032
538.000000	85.771	-154.9944
545.000000	85.738	-155.0633
552.000000	85.706	-155.1208
560.000000	85.670	-155.1742
570.000000	85.627	-155.2240
580.000000	85.586	-155.2511
590.000000	85.547	-155.2607
600.000000	85.508	-155.2570
608.000000	85.479	-155.2401
615.000000	85.453	-155.2161
622.000000	85.428	-155.1832
630.000000	85.401	-155.1343
640.000000	85.367	-155.0588
650.000000	85.335	-154.9683
660.000000	85.304	-154.8622
670.000000	85.274	-154.7410
680.000000	85.245	-154.6060
690.000000	85.218	-154.4547
700.000000	85.193	-154.2889
710.000000	85.170	-154.1095
720.000000	85.149	-153.9199
730.000000	85.129	-153.7187
740.000000	85.111	-153.5025
750.000000	85.095	-153.2722
762.000000	85.078	-152.9864
775.000000	85.064	-152.6598
788.000000	85.053	-152.3141
800.000000	85.045	-151.9839
812.000000	85.041	-151.6424
825.000000	85.041	-151.2608
838.000000	85.044	-150.8714
850.000000	85.050	-150.5059
862.000000	85.059	-150.1366
875.000000	85.072	-149.7310
885.000000	85.084	-149.4176
900.000000	85.107	-148.9525
912.000000	85.129	-148.5823
925.000000	85.156	-148.1855
938.000000	85.187	-147.7962
950.000000	85.219	-147.4443
962.000000	85.253	-147.1002
975.000000	85.293	-146.7379
988.000000	85.334	-146.3880
1000.000000	85.373	-146.0776
1015.000000	85.424	-145.7067
1030.000000	85.477	-145.3527
1044.000000	85.527	-145.0374
1060.000000	85.585	-144.6954
1075.000000	85.641	-144.3877
1090.000000	85.697	-144.0930
1106.000000	85.758	-143.7917
1120.000000	85.811	-143.5373
1138.000000	85.880	-143.2184
1150.000000	85.926	-143.0103
1172.000000	86.012	-142.6406
1180.000000	86.044	-142.5094
1206.000000	86.149	-142.0985
1220.000000	86.207	-141.8836
1241.000000	86.295	-141.5704
1250.000000	86.334	-141.4429
1265.000000	86.400	-141.2440
1280.000000	86.468	-141.0653
1315.000000	86.623	-140.7289
1320.000000	86.645	-140.6892
1340.000000	86.730	-140.5485
1360.000000	86.812	-140.4281
1380.000000	86.890	-140.3091
1400.000000	86.966	-140.1797
1430.000000	87.082	-139.9862
1450.000000	87.159	-139.8699
1475.000000	87.256	-139.7399
1500.000000	87.352	-139.6298
1525.000000	87.446	-139.5387
1550.000000	87.538	-139.4607
1575.000000	87.628	-139.3902
1600.000000	87.717	-139.3238
1625.000000	87.804	-139.2621
1650.000000	87.889	-139.2015
1675.000000	87.974	-139.1415
1700.000000	88.058	-139.0829
1725.000000	88.141	-139.0272
1750.000000	88.223	-138.9728
1775.000000	88.306	-138.9162
1800.000000	88.389	-138.8623
1825.000000	88.473	-138.8120
1850.000000	88.558	-138.7654
1875.000000	88.644	-138.7238
1900.000000	88.731	-138.6890
1925.000000	88.818	-138.6632
1950.000000	88.906	-138.6488
1975.000000	88.995	-138.6465
2000.000000	89.084	-138.6576
2030.000000	89.191	-138.6893
2060.000000	89.298	-138.7422
2090.000000	89.407	-138.8179
2120.000000	89.515	-138.9199
2140.000000	89.586	-139.0041
2180.000000	89.725	-139.2095
2200.000000	89.792	-139.3270
2240.000000	89.922	-139.5753
2270.000000	90.017	-139.7673
2300.000000	90.108	-139.9620
2330.000000	90.196	-140.1470
2360.000000	90.282	-140.3136
2400.000000	90.398	-140.5032
2430.000000	90.487	-140.6220
2470.000000	90.613	-140.7585
2500.000000	90.715	-140.8545
2540.000000	90.863	-141.0033
2580.000000	91.025	-141.2227
2620.000000	91.199	-141.5532
2650.000000	91.334	-141.8897
2690.000000	91.515	-142.4672
2720.000000	91.648	-142.9974
2760.000000	91.819	-143.8274
2800.000000	91.979	-144.7864
2850.000000	92.160	-146.1389
2900.000000	92.315	-147.6229
2950.000000	92.444	-149.2061
3000.000000	92.544	-150.8656
3040.000000	92.605	-152.2309
3070.000000	92.638	-153.2681
3110.000000	92.667	-154.6598
3150.000000	92.677	-156.0480
3200.000000	92.666	-157.7570
3250.000000	92.628	-159.4147
3300.000000	92.566	-160.9980
3350.000000	92.480	-162.4808
3400.000000	92.377	-163.8410
3450.000000	92.259	-165.0638
3500.000000	92.131	-166.1439
3550.000000	91.999	-167.0852
3600.000000	91.867	-167.9064
3650.000000	91.740	-168.6466
3700.000000	91.613	-169.3433
3750.000000	91.481	-170.0043
3820.000000	91.283	-170.8216
3870.000000	91.132	-171.2871
3950.000000	90.886	-171.7903
4000.000000	90.733	-171.9590
4060.000000	90.555	-172.0209
4120.000000	90.388	-171.9450
4180.000000	90.235	-171.7652
4250.000000	90.072	-171.4739
4310.000000	89.942	-171.1680
4370.000000	89.820	-170.7991
4440.000000	89.690	-170.2861
4500.000000	89.591	-169.7837
4550.000000	89.518	-169.3275
4620.000000	89.432	-168.6410
4680.000000	89.375	-168.0189
4750.000000	89.330	-167.2790
4820.000000	89.308	-166.5658
4870.000000	89.305	-166.0977
4940.000000	89.314	-165.5239
5000.000000	89.331	-165.1111
5080.000000	89.359	-164.6591
5150.000000	89.389	-164.3389
5220.000000	89.424	-164.0864
5300.000000	89.472	-163.8987
5380.000000	89.525	-163.8482
5450.000000	89.571	-163.9365
5520.000000	89.612	-164.1576
5600.000000	89.643	-164.5689
5700.000000	89.647	-165.2747
5800.000000	89.599	-166.0797
5900.000000	89.495	-166.8217
