* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 1, 2025 5:24:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (-DDfilt, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.543	22.7748
20.600000	94.542	22.0608
20.900000	94.539	21.2944
21.200001	94.537	20.5389
21.400000	94.537	20.0454
21.799999	94.536	19.0850
22.000000	94.535	18.6176
22.400000	94.530	17.7055
22.700001	94.525	17.0390
23.000000	94.518	16.3867
23.299999	94.512	15.7492
23.600000	94.506	15.1274
24.000000	94.498	14.3224
24.299999	94.492	13.7349
24.700001	94.480	12.9686
25.000000	94.469	12.4047
25.400000	94.453	11.6673
25.799999	94.437	10.9495
26.200001	94.421	10.2540
26.500000	94.410	9.7463
26.900000	94.395	9.0841
27.200001	94.383	8.5958
27.600000	94.366	7.9542
28.000000	94.348	7.3255
28.500000	94.325	6.5640
29.000000	94.301	5.8321
29.500000	94.275	5.1236
30.000000	94.249	4.4297
30.400000	94.226	3.8833
30.700001	94.210	3.4795
31.100000	94.188	2.9505
31.500000	94.167	2.4332
32.000000	94.141	1.8022
32.500000	94.113	1.1884
33.000000	94.084	0.5932
33.500000	94.054	0.0158
34.000000	94.023	-0.5467
34.500000	93.993	-1.0950
35.000000	93.964	-1.6255
35.500000	93.935	-2.1369
36.000000	93.905	-2.6371
36.500000	93.872	-3.1376
37.000000	93.839	-3.6406
37.500000	93.807	-4.1352
38.200001	93.765	-4.7953
38.700001	93.734	-5.2485
39.500000	93.680	-5.9596
40.000000	93.646	-6.3903
40.599998	93.608	-6.8875
41.200001	93.570	-7.3726
41.799999	93.533	-7.8543
42.500000	93.488	-8.4040
43.099998	93.448	-8.8548
43.700001	93.407	-9.2856
44.400002	93.364	-9.7660
45.000000	93.328	-10.1686
45.500000	93.297	-10.5075
46.200001	93.249	-10.9893
46.799999	93.207	-11.3938
47.500000	93.159	-11.8422
48.200001	93.111	-12.2746
48.700001	93.078	-12.5784
49.400002	93.033	-12.9927
50.000000	92.995	-13.3376
50.799999	92.945	-13.7914
51.500000	92.899	-14.1784
52.200001	92.852	-14.5483
53.000000	92.802	-14.9629
53.799999	92.752	-15.3737
54.500000	92.705	-15.7124
55.200001	92.658	-16.0311
56.000000	92.610	-16.3950
57.000000	92.547	-16.8673
58.000000	92.480	-17.3370
59.000000	92.408	-17.7374
60.000000	92.334	-18.0979
60.799999	92.289	-18.4271
61.500000	92.254	-18.7229
62.200001	92.215	-18.9965
63.000000	92.167	-19.2887
64.000000	92.105	-19.6400
65.000000	92.043	-19.9787
66.000000	91.983	-20.3144
67.000000	91.923	-20.6338
68.000000	91.863	-20.9430
69.000000	91.803	-21.2506
70.000000	91.743	-21.5453
71.000000	91.683	-21.8246
72.000000	91.624	-22.0942
73.000000	91.567	-22.3620
74.000000	91.509	-22.6184
75.000000	91.451	-22.8537
76.199997	91.383	-23.1370
77.500000	91.309	-23.4504
78.800003	91.237	-23.7423
80.000000	91.170	-23.9938
81.199997	91.104	-24.2366
82.500000	91.033	-24.4886
83.800003	90.963	-24.7323
85.000000	90.899	-24.9442
86.199997	90.836	-25.1478
87.500000	90.769	-25.3594
88.500000	90.716	-25.5125
90.000000	90.636	-25.7325
91.199997	90.575	-25.9113
92.500000	90.510	-26.0919
93.800003	90.445	-26.2576
95.000000	90.386	-26.4035
96.199997	90.328	-26.5383
97.500000	90.264	-26.6818
98.800003	90.202	-26.8328
100.000000	90.146	-26.9621
101.500000	90.077	-27.1121
103.000000	90.008	-27.2593
104.400002	89.945	-27.3829
106.000000	89.873	-27.5174
107.500000	89.806	-27.6378
109.000000	89.741	-27.7511
110.599998	89.672	-27.8686
112.000000	89.610	-27.9654
113.800003	89.533	-28.0825
115.000000	89.483	-28.1553
117.199997	89.390	-28.2762
118.000000	89.356	-28.3146
120.599998	89.247	-28.4417
122.000000	89.191	-28.4943
124.099998	89.107	-28.5656
125.000000	89.072	-28.5976
126.500000	89.015	-28.6472
128.000000	88.958	-28.6883
131.500000	88.825	-28.7670
132.000000	88.806	-28.7771
134.000000	88.732	-28.8183
136.000000	88.660	-28.8620
138.000000	88.589	-28.8953
140.000000	88.521	-28.8950
143.000000	88.416	-28.8883
145.000000	88.346	-28.8862
147.500000	88.261	-28.8818
150.000000	88.179	-28.8579
152.500000	88.098	-28.8338
155.000000	88.017	-28.7990
157.500000	87.937	-28.7451
160.000000	87.860	-28.6740
162.500000	87.786	-28.5868
165.000000	87.714	-28.4961
167.500000	87.645	-28.4168
170.000000	87.577	-28.3373
172.500000	87.510	-28.2574
175.000000	87.445	-28.1885
177.500000	87.383	-28.0998
180.000000	87.320	-28.0203
182.500000	87.259	-27.9179
185.000000	87.200	-27.8033
187.500000	87.138	-27.7043
190.000000	87.077	-27.6061
192.500000	87.017	-27.5064
195.000000	86.957	-27.4092
197.500000	86.896	-27.2962
200.000000	86.838	-27.1655
203.000000	86.772	-26.9743
206.000000	86.713	-26.7635
209.000000	86.659	-26.5810
212.000000	86.609	-26.4373
214.000000	86.578	-26.3380
218.000000	86.511	-26.1326
220.000000	86.477	-26.0615
224.000000	86.405	-25.9324
227.000000	86.352	-25.8208
230.000000	86.300	-25.6926
233.000000	86.250	-25.5761
236.000000	86.201	-25.4655
240.000000	86.132	-25.3064
243.000000	86.079	-25.1791
247.000000	86.008	-25.0020
250.000000	85.957	-24.8609
254.000000	85.891	-24.6630
258.000000	85.828	-24.4612
262.000000	85.765	-24.2626
265.000000	85.720	-24.1137
269.000000	85.659	-23.9017
272.000000	85.615	-23.7328
276.000000	85.558	-23.5067
280.000000	85.501	-23.2938
285.000000	85.433	-23.0304
290.000000	85.368	-22.7503
295.000000	85.304	-22.4754
300.000000	85.242	-22.2001
304.000000	85.193	-21.9764
307.000000	85.157	-21.8083
311.000000	85.110	-21.5825
315.000000	85.063	-21.3522
320.000000	85.007	-21.0638
325.000000	84.953	-20.7772
330.000000	84.901	-20.4982
335.000000	84.851	-20.2193
340.000000	84.803	-19.9422
345.000000	84.754	-19.6684
350.000000	84.706	-19.3970
355.000000	84.660	-19.1238
360.000000	84.615	-18.8512
365.000000	84.569	-18.5783
370.000000	84.524	-18.2966
375.000000	84.483	-18.0210
382.000000	84.425	-17.6410
387.000000	84.385	-17.3674
395.000000	84.322	-16.9315
400.000000	84.284	-16.6594
406.000000	84.239	-16.3322
412.000000	84.194	-16.0143
418.000000	84.150	-15.7003
425.000000	84.101	-15.3261
431.000000	84.059	-15.0011
437.000000	84.018	-14.6764
444.000000	83.973	-14.2910
450.000000	83.936	-13.9608
455.000000	83.905	-13.6902
462.000000	83.864	-13.3187
468.000000	83.830	-12.9984
475.000000	83.792	-12.6220
482.000000	83.754	-12.2516
487.000000	83.727	-11.9866
494.000000	83.691	-11.6157
500.000000	83.661	-11.3003
508.000000	83.622	-10.8786
515.000000	83.588	-10.5082
522.000000	83.555	-10.1407
530.000000	83.520	-9.7313
538.000000	83.487	-9.3211
545.000000	83.459	-8.9634
552.000000	83.433	-8.6121
560.000000	83.402	-8.2293
570.000000	83.363	-7.7737
580.000000	83.319	-7.3323
590.000000	83.270	-6.8696
600.000000	83.220	-6.3696
608.000000	83.180	-5.9353
615.000000	83.148	-5.5364
622.000000	83.118	-5.1296
630.000000	83.087	-4.6589
640.000000	83.052	-4.0670
650.000000	83.021	-3.4729
660.000000	82.994	-2.8827
670.000000	82.971	-2.3022
680.000000	82.948	-1.7347
690.000000	82.926	-1.1733
700.000000	82.906	-0.6123
710.000000	82.887	-0.0521
720.000000	82.869	0.5093
730.000000	82.852	1.0735
740.000000	82.836	1.6437
750.000000	82.822	2.2166
762.000000	82.808	2.9074
775.000000	82.796	3.6587
788.000000	82.787	4.4134
800.000000	82.781	5.1144
812.000000	82.779	5.8169
825.000000	82.780	6.5815
838.000000	82.784	7.3482
850.000000	82.792	8.0562
862.000000	82.804	8.7589
875.000000	82.820	9.5135
885.000000	82.835	10.0926
900.000000	82.863	10.9501
912.000000	82.888	11.6268
925.000000	82.919	12.3493
938.000000	82.954	13.0545
950.000000	82.990	13.6913
962.000000	83.028	14.3139
975.000000	83.073	14.9722
988.000000	83.121	15.6109
1000.000000	83.167	16.1811
1015.000000	83.228	16.8673
1030.000000	83.291	17.5263
1044.000000	83.352	18.1159
1060.000000	83.423	18.7563
1075.000000	83.491	19.3281
1090.000000	83.559	19.8769
1106.000000	83.632	20.4379
1120.000000	83.696	20.9108
1138.000000	83.780	21.4974
1150.000000	83.837	21.8740
1172.000000	83.942	22.5312
1180.000000	83.981	22.7596
1206.000000	84.107	23.4637
1220.000000	84.176	23.8180
1241.000000	84.279	24.3202
1250.000000	84.324	24.5237
1265.000000	84.399	24.8465
1280.000000	84.474	25.1478
1315.000000	84.646	25.7636
1320.000000	84.671	25.8423
1340.000000	84.767	26.1362
1360.000000	84.860	26.3959
1380.000000	84.951	26.6267
1400.000000	85.039	26.8331
1430.000000	85.164	27.1019
1450.000000	85.244	27.2625
1475.000000	85.338	27.4466
1500.000000	85.427	27.6207
1525.000000	85.511	27.7905
1550.000000	85.591	27.9564
1575.000000	85.667	28.1247
1600.000000	85.740	28.2984
1625.000000	85.811	28.4797
1650.000000	85.881	28.6679
1675.000000	85.950	28.8639
1700.000000	86.018	29.0674
1725.000000	86.086	29.2761
1750.000000	86.154	29.4904
1775.000000	86.222	29.7095
1800.000000	86.290	29.9345
1825.000000	86.360	30.1646
1850.000000	86.431	30.3966
1875.000000	86.504	30.6279
1900.000000	86.577	30.8576
1925.000000	86.651	31.0836
1950.000000	86.727	31.3071
1975.000000	86.805	31.5299
2000.000000	86.884	31.7480
2030.000000	86.983	31.9978
2060.000000	87.084	32.2349
2090.000000	87.188	32.4589
2120.000000	87.295	32.6685
2140.000000	87.368	32.7978
2180.000000	87.519	33.0275
2200.000000	87.596	33.1262
2240.000000	87.754	33.2879
2270.000000	87.875	33.3727
2300.000000	87.998	33.4217
2330.000000	88.123	33.4331
2360.000000	88.248	33.4060
2400.000000	88.416	33.3062
2430.000000	88.542	33.1819
2470.000000	88.709	32.9444
2500.000000	88.831	32.7094
2540.000000	88.988	32.3261
2580.000000	89.136	31.8827
2620.000000	89.273	31.4029
2650.000000	89.369	31.0356
2690.000000	89.490	30.5533
2720.000000	89.578	30.2066
2760.000000	89.695	29.7713
2800.000000	89.818	29.3518
2850.000000	89.984	28.7948
2900.000000	90.166	28.1161
2950.000000	90.356	27.2339
3000.000000	90.543	26.0964
3040.000000	90.681	24.9965
3070.000000	90.772	24.0650
3110.000000	90.874	22.6944
3150.000000	90.947	21.2054
3200.000000	90.990	19.2347
3250.000000	90.974	17.2206
3300.000000	90.896	15.2727
3350.000000	90.757	13.5093
3400.000000	90.565	12.0536
3450.000000	90.331	11.0227
3500.000000	90.079	10.5107
3550.000000	89.833	10.5660
3600.000000	89.627	11.1637
3650.000000	89.489	12.1876
3700.000000	89.439	13.4326
3750.000000	89.482	14.6451
3820.000000	89.671	15.8539
3870.000000	89.859	16.1854
3950.000000	90.166	15.7660
4000.000000	90.332	15.0321
4060.000000	90.486	13.8285
4120.000000	90.584	12.4121
4180.000000	90.628	10.9227
4250.000000	90.617	9.2299
4310.000000	90.565	7.8938
4370.000000	90.484	6.7059
4440.000000	90.365	5.5249
4500.000000	90.248	4.6888
4550.000000	90.145	4.1120
4620.000000	89.998	3.4742
4680.000000	89.875	3.0658
4750.000000	89.738	2.7152
4820.000000	89.612	2.4511
4870.000000	89.527	2.2873
4940.000000	89.412	2.0648
5000.000000	89.314	1.8685
5080.000000	89.174	1.6104
5150.000000	89.039	1.4305
5220.000000	88.890	1.3471
5300.000000	88.710	1.4210
5380.000000	88.529	1.7024
5450.000000	88.376	2.1187
5520.000000	88.236	2.6785
5600.000000	88.095	3.4583
5700.000000	87.954	4.5702
5800.000000	87.850	5.7578
5900.000000	87.777	6.9733
6000.000000	87.731	8.2058
6080.000000	87.713	9.2086
6150.000000	87.711	10.0996
6220.000000	87.723	11.0009
6300.000000	87.755	12.0372
6400.000000	87.824	13.3289
6500.000000	87.927	14.5945
6600.000000	88.067	15.8093
6700.000000	88.244	16.9481
6800.000000	88.461	17.9830
6900.000000	88.720	18.8808
7000.000000	89.025	19.6016
7100.000000	89.378	20.0919
7200.000000	89.783	20.2815
7300.000000	90.241	20.0759
7400.000000	90.751	19.3550
7500.000000	91.306	17.9782
7620.000000	92.014	15.2288
7750.000000	92.780	10.5526
7880.000000	93.449	3.9153
8000.000000	93.890	-4.0449
8120.000000	93.987	-13.5335
8250.000000	93.571	-24.0061
8380.000000	92.686	-32.9922
8500.000000	91.616	-39.2339
8620.000000	90.444	-43.4478
8750.000000	89.171	-46.0368
8850.000000	88.236	-46.9075
9000.000000	86.939	-46.8475
9120.000000	86.002	-45.9292
9250.000000	85.086	-44.3202
9380.000000	84.265	-42.2344
9500.000000	83.584	-39.9852
9620.000000	82.974	-37.5013
9750.000000	82.386	-34.6185
9880.000000	81.869	-31.6014
10000.000000	81.452	-28.7460
10150.000000	81.003	-25.1404
10300.000000	80.629	-21.5512
10440.000000	80.341	-18.2708
10600.000000	80.078	-14.6671
10750.000000	79.886	-11.4922
10900.000000	79.736	-8.5775
11060.000000	79.601	-5.7758
11200.000000	79.491	-3.5108
11380.000000	79.368	-0.8021
11500.000000	79.292	0.8140
11720.000000	79.136	3.4407
11800.000000	79.071	4.3397
12060.000000	78.828	7.2805
12200.000000	78.686	8.9695
12410.000000	78.482	11.7685
12500.000000	78.407	13.0920
12650.000000	78.314	15.4553
12800.000000	78.278	17.9272
13150.000000	78.424	23.3721
13200.000000	78.468	24.0829
13400.000000	78.693	26.7578
13600.000000	79.004	29.1356
13800.000000	79.402	31.1367
14000.000000	79.885	32.6626
14300.000000	80.751	33.9393
