* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 1, 2025 5:26:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (-DDfilt, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.194	12.3505
20.600000	97.181	11.4409
20.900000	97.176	10.4941
21.200001	97.181	9.6103
21.400000	97.188	9.0635
21.799999	97.204	8.0615
22.000000	97.211	7.5958
22.400000	97.220	6.7081
22.700001	97.223	6.0665
23.000000	97.226	5.4428
23.299999	97.228	4.8412
23.600000	97.230	4.2660
24.000000	97.231	3.5383
24.299999	97.229	3.0118
24.700001	97.221	2.3151
25.000000	97.212	1.7870
25.400000	97.202	1.0761
25.799999	97.194	0.3729
26.200001	97.190	-0.3043
26.500000	97.187	-0.7906
26.900000	97.182	-1.4150
27.200001	97.176	-1.8720
27.600000	97.167	-2.4736
28.000000	97.157	-3.0678
28.500000	97.146	-3.7942
29.000000	97.135	-4.4965
29.500000	97.123	-5.1756
30.000000	97.109	-5.8356
30.400000	97.098	-6.3511
30.700001	97.090	-6.7306
31.100000	97.078	-7.2277
31.500000	97.066	-7.7155
32.000000	97.051	-8.3127
32.500000	97.035	-8.8945
33.000000	97.019	-9.4596
33.500000	97.003	-10.0091
34.000000	96.986	-10.5457
34.500000	96.969	-11.0709
35.000000	96.950	-11.5834
35.500000	96.932	-12.0809
36.000000	96.913	-12.5625
36.500000	96.893	-13.0307
37.000000	96.872	-13.4902
37.500000	96.852	-13.9449
38.200001	96.823	-14.5717
38.700001	96.801	-15.0049
39.500000	96.763	-15.6670
40.000000	96.739	-16.0685
40.599998	96.709	-16.5457
41.200001	96.678	-17.0125
41.799999	96.645	-17.4586
42.500000	96.606	-17.9538
43.099998	96.572	-18.3679
43.700001	96.536	-18.7753
44.400002	96.493	-19.2337
45.000000	96.455	-19.6123
45.500000	96.421	-19.9245
46.200001	96.373	-20.3621
46.799999	96.330	-20.7305
47.500000	96.278	-21.1415
48.200001	96.225	-21.5324
48.700001	96.186	-21.8025
49.400002	96.131	-22.1700
50.000000	96.084	-22.4751
50.799999	96.020	-22.8654
51.500000	95.963	-23.1913
52.200001	95.905	-23.5060
53.000000	95.838	-23.8562
53.799999	95.770	-24.1979
54.500000	95.711	-24.4924
55.200001	95.651	-24.7837
56.000000	95.585	-25.1130
57.000000	95.504	-25.5156
58.000000	95.423	-25.8877
59.000000	95.347	-26.2482
60.000000	95.272	-26.6109
60.799999	95.207	-26.8746
61.500000	95.149	-27.0915
