* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 24, 2025 12:29:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (T300B 2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.309	-16.0543
20.600000	95.284	-16.3846
20.900000	95.253	-16.7666
21.200001	95.222	-17.1441
21.400000	95.201	-17.3877
21.799999	95.160	-17.8480
22.000000	95.137	-18.0674
22.400000	95.088	-18.5305
22.700001	95.047	-18.8597
23.000000	95.004	-19.1788
23.299999	94.961	-19.5306
23.600000	94.917	-19.8737
24.000000	94.860	-20.3138
24.299999	94.818	-20.6758
24.700001	94.761	-21.1463
25.000000	94.718	-21.4882
25.400000	94.662	-21.9785
25.799999	94.608	-22.4508
26.200001	94.558	-22.9129
26.500000	94.522	-23.2529
26.900000	94.475	-23.6861
27.200001	94.441	-23.9958
27.600000	94.396	-24.3929
28.000000	94.352	-24.7756
28.500000	94.298	-25.2198
29.000000	94.243	-25.6382
29.500000	94.187	-26.0186
30.000000	94.129	-26.3707
30.400000	94.081	-26.6401
30.700001	94.044	-26.8346
31.100000	93.994	-27.0900
31.500000	93.942	-27.3513
32.000000	93.876	-27.6651
32.500000	93.810	-27.9971
33.000000	93.743	-28.3133
33.500000	93.677	-28.6418
34.000000	93.612	-28.9616
34.500000	93.548	-29.2948
35.000000	93.486	-29.6242
35.500000	93.424	-29.9509
36.000000	93.364	-30.2572
36.500000	93.304	-30.5422
37.000000	93.246	-30.8118
37.500000	93.188	-31.0683
38.200001	93.108	-31.4164
38.700001	93.051	-31.6495
39.500000	92.961	-31.9958
40.000000	92.904	-32.1967
40.599998	92.834	-32.4374
41.200001	92.764	-32.6745
41.799999	92.694	-32.9108
42.500000	92.612	-33.1807
43.099998	92.543	-33.4060
43.700001	92.474	-33.6350
44.400002	92.396	-33.8966
45.000000	92.330	-34.1105
45.500000	92.277	-34.2813
46.200001	92.204	-34.5086
46.799999	92.140	-34.6920
47.500000	92.063	-34.8931
48.200001	91.988	-35.0823
48.700001	91.935	-35.2134
49.400002	91.863	-35.3938
50.000000	91.801	-35.5410
50.799999	91.719	-35.7304
51.500000	91.647	-35.8910
52.200001	91.575	-36.0472
53.000000	91.495	-36.2160
53.799999	91.415	-36.3749
54.500000	91.347	-36.5062
55.200001	91.278	-36.6356
56.000000	91.200	-36.7757
57.000000	91.103	-36.9181
58.000000	91.008	-37.0563
59.000000	90.925	-37.1662
60.000000	90.851	-37.2470
60.799999	90.773	-37.3770
61.500000	90.699	-37.5137
62.200001	90.632	-37.6184
63.000000	90.562	-37.7026
64.000000	90.475	-37.7972
65.000000	90.390	-37.8763
66.000000	90.305	-37.9544
67.000000	90.220	-38.0326
68.000000	90.138	-38.1028
69.000000	90.057	-38.1626
70.000000	89.977	-38.2103
71.000000	89.898	-38.2534
72.000000	89.820	-38.2901
73.000000	89.742	-38.3176
74.000000	89.666	-38.3430
75.000000	89.591	-38.3643
76.199997	89.501	-38.3861
77.500000	89.407	-38.4066
78.800003	89.313	-38.4237
80.000000	89.229	-38.4269
81.199997	89.146	-38.4228
82.500000	89.058	-38.4129
83.800003	88.971	-38.3848
85.000000	88.893	-38.3598
86.199997	88.815	-38.3348
87.500000	88.731	-38.3008
88.500000	88.668	-38.2731
90.000000	88.574	-38.2252
91.199997	88.500	-38.1835
92.500000	88.421	-38.1310
93.800003	88.344	-38.0662
95.000000	88.275	-38.0141
96.199997	88.205	-37.9631
97.500000	88.130	-37.9001
98.800003	88.057	-37.8251
100.000000	87.991	-37.7509
101.500000	87.909	-37.6566
103.000000	87.829	-37.5594
104.400002	87.755	-37.4701
106.000000	87.671	-37.3649
107.500000	87.594	-37.2585
