* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 24, 2025 12:31:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (T300B 2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.699	-14.2785
20.600000	94.674	-14.5416
20.900000	94.644	-14.8458
21.200001	94.612	-15.1422
21.400000	94.591	-15.3322
21.799999	94.549	-15.6916
22.000000	94.526	-15.8652
22.400000	94.476	-16.2456
22.700001	94.436	-16.5174
23.000000	94.393	-16.7792
23.299999	94.350	-17.0712
23.600000	94.307	-17.3516
24.000000	94.250	-17.7062
24.299999	94.207	-18.0048
24.700001	94.151	-18.3932
25.000000	94.109	-18.6735
25.400000	94.056	-19.0785
25.799999	94.005	-19.4602
26.200001	93.957	-19.8301
26.500000	93.922	-20.1041
26.900000	93.877	-20.4574
27.200001	93.844	-20.7134
27.600000	93.801	-21.0437
28.000000	93.760	-21.3584
28.500000	93.710	-21.7094
29.000000	93.660	-22.0274
29.500000	93.608	-22.3114
30.000000	93.554	-22.5796
30.400000	93.510	-22.7899
30.700001	93.476	-22.9415
31.100000	93.430	-23.1374
31.500000	93.382	-23.3330
32.000000	93.320	-23.5571
32.500000	93.256	-23.7975
33.000000	93.193	-24.0267
33.500000	93.132	-24.2730
34.000000	93.073	-24.5099
34.500000	93.014	-24.7541
35.000000	92.956	-24.9875
35.500000	92.900	-25.2175
36.000000	92.847	-25.4350
36.500000	92.794	-25.6442
37.000000	92.743	-25.8472
37.500000	92.692	-26.0348
38.200001	92.620	-26.2693
38.700001	92.570	-26.4179
39.500000	92.489	-26.6544
40.000000	92.438	-26.7997
40.599998	92.376	-26.9658
41.200001	92.314	-27.1113
41.799999	92.251	-27.2518
42.500000	92.178	-27.4190
43.099998	92.116	-27.5576
43.700001	92.055	-27.6951
44.400002	91.986	-27.8495
45.000000	91.928	-27.9766
45.500000	91.879	-28.0782
46.200001	91.810	-28.2119
46.799999	91.755	-28.3178
47.500000	91.695	-28.4307
48.200001	91.634	-28.5338
48.700001	91.590	-28.6046
49.400002	91.528	-28.7011
50.000000	91.475	-28.7758
50.799999	91.404	-28.8698
51.500000	91.344	-28.9463
52.200001	91.285	-29.0136
53.000000	91.218	-29.0793
53.799999	91.152	-29.1463
54.500000	91.094	-29.2042
55.200001	91.037	-29.2540
56.000000	90.972	-29.3072
57.000000	90.890	-29.3763
58.000000	90.814	-29.4255
59.000000	90.729	-29.4697
60.000000	90.639	-29.5161
60.799999	90.588	-29.5285
61.500000	90.550	-29.5295
62.200001	90.505	-29.5361
63.000000	90.448	-29.5450
64.000000	90.378	-29.5470
65.000000	90.309	-29.5471
66.000000	90.242	-29.5443
67.000000	90.176	-29.5426
68.000000	90.110	-29.5364
69.000000	90.046	-29.5167
70.000000	89.985	-29.4888
71.000000	89.925	-29.4553
72.000000	89.865	-29.4163
73.000000	89.805	-29.3721
74.000000	89.745	-29.3363
75.000000	89.687	-29.3053
76.199997	89.618	-29.2531
77.500000	89.547	-29.1818
78.800003	89.477	-29.1102
80.000000	89.413	-29.0507
81.199997	89.351	-28.9815
82.500000	89.284	-28.9014
83.800003	89.219	-28.8123
85.000000	89.161	-28.7275
86.199997	89.103	-28.6468
87.500000	89.042	-28.5581
88.500000	88.995	-28.4865
90.000000	88.928	-28.3725
91.199997	88.874	-28.2789
92.500000	88.817	-28.1854
93.800003	88.762	-28.0889
95.000000	88.712	-27.9903
96.199997	88.664	-27.8886
97.500000	88.611	-27.7832
98.800003	88.560	-27.6738
100.000000	88.514	-27.5672
101.500000	88.457	-27.4357
103.000000	88.401	-27.3018
104.400002	88.350	-27.1729
106.000000	88.294	-27.0306
107.500000	88.243	-26.8952
109.000000	88.193	-26.7593
110.599998	88.140	-26.6145
112.000000	88.094	-26.4920
113.800003	88.037	-26.3371
115.000000	87.999	-26.2310
117.199997	87.932	-26.0272
118.000000	87.907	-25.9541
120.599998	87.830	-25.7200
122.000000	87.791	-25.5876
124.099998	87.734	-25.3933
125.000000	87.710	-25.3132
126.500000	87.670	-25.1810
128.000000	87.630	-25.0475
131.500000	87.540	-24.7360
132.000000	87.528	-24.6922
134.000000	87.477	-24.5168
136.000000	87.428	-24.3331
138.000000	87.382	-24.1553
140.000000	87.336	-23.9900
143.000000	87.266	-23.7349
145.000000	87.221	-23.5503
147.500000	87.165	-23.3212
150.000000	87.108	-23.1023
152.500000	87.055	-22.8922
155.000000	87.004	-22.6843
157.500000	86.951	-22.4479
160.000000	86.896	-22.1924
162.500000	86.842	-21.9159
165.000000	86.793	-21.6144
167.500000	86.753	-21.3047
170.000000	86.722	-21.0211
172.500000	86.691	-20.7763
175.000000	86.658	-20.5459
177.500000	86.623	-20.3204
180.000000	86.591	-20.1164
182.500000	86.559	-19.9066
185.000000	86.518	-19.6253
187.500000	86.481	-19.2690
190.000000	86.465	-18.9157
192.500000	86.460	-18.6707
195.000000	86.447	-18.5059
197.500000	86.424	-18.3773
200.000000	86.396	-18.2230
203.000000	86.373	-17.9852
206.000000	86.357	-17.7555
209.000000	86.346	-17.5466
212.000000	86.332	-17.3430
214.000000	86.320	-17.2622
218.000000	86.290	-17.2290
220.000000	86.271	-17.1918
224.000000	86.226	-17.0471
227.000000	86.191	-16.9025
230.000000	86.156	-16.7480
233.000000	86.121	-16.5909
236.000000	86.089	-16.4256
240.000000	86.049	-16.1712
243.000000	86.022	-15.9704
247.000000	85.988	-15.7204
250.000000	85.965	-15.5482
254.000000	85.934	-15.3282
258.000000	85.899	-15.1052
262.000000	85.866	-14.8627
265.000000	85.847	-14.6805
269.000000	85.823	-14.4649
272.000000	85.803	-14.3131
276.000000	85.775	-14.1231
280.000000	85.744	-13.9227
285.000000	85.707	-13.6590
290.000000	85.671	-13.3995
295.000000	85.637	-13.1425
300.000000	85.604	-12.8885
304.000000	85.578	-12.6858
307.000000	85.559	-12.5327
311.000000	85.533	-12.3261
315.000000	85.508	-12.1193
320.000000	85.478	-11.8654
325.000000	85.449	-11.6133
330.000000	85.419	-11.3613
335.000000	85.391	-11.1070
340.000000	85.363	-10.8572
345.000000	85.337	-10.6114
350.000000	85.312	-10.3644
355.000000	85.287	-10.1168
360.000000	85.263	-9.8729
365.000000	85.239	-9.6302
370.000000	85.215	-9.3864
375.000000	85.191	-9.1443
382.000000	85.159	-8.8126
387.000000	85.136	-8.5790
395.000000	85.101	-8.2031
400.000000	85.078	-7.9658
406.000000	85.052	-7.6816
412.000000	85.026	-7.3979
418.000000	85.002	-7.1183
425.000000	84.973	-6.7968
431.000000	84.951	-6.5196
437.000000	84.929	-6.2412
444.000000	84.904	-5.9167
450.000000	84.883	-5.6443
455.000000	84.866	-5.4181
462.000000	84.841	-5.1012
468.000000	84.820	-4.8269
475.000000	84.795	-4.5069
482.000000	84.771	-4.1895
487.000000	84.754	-3.9607
494.000000	84.731	-3.6372
500.000000	84.712	-3.3596
508.000000	84.686	-2.9888
515.000000	84.665	-2.6649
522.000000	84.644	-2.3377
530.000000	84.621	-1.9618
538.000000	84.598	-1.5835
545.000000	84.579	-1.2510
552.000000	84.560	-0.9181
560.000000	84.539	-0.5344
570.000000	84.513	-0.0502
580.000000	84.487	0.4349
590.000000	84.464	0.9238
600.000000	84.442	1.4159
608.000000	84.425	1.8134
615.000000	84.411	2.1636
622.000000	84.398	2.5162
630.000000	84.383	2.9232
640.000000	84.366	3.4336
650.000000	84.350	3.9462
660.000000	84.336	4.4646
670.000000	84.322	4.9886
680.000000	84.311	5.5160
690.000000	84.300	6.0506
700.000000	84.292	6.5906
710.000000	84.284	7.1325
720.000000	84.279	7.6832
730.000000	84.275	8.2395
740.000000	84.273	8.7983
750.000000	84.272	9.3643
762.000000	84.275	10.0480
775.000000	84.282	10.7894
788.000000	84.293	11.5372
800.000000	84.308	12.2324
812.000000	84.326	12.9273
825.000000	84.350	13.6802
838.000000	84.379	14.4319
850.000000	84.410	15.1208
862.000000	84.444	15.8039
875.000000	84.486	16.5360
885.000000	84.521	17.0943
900.000000	84.580	17.9172
912.000000	84.631	18.5586
925.000000	84.690	19.2338
938.000000	84.754	19.8886
950.000000	84.818	20.4734
962.000000	84.884	21.0349
975.000000	84.960	21.6178
988.000000	85.038	22.1703
1000.000000	85.112	22.6494
1015.000000	85.208	23.2084
1030.000000	85.307	23.7231
1044.000000	85.400	24.1632
1060.000000	85.507	24.6141
1075.000000	85.609	24.9871
1090.000000	85.710	25.3139
1106.000000	85.817	25.6150
1120.000000	85.909	25.8399
1138.000000	86.023	26.0796
1150.000000	86.098	26.2113
1172.000000	86.227	26.3997
1180.000000	86.272	26.4547
1206.000000	86.411	26.5901
1220.000000	86.480	26.6412
1241.000000	86.576	26.6958
1250.000000	86.615	26.7161
1265.000000	86.676	26.7501
1280.000000	86.733	26.7869
1315.000000	86.857	26.8769
1320.000000	86.874	26.8909
1340.000000	86.939	26.9500
1360.000000	87.001	27.0136
1380.000000	87.059	27.0819
1400.000000	87.116	27.1588
1430.000000	87.195	27.2928
1450.000000	87.247	27.3980
1475.000000	87.309	27.5438
1500.000000	87.369	27.7027
1525.000000	87.428	27.8741
1550.000000	87.487	28.0626
1575.000000	87.544	28.2692
1600.000000	87.603	28.4867
1625.000000	87.662	28.7143
1650.000000	87.723	28.9544
1675.000000	87.785	29.2044
1700.000000	87.849	29.4576
1725.000000	87.915	29.7152
1750.000000	87.982	29.9793
1775.000000	88.052	30.2450
1800.000000	88.124	30.5142
1825.000000	88.199	30.7828
1850.000000	88.276	31.0484
1875.000000	88.355	31.3129
1900.000000	88.437	31.5745
1925.000000	88.521	31.8274
1950.000000	88.607	32.0725
1975.000000	88.696	32.3091
2000.000000	88.788	32.5363
2030.000000	88.901	32.7955
2060.000000	89.020	33.0335
2090.000000	89.142	33.2449
2120.000000	89.267	33.4264
2140.000000	89.352	33.5317
2180.000000	89.525	33.7143
2200.000000	89.614	33.7913
2240.000000	89.799	33.9005
2270.000000	89.942	33.9374
2300.000000	90.088	33.9331
2330.000000	90.236	33.8885
2360.000000	90.386	33.7978
2400.000000	90.590	33.6014
2430.000000	90.744	33.3947
2470.000000	90.951	33.0366
2500.000000	91.106	32.7050
2540.000000	91.314	32.1733
2580.000000	91.520	31.5241
2620.000000	91.722	30.7550
2650.000000	91.869	30.0985
2690.000000	92.059	29.1101
2720.000000	92.194	28.2826
2760.000000	92.362	27.0691
2800.000000	92.513	25.7382
2850.000000	92.670	23.9375
2900.000000	92.788	22.0388
2950.000000	92.864	20.1212
3000.000000	92.905	18.2583
3040.000000	92.919	16.8329
3070.000000	92.921	15.7993
3110.000000	92.916	14.4579
3150.000000	92.902	13.1395
3200.000000	92.872	11.5079
3250.000000	92.824	9.8932
3300.000000	92.755	8.3078
3350.000000	92.664	6.7786
3400.000000	92.554	5.3339
3450.000000	92.426	3.9991
3500.000000	92.283	2.7906
3550.000000	92.130	1.7135
3600.000000	91.971	0.7618
3650.000000	91.810	-0.0833
3700.000000	91.645	-0.8336
3750.000000	91.475	-1.4905
3820.000000	91.229	-2.2243
3870.000000	91.050	-2.6051
3950.000000	90.767	-2.9636
4000.000000	90.595	-3.0354
4060.000000	90.397	-2.9866
4120.000000	90.212	-2.8112
4180.000000	90.039	-2.5257
4250.000000	89.856	-2.0774
4310.000000	89.714	-1.6113
4370.000000	89.587	-1.0884
4440.000000	89.458	-0.4289
4500.000000	89.363	0.1603
4550.000000	89.294	0.6535
4620.000000	89.212	1.3363
4680.000000	89.153	1.9078
4750.000000	89.094	2.5506
4820.000000	89.045	3.1635
4870.000000	89.015	3.5836
4940.000000	88.977	4.1502
5000.000000	88.948	4.6182
5080.000000	88.915	5.2263
5150.000000	88.890	5.7465
5220.000000	88.870	6.2581
5300.000000	88.851	6.8280
5380.000000	88.837	7.3852
5450.000000	88.828	7.8647
5520.000000	88.822	8.3383
5600.000000	88.817	8.8778
5700.000000	88.817	9.5577
5800.000000	88.825	10.2535
5900.000000	88.842	10.9712
6000.000000	88.872	11.7039
6080.000000	88.904	12.2982
6150.000000	88.940	12.8282
6220.000000	88.983	13.3696
