* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 24, 2025 10:45:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Pure (Crystal 2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.882	171.8132
20.600000	89.870	171.6321
20.900000	89.855	171.4180
21.200001	89.839	171.2117
21.400000	89.828	171.0806
21.799999	89.806	170.8338
22.000000	89.793	170.7131
22.400000	89.763	170.4309
22.700001	89.737	170.2262
23.000000	89.710	170.0268
23.299999	89.682	169.7935
23.600000	89.653	169.5701
24.000000	89.616	169.2917
24.299999	89.589	169.0521
24.700001	89.553	168.7454
25.000000	89.527	168.5268
25.400000	89.495	168.2010
25.799999	89.464	167.8911
26.200001	89.436	167.5848
26.500000	89.417	167.3550
26.900000	89.393	167.0595
27.200001	89.376	166.8476
27.600000	89.355	166.5777
28.000000	89.335	166.3233
28.500000	89.310	166.0435
29.000000	89.284	165.7901
29.500000	89.256	165.5673
30.000000	89.227	165.3609
30.400000	89.202	165.2023
30.700001	89.183	165.0902
31.100000	89.156	164.9471
31.500000	89.128	164.8016
32.000000	89.091	164.6330
32.500000	89.054	164.4377
33.000000	89.016	164.2463
33.500000	88.979	164.0375
34.000000	88.943	163.8430
34.500000	88.909	163.6442
35.000000	88.877	163.4519
35.500000	88.846	163.2547
36.000000	88.816	163.0650
36.500000	88.785	162.8848
37.000000	88.755	162.7132
37.500000	88.724	162.5557
38.200001	88.684	162.3582
38.700001	88.656	162.2358
39.500000	88.612	162.0478
40.000000	88.584	161.9384
40.599998	88.550	161.8183
41.200001	88.513	161.7034
41.799999	88.471	161.5552
42.500000	88.419	161.3514
43.099998	88.382	161.2150
43.700001	88.353	161.1269
44.400002	88.320	161.0343
45.000000	88.288	160.9286
45.500000	88.259	160.8341
46.200001	88.221	160.7164
46.799999	88.189	160.6208
47.500000	88.152	160.5067
48.200001	88.115	160.4081
48.700001	88.089	160.3491
49.400002	88.053	160.2677
50.000000	88.023	160.1973
50.799999	87.982	160.1071
51.500000	87.947	160.0402
52.200001	87.912	159.9811
53.000000	87.871	159.9084
53.799999	87.830	159.8203
54.500000	87.798	159.7466
55.200001	87.765	159.6907
56.000000	87.726	159.6451
57.000000	87.683	159.5861
58.000000	87.638	159.5017
59.000000	87.603	159.4081
60.000000	87.584	159.3307
60.799999	87.543	159.3012
61.500000	87.496	159.2883
62.200001	87.458	159.2636
63.000000	87.425	159.2283
64.000000	87.382	159.2059
65.000000	87.340	159.1798
66.000000	87.297	159.1451
67.000000	87.256	159.1223
68.000000	87.218	159.0932
69.000000	87.181	159.0708
70.000000	87.144	159.0630
71.000000	87.108	159.0552
72.000000	87.072	159.0516
73.000000	87.036	159.0559
74.000000	87.000	159.0631
75.000000	86.964	159.0679
76.199997	86.924	159.0655
77.500000	86.882	159.0626
78.800003	86.841	159.0737
80.000000	86.802	159.0875
81.199997	86.763	159.0939
82.500000	86.723	159.1109
83.800003	86.684	159.1417
85.000000	86.649	159.1702
86.199997	86.613	159.1988
87.500000	86.574	159.2288
88.500000	86.545	159.2500
90.000000	86.503	159.2849
91.199997	86.470	159.3146
92.500000	86.434	159.3450
93.800003	86.400	159.3918
95.000000	86.369	159.4310
96.199997	86.339	159.4612
97.500000	86.308	159.4944
98.800003	86.277	159.5267
100.000000	86.248	159.5662
101.500000	86.211	159.6227
103.000000	86.176	159.6714
104.400002	86.144	159.7172
106.000000	86.108	159.7794
107.500000	86.076	159.8403
109.000000	86.044	159.8967
110.599998	86.011	159.9497
112.000000	85.981	159.9883
113.800003	85.946	160.0398
115.000000	85.922	160.0787
117.199997	85.881	160.1663
118.000000	85.866	160.1994
120.599998	85.817	160.2937
122.000000	85.790	160.3383
124.099998	85.753	160.4202
125.000000	85.738	160.4556
126.500000	85.713	160.5115
128.000000	85.687	160.5603
131.500000	85.630	160.6793
132.000000	85.622	160.6958
134.000000	85.590	160.7557
136.000000	85.559	160.8368
138.000000	85.531	160.9272
140.000000	85.501	161.0184
143.000000	85.457	161.1450
145.000000	85.427	161.2091
147.500000	85.390	161.2883
150.000000	85.352	161.4057
152.500000	85.313	161.5494
155.000000	85.279	161.6990
157.500000	85.253	161.8822
160.000000	85.233	162.0965
162.500000	85.215	162.2225
165.000000	85.198	162.2967
167.500000	85.175	162.3096
170.000000	85.146	162.2935
172.500000	85.111	162.3221
175.000000	85.074	162.4144
177.500000	85.034	162.4931
180.000000	84.993	162.5428
182.500000	84.959	162.6969
185.000000	84.930	162.8838
187.500000	84.906	163.0476
190.000000	84.888	163.1955
192.500000	84.875	163.2990
195.000000	84.862	163.3530
197.500000	84.849	163.3846
200.000000	84.835	163.4072
203.000000	84.811	163.4604
206.000000	84.789	163.5182
209.000000	84.770	163.5513
212.000000	84.749	163.5950
214.000000	84.740	163.6533
218.000000	84.723	163.7318
220.000000	84.712	163.7531
224.000000	84.690	163.7896
227.000000	84.674	163.8290
230.000000	84.655	163.8753
233.000000	84.634	163.9210
236.000000	84.612	163.9741
240.000000	84.585	164.0472
243.000000	84.566	164.0900
247.000000	84.541	164.1573
250.000000	84.521	164.2162
254.000000	84.493	164.2844
258.000000	84.465	164.3601
262.000000	84.438	164.4390
265.000000	84.417	164.4872
269.000000	84.388	164.5450
272.000000	84.367	164.5906
276.000000	84.339	164.6546
280.000000	84.309	164.7217
285.000000	84.273	164.8125
290.000000	84.239	164.9043
295.000000	84.205	165.0028
300.000000	84.171	165.0956
304.000000	84.144	165.1680
307.000000	84.125	165.2251
311.000000	84.099	165.2967
315.000000	84.073	165.3640
320.000000	84.041	165.4524
325.000000	84.010	165.5475
330.000000	83.978	165.6380
335.000000	83.946	165.7282
340.000000	83.915	165.8139
345.000000	83.885	165.9038
350.000000	83.855	165.9996
355.000000	83.825	166.0978
360.000000	83.794	166.1905
365.000000	83.765	166.2860
370.000000	83.735	166.3888
375.000000	83.705	166.4911
382.000000	83.663	166.6322
387.000000	83.633	166.7355
395.000000	83.584	166.8980
400.000000	83.554	167.0020
406.000000	83.517	167.1340
412.000000	83.481	167.2757
418.000000	83.447	167.4227
