* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 24, 2025 10:46:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pure (Crystal 2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.401	172.3096
20.600000	89.390	172.0769
20.900000	89.375	171.8021
21.200001	89.360	171.5369
21.400000	89.349	171.3707
21.799999	89.327	171.0672
22.000000	89.313	170.9240
22.400000	89.281	170.6035
22.700001	89.253	170.3715
23.000000	89.224	170.1438
23.299999	89.195	169.8813
23.600000	89.166	169.6288
24.000000	89.128	169.3131
24.299999	89.100	169.0458
24.700001	89.062	168.6998
25.000000	89.034	168.4485
25.400000	88.999	168.0758
25.799999	88.967	167.7197
26.200001	88.937	167.3736
26.500000	88.916	167.1201
26.900000	88.889	166.8000
27.200001	88.870	166.5727
27.600000	88.845	166.2818
28.000000	88.822	166.0022
28.500000	88.793	165.6846
29.000000	88.765	165.3920
29.500000	88.733	165.1350
30.000000	88.700	164.8997
30.400000	88.672	164.7173
30.700001	88.650	164.5850
31.100000	88.620	164.4118
31.500000	88.588	164.2371
32.000000	88.547	164.0414
32.500000	88.506	163.8311
33.000000	88.465	163.6267
33.500000	88.424	163.3961
34.000000	88.384	163.1728
34.500000	88.347	162.9494
35.000000	88.311	162.7422
35.500000	88.276	162.5324
36.000000	88.241	162.3238
36.500000	88.205	162.1231
37.000000	88.173	161.9427
37.500000	88.145	161.7914
38.200001	88.104	161.6016
38.700001	88.071	161.4685
39.500000	88.014	161.2492
40.000000	87.980	161.1198
40.599998	87.938	160.9726
41.200001	87.899	160.8434
41.799999	87.866	160.7226
42.500000	87.833	160.5778
43.099998	87.797	160.4436
43.700001	87.749	160.2987
44.400002	87.692	160.1426
45.000000	87.651	160.0271
45.500000	87.622	159.9377
46.200001	87.582	159.8147
46.799999	87.547	159.7118
47.500000	87.508	159.6009
48.200001	87.470	159.5023
48.700001	87.440	159.4352
49.400002	87.398	159.3398
50.000000	87.363	159.2620
50.799999	87.320	159.1667
51.500000	87.282	159.0923
52.200001	87.243	159.0247
53.000000	87.199	158.9575
53.799999	87.158	158.8774
54.500000	87.122	158.7970
55.200001	87.086	158.7434
56.000000	87.044	158.7039
57.000000	86.989	158.5992
58.000000	86.942	158.5046
59.000000	86.887	158.3635
60.000000	86.826	158.1917
60.799999	86.796	158.2332
61.500000	86.776	158.3231
62.200001	86.750	158.3461
63.000000	86.714	158.3255
64.000000	86.669	158.3160
65.000000	86.624	158.2855
66.000000	86.580	158.2566
67.000000	86.537	158.2371
68.000000	86.496	158.2289
69.000000	86.455	158.2262
70.000000	86.415	158.2163
71.000000	86.376	158.2104
72.000000	86.336	158.2152
73.000000	86.298	158.2286
74.000000	86.261	158.2395
75.000000	86.224	158.2445
76.199997	86.182	158.2476
77.500000	86.139	158.2506
78.800003	86.094	158.2680
80.000000	86.054	158.2876
81.199997	86.014	158.3185
82.500000	85.971	158.3460
83.800003	85.929	158.3721
85.000000	85.891	158.4082
86.199997	85.853	158.4456
87.500000	85.812	158.4810
