* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 28, 2025 8:33:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Pure (Crystal 2, 2 Gray)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.544	172.2036
20.600000	89.534	172.0144
20.900000	89.521	171.7873
21.200001	89.506	171.5669
21.400000	89.496	171.4275
21.799999	89.472	171.1701
22.000000	89.459	171.0478
22.400000	89.427	170.7704
22.700001	89.401	170.5752
23.000000	89.375	170.3887
23.299999	89.348	170.1693
23.600000	89.322	169.9584
24.000000	89.286	169.6910
24.299999	89.258	169.4546
24.700001	89.221	169.1472
25.000000	89.194	168.9269
25.400000	89.161	168.6006
25.799999	89.131	168.2931
26.200001	89.103	167.9903
26.500000	89.084	167.7623
26.900000	89.059	167.4679
27.200001	89.041	167.2570
27.600000	89.019	166.9908
28.000000	88.999	166.7429
28.500000	88.976	166.4715
29.000000	88.951	166.2216
29.500000	88.925	165.9983
30.000000	88.896	165.7944
30.400000	88.871	165.6412
30.700001	88.852	165.5334
31.100000	88.825	165.3926
31.500000	88.796	165.2441
32.000000	88.759	165.0689
32.500000	88.721	164.8729
33.000000	88.685	164.6889
33.500000	88.649	164.4888
34.000000	88.614	164.2999
34.500000	88.580	164.1086
35.000000	88.548	163.9309
35.500000	88.517	163.7499
36.000000	88.486	163.5669
36.500000	88.456	163.3826
37.000000	88.428	163.2065
37.500000	88.402	163.0525
38.200001	88.367	162.8660
38.700001	88.341	162.7488
39.500000	88.293	162.5633
40.000000	88.261	162.4451
40.599998	88.221	162.3065
41.200001	88.186	162.2066
41.799999	88.155	162.1413
42.500000	88.117	162.0453
43.099998	88.079	161.9053
43.700001	88.039	161.7305
44.400002	87.995	161.5539
45.000000	87.962	161.4370
45.500000	87.935	161.3488
46.200001	87.899	161.2308
46.799999	87.869	161.1380
47.500000	87.832	161.0332
48.200001	87.796	160.9327
48.700001	87.770	160.8712
49.400002	87.736	160.7964
50.000000	87.706	160.7308
50.799999	87.664	160.6292
51.500000	87.629	160.5469
52.200001	87.595	160.4767
53.000000	87.556	160.4030
53.799999	87.518	160.3326
54.500000	87.485	160.2773
55.200001	87.452	160.2322
56.000000	87.416	160.1853
57.000000	87.371	160.1054
58.000000	87.327	160.0244
59.000000	87.262	159.8626
60.000000	87.189	159.6665
60.799999	87.167	159.6902
61.500000	87.160	159.7851
62.200001	87.142	159.8184
63.000000	87.111	159.7893
64.000000	87.073	159.7698
65.000000	87.031	159.7514
66.000000	86.990	159.7271
67.000000	86.950	159.7086
68.000000	86.912	159.6977
69.000000	86.877	159.6895
70.000000	86.841	159.6726
71.000000	86.803	159.6568
72.000000	86.767	159.6493
73.000000	86.732	159.6519
74.000000	86.698	159.6586
75.000000	86.663	159.6587
76.199997	86.622	159.6684
77.500000	86.579	159.6844
78.800003	86.536	159.6880
80.000000	86.499	159.7089
81.199997	86.461	159.7253
82.500000	86.420	159.7479
83.800003	86.381	159.7760
85.000000	86.344	159.8024
86.199997	86.308	159.8333
87.500000	86.270	159.8676
88.500000	86.241	159.8913
90.000000	86.199	159.9333
91.199997	86.167	159.9736
92.500000	86.133	160.0125
93.800003	86.098	160.0517
95.000000	86.066	160.0828
96.199997	86.036	160.1282
97.500000	86.003	160.1881
98.800003	85.971	160.2428
100.000000	85.943	160.2885
101.500000	85.909	160.3504
103.000000	85.875	160.4140
104.400002	85.844	160.4688
106.000000	85.809	160.5377
107.500000	85.776	160.6055
109.000000	85.744	160.6633
110.599998	85.713	160.7164
112.000000	85.685	160.7685
113.800003	85.650	160.8378
115.000000	85.627	160.8834
117.199997	85.585	160.9691
118.000000	85.570	160.9966
120.599998	85.520	161.0888
122.000000	85.493	161.1394
124.099998	85.454	161.2109
125.000000	85.438	161.2458
126.500000	85.413	161.3058
128.000000	85.387	161.3636
131.500000	85.324	161.5103
132.000000	85.315	161.5291
134.000000	85.281	161.6090
136.000000	85.247	161.7240
138.000000	85.211	161.8563
140.000000	85.177	162.0268
143.000000	85.135	162.2772
145.000000	85.117	162.4373
147.500000	85.098	162.5917
150.000000	85.079	162.6363
152.500000	85.058	162.7216
155.000000	85.035	162.8481
157.500000	85.010	162.9377
160.000000	84.977	163.0257
162.500000	84.942	163.1366
165.000000	84.906	163.2792
167.500000	84.871	163.4418
170.000000	84.842	163.6361
172.500000	84.821	163.8354
175.000000	84.810	163.9909
177.500000	84.802	164.0372
180.000000	84.790	164.0350
182.500000	84.775	164.0605
185.000000	84.756	164.0509
187.500000	84.729	164.0556
190.000000	84.697	164.0867
192.500000	84.667	164.1324
195.000000	84.638	164.1854
197.500000	84.609	164.2381
200.000000	84.581	164.3055
203.000000	84.553	164.4061
206.000000	84.529	164.5154
209.000000	84.507	164.6287
212.000000	84.491	164.7340
214.000000	84.483	164.7936
218.000000	84.468	164.8676
220.000000	84.459	164.8928
224.000000	84.438	164.9468
227.000000	84.419	164.9926
230.000000	84.400	165.0444
233.000000	84.380	165.0973
236.000000	84.359	165.1502
240.000000	84.333	165.2273
243.000000	84.313	165.2938
247.000000	84.285	165.3795
250.000000	84.265	165.4453
254.000000	84.235	165.5272
258.000000	84.204	165.6191
262.000000	84.174	165.7162
265.000000	84.151	165.7871
269.000000	84.119	165.8901
272.000000	84.095	165.9792
276.000000	84.067	166.1124
280.000000	84.042	166.2561
285.000000	84.018	166.3934
290.000000	83.990	166.4834
295.000000	83.958	166.5575
300.000000	83.924	166.6481
304.000000	83.898	166.7370
307.000000	83.878	166.8020
311.000000	83.852	166.8873
315.000000	83.827	166.9784
320.000000	83.797	167.0966
325.000000	83.768	167.2159
330.000000	83.739	167.3336
335.000000	83.710	167.4486
340.000000	83.682	167.5573
345.000000	83.654	167.6644
350.000000	83.625	167.7715
355.000000	83.595	167.8828
360.000000	83.566	167.9946
365.000000	83.536	168.1087
370.000000	83.507	168.2249
375.000000	83.478	168.3405
382.000000	83.438	168.5068
387.000000	83.410	168.6263
395.000000	83.364	168.8254
400.000000	83.336	168.9566
406.000000	83.302	169.1099
412.000000	83.269	169.2632
418.000000	83.235	169.4279
425.000000	83.197	169.6199
431.000000	83.164	169.7888
437.000000	83.132	169.9602
444.000000	83.096	170.1553
450.000000	83.064	170.3243
455.000000	83.037	170.4670
462.000000	83.000	170.6700
