* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 28, 2025 8:35:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pure (Crystal 2, 2 Gray)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.167	172.4648
20.600000	89.155	172.2400
20.900000	89.141	171.9767
21.200001	89.125	171.7236
21.400000	89.114	171.5646
21.799999	89.090	171.2723
22.000000	89.076	171.1332
22.400000	89.044	170.8192
22.700001	89.016	170.5914
23.000000	88.988	170.3675
23.299999	88.960	170.1082
23.600000	88.932	169.8580
24.000000	88.895	169.5445
24.299999	88.867	169.2795
24.700001	88.829	168.9394
25.000000	88.800	168.6950
25.400000	88.764	168.3329
25.799999	88.731	167.9852
26.200001	88.700	167.6424
26.500000	88.679	167.3882
26.900000	88.653	167.0663
27.200001	88.634	166.8397
27.600000	88.609	166.5556
28.000000	88.586	166.2891
28.500000	88.557	165.9914
29.000000	88.528	165.7146
29.500000	88.497	165.4674
30.000000	88.464	165.2405
30.400000	88.436	165.0667
30.700001	88.413	164.9415
31.100000	88.382	164.7764
31.500000	88.349	164.6051
32.000000	88.308	164.4074
32.500000	88.267	164.1951
33.000000	88.227	163.9973
33.500000	88.187	163.7821
34.000000	88.147	163.5748
34.500000	88.109	163.3603
35.000000	88.074	163.1558
35.500000	88.040	162.9511
36.000000	88.006	162.7553
36.500000	87.972	162.5681
37.000000	87.939	162.3872
37.500000	87.908	162.2155
38.200001	87.866	161.9966
38.700001	87.836	161.8763
39.500000	87.784	161.7276
40.000000	87.750	161.6288
40.599998	87.710	161.4871
41.200001	87.673	161.3707
41.799999	87.637	161.2998
42.500000	87.592	161.2109
43.099998	87.550	161.0714
43.700001	87.508	160.8891
44.400002	87.463	160.7089
45.000000	87.427	160.5999
45.500000	87.397	160.5209
46.200001	87.356	160.4092
46.799999	87.321	160.3151
47.500000	87.280	160.2145
48.200001	87.242	160.1300
48.700001	87.215	160.0773
49.400002	87.176	159.9986
50.000000	87.143	159.9253
50.799999	87.100	159.8381
51.500000	87.064	159.7771
52.200001	87.026	159.7082
53.000000	86.983	159.6361
53.799999	86.943	159.5892
54.500000	86.906	159.5444
55.200001	86.868	159.4976
56.000000	86.826	159.4448
57.000000	86.778	159.3503
58.000000	86.731	159.3063
59.000000	86.681	159.0998
60.000000	86.630	158.7937
60.799999	86.596	158.8896
61.500000	86.570	159.0955
62.200001	86.543	159.1792
63.000000	86.510	159.1615
64.000000	86.469	159.1581
65.000000	86.427	159.1349
66.000000	86.386	159.1098
67.000000	86.343	159.0961
68.000000	86.300	159.0937
69.000000	86.260	159.1006
70.000000	86.223	159.1002
71.000000	86.186	159.0989
72.000000	86.148	159.1085
73.000000	86.112	159.1276
74.000000	86.075	159.1481
75.000000	86.038	159.1656
76.199997	85.997	159.1768
77.500000	85.953	159.1936
78.800003	85.909	159.2210
80.000000	85.870	159.2513
81.199997	85.833	159.2781
82.500000	85.792	159.3141
83.800003	85.750	159.3566
85.000000	85.713	159.3925
86.199997	85.677	159.4319
87.500000	85.641	159.4758
88.500000	85.613	159.5122
90.000000	85.572	159.5651
91.199997	85.539	159.6083
92.500000	85.504	159.6589
93.800003	85.470	159.7126
95.000000	85.439	159.7645
96.199997	85.408	159.8198
97.500000	85.375	159.8808
98.800003	85.343	159.9335
100.000000	85.314	159.9757
101.500000	85.278	160.0390
103.000000	85.243	160.1073
104.400002	85.210	160.1692
106.000000	85.173	160.2356
107.500000	85.140	160.2984
109.000000	85.108	160.3657
110.599998	85.076	160.4347
112.000000	85.047	160.4978
113.800003	85.009	160.5925
115.000000	84.985	160.6499
117.199997	84.941	160.7423
118.000000	84.926	160.7796
120.599998	84.877	160.9087
122.000000	84.852	160.9718
124.099998	84.814	161.0639
125.000000	84.798	161.1039
126.500000	84.772	161.1732
128.000000	84.748	161.2423
131.500000	84.691	161.3927
132.000000	84.683	161.4177
134.000000	84.651	161.5241
136.000000	84.619	161.6200
138.000000	84.587	161.7104
140.000000	84.557	161.7976
143.000000	84.512	161.9393
145.000000	84.482	162.0441
147.500000	84.442	162.1911
150.000000	84.401	162.3344
152.500000	84.365	162.4772
155.000000	84.329	162.6795
157.500000	84.294	162.8903
160.000000	84.260	163.1222
162.500000	84.229	163.3678
165.000000	84.200	163.6311
