* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 25, 2025 8:26:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Pure (Crystal 2, White)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.508	172.3272
20.600000	89.497	172.1496
20.900000	89.482	171.9362
21.200001	89.466	171.7298
21.400000	89.455	171.5995
21.799999	89.433	171.3583
22.000000	89.420	171.2427
22.400000	89.390	170.9746
22.700001	89.365	170.7827
23.000000	89.338	170.5964
23.299999	89.310	170.3751
23.600000	89.282	170.1619
24.000000	89.246	169.8938
24.299999	89.220	169.6602
24.700001	89.186	169.3600
25.000000	89.161	169.1461
25.400000	89.130	168.8265
25.799999	89.099	168.5222
26.200001	89.071	168.2209
26.500000	89.051	167.9952
26.900000	89.027	167.7073
27.200001	89.010	167.5038
27.600000	88.989	167.2481
28.000000	88.969	167.0083
28.500000	88.945	166.7412
29.000000	88.919	166.4916
29.500000	88.892	166.2700
30.000000	88.863	166.0711
30.400000	88.840	165.9239
30.700001	88.823	165.8210
31.100000	88.798	165.6866
31.500000	88.771	165.5439
32.000000	88.734	165.3750
32.500000	88.695	165.1871
33.000000	88.658	165.0178
33.500000	88.624	164.8389
34.000000	88.591	164.6660
34.500000	88.557	164.4708
35.000000	88.524	164.2696
35.500000	88.491	164.0677
36.000000	88.462	163.8910
36.500000	88.435	163.7391
37.000000	88.409	163.5963
37.500000	88.383	163.4525
38.200001	88.346	163.2445
38.700001	88.319	163.1090
39.500000	88.273	162.9230
40.000000	88.243	162.8291
40.599998	88.207	162.7234
41.200001	88.171	162.6036
41.799999	88.135	162.4404
42.500000	88.092	162.2381
43.099998	88.056	162.1283
43.700001	88.022	162.0732
44.400002	87.986	162.0016
45.000000	87.954	161.8963
45.500000	87.926	161.7971
46.200001	87.890	161.6784
46.799999	87.860	161.5901
47.500000	87.827	161.4873
48.200001	87.793	161.3997
48.700001	87.768	161.3495
49.400002	87.733	161.2774
50.000000	87.703	161.2075
50.799999	87.663	161.1105
51.500000	87.629	161.0317
52.200001	87.596	160.9593
53.000000	87.557	160.9057
53.799999	87.516	160.8678
54.500000	87.480	160.8101
55.200001	87.447	160.7465
56.000000	87.410	160.7040
57.000000	87.365	160.6434
58.000000	87.327	160.5600
59.000000	87.286	160.4385
60.000000	87.240	160.3099
60.799999	87.207	160.3307
61.500000	87.182	160.3854
62.200001	87.157	160.3933
63.000000	87.126	160.3718
64.000000	87.087	160.3565
65.000000	87.048	160.3237
66.000000	87.008	160.3024
67.000000	86.969	160.2898
68.000000	86.932	160.2732
69.000000	86.894	160.2624
70.000000	86.856	160.2584
71.000000	86.821	160.2652
72.000000	86.789	160.2751
73.000000	86.755	160.2836
74.000000	86.721	160.2944
75.000000	86.689	160.3081
76.199997	86.650	160.3240
77.500000	86.607	160.3259
78.800003	86.567	160.3353
80.000000	86.530	160.3541
81.199997	86.496	160.3731
82.500000	86.458	160.4012
83.800003	86.419	160.4322
85.000000	86.385	160.4558
86.199997	86.352	160.4844
87.500000	86.316	160.5243
88.500000	86.289	160.5554
90.000000	86.248	160.5946
91.199997	86.216	160.6316
92.500000	86.182	160.6821
93.800003	86.148	160.7230
95.000000	86.120	160.7587
96.199997	86.093	160.7962
97.500000	86.063	160.8446
98.800003	86.032	160.8970
100.000000	86.005	160.9389
101.500000	85.973	160.9902
103.000000	85.940	161.0507
104.400002	85.910	161.0991
106.000000	85.875	161.1545
107.500000	85.843	161.2083
109.000000	85.812	161.2665
110.599998	85.780	161.3288
112.000000	85.753	161.3831
113.800003	85.718	161.4473
115.000000	85.694	161.4953
117.199997	85.653	161.5994
118.000000	85.640	161.6330
120.599998	85.595	161.7431
122.000000	85.568	161.8004
124.099998	85.530	161.8809
125.000000	85.515	161.9161
126.500000	85.492	161.9770
128.000000	85.470	162.0352
131.500000	85.419	162.1555
132.000000	85.412	162.1723
134.000000	85.382	162.2393
136.000000	85.352	162.3157
138.000000	85.321	162.3986
140.000000	85.290	162.4919
143.000000	85.249	162.6096
145.000000	85.219	162.6872
147.500000	85.181	162.8001
150.000000	85.139	162.9152
152.500000	85.095	163.0351
155.000000	85.050	163.1941
157.500000	85.004	163.4119
160.000000	84.959	163.7361
162.500000	84.927	164.1855
165.000000	84.923	164.6464
167.500000	84.947	164.9132
170.000000	84.973	164.9462
172.500000	84.979	164.8535
175.000000	84.965	164.7762
177.500000	84.945	164.7510
180.000000	84.925	164.6707
182.500000	84.900	164.6480
185.000000	84.872	164.6571
187.500000	84.841	164.6685
190.000000	84.807	164.6967
192.500000	84.772	164.7422
195.000000	84.742	164.7986
197.500000	84.717	164.8760
200.000000	84.697	165.0064
203.000000	84.677	165.2494
206.000000	84.661	165.3798
209.000000	84.649	165.3221
212.000000	84.632	165.3572
214.000000	84.615	165.4230
218.000000	84.588	165.4794
220.000000	84.575	165.5184
224.000000	84.549	165.5567
227.000000	84.530	165.6252
230.000000	84.510	165.7082
233.000000	84.491	165.7648
236.000000	84.473	165.8436
240.000000	84.452	165.9898
243.000000	84.437	166.0819
247.000000	84.417	166.1737
250.000000	84.401	166.2478
254.000000	84.378	166.3324
258.000000	84.356	166.3928
262.000000	84.330	166.4493
265.000000	84.306	166.4971
269.000000	84.274	166.5710
272.000000	84.250	166.6283
276.000000	84.220	166.7253
280.000000	84.192	166.8515
285.000000	84.162	167.0145
290.000000	84.135	167.1588
295.000000	84.109	167.2622
300.000000	84.080	167.3472
304.000000	84.055	167.4187
307.000000	84.037	167.4734
311.000000	84.015	167.5427
315.000000	83.994	167.6284
320.000000	83.969	167.7287
325.000000	83.941	167.8158
330.000000	83.912	167.9088
335.000000	83.882	168.0108
340.000000	83.852	168.1112
345.000000	83.821	168.2151
350.000000	83.791	168.3213
355.000000	83.762	168.4224
360.000000	83.733	168.5296
365.000000	83.703	168.6449
370.000000	83.674	168.7616
375.000000	83.646	168.8784
382.000000	83.607	169.0406
387.000000	83.578	169.1627
395.000000	83.532	169.3616
400.000000	83.505	169.4862
406.000000	83.471	169.6366
412.000000	83.438	169.7898
418.000000	83.405	169.9496
425.000000	83.367	170.1412
431.000000	83.335	170.3032
437.000000	83.303	170.4672
444.000000	83.265	170.6667
450.000000	83.233	170.8416
455.000000	83.207	170.9876
462.000000	83.170	171.1927
468.000000	83.139	171.3724
475.000000	83.103	171.5933
482.000000	83.068	171.8134
487.000000	83.044	171.9727
494.000000	83.009	172.2039
500.000000	82.979	172.4035
508.000000	82.940	172.6718
515.000000	82.908	172.9142
522.000000	82.876	173.1546
530.000000	82.840	173.4261
538.000000	82.803	173.7105
545.000000	82.771	173.9773
552.000000	82.741	174.2485
560.000000	82.708	174.5563
570.000000	82.667	174.9405
580.000000	82.625	175.3254
590.000000	82.584	175.7233
600.000000	82.543	176.1262
608.000000	82.511	176.4556
615.000000	82.484	176.7519
622.000000	82.458	177.0559
630.000000	82.428	177.4073
640.000000	82.392	177.8529
650.000000	82.357	178.3130
660.000000	82.325	178.7867
670.000000	82.294	179.2699
680.000000	82.264	179.7627
690.000000	82.236	-179.7348
700.000000	82.210	-179.2168
710.000000	82.186	-178.6899
720.000000	82.163	-178.1547
730.000000	82.143	-177.6108
740.000000	82.124	-177.0554
750.000000	82.108	-176.4934
762.000000	82.092	-175.8098
775.000000	82.079	-175.0554
788.000000	82.068	-174.2891
800.000000	82.061	-173.5708
812.000000	82.055	-172.8462
825.000000	82.053	-172.0600
838.000000	82.055	-171.2708
850.000000	82.062	-170.5385
862.000000	82.073	-169.8088
875.000000	82.090	-169.0229
885.000000	82.108	-168.4243
900.000000	82.140	-167.5339
912.000000	82.170	-166.8326
925.000000	82.209	-166.0883
938.000000	82.252	-165.3642
950.000000	82.297	-164.7143
962.000000	82.345	-164.0853
975.000000	82.402	-163.4297
988.000000	82.462	-162.8009
1000.000000	82.519	-162.2465
1015.000000	82.590	-161.5957
1030.000000	82.663	-160.9938
1044.000000	82.733	-160.4713
1060.000000	82.815	-159.9221
1075.000000	82.893	-159.4573
1090.000000	82.971	-159.0379
1106.000000	83.054	-158.6354
1120.000000	83.126	-158.3224
1138.000000	83.215	-157.9722
1150.000000	83.272	-157.7657
1172.000000	83.372	-157.4353
1180.000000	83.406	-157.3293
1206.000000	83.513	-157.0318
1220.000000	83.566	-156.8925
1241.000000	83.643	-156.7057
1250.000000	83.675	-156.6309
1265.000000	83.730	-156.5124
1280.000000	83.783	-156.3980
1315.000000	83.898	-156.1442
1320.000000	83.913	-156.1075
1340.000000	83.971	-155.9578
1360.000000	84.025	-155.8006
1380.000000	84.076	-155.6355
1400.000000	84.124	-155.4595
1430.000000	84.192	-155.1718
1450.000000	84.236	-154.9608
1475.000000	84.289	-154.6809
1500.000000	84.341	-154.3810
1525.000000	84.393	-154.0592
1550.000000	84.446	-153.7209
1575.000000	84.501	-153.3682
1600.000000	84.560	-153.0008
1625.000000	84.623	-152.6193
1650.000000	84.691	-152.2245
1675.000000	84.761	-151.8215
1700.000000	84.834	-151.4119
1725.000000	84.910	-150.9995
1750.000000	84.989	-150.5846
1775.000000	85.070	-150.1710
1800.000000	85.154	-149.7547
1825.000000	85.242	-149.3417
1850.000000	85.333	-148.9348
1875.000000	85.428	-148.5345
1900.000000	85.526	-148.1413
1925.000000	85.627	-147.7591
1950.000000	85.731	-147.3894
1975.000000	85.839	-147.0347
2000.000000	85.950	-146.6954
2030.000000	86.085	-146.3091
2060.000000	86.225	-145.9507
2090.000000	86.368	-145.6212
2120.000000	86.516	-145.3237
2140.000000	86.618	-145.1450
2180.000000	86.825	-144.8366
2200.000000	86.932	-144.7072
2240.000000	87.149	-144.5091
2270.000000	87.316	-144.4140
2300.000000	87.485	-144.3679
2330.000000	87.657	-144.3705
2360.000000	87.829	-144.4263
2400.000000	88.062	-144.5882
2430.000000	88.236	-144.7739
2470.000000	88.468	-145.1056
2500.000000	88.641	-145.4159
2540.000000	88.869	-145.9197
2580.000000	89.095	-146.5413
2620.000000	89.318	-147.2877
2650.000000	89.482	-147.9357
2690.000000	89.695	-148.9252
2720.000000	89.849	-149.7613
2760.000000	90.041	-150.9987
2800.000000	90.215	-152.3654
2850.000000	90.401	-154.2094
2900.000000	90.553	-156.1551
2950.000000	90.671	-158.1662
3000.000000	90.759	-160.2271
3040.000000	90.807	-161.9156
3070.000000	90.829	-163.2063
3110.000000	90.837	-164.9472
3150.000000	90.818	-166.6903
3200.000000	90.757	-168.8102
3250.000000	90.656	-170.7954
3300.000000	90.524	-172.6094
3350.000000	90.365	-174.2303
3400.000000	90.188	-175.6431
3450.000000	89.999	-176.8458
3500.000000	89.801	-177.8502
3550.000000	89.599	-178.6685
3600.000000	89.397	-179.3107
3650.000000	89.196	-179.7854
3700.000000	88.999	179.9025
3750.000000	88.810	179.7413
3820.000000	88.563	179.7406
3870.000000	88.402	179.8671
3950.000000	88.173	-179.7686
4000.000000	88.045	-179.4612
4060.000000	87.906	-179.0384
4120.000000	87.783	-178.5714
4180.000000	87.677	-178.0720
4250.000000	87.573	-177.4651
4310.000000	87.501	-176.9360
4370.000000	87.444	-176.4152
4440.000000	87.393	-175.8345
4500.000000	87.363	-175.3701
4550.000000	87.346	-175.0143
4620.000000	87.334	-174.5711
4680.000000	87.332	-174.2521
4750.000000	87.338	-173.9605
4820.000000	87.348	-173.7578
4870.000000	87.357	-173.6670
4940.000000	87.368	-173.6160
5000.000000	87.374	-173.6420
5080.000000	87.372	-173.7583
5150.000000	87.360	-173.9206
5220.000000	87.336	-174.1219
5300.000000	87.294	-174.3716
5380.000000	87.236	-174.6011
5450.000000	87.174	-174.7544
5520.000000	87.103	-174.8447
5600.000000	87.015	-174.8556
5700.000000	86.905	-174.7194
5800.000000	86.804	-174.4335
5900.000000	86.720	-174.0489
6000.000000	86.654	-173.6420
6080.000000	86.610	-173.3354
6150.000000	86.574	-173.0888
6220.000000	86.538	-172.8590
6300.000000	86.492	-172.5943
6400.000000	86.426	-172.2115
6500.000000	86.355	-171.7138
6600.000000	86.289	-171.0554
6700.000000	86.240	-170.2199
6800.000000	86.219	-169.2119
6900.000000	86.238	-168.0536
7000.000000	86.307	-166.7863
7100.000000	86.441	-165.4813
7200.000000	86.649	-164.2562
7300.000000	86.933	-163.2736
7400.000000	87.283	-162.6124
7500.000000	87.718	-162.2737
7620.000000	88.373	-162.8632
7750.000000	89.171	-165.4354
7880.000000	89.923	-170.5250
8000.000000	90.386	-177.5502
8120.000000	90.404	173.9821
8250.000000	89.786	165.9271
8380.000000	89.107	162.6174
8500.000000	89.030	157.8368
8620.000000	88.334	150.0335
8750.000000	86.943	145.1731
8850.000000	85.861	144.0385
9000.000000	84.449	144.6717
9120.000000	83.501	146.3218
9250.000000	82.632	148.7755
9380.000000	81.909	151.6566
9500.000000	81.359	154.5281
9620.000000	80.913	157.4803
9750.000000	80.537	160.6430
9880.000000	80.264	163.6481
10000.000000	80.089	166.1745
10150.000000	79.956	168.8385
10300.000000	79.891	170.7909
10440.000000	79.857	171.8578
10600.000000	79.788	172.1609
10750.000000	79.634	171.7267
10900.000000	79.348	170.9720
11060.000000	78.882	170.3685
