* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 25, 2025 8:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pure (Crystal 2, White)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.101	172.5847
20.600000	89.091	172.3635
20.900000	89.078	172.1033
21.200001	89.063	171.8530
21.400000	89.053	171.6958
21.799999	89.031	171.4073
22.000000	89.017	171.2706
22.400000	88.984	170.9629
22.700001	88.957	170.7419
23.000000	88.929	170.5265
23.299999	88.901	170.2763
23.600000	88.872	170.0343
24.000000	88.835	169.7276
24.299999	88.808	169.4641
24.700001	88.770	169.1234
25.000000	88.742	168.8798
25.400000	88.707	168.5240
25.799999	88.675	168.1894
26.200001	88.645	167.8617
26.500000	88.625	167.6163
26.900000	88.599	167.2996
27.200001	88.580	167.0722
27.600000	88.556	166.7841
28.000000	88.533	166.5143
28.500000	88.503	166.2142
29.000000	88.474	165.9323
29.500000	88.445	165.6752
30.000000	88.416	165.4410
30.400000	88.390	165.2693
30.700001	88.369	165.1510
31.100000	88.338	164.9986
31.500000	88.306	164.8385
32.000000	88.265	164.6469
32.500000	88.224	164.4352
33.000000	88.183	164.2408
33.500000	88.142	164.0350
34.000000	88.103	163.8368
34.500000	88.065	163.6242
35.000000	88.029	163.4144
35.500000	87.994	163.2048
36.000000	87.960	163.0122
36.500000	87.928	162.8381
37.000000	87.898	162.6754
37.500000	87.867	162.5190
38.200001	87.820	162.3075
38.700001	87.788	162.1846
39.500000	87.741	162.0315
40.000000	87.712	161.9319
40.599998	87.674	161.7868
41.200001	87.634	161.6648
41.799999	87.596	161.5922
42.500000	87.554	161.5040
43.099998	87.515	161.3585
43.700001	87.473	161.1681
44.400002	87.426	160.9914
45.000000	87.391	160.8924
45.500000	87.363	160.8155
46.200001	87.323	160.6961
46.799999	87.289	160.5998
47.500000	87.251	160.5055
48.200001	87.212	160.4216
48.700001	87.184	160.3653
49.400002	87.145	160.2873
50.000000	87.112	160.2224
50.799999	87.069	160.1485
51.500000	87.032	160.0993
52.200001	86.996	160.0377
53.000000	86.956	159.9510
53.799999	86.915	159.8759
54.500000	86.881	159.8215
55.200001	86.847	159.7779
56.000000	86.807	159.7385
57.000000	86.763	159.6703
58.000000	86.716	159.6145
59.000000	86.667	159.4884
60.000000	86.624	159.3222
60.799999	86.588	159.3481
61.500000	86.556	159.4239
62.200001	86.525	159.4475
63.000000	86.490	159.4364
64.000000	86.446	159.4327
65.000000	86.405	159.4147
66.000000	86.363	159.4028
67.000000	86.322	159.3910
68.000000	86.283	159.3837
69.000000	86.244	159.3866
70.000000	86.206	159.3889
71.000000	86.170	159.3899
72.000000	86.133	159.3980
73.000000	86.097	159.4081
74.000000	86.062	159.4190
75.000000	86.027	159.4424
76.199997	85.989	159.4637
77.500000	85.944	159.4830
78.800003	85.902	159.5115
80.000000	85.864	159.5322
81.199997	85.825	159.5581
82.500000	85.783	159.5961
83.800003	85.742	159.6367
85.000000	85.705	159.6747
86.199997	85.670	159.7176
87.500000	85.632	159.7667
88.500000	85.603	159.8030
90.000000	85.560	159.8658
91.199997	85.528	159.9061
92.500000	85.493	159.9478
93.800003	85.458	160.0066
95.000000	85.429	160.0622
96.199997	85.399	160.1132
97.500000	85.366	160.1518
98.800003	85.335	160.1974
100.000000	85.307	160.2603
101.500000	85.271	160.3411
103.000000	85.234	160.4119
104.400002	85.201	160.4642
