* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 24, 2025 9:35:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Pure (Narrow)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.866	172.6706
20.600000	89.855	172.4786
20.900000	89.841	172.2507
21.200001	89.827	172.0297
21.400000	89.817	171.8890
21.799999	89.797	171.6256
22.000000	89.785	171.4985
22.400000	89.755	171.2077
22.700001	89.730	171.0003
23.000000	89.703	170.8003
23.299999	89.677	170.5677
23.600000	89.651	170.3453
24.000000	89.617	170.0674
24.299999	89.592	169.8268
24.700001	89.556	169.5168
25.000000	89.530	169.2943
25.400000	89.497	168.9618
25.799999	89.467	168.6441
26.200001	89.440	168.3299
26.500000	89.422	168.0949
26.900000	89.399	167.7948
27.200001	89.383	167.5819
27.600000	89.362	167.3137
28.000000	89.343	167.0621
28.500000	89.319	166.7815
29.000000	89.295	166.5182
29.500000	89.268	166.2811
30.000000	89.238	166.0663
30.400000	89.213	165.9084
30.700001	89.194	165.7991
31.100000	89.168	165.6573
31.500000	89.141	165.5060
32.000000	89.107	165.3224
32.500000	89.072	165.1167
33.000000	89.036	164.9297
33.500000	89.001	164.7344
34.000000	88.966	164.5469
34.500000	88.931	164.3421
35.000000	88.898	164.1398
35.500000	88.865	163.9417
36.000000	88.834	163.7626
36.500000	88.805	163.5955
37.000000	88.778	163.4306
37.500000	88.751	163.2698
38.200001	88.715	163.0515
38.700001	88.689	162.9084
39.500000	88.644	162.7077
40.000000	88.616	162.6150
40.599998	88.581	162.5197
41.200001	88.544	162.3986
41.799999	88.502	162.2111
42.500000	88.453	161.9748
43.099998	88.418	161.8523
43.700001	88.389	161.7934
44.400002	88.355	161.7098
45.000000	88.323	161.5898
45.500000	88.296	161.4843
46.200001	88.259	161.3685
46.799999	88.227	161.2837
47.500000	88.191	161.1739
48.200001	88.155	161.0657
48.700001	88.130	160.9986
49.400002	88.095	160.9117
50.000000	88.066	160.8381
50.799999	88.027	160.7375
51.500000	87.990	160.6585
52.200001	87.952	160.5913
53.000000	87.913	160.5184
53.799999	87.878	160.4328
54.500000	87.845	160.3575
55.200001	87.811	160.3037
56.000000	87.772	160.2635
57.000000	87.722	160.2078
58.000000	87.679	160.1526
59.000000	87.643	160.0187
60.000000	87.600	159.8471
