* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 24, 2025 9:44:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pure (Narrow)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.429	172.4123
20.600000	89.417	172.1931
20.900000	89.402	171.9317
21.200001	89.386	171.6740
21.400000	89.375	171.5082
21.799999	89.352	171.1966
22.000000	89.339	171.0473
22.400000	89.306	170.7162
22.700001	89.279	170.4803
23.000000	89.250	170.2514
23.299999	89.222	169.9878
23.600000	89.195	169.7318
24.000000	89.160	169.4067
24.299999	89.133	169.1312
24.700001	89.097	168.7783
25.000000	89.068	168.5269
25.400000	89.032	168.1587
25.799999	88.998	167.8052
26.200001	88.968	167.4533
26.500000	88.948	167.1898
26.900000	88.923	166.8541
27.200001	88.905	166.6180
27.600000	88.881	166.3231
28.000000	88.857	166.0470
28.500000	88.828	165.7350
29.000000	88.798	165.4413
29.500000	88.767	165.1796
30.000000	88.734	164.9445
30.400000	88.705	164.7673
30.700001	88.684	164.6398
31.100000	88.654	164.4704
31.500000	88.623	164.2931
32.000000	88.584	164.0860
32.500000	88.544	163.8625
33.000000	88.503	163.6514
33.500000	88.463	163.4237
34.000000	88.423	163.2079
34.500000	88.384	162.9883
35.000000	88.347	162.7762
35.500000	88.312	162.5568
36.000000	88.277	162.3420
36.500000	88.243	162.1417
37.000000	88.209	161.9615
37.500000	88.176	161.7990
38.200001	88.132	161.5705
38.700001	88.101	161.4131
39.500000	88.051	161.2109
40.000000	88.019	161.1173
40.599998	87.978	160.9771
41.200001	87.935	160.7735
41.799999	87.892	160.5426
42.500000	87.846	160.3528
43.099998	87.809	160.2773
43.700001	87.772	160.2038
44.400002	87.726	160.0664
45.000000	87.688	159.9323
45.500000	87.658	159.8338
46.200001	87.618	159.7154
46.799999	87.584	159.6184
47.500000	87.545	159.5102
48.200001	87.505	159.4130
48.700001	87.476	159.3468
49.400002	87.435	159.2536
50.000000	87.401	159.1762
50.799999	87.355	159.0720
51.500000	87.314	158.9864
52.200001	87.276	158.9109
53.000000	87.234	158.8324
53.799999	87.191	158.7433
54.500000	87.151	158.6549
55.200001	87.111	158.5776
56.000000	87.065	158.5250
57.000000	87.012	158.4863
58.000000	86.969	158.4207
59.000000	86.936	158.3036
60.000000	86.900	158.2048
60.799999	86.856	158.2045
61.500000	86.813	158.2261
62.200001	86.777	158.2189
63.000000	86.740	158.1821
64.000000	86.695	158.1472
65.000000	86.650	158.1302
66.000000	86.606	158.1150
67.000000	86.565	158.0909
68.000000	86.525	158.0653
69.000000	86.483	158.0518
70.000000	86.441	158.0432
71.000000	86.402	158.0333
72.000000	86.364	158.0284
73.000000	86.324	158.0291
74.000000	86.286	158.0423
75.000000	86.249	158.0715
76.199997	86.205	158.0931
77.500000	86.157	158.0930
78.800003	86.111	158.0887
80.000000	86.070	158.0933
81.199997	86.029	158.1125
82.500000	85.987	158.1491
83.800003	85.944	158.1957
85.000000	85.905	158.2317
86.199997	85.867	158.2653
87.500000	85.827	158.2946
88.500000	85.796	158.3212
90.000000	85.751	158.3668
91.199997	85.716	158.4072
92.500000	85.680	158.4424
93.800003	85.644	158.4921
95.000000	85.610	158.5401
96.199997	85.578	158.5768
97.500000	85.544	158.6173
98.800003	85.511	158.6743
100.000000	85.480	158.7276
101.500000	85.443	158.7801
103.000000	85.406	158.8334
104.400002	85.373	158.8978
106.000000	85.336	158.9727
107.500000	85.301	159.0363
109.000000	85.266	159.0976
110.599998	85.230	159.1569
112.000000	85.200	159.2106
113.800003	85.161	159.2952
115.000000	85.135	159.3434
117.199997	85.093	159.4308
118.000000	85.079	159.4705
120.599998	85.032	159.6052
122.000000	85.001	159.6617
124.099998	84.961	159.7437
125.000000	84.945	159.7834
126.500000	84.918	159.8591
128.000000	84.893	159.9412
131.500000	84.838	160.1089
132.000000	84.830	160.1315
134.000000	84.799	160.2176
136.000000	84.771	160.2889
138.000000	84.746	160.3451
140.000000	84.719	160.3920
143.000000	84.677	160.5292
145.000000	84.648	160.6103
147.500000	84.613	160.7074
150.000000	84.580	160.8096
152.500000	84.549	160.9021
155.000000	84.519	161.0180
157.500000	84.485	161.1043
160.000000	84.452	161.1895
162.500000	84.415	161.2718
165.000000	84.378	161.3707
167.500000	84.341	161.4733
170.000000	84.304	161.5735
172.500000	84.268	161.6796
175.000000	84.233	161.7841
177.500000	84.200	161.8693
180.000000	84.165	161.9251
182.500000	84.128	162.0285
185.000000	84.087	162.1579
187.500000	84.042	162.3199
190.000000	84.000	162.5424
192.500000	83.970	162.8490
195.000000	83.964	163.1895
197.500000	83.979	163.4176
200.000000	83.994	163.4340
203.000000	83.999	163.3355
206.000000	83.988	163.2554
209.000000	83.963	163.2269
212.000000	83.932	163.2468
214.000000	83.913	163.2412
218.000000	83.885	163.2999
220.000000	83.871	163.3477
224.000000	83.845	163.4310
227.000000	83.826	163.4909
230.000000	83.807	163.5663
233.000000	83.785	163.6351
236.000000	83.763	163.6895
240.000000	83.736	163.7800
243.000000	83.719	163.8564
247.000000	83.694	163.9434
250.000000	83.674	164.0101
254.000000	83.646	164.1059
258.000000	83.618	164.1993
262.000000	83.591	164.2849
265.000000	83.570	164.3493
269.000000	83.542	164.4307
272.000000	83.520	164.4927
276.000000	83.492	164.5770
280.000000	83.465	164.6587
285.000000	83.431	164.7460
290.000000	83.398	164.8365
295.000000	83.365	164.9333
300.000000	83.331	165.0333
304.000000	83.303	165.1181
307.000000	83.283	165.1778
311.000000	83.256	165.2523
315.000000	83.230	165.3318
320.000000	83.197	165.4352
325.000000	83.166	165.5440
330.000000	83.135	165.6478
335.000000	83.103	165.7571
340.000000	83.072	165.8668
345.000000	83.044	165.9716
350.000000	83.015	166.0702
355.000000	82.986	166.1647
360.000000	82.957	166.2608
365.000000	82.929	166.3700
370.000000	82.900	166.4800
375.000000	82.871	166.5806
382.000000	82.831	166.7185
387.000000	82.803	166.8274
395.000000	82.758	167.0072
400.000000	82.731	167.1225
406.000000	82.697	167.2483
412.000000	82.661	167.3739
418.000000	82.626	167.5058
425.000000	82.586	167.6703
431.000000	82.552	167.8131
437.000000	82.518	167.9460
444.000000	82.479	168.1094
450.000000	82.444	168.2531
455.000000	82.416	168.3775
462.000000	82.375	168.5593
468.000000	82.339	168.7213
475.000000	82.297	168.9109
482.000000	82.254	169.1056
487.000000	82.224	169.2527
494.000000	82.182	169.4713
500.000000	82.147	169.6734
508.000000	82.102	169.9558
515.000000	82.065	170.2160
522.000000	82.031	170.4854
530.000000	81.996	170.7933
538.000000	81.962	171.0983
545.000000	81.934	171.3608
552.000000	81.906	171.6181
560.000000	81.874	171.9090
570.000000	81.834	172.2715
580.000000	81.794	172.6338
590.000000	81.754	173.0023
600.000000	81.713	173.3704
608.000000	81.681	173.6723
615.000000	81.654	173.9458
622.000000	81.627	174.2256
630.000000	81.598	174.5504
640.000000	81.562	174.9626
650.000000	81.528	175.3840
660.000000	81.495	175.8120
670.000000	81.464	176.2482
680.000000	81.433	176.6957
690.000000	81.405	177.1542
700.000000	81.377	177.6198
710.000000	81.352	178.0873
720.000000	81.328	178.5569
730.000000	81.306	179.0270
740.000000	81.284	179.4998
750.000000	81.262	179.9783
762.000000	81.235	-179.4340
775.000000	81.207	-178.7677
788.000000	81.180	-178.0584
800.000000	81.159	-177.3646
812.000000	81.141	-176.6451
825.000000	81.127	-175.8459
838.000000	81.122	-175.0420
850.000000	81.123	-174.3077
862.000000	81.130	-173.5778
875.000000	81.142	-172.7973
885.000000	81.156	-172.2061
900.000000	81.183	-171.3339
912.000000	81.210	-170.6513
925.000000	81.245	-169.9296
938.000000	81.284	-169.2261
950.000000	81.326	-168.5956
962.000000	81.371	-167.9850
975.000000	81.423	-167.3494
988.000000	81.478	-166.7427
1000.000000	81.531	-166.2122
1015.000000	81.597	-165.5869
1030.000000	81.665	-165.0040
1044.000000	81.730	-164.4991
1060.000000	81.806	-163.9716
1075.000000	81.880	-163.5255
1090.000000	81.954	-163.1274
1106.000000	82.033	-162.7521
1120.000000	82.102	-162.4644
1138.000000	82.187	-162.1411
1150.000000	82.242	-161.9498
1172.000000	82.339	-161.6537
1180.000000	82.373	-161.5615
1206.000000	82.476	-161.3109
1220.000000	82.528	-161.2006
1241.000000	82.601	-161.0635
1250.000000	82.632	-161.0111
1265.000000	82.684	-160.9307
1280.000000	82.735	-160.8575
1315.000000	82.844	-160.7095
1320.000000	82.858	-160.6895
1340.000000	82.913	-160.6071
1360.000000	82.963	-160.5195
1380.000000	83.009	-160.4238
1400.000000	83.052	-160.3175
1430.000000	83.112	-160.1356
1450.000000	83.149	-159.9960
1475.000000	83.192	-159.8046
1500.000000	83.235	-159.5953
1525.000000	83.277	-159.3652
1550.000000	83.318	-159.1124
1575.000000	83.361	-158.8418
1600.000000	83.406	-158.5517
1625.000000	83.456	-158.2506
1650.000000	83.510	-157.9374
1675.000000	83.566	-157.6158
1700.000000	83.623	-157.2877
1725.000000	83.683	-156.9501
1750.000000	83.745	-156.6012
1775.000000	83.810	-156.2477
1800.000000	83.877	-155.8913
1825.000000	83.948	-155.5366
1850.000000	84.022	-155.1846
1875.000000	84.098	-154.8369
