* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 24, 2025 9:57:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Pure (Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.866	171.7359
20.600000	89.856	171.5376
20.900000	89.841	171.3093
21.200001	89.825	171.0983
21.400000	89.813	170.9697
21.799999	89.789	170.7374
22.000000	89.776	170.6255
22.400000	89.744	170.3576
22.700001	89.718	170.1590
23.000000	89.692	169.9635
23.299999	89.665	169.7352
23.600000	89.638	169.5204
24.000000	89.601	169.2590
24.299999	89.573	169.0332
24.700001	89.536	168.7404
25.000000	89.509	168.5270
25.400000	89.475	168.2034
25.799999	89.445	167.8965
26.200001	89.417	167.5992
26.500000	89.398	167.3802
26.900000	89.373	167.1011
27.200001	89.355	166.9003
27.600000	89.332	166.6417
28.000000	89.311	166.3951
28.500000	89.287	166.1245
29.000000	89.262	165.8827
29.500000	89.235	165.6724
30.000000	89.206	165.4753
30.400000	89.181	165.3198
30.700001	89.162	165.2078
31.100000	89.134	165.0636
31.500000	89.105	164.9185
32.000000	89.068	164.7562
32.500000	89.030	164.5722
33.000000	88.993	164.3908
33.500000	88.957	164.1864
34.000000	88.923	163.9940
34.500000	88.888	163.8010
35.000000	88.854	163.6195
35.500000	88.821	163.4344
36.000000	88.791	163.2559
36.500000	88.763	163.0887
37.000000	88.735	162.9334
37.500000	88.706	162.7895
38.200001	88.665	162.5898
38.700001	88.638	162.4538
39.500000	88.594	162.2605
40.000000	88.566	162.1672
40.599998	88.532	162.0691
41.200001	88.493	161.9629
41.799999	88.449	161.8182
42.500000	88.398	161.6304
43.099998	88.364	161.5098
43.700001	88.338	161.4251
44.400002	88.304	161.3268
45.000000	88.269	161.2215
45.500000	88.240	161.1312
46.200001	88.203	161.0199
46.799999	88.172	160.9324
47.500000	88.137	160.8312
48.200001	88.101	160.7396
48.700001	88.075	160.6809
49.400002	88.038	160.6020
50.000000	88.007	160.5382
50.799999	87.967	160.4527
51.500000	87.932	160.3840
52.200001	87.898	160.3246
53.000000	87.860	160.2547
53.799999	87.822	160.1813
54.500000	87.788	160.1352
55.200001	87.754	160.0938
56.000000	87.713	160.0384
57.000000	87.666	159.9754
58.000000	87.624	159.8777
59.000000	87.590	159.8988
60.000000	87.563	159.9986
60.799999	87.528	159.8922
61.500000	87.490	159.7476
62.200001	87.457	159.6806
63.000000	87.425	159.6643
64.000000	87.383	159.6330
65.000000	87.342	159.6138
66.000000	87.301	159.5935
67.000000	87.262	159.5721
68.000000	87.224	159.5500
69.000000	87.188	159.5408
70.000000	87.152	159.5447
71.000000	87.115	159.5403
72.000000	87.078	159.5332
73.000000	87.041	159.5298
74.000000	87.006	159.5270
75.000000	86.971	159.5409
76.199997	86.933	159.5692
77.500000	86.891	159.5838
78.800003	86.850	159.5905
80.000000	86.815	159.6035
81.199997	86.778	159.6192
82.500000	86.738	159.6434
83.800003	86.699	159.6724
85.000000	86.664	159.7016
86.199997	86.630	159.7350
87.500000	86.595	159.7683
88.500000	86.568	159.7969
90.000000	86.527	159.8382
91.199997	86.495	159.8725
92.500000	86.462	159.9160
93.800003	86.429	159.9535
95.000000	86.399	159.9913
96.199997	86.370	160.0245
97.500000	86.340	160.0646
98.800003	86.308	160.1085
100.000000	86.280	160.1455
101.500000	86.247	160.1895
103.000000	86.214	160.2386
104.400002	86.185	160.2990
106.000000	86.150	160.3559
107.500000	86.119	160.4023
109.000000	86.089	160.4560
110.599998	86.057	160.5173
112.000000	86.029	160.5656
113.800003	85.994	160.6289
115.000000	85.971	160.6732
117.199997	85.932	160.7502
118.000000	85.917	160.7766
120.599998	85.870	160.8801
122.000000	85.848	160.9356
124.099998	85.813	161.0144
125.000000	85.798	161.0437
126.500000	85.774	161.0942
128.000000	85.750	161.1505
131.500000	85.699	161.2807
132.000000	85.692	161.2982
134.000000	85.665	161.3661
136.000000	85.637	161.4409
138.000000	85.607	161.5322
140.000000	85.582	161.6177
143.000000	85.545	161.6912
145.000000	85.520	161.7507
147.500000	85.487	161.8330
150.000000	85.456	161.9248
152.500000	85.426	162.0190
155.000000	85.397	162.1107
157.500000	85.368	162.2039
160.000000	85.338	162.2854
162.500000	85.305	162.3659
165.000000	85.272	162.4493
167.500000	85.240	162.5408
170.000000	85.209	162.6490
172.500000	85.176	162.7638
175.000000	85.144	162.8494
177.500000	85.114	162.8983
180.000000	85.089	162.9664
182.500000	85.067	163.0270
185.000000	85.042	163.0848
187.500000	85.011	163.1474
190.000000	84.981	163.2114
192.500000	84.951	163.2748
195.000000	84.921	163.3514
197.500000	84.893	163.4325
200.000000	84.870	163.5095
203.000000	84.843	163.6017
206.000000	84.816	163.7092
209.000000	84.792	163.8137
212.000000	84.761	163.9309
214.000000	84.745	164.0077
218.000000	84.722	164.1734
220.000000	84.708	164.2662
224.000000	84.684	164.4904
227.000000	84.673	164.6593
230.000000	84.672	164.7721
233.000000	84.675	164.8416
236.000000	84.678	164.8904
240.000000	84.673	164.9093
243.000000	84.662	164.9135
247.000000	84.642	164.9100
250.000000	84.625	164.9206
254.000000	84.598	164.9451
258.000000	84.568	164.9730
262.000000	84.541	165.0172
265.000000	84.522	165.0618
269.000000	84.495	165.1246
272.000000	84.475	165.1652
276.000000	84.447	165.2148
280.000000	84.419	165.2659
285.000000	84.383	165.3364
290.000000	84.347	165.4175
295.000000	84.312	165.4958
300.000000	84.278	165.5752
304.000000	84.251	165.6484
307.000000	84.230	165.7025
311.000000	84.203	165.7768
315.000000	84.177	165.8547
320.000000	84.146	165.9499
325.000000	84.116	166.0392
330.000000	84.086	166.1287
335.000000	84.056	166.2149
340.000000	84.025	166.2930
345.000000	83.995	166.3887
350.000000	83.966	166.4813
355.000000	83.937	166.5690
360.000000	83.908	166.6555
365.000000	83.879	166.7550
370.000000	83.850	166.8570
375.000000	83.820	166.9531
382.000000	83.779	167.0949
387.000000	83.749	167.1995
395.000000	83.703	167.3696
400.000000	83.674	167.4799
406.000000	83.640	167.6103
412.000000	83.606	167.7405
418.000000	83.571	167.8732
425.000000	83.530	168.0367
431.000000	83.495	168.1833
437.000000	83.460	168.3388
444.000000	83.420	168.5381
450.000000	83.388	168.7250
455.000000	83.363	168.8863
462.000000	83.334	169.0953
468.000000	83.312	169.2582
475.000000	83.284	169.4175
482.000000	83.252	169.5535
487.000000	83.227	169.6582
494.000000	83.190	169.8237
500.000000	83.158	169.9821
508.000000	83.117	170.2022
515.000000	83.084	170.4051
522.000000	83.051	170.6102
530.000000	83.015	170.8507
538.000000	82.979	171.0947
545.000000	82.949	171.3057
552.000000	82.920	171.5141
560.000000	82.885	171.7456
570.000000	82.840	172.0296
580.000000	82.791	172.3301
590.000000	82.742	172.6580
600.000000	82.692	173.0107
608.000000	82.653	173.3099
615.000000	82.620	173.5799
622.000000	82.588	173.8598
630.000000	82.554	174.1909
640.000000	82.514	174.6135
650.000000	82.476	175.0390
660.000000	82.440	175.4721
670.000000	82.406	175.9157
680.000000	82.373	176.3694
690.000000	82.341	176.8307
700.000000	82.310	177.3004
710.000000	82.281	177.7777
720.000000	82.253	178.2656
730.000000	82.227	178.7711
740.000000	82.203	179.2902
750.000000	82.181	179.8191
762.000000	82.159	-179.5352
775.000000	82.139	-178.8247
788.000000	82.124	-178.1024
800.000000	82.113	-177.4266
812.000000	82.103	-176.7487
825.000000	82.095	-176.0092
838.000000	82.091	-175.2646
850.000000	82.092	-174.5776
862.000000	82.098	-173.8926
875.000000	82.110	-173.1533
885.000000	82.122	-172.5869
900.000000	82.147	-171.7480
912.000000	82.172	-171.0916
925.000000	82.204	-170.3944
938.000000	82.242	-169.7134
950.000000	82.281	-169.0994
962.000000	82.324	-168.5052
975.000000	82.375	-167.8881
988.000000	82.428	-167.2974
1000.000000	82.479	-166.7754
1015.000000	82.543	-166.1609
1030.000000	82.609	-165.5935
1044.000000	82.672	-165.1051
1060.000000	82.746	-164.5953
1075.000000	82.818	-164.1652
1090.000000	82.889	-163.7818
1106.000000	82.965	-163.4199
1120.000000	83.030	-163.1435
1138.000000	83.112	-162.8341
1150.000000	83.164	-162.6498
1172.000000	83.257	-162.3588
1180.000000	83.289	-162.2670
1206.000000	83.388	-162.0214
1220.000000	83.438	-161.9154
1241.000000	83.509	-161.7837
1250.000000	83.539	-161.7340
1265.000000	83.589	-161.6570
1280.000000	83.638	-161.5858
1315.000000	83.743	-161.4350
1320.000000	83.757	-161.4146
1340.000000	83.810	-161.3324
1360.000000	83.859	-161.2430
1380.000000	83.904	-161.1457
1400.000000	83.947	-161.0388
1430.000000	84.004	-160.8576
1450.000000	84.041	-160.7239
1475.000000	84.084	-160.5410
1500.000000	84.126	-160.3374
1525.000000	84.168	-160.1158
1550.000000	84.210	-159.8758
1575.000000	84.253	-159.6200
1600.000000	84.299	-159.3486
1625.000000	84.350	-159.0667
1650.000000	84.405	-158.7720
1675.000000	84.461	-158.4679
1700.000000	84.520	-158.1601
1725.000000	84.580	-157.8510
1750.000000	84.643	-157.5377
1775.000000	84.708	-157.2212
1800.000000	84.775	-156.9013
1825.000000	84.845	-156.5857
1850.000000	84.918	-156.2795
1875.000000	84.992	-155.9800
1900.000000	85.069	-155.6828
1925.000000	85.147	-155.3907
1950.000000	85.227	-155.1023
1975.000000	85.311	-154.8202
2000.000000	85.398	-154.5502
2030.000000	85.504	-154.2467
2060.000000	85.615	-153.9687
2090.000000	85.728	-153.7167
2120.000000	85.845	-153.4927
2140.000000	85.924	-153.3611
2180.000000	86.085	-153.1349
2200.000000	86.166	-153.0406
2240.000000	86.333	-152.8999
2270.000000	86.460	-152.8325
2300.000000	86.588	-152.7990
2330.000000	86.717	-152.8021
2360.000000	86.846	-152.8422
2400.000000	87.019	-152.9481
2430.000000	87.149	-153.0663
2470.000000	87.322	-153.2760
2500.000000	87.450	-153.4718
2540.000000	87.618	-153.7845
2580.000000	87.786	-154.1580
2620.000000	87.955	-154.5994
2650.000000	88.082	-154.9847
2690.000000	88.254	-155.5844
2720.000000	88.382	-156.1052
2760.000000	88.549	-156.9038
2800.000000	88.708	-157.8301
2850.000000	88.892	-159.1622
2900.000000	89.051	-160.6694
2950.000000	89.179	-162.3102
3000.000000	89.274	-164.0360
3040.000000	89.325	-165.4466
3070.000000	89.349	-166.5090
3110.000000	89.364	-167.9151
3150.000000	89.359	-169.2983
3200.000000	89.331	-170.9708
3250.000000	89.278	-172.5580
3300.000000	89.203	-174.0474
3350.000000	89.110	-175.4289
3400.000000	89.002	-176.6985
3450.000000	88.881	-177.8520
3500.000000	88.750	-178.8888
3550.000000	88.610	-179.8070
3600.000000	88.465	179.3921
3650.000000	88.316	178.7087
3700.000000	88.165	178.1398
3750.000000	88.015	177.6751
3820.000000	87.808	177.1858
3870.000000	87.665	176.9382
3950.000000	87.445	176.6966
4000.000000	87.313	176.6314
4060.000000	87.161	176.6229
4120.000000	87.016	176.6790
4180.000000	86.879	176.7924
4250.000000	86.729	176.9828
4310.000000	86.610	177.1857
4370.000000	86.497	177.4162
4440.000000	86.375	177.7166
4500.000000	86.277	177.9973
4550.000000	86.200	178.2464
4620.000000	86.102	178.6152
4680.000000	86.026	178.9386
4750.000000	85.947	179.3019
4820.000000	85.874	179.6357
4870.000000	85.823	179.8551
4940.000000	85.752	-179.8569
5000.000000	85.689	-179.6194
5080.000000	85.600	-179.2924
5150.000000	85.518	-178.9799
5220.000000	85.434	-178.6304
5300.000000	85.338	-178.1734
5380.000000	85.246	-177.6357
5450.000000	85.171	-177.0965
5520.000000	85.104	-176.4997
5600.000000	85.041	-175.7592
5700.000000	84.987	-174.7833
5800.000000	84.962	-173.8024
5900.000000	84.966	-172.8825
6000.000000	84.993	-172.0995
6080.000000	85.024	-171.6042
6150.000000	85.049	-171.2742
6220.000000	85.068	-171.0208
6300.000000	85.074	-170.7753
6400.000000	85.059	-170.4413
6500.000000	85.026	-169.9637
6600.000000	84.992	-169.2720
6700.000000	84.977	-168.3566
6800.000000	84.996	-167.2505
6900.000000	85.060	-166.0078
7000.000000	85.181	-164.6943
7100.000000	85.369	-163.3975
7200.000000	85.631	-162.2426
7300.000000	85.966	-161.3907
7400.000000	86.361	-160.9299
7500.000000	86.826	-160.8495
7620.000000	87.496	-161.7148
7750.000000	88.293	-164.4407
7880.000000	89.050	-169.4810
8000.000000	89.546	-176.3419
8120.000000	89.640	175.2652
8250.000000	89.128	166.8719
8380.000000	88.493	162.7176
8500.000000	88.405	157.5065
8620.000000	87.723	149.2818
8750.000000	86.317	143.8217
8850.000000	85.200	142.2710
9000.000000	83.713	142.4293
9120.000000	82.697	143.8140
9250.000000	81.749	146.0784
9380.000000	80.942	148.8576
9500.000000	80.310	151.7119
9620.000000	79.774	154.7319
9750.000000	79.295	158.0892
9880.000000	78.913	161.4458
10000.000000	78.635	164.4706
10150.000000	78.379	168.0501
10300.000000	78.214	171.3002
10440.000000	78.128	173.9338
10600.000000	78.089	176.3560
10750.000000	78.079	177.9963
10900.000000	78.061	179.0370
11060.000000	77.994	179.5874
11200.000000	77.870	179.7763
11380.000000	77.602	179.9843
11500.000000	77.361	-179.6739
11720.000000	76.835	-178.1799
11800.000000	76.638	-177.2896
12060.000000	76.077	-173.1769
12200.000000	75.870	-170.4054
12410.000000	75.717	-166.0211
12500.000000	75.707	-164.1852
12650.000000	75.749	-161.3041
12800.000000	75.843	-158.6406
13150.000000	76.286	-152.8935
13200.000000	76.380	-152.1909
13400.000000	76.817	-149.8465
13600.000000	77.331	-148.2616
13800.000000	77.913	-147.4738
14000.000000	78.562	-147.6207
14300.000000	79.627	-150.1120
14500.000000	80.351	-153.7300
14750.000000	81.128	-160.9938
15000.000000	81.508	-171.0978
15250.000000	81.261	177.4851
15500.000000	80.353	167.0208
15750.000000	78.965	159.3467
16000.000000	77.417	155.4051
16250.000000	76.152	155.3168
16500.000000	75.380	157.1634
16750.000000	74.894	159.1527
17000.000000	74.539	161.2880
17250.000000	74.311	163.6910
17500.000000	74.236	166.1169
17750.000000	74.297	167.9852
18000.000000	74.366	168.7791
18250.000000	74.275	169.6830
18500.000000	74.532	174.2386
18750.000000	75.926	175.9257
19000.000000	76.770	166.4043
19250.000000	76.179	155.5461
19500.000000	74.938	149.4238
19750.000000	73.794	146.3922
20000.000000	73.101	144.4047
