* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Oct 24, 2025 9:52:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pure (Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.354	172.4037
20.600000	89.346	172.1740
20.900000	89.335	171.9025
21.200001	89.322	171.6403
21.400000	89.312	171.4757
21.799999	89.289	171.1726
22.000000	89.275	171.0283
22.400000	89.241	170.7044
22.700001	89.213	170.4713
23.000000	89.185	170.2457
23.299999	89.158	169.9889
23.600000	89.130	169.7439
24.000000	89.093	169.4361
24.299999	89.064	169.1710
24.700001	89.024	168.8232
25.000000	88.994	168.5705
25.400000	88.959	168.2000
25.799999	88.927	167.8510
26.200001	88.898	167.5108
26.500000	88.877	167.2561
26.900000	88.850	166.9258
27.200001	88.830	166.6873
27.600000	88.806	166.3857
28.000000	88.784	166.1065
28.500000	88.756	165.8019
29.000000	88.727	165.5181
29.500000	88.694	165.2553
30.000000	88.660	165.0112
30.400000	88.633	164.8325
30.700001	88.612	164.7112
31.100000	88.583	164.5577
31.500000	88.552	164.3977
32.000000	88.512	164.2039
32.500000	88.472	163.9857
33.000000	88.433	163.7820
33.500000	88.393	163.5647
34.000000	88.352	163.3524
34.500000	88.311	163.1254
35.000000	88.273	162.9064
35.500000	88.237	162.6919
36.000000	88.205	162.4875
36.500000	88.174	162.2850
37.000000	88.141	162.0874
37.500000	88.108	161.9147
38.200001	88.062	161.7220
38.700001	88.030	161.6046
39.500000	87.980	161.4058
40.000000	87.949	161.2881
40.599998	87.910	161.1615
41.200001	87.867	161.0352
41.799999	87.820	160.8767
42.500000	87.769	160.6832
43.099998	87.733	160.5616
43.700001	87.700	160.4672
44.400002	87.659	160.3466
45.000000	87.622	160.2250
45.500000	87.591	160.1250
46.200001	87.549	159.9998
46.799999	87.514	159.9020
47.500000	87.473	159.8015
48.200001	87.434	159.7208
48.700001	87.406	159.6657
49.400002	87.366	159.5782
50.000000	87.332	159.5001
50.799999	87.289	159.4000
51.500000	87.252	159.3207
52.200001	87.214	159.2523
53.000000	87.170	159.1852
53.799999	87.125	159.1104
54.500000	87.088	159.0436
55.200001	87.054	158.9872
56.000000	87.017	158.9294
57.000000	86.970	158.8575
58.000000	86.921	158.8027
59.000000	86.859	158.8035
60.000000	86.800	158.8126
60.799999	86.769	158.7540
61.500000	86.748	158.6851
62.200001	86.724	158.6389
63.000000	86.691	158.6098
64.000000	86.647	158.5882
65.000000	86.603	158.5779
66.000000	86.562	158.5582
67.000000	86.519	158.5364
68.000000	86.477	158.5209
69.000000	86.438	158.5148
70.000000	86.399	158.5069
71.000000	86.360	158.4933
72.000000	86.322	158.4937
73.000000	86.285	158.5142
74.000000	86.248	158.5331
75.000000	86.212	158.5425
76.199997	86.168	158.5522
77.500000	86.124	158.5665
78.800003	86.082	158.5815
80.000000	86.040	158.6001
81.199997	86.000	158.6297
82.500000	85.957	158.6549
83.800003	85.917	158.6846
85.000000	85.880	158.7341
86.199997	85.843	158.7730
87.500000	85.805	158.8024
88.500000	85.775	158.8255
90.000000	85.731	158.8761
91.199997	85.698	158.9151
92.500000	85.662	158.9500
93.800003	85.628	159.0014
95.000000	85.597	159.0523
96.199997	85.565	159.0979
97.500000	85.531	159.1525
98.800003	85.498	159.2032
100.000000	85.468	159.2458
101.500000	85.430	159.3027
103.000000	85.395	159.3611
104.400002	85.364	159.4188
106.000000	85.328	159.4834
107.500000	85.295	159.5436
109.000000	85.263	159.6021
110.599998	85.228	159.6780
112.000000	85.198	159.7450
113.800003	85.162	159.8221
115.000000	85.139	159.8686
117.199997	85.094	159.9361
118.000000	85.078	159.9706
120.599998	85.027	160.0823
122.000000	85.001	160.1559
124.099998	84.963	160.2640
125.000000	84.946	160.2996
126.500000	84.921	160.3578
128.000000	84.896	160.4239
131.500000	84.838	160.5618
132.000000	84.830	160.5850
134.000000	84.800	160.6927
136.000000	84.770	160.7824
138.000000	84.741	160.8429
140.000000	84.712	160.9249
143.000000	84.667	161.0620
145.000000	84.639	161.1266
147.500000	84.602	161.2075
150.000000	84.565	161.3215
152.500000	84.529	161.4612
155.000000	84.496	161.5992
157.500000	84.461	161.7191
160.000000	84.422	161.8183
162.500000	84.382	161.9194
165.000000	84.339	162.0462
167.500000	84.292	162.1969
170.000000	84.245	162.3981
172.500000	84.203	162.6469
175.000000	84.167	162.9747
177.500000	84.152	163.3706
180.000000	84.169	163.7039
182.500000	84.203	164.0004
185.000000	84.230	164.1244
187.500000	84.237	163.9912
190.000000	84.227	163.7939
192.500000	84.206	163.6516
195.000000	84.175	163.5664
197.500000	84.141	163.5303
200.000000	84.111	163.5225
203.000000	84.077	163.5367
206.000000	84.046	163.5747
209.000000	84.020	163.6209
212.000000	83.997	163.6644
214.000000	83.980	163.7086
218.000000	83.949	163.8013
220.000000	83.935	163.8536
224.000000	83.909	163.9575
227.000000	83.891	164.0218
