* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -9.8 dBFS with no timing reference
* Dated: Jun 13, 2025 6:30:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero (5?, "AET07")
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.909	-140.4570
20.600000	85.977	-140.8990
20.900000	86.050	-141.4099
21.200001	86.121	-141.9180
21.400000	86.168	-142.2455
21.799999	86.262	-142.8627
22.000000	86.307	-143.1572
22.400000	86.395	-143.7749
22.700001	86.457	-144.2335
23.000000	86.516	-144.6985
23.299999	86.573	-145.2116
23.600000	86.627	-145.7259
24.000000	86.696	-146.3994
24.299999	86.746	-146.9354
24.700001	86.809	-147.6371
25.000000	86.854	-148.1544
25.400000	86.912	-148.8840
25.799999	86.970	-149.5982
26.200001	87.030	-150.2987
26.500000	87.077	-150.8141
26.900000	87.139	-151.4811
27.200001	87.186	-151.9722
27.600000	87.247	-152.6270
28.000000	87.307	-153.2861
28.500000	87.379	-154.0893
29.000000	87.450	-154.8642
29.500000	87.517	-155.5953
30.000000	87.577	-156.3057
30.400000	87.621	-156.8744
30.700001	87.651	-157.2995
31.100000	87.690	-157.8637
31.500000	87.729	-158.4276
32.000000	87.774	-159.1080
32.500000	87.814	-159.8063
33.000000	87.850	-160.5038
33.500000	87.885	-161.2271
34.000000	87.923	-161.9378
34.500000	87.962	-162.6449
35.000000	87.999	-163.3393
35.500000	88.033	-164.0430
36.000000	88.066	-164.7480
36.500000	88.100	-165.4421
37.000000	88.132	-166.1145
37.500000	88.159	-166.7662
38.200001	88.189	-167.6850
38.700001	88.209	-168.3475
39.500000	88.245	-169.3584
40.000000	88.271	-169.9292
40.599998	88.302	-170.5979
41.200001	88.326	-171.3020
41.799999	88.339	-172.0444
42.500000	88.348	-172.8868
43.099998	88.360	-173.5802
43.700001	88.373	-174.2917
44.400002	88.385	-175.1084
45.000000	88.391	-175.7428
45.500000	88.396	-176.2532
46.200001	88.407	-177.0380
46.799999	88.418	-177.7717
47.500000	88.427	-178.5850
48.200001	88.430	-179.3219
48.700001	88.431	-179.8445
49.400002	88.431	179.4053
50.000000	88.430	178.7772
50.799999	88.425	177.9817
51.500000	88.419	177.2945
52.200001	88.413	176.5941
53.000000	88.404	175.8035
53.799999	88.396	175.0220
54.500000	88.386	174.3367
55.200001	88.369	173.6872
56.000000	88.348	172.9554
57.000000	88.334	171.9917
58.000000	88.319	171.1801
59.000000	88.292	169.9355
60.000000	88.270	168.4080
60.799999	88.248	167.9381
61.500000	88.226	167.8093
62.200001	88.206	167.4312
63.000000	88.181	166.7576
64.000000	88.145	165.9516
65.000000	88.109	165.1278
66.000000	88.072	164.3293
67.000000	88.032	163.5542
68.000000	87.992	162.7827
69.000000	87.954	162.0151
70.000000	87.911	161.2726
71.000000	87.866	160.5586
72.000000	87.821	159.8156
73.000000	87.774	159.0746
74.000000	87.728	158.3614
75.000000	87.684	157.6621
76.199997	87.623	156.8701
77.500000	87.553	156.0339
78.800003	87.487	155.1856
80.000000	87.422	154.4131
81.199997	87.355	153.6412
82.500000	87.284	152.8251
83.800003	87.209	152.0559
85.000000	87.138	151.3207
86.199997	87.068	150.6175
87.500000	86.991	149.9025
88.500000	86.929	149.3545
90.000000	86.834	148.5454
91.199997	86.758	147.8849
92.500000	86.674	147.1785
93.800003	86.585	146.4948
95.000000	86.502	145.9027
96.199997	86.424	145.3193
97.500000	86.340	144.6552
98.800003	86.255	144.0204
100.000000	86.174	143.4547
101.500000	86.071	142.7688
103.000000	85.967	142.1094
104.400002	85.867	141.5021
106.000000	85.749	140.8177
107.500000	85.639	140.1936
109.000000	85.530	139.5695
110.599998	85.408	138.9633
112.000000	85.300	138.4458
113.800003	85.166	137.7544
115.000000	85.073	137.2936
117.199997	84.902	136.5284
118.000000	84.845	136.2750
120.599998	84.643	135.4554
122.000000	84.524	134.9768
124.099998	84.352	134.2717
125.000000	84.281	134.0117
126.500000	84.162	133.6378
128.000000	84.043	133.2603
131.500000	83.744	132.3620
132.000000	83.700	132.2448
134.000000	83.532	131.8396
136.000000	83.371	131.4681
138.000000	83.199	131.0525
140.000000	83.028	130.6414
143.000000	82.761	130.0538
145.000000	82.581	129.7261
147.500000	82.358	129.4017
150.000000	82.133	129.1754
152.500000	81.907	128.9153
155.000000	81.676	128.7392
157.500000	81.455	128.5258
160.000000	81.231	128.4033
162.500000	81.001	128.4176
165.000000	80.771	128.4731
167.500000	80.543	128.5608
170.000000	80.313	128.6825
172.500000	80.082	128.9273
175.000000	79.857	129.3207
177.500000	79.629	129.7365
180.000000	79.408	130.2443
182.500000	79.219	130.7733
185.000000	79.045	131.3502
187.500000	78.867	131.9698
190.000000	78.689	132.5915
192.500000	78.519	133.1046
195.000000	78.353	133.6518
197.500000	78.181	134.3245
200.000000	78.008	135.0538
203.000000	77.813	135.9343
206.000000	77.635	136.9001
209.000000	77.465	138.0070
212.000000	77.304	139.1432
214.000000	77.207	139.8576
218.000000	77.014	140.9628
220.000000	76.922	141.5021
224.000000	76.753	142.8922
227.000000	76.630	144.0179
230.000000	76.515	145.2372
233.000000	76.407	146.4581
236.000000	76.311	147.8028
240.000000	76.241	149.7230
243.000000	76.219	150.8508
247.000000	76.211	152.1206
250.000000	76.211	152.9693
254.000000	76.198	154.1213
258.000000	76.191	155.3551
262.000000	76.191	156.4073
265.000000	76.181	157.1410
269.000000	76.172	158.1089
272.000000	76.178	158.7812
276.000000	76.186	159.6110
280.000000	76.192	160.3722
285.000000	76.192	161.3478
290.000000	76.192	162.3319
295.000000	76.203	163.2246
300.000000	76.212	164.0447
304.000000	76.215	164.6989
307.000000	76.218	165.1394
311.000000	76.224	165.6995
315.000000	76.237	166.2637
320.000000	76.257	166.9341
325.000000	76.275	167.5757
330.000000	76.289	168.1604
335.000000	76.298	168.7466
340.000000	76.304	169.2994
345.000000	76.313	169.8167
350.000000	76.325	170.3345
355.000000	76.334	170.8436
360.000000	76.335	171.3369
365.000000	76.334	171.7874
370.000000	76.341	172.2018
375.000000	76.348	172.6204
382.000000	76.351	173.2106
387.000000	76.351	173.6291
395.000000	76.354	174.3125
400.000000	76.355	174.7438
406.000000	76.356	175.2396
412.000000	76.359	175.7263
418.000000	76.364	176.2020
425.000000	76.370	176.7275
431.000000	76.372	177.1751
437.000000	76.375	177.5993
444.000000	76.378	178.0626
450.000000	76.379	178.4598
455.000000	76.377	178.7947
462.000000	76.371	179.2665
468.000000	76.366	179.6769
475.000000	76.360	-179.8304
482.000000	76.356	-179.3193
487.000000	76.355	-178.9622
494.000000	76.358	-178.4873
500.000000	76.365	-178.0900
508.000000	76.370	-177.5661
515.000000	76.366	-177.1214
522.000000	76.363	-176.6814
530.000000	76.363	-176.1652
538.000000	76.361	-175.6297
545.000000	76.355	-175.1556
552.000000	76.352	-174.6780
560.000000	76.352	-174.1331
570.000000	76.353	-173.4440
580.000000	76.355	-172.7535
590.000000	76.360	-172.0612
600.000000	76.368	-171.3720
608.000000	76.375	-170.8196
615.000000	76.382	-170.3364
622.000000	76.391	-169.8577
630.000000	76.402	-169.3161
640.000000	76.415	-168.6181
650.000000	76.432	-167.9204
660.000000	76.453	-167.2403
670.000000	76.474	-166.5739
