* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -9.8 dBFS with no timing reference
* Dated: Jun 13, 2025 6:27:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero (5?, "AET07")
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.172	-140.3931
20.600000	85.238	-140.8153
20.900000	85.311	-141.2922
21.200001	85.383	-141.7630
21.400000	85.431	-142.0704
21.799999	85.526	-142.6700
22.000000	85.572	-142.9672
22.400000	85.658	-143.6015
22.700001	85.717	-144.0679
23.000000	85.771	-144.5263
23.299999	85.822	-145.0173
23.600000	85.870	-145.5008
24.000000	85.932	-146.1375
24.299999	85.978	-146.6586
24.700001	86.039	-147.3558
25.000000	86.084	-147.8717
25.400000	86.145	-148.5868
25.799999	86.206	-149.2688
26.200001	86.266	-149.9338
26.500000	86.311	-150.4332
26.900000	86.369	-151.1019
27.200001	86.413	-151.6078
27.600000	86.472	-152.2832
28.000000	86.532	-152.9440
28.500000	86.607	-153.7117
29.000000	86.677	-154.4305
29.500000	86.741	-155.1187
30.000000	86.800	-155.8083
30.400000	86.843	-156.3628
30.700001	86.873	-156.7703
31.100000	86.911	-157.3001
31.500000	86.945	-157.8258
32.000000	86.985	-158.4747
32.500000	87.025	-159.1662
33.000000	87.065	-159.8618
33.500000	87.103	-160.5669
34.000000	87.138	-161.2490
34.500000	87.171	-161.9393
35.000000	87.203	-162.6315
35.500000	87.235	-163.3253
36.000000	87.265	-163.9984
36.500000	87.295	-164.6546
37.000000	87.324	-165.3058
37.500000	87.353	-165.9453
38.200001	87.388	-166.8061
38.700001	87.413	-167.3976
39.500000	87.454	-168.3533
40.000000	87.475	-168.9526
40.599998	87.491	-169.6587
41.200001	87.502	-170.3397
41.799999	87.518	-171.0115
42.500000	87.538	-171.7893
43.099998	87.552	-172.4566
43.700001	87.565	-173.1333
44.400002	87.577	-173.8873
45.000000	87.580	-174.4792
45.500000	87.579	-174.9669
46.200001	87.583	-175.7121
46.799999	87.596	-176.3996
