* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.3 dBFS with no timing reference
* Dated: Jun 13, 2025 6:02:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero ("AET07")
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.749	-136.4043
20.600000	83.822	-136.7845
20.900000	83.904	-137.2148
21.200001	83.985	-137.6386
21.400000	84.038	-137.9146
21.799999	84.141	-138.4516
22.000000	84.190	-138.7182
22.400000	84.279	-139.2943
22.700001	84.342	-139.7197
23.000000	84.401	-140.1367
23.299999	84.459	-140.5812
23.600000	84.516	-141.0087
24.000000	84.591	-141.5552
24.299999	84.645	-142.0032
24.700001	84.714	-142.6147
25.000000	84.764	-143.0872
25.400000	84.831	-143.7785
25.799999	84.898	-144.4626
26.200001	84.966	-145.1273
26.500000	85.016	-145.6100
26.900000	85.083	-146.2287
27.200001	85.133	-146.6828
27.600000	85.200	-147.2879
28.000000	85.267	-147.8940
28.500000	85.349	-148.6227
29.000000	85.426	-149.3175
29.500000	85.497	-149.9721
30.000000	85.565	-150.6107
30.400000	85.621	-151.1198
30.700001	85.663	-151.4963
31.100000	85.716	-151.9919
31.500000	85.762	-152.4886
32.000000	85.811	-153.0975
32.500000	85.855	-153.7409
33.000000	85.899	-154.3922
33.500000	85.947	-155.0660
34.000000	85.995	-155.7143
34.500000	86.040	-156.3430
35.000000	86.081	-156.9507
35.500000	86.121	-157.5792
36.000000	86.161	-158.2386
36.500000	86.202	-158.9138
37.000000	86.242	-159.5679
37.500000	86.281	-160.1724
38.200001	86.334	-160.9689
38.700001	86.370	-161.5318
39.500000	86.428	-162.4176
40.000000	86.461	-162.9369
40.599998	86.494	-163.5560
41.200001	86.519	-164.2113
41.799999	86.542	-164.9040
42.500000	86.572	-165.6888
43.099998	86.596	-166.3214
43.700001	86.617	-166.9554
44.400002	86.649	-167.6890
45.000000	86.686	-168.2772
45.500000	86.715	-168.7509
46.200001	86.736	-169.4575
46.799999	86.737	-170.1175
47.500000	86.741	-170.8769
48.200001	86.757	-171.5785
48.700001	86.772	-172.0657
49.400002	86.788	-172.7482
50.000000	86.800	-173.3153
50.799999	86.813	-174.0559
51.500000	86.821	-174.7198
52.200001	86.830	-175.3891
53.000000	86.838	-176.1345
53.799999	86.841	-176.8580
54.500000	86.845	-177.4697
55.200001	86.847	-178.0891
56.000000	86.844	-178.7879
57.000000	86.855	-179.5562
58.000000	86.852	179.6015
59.000000	86.899	178.9516
60.000000	86.978	178.5060
60.799999	86.931	177.6874
61.500000	86.852	176.7880
62.200001	86.814	176.0856
63.000000	86.805	175.4664
64.000000	86.783	174.6436
65.000000	86.765	173.8679
66.000000	86.744	173.1111
67.000000	86.724	172.3510
68.000000	86.703	171.6023
69.000000	86.682	170.8699
70.000000	86.659	170.1517
71.000000	86.628	169.4227
72.000000	86.599	168.7179
73.000000	86.569	168.0394
74.000000	86.537	167.3896
75.000000	86.504	166.7601
76.199997	86.463	165.9530
77.500000	86.415	165.0669
78.800003	86.365	164.2498
80.000000	86.325	163.5300
81.199997	86.286	162.7982
82.500000	86.236	162.0175
83.800003	86.183	161.2354
85.000000	86.130	160.5081
86.199997	86.076	159.8249
87.500000	86.021	159.1122
88.500000	85.976	158.5565
90.000000	85.898	157.7186
91.199997	85.833	157.0826
92.500000	85.763	156.3942
93.800003	85.698	155.6789
95.000000	85.641	155.0652
96.199997	85.583	154.4961
97.500000	85.516	153.8801
98.800003	85.443	153.2408
100.000000	85.372	152.6625
101.500000	85.287	151.9522
103.000000	85.203	151.2498
104.400002	85.123	150.6236
