* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.3 dBFS with no timing reference
* Dated: Jun 13, 2025 6:05:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero ("AET07")
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.991	-136.8587
20.600000	83.061	-137.2435
20.900000	83.138	-137.6840
21.200001	83.212	-138.1157
21.400000	83.261	-138.3912
21.799999	83.356	-138.9069
22.000000	83.401	-139.1538
22.400000	83.484	-139.6843
22.700001	83.541	-140.0840
23.000000	83.597	-140.4938
23.299999	83.653	-140.9533
23.600000	83.708	-141.4136
24.000000	83.781	-142.0119
24.299999	83.835	-142.4878
24.700001	83.901	-143.1029
25.000000	83.948	-143.5510
25.400000	84.010	-144.1866
25.799999	84.072	-144.8143
26.200001	84.137	-145.4459
26.500000	84.186	-145.9226
26.900000	84.252	-146.5486
27.200001	84.302	-147.0076
27.600000	84.367	-147.6053
28.000000	84.433	-148.1869
28.500000	84.515	-148.8820
29.000000	84.591	-149.5658
29.500000	84.661	-150.2304
30.000000	84.726	-150.8744
30.400000	84.778	-151.3744
30.700001	84.816	-151.7404
31.100000	84.865	-152.2264
31.500000	84.908	-152.7230
32.000000	84.954	-153.3300
32.500000	84.996	-153.9391
33.000000	85.040	-154.5172
33.500000	85.087	-155.1195
34.000000	85.132	-155.7475
34.500000	85.171	-156.4100
35.000000	85.204	-157.0510
35.500000	85.235	-157.6519
36.000000	85.269	-158.2177
36.500000	85.309	-158.7909
37.000000	85.353	-159.3984
37.500000	85.398	-160.0230
38.200001	85.452	-160.8654
38.700001	85.482	-161.4142
39.500000	85.524	-162.2535
40.000000	85.553	-162.7905
40.599998	85.589	-163.4552
41.200001	85.621	-164.1008
41.799999	85.648	-164.7165
42.500000	85.676	-165.4177
43.099998	85.697	-166.0140
43.700001	85.713	-166.6132
44.400002	85.735	-167.3316
45.000000	85.764	-167.9866
45.500000	85.791	-168.5423
46.200001	85.816	-169.2630
46.799999	85.822	-169.8064
47.500000	85.825	-170.4195
48.200001	85.837	-171.0584
48.700001	85.849	-171.5123
49.400002	85.864	-172.1362
50.000000	85.872	-172.6900
50.799999	85.879	-173.4635
51.500000	85.887	-174.1095
52.200001	85.895	-174.7267
53.000000	85.896	-175.4399
53.799999	85.897	-176.1434
54.500000	85.906	-176.7278
55.200001	85.907	-177.2738
56.000000	85.901	-177.8923
57.000000	85.911	-178.7324
58.000000	85.894	-179.5349
59.000000	85.932	179.3300
60.000000	86.030	178.1085
60.799999	85.988	177.7460
61.500000	85.902	177.6053
62.200001	85.856	177.2295
63.000000	85.843	176.6075
64.000000	85.820	175.8950
65.000000	85.802	175.1743
66.000000	85.782	174.4580
67.000000	85.760	173.7430
68.000000	85.736	173.0439
69.000000	85.710	172.3883
70.000000	85.683	171.7427
71.000000	85.654	171.0931
72.000000	85.626	170.4394
73.000000	85.594	169.7846
74.000000	85.560	169.1205
75.000000	85.525	168.4765
76.199997	85.489	167.7438
77.500000	85.445	166.9543
78.800003	85.396	166.2754
80.000000	85.352	165.6469
81.199997	85.307	164.9471
82.500000	85.260	164.2238
83.800003	85.206	163.5140
85.000000	85.153	162.8729
86.199997	85.099	162.2429
87.500000	85.039	161.5776
88.500000	84.993	161.0754
90.000000	84.929	160.3470
91.199997	84.872	159.7731
92.500000	84.803	159.1918
93.800003	84.737	158.6022
95.000000	84.679	158.0284
96.199997	84.616	157.4839
97.500000	84.546	156.9176
98.800003	84.476	156.3747
100.000000	84.409	155.8529
101.500000	84.325	155.2360
103.000000	84.241	154.6644
104.400002	84.165	154.1180
106.000000	84.072	153.4942
107.500000	83.978	152.9285
109.000000	83.890	152.4113
110.599998	83.798	151.8870
112.000000	83.713	151.4292
113.800003	83.597	150.8864
115.000000	83.523	150.5434
117.199997	83.382	149.9281
118.000000	83.330	149.6997
120.599998	83.149	148.9958
122.000000	83.056	148.6276
124.099998	82.922	148.0709
125.000000	82.862	147.8259
126.500000	82.759	147.4270
128.000000	82.656	147.0768
131.500000	82.418	146.4295
132.000000	82.384	146.3239
134.000000	82.246	145.8772
136.000000	82.098	145.5612
138.000000	81.937	145.4198
140.000000	81.793	145.2433
143.000000	81.609	144.8542
145.000000	81.471	144.6165
147.500000	81.285	144.4126
150.000000	81.105	144.2997
152.500000	80.933	144.2380
155.000000	80.761	144.1642
157.500000	80.586	144.0434
160.000000	80.412	144.0836
162.500000	80.245	144.2398
165.000000	80.079	144.3717
167.500000	79.911	144.5302
170.000000	79.748	144.7722
172.500000	79.588	145.0578
175.000000	79.422	145.3383
177.500000	79.264	145.6512
180.000000	79.123	145.9905
182.500000	78.975	146.4198
185.000000	78.819	146.9648
187.500000	78.671	147.5850
190.000000	78.533	148.2298
192.500000	78.408	148.8775
195.000000	78.315	149.5143
197.500000	78.236	150.1083
200.000000	78.161	150.6915
203.000000	78.047	151.3857
206.000000	77.926	152.1631
209.000000	77.833	152.9979
212.000000	77.754	153.6808
214.000000	77.700	154.1014
218.000000	77.581	155.1509
220.000000	77.535	155.6695
224.000000	77.468	156.6877
227.000000	77.423	157.3395
230.000000	77.392	157.9859
233.000000	77.359	158.8063
236.000000	77.326	159.5130
240.000000	77.299	160.2189
243.000000	77.271	160.6719
247.000000	77.221	161.4243
250.000000	77.183	162.0824
254.000000	77.145	162.8609
258.000000	77.132	163.4319
262.000000	77.128	164.0834
265.000000	77.122	164.6610
269.000000	77.108	165.3629
272.000000	77.102	165.8400
276.000000	77.098	166.4056
280.000000	77.100	166.8687
285.000000	77.108	167.4099
290.000000	77.114	167.9775
295.000000	77.109	168.5206
300.000000	77.102	168.9443
304.000000	77.097	169.2756
