* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 21, 2025 2:43:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (25?)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.088	165.2079
20.299999	98.089	164.6758
20.600000	98.088	164.1576
20.900000	98.086	163.6515
21.200001	98.082	163.1494
21.400000	98.078	162.8191
21.799999	98.067	162.1772
22.000000	98.061	161.8618
22.400000	98.045	161.2072
22.700001	98.032	160.7306
23.000000	98.018	160.2620
23.299999	98.005	159.7584
23.600000	97.991	159.2604
24.000000	97.973	158.6080
24.299999	97.959	158.0881
24.700001	97.941	157.4065
25.000000	97.929	156.9084
25.400000	97.915	156.2157
25.799999	97.902	155.5421
26.200001	97.892	154.8761
26.500000	97.886	154.3801
26.900000	97.879	153.7346
27.200001	97.875	153.2634
27.600000	97.871	152.6490
28.000000	97.868	152.0465
28.500000	97.865	151.3239
29.000000	97.861	150.6168
29.500000	97.854	149.9369
30.000000	97.845	149.2769
30.400000	97.837	148.7599
30.700001	97.829	148.3804
31.100000	97.819	147.8815
31.500000	97.807	147.3799
32.000000	97.791	146.7683
32.500000	97.775	146.1420
33.000000	97.759	145.5248
33.500000	97.743	144.8895
34.000000	97.727	144.2637
34.500000	97.712	143.6324
35.000000	97.697	143.0163
35.500000	97.683	142.4021
36.000000	97.671	141.7961
36.500000	97.658	141.1989
37.000000	97.644	140.6178
37.500000	97.631	140.0622
38.200001	97.615	139.3114
38.700001	97.604	138.7818
39.500000	97.583	137.9345
40.000000	97.568	137.4182
40.599998	97.550	136.8099
41.200001	97.531	136.2081
41.799999	97.511	135.6042
42.500000	97.485	134.9113
43.099998	97.465	134.3329
43.700001	97.445	133.7474
44.400002	97.421	133.0521
45.000000	97.397	132.4655
45.500000	97.376	131.9936
46.200001	97.347	131.3553
46.799999	97.322	130.8181
47.500000	97.293	130.2017
48.200001	97.263	129.5997
48.700001	97.241	129.1746
49.400002	97.210	128.5814
50.000000	97.182	128.0791
50.799999	97.144	127.4142
51.500000	97.110	126.8355
52.200001	97.074	126.2603
53.000000	97.030	125.6091
53.799999	96.985	124.9651
54.500000	96.942	124.4071
55.200001	96.897	123.8536
56.000000	96.840	123.2396
57.000000	96.765	122.5051
58.000000	96.681	121.8103
59.000000	96.596	121.1968
60.000000	96.518	120.5410
60.799999	96.439	119.9637
61.500000	96.357	119.5164
62.200001	96.275	119.1377
63.000000	96.184	118.7275
64.000000	96.067	118.2210
65.000000	95.948	117.7405
66.000000	95.826	117.2761
67.000000	95.703	116.8234
68.000000	95.579	116.3706
69.000000	95.453	115.9286
70.000000	95.327	115.4882
71.000000	95.202	115.0308
72.000000	95.076	114.5588
73.000000	94.950	114.0868
74.000000	94.825	113.6152
75.000000	94.701	113.1454
76.199997	94.553	112.6051
77.500000	94.393	112.0540
78.800003	94.234	111.5280
80.000000	94.084	111.0641
81.199997	93.934	110.6331
82.500000	93.772	110.1721
83.800003	93.608	109.7148
85.000000	93.457	109.3162
86.199997	93.307	108.9391
87.500000	93.146	108.5484
88.500000	93.023	108.2612
90.000000	92.837	107.8575
91.199997	92.690	107.5480
92.500000	92.530	107.2377
93.800003	92.374	106.9470
95.000000	92.230	106.6791
96.199997	92.087	106.4289
97.500000	91.931	106.1757
98.800003	91.774	105.9501
100.000000	91.631	105.7603
101.500000	91.454	105.5380
103.000000	91.278	105.3363
104.400002	91.117	105.1636
106.000000	90.933	104.9966
107.500000	90.763	104.8672
109.000000	90.594	104.7510
110.599998	90.417	104.6337
112.000000	90.263	104.5285
113.800003	90.065	104.4191
115.000000	89.935	104.3633
117.199997	89.698	104.2887
118.000000	89.612	104.2681
120.599998	89.332	104.2542
122.000000	89.185	104.2669
124.099998	88.964	104.2971
125.000000	88.868	104.3266
126.500000	88.710	104.4190
128.000000	88.559	104.5333
131.500000	88.218	104.8019
132.000000	88.170	104.8487
134.000000	87.977	105.0418
136.000000	87.785	105.1976
138.000000	87.590	105.3455
140.000000	87.404	105.5806
143.000000	87.161	106.0465
145.000000	87.003	106.3209
147.500000	86.793	106.7003
150.000000	86.583	107.0569
152.500000	86.370	107.4642
155.000000	86.168	107.9616
157.500000	85.979	108.4931
160.000000	85.798	109.0576
162.500000	85.626	109.6660
165.000000	85.469	110.2570
167.500000	85.322	110.7966
170.000000	85.179	111.3127
172.500000	85.033	111.8388
175.000000	84.886	112.3700
177.500000	84.745	112.8820
180.000000	84.606	113.4117
182.500000	84.473	113.9508
185.000000	84.342	114.4384
187.500000	84.214	114.9307
190.000000	84.090	115.4598
192.500000	83.970	116.0151
195.000000	83.856	116.5567
197.500000	83.746	117.0998
200.000000	83.637	117.6650
203.000000	83.510	118.3221
206.000000	83.384	118.9648
209.000000	83.268	119.6733
212.000000	83.160	120.3443
214.000000	83.092	120.7621
218.000000	82.962	121.5862
220.000000	82.897	121.9845
224.000000	82.767	122.7685
227.000000	82.677	123.3771
230.000000	82.595	123.9803
233.000000	82.515	124.6083
236.000000	82.443	125.2352
240.000000	82.349	125.9801
243.000000	82.279	126.4921
247.000000	82.187	127.2311
250.000000	82.119	127.8298
254.000000	82.036	128.4988
258.000000	81.959	129.1394
262.000000	81.884	129.8178
265.000000	81.828	130.2835
269.000000	81.758	130.8444
272.000000	81.706	131.2478
276.000000	81.639	131.7889
280.000000	81.578	132.3578
285.000000	81.502	133.0522
290.000000	81.428	133.6865
295.000000	81.358	134.3417
300.000000	81.290	134.9611
304.000000	81.233	135.4264
307.000000	81.191	135.7777
311.000000	81.136	136.2320
315.000000	81.082	136.6756
320.000000	81.021	137.2336
325.000000	80.963	137.7953
330.000000	80.906	138.3245
335.000000	80.847	138.8149
340.000000	80.792	139.3022
345.000000	80.736	139.7947
350.000000	80.679	140.2525
355.000000	80.628	140.7084
360.000000	80.579	141.1649
365.000000	80.531	141.5879
370.000000	80.482	142.0193
375.000000	80.433	142.4258
382.000000	80.363	142.9569
387.000000	80.313	143.3273
395.000000	80.231	143.8792
400.000000	80.181	144.2094
406.000000	80.121	144.5984
412.000000	80.059	144.9897
418.000000	79.992	145.4216
425.000000	79.910	145.9398
431.000000	79.842	146.4016
437.000000	79.776	146.8731
444.000000	79.704	147.4189
450.000000	79.646	147.8950
455.000000	79.600	148.2860
462.000000	79.534	148.8300
468.000000	79.480	149.3026
475.000000	79.423	149.8481
482.000000	79.365	150.3748
487.000000	79.325	150.7476
494.000000	79.269	151.2583
500.000000	79.221	151.7071
508.000000	79.161	152.3129
515.000000	79.110	152.8082
522.000000	79.059	153.3069
530.000000	79.001	153.8948
538.000000	78.945	154.4747
545.000000	78.897	154.9796
552.000000	78.850	155.4933
560.000000	78.796	156.0686
570.000000	78.731	156.7874
580.000000	78.668	157.5128
590.000000	78.608	158.2380
600.000000	78.551	158.9640
608.000000	78.507	159.5381
615.000000	78.469	160.0377
622.000000	78.433	160.5360
630.000000	78.392	161.1047
640.000000	78.342	161.8145
650.000000	78.294	162.5309
660.000000	78.246	163.2481
670.000000	78.198	163.9662
680.000000	78.153	164.6954
690.000000	78.112	165.4460
700.000000	78.074	166.1937
710.000000	78.037	166.9415
720.000000	78.004	167.6958
730.000000	77.975	168.4534
740.000000	77.948	169.2097
750.000000	77.923	169.9688
762.000000	77.894	170.8735
775.000000	77.867	171.8600
788.000000	77.847	172.8588
800.000000	77.832	173.7896
812.000000	77.822	174.7252
825.000000	77.818	175.7368
838.000000	77.821	176.7486
850.000000	77.829	177.6661
862.000000	77.842	178.5717
875.000000	77.862	179.5453
885.000000	77.881	-179.7112
900.000000	77.914	-178.6172
912.000000	77.947	-177.7661
925.000000	77.987	-176.8626
938.000000	78.033	-175.9823
950.000000	78.079	-175.2008
962.000000	78.130	-174.4451
975.000000	78.189	-173.6512
988.000000	78.251	-172.8828
1000.000000	78.311	-172.2001
1015.000000	78.390	-171.3987
1030.000000	78.473	-170.6481
1044.000000	78.550	-169.9893
1060.000000	78.641	-169.2886
1075.000000	78.727	-168.6710
1090.000000	78.812	-168.1028
1106.000000	78.904	-167.5494
1120.000000	78.983	-167.0982
1138.000000	79.083	-166.5665
1150.000000	79.148	-166.2360
1172.000000	79.262	-165.6769
1180.000000	79.302	-165.4874
1206.000000	79.426	-164.9191
1220.000000	79.490	-164.6324
1241.000000	79.579	-164.2262
1250.000000	79.617	-164.0561
1265.000000	79.677	-163.7753
1280.000000	79.735	-163.4983
1315.000000	79.863	-162.8375
1320.000000	79.880	-162.7437
1340.000000	79.949	-162.3685
1360.000000	80.016	-161.9826
1380.000000	80.082	-161.5812
1400.000000	80.147	-161.1694
1430.000000	80.248	-160.5302
1450.000000	80.318	-160.0966
1475.000000	80.410	-159.5429
1500.000000	80.508	-158.9870
1525.000000	80.612	-158.4423
1550.000000	80.725	-157.9143
1575.000000	80.846	-157.4230
1600.000000	80.973	-156.9856
1625.000000	81.105	-156.6055
1650.000000	81.241	-156.2969
1675.000000	81.380	-156.0658
1700.000000	81.517	-155.9136
1725.000000	81.651	-155.8481
1750.000000	81.777	-155.8568
1775.000000	81.895	-155.9213
1800.000000	82.005	-156.0316
1825.000000	82.104	-156.1645
1850.000000	82.193	-156.2982
1875.000000	82.273	-156.4225
1900.000000	82.346	-156.5286
1925.000000	82.415	-156.6098
1950.000000	82.480	-156.6605
1975.000000	82.543	-156.6814
2000.000000	82.605	-156.6836
2030.000000	82.679	-156.6653
2060.000000	82.754	-156.6268
2090.000000	82.830	-156.5771
2120.000000	82.908	-156.5181
2140.000000	82.960	-156.4773
2180.000000	83.067	-156.3942
2200.000000	83.122	-156.3522
2240.000000	83.235	-156.2743
2270.000000	83.322	-156.2263
2300.000000	83.411	-156.1896
2330.000000	83.502	-156.1653
2360.000000	83.594	-156.1528
2400.000000	83.719	-156.1724
2430.000000	83.813	-156.2160
2470.000000	83.938	-156.3191
2500.000000	84.032	-156.4207
2540.000000	84.154	-156.5864
2580.000000	84.274	-156.7784
2620.000000	84.393	-156.9980
2650.000000	84.481	-157.1852
2690.000000	84.599	-157.4620
2720.000000	84.686	-157.6897
2760.000000	84.800	-158.0260
2800.000000	84.912	-158.3997
2850.000000	85.048	-158.9234
2900.000000	85.179	-159.5026
2950.000000	85.303	-160.1413
3000.000000	85.419	-160.8375
3040.000000	85.505	-161.4224
3070.000000	85.566	-161.8794
3110.000000	85.642	-162.5105
3150.000000	85.713	-163.1647
3200.000000	85.790	-164.0130
3250.000000	85.855	-164.8722
3300.000000	85.910	-165.7430
3350.000000	85.955	-166.6199
3400.000000	85.990	-167.4991
3450.000000	86.016	-168.3686
3500.000000	86.031	-169.2262
3550.000000	86.038	-170.0732
3600.000000	86.038	-170.9037
3650.000000	86.029	-171.7193
3700.000000	86.012	-172.5130
3750.000000	85.987	-173.2781
3820.000000	85.940	-174.2879
3870.000000	85.900	-174.9617
3950.000000	85.827	-175.9503
4000.000000	85.778	-176.5068
4060.000000	85.719	-177.1238
4120.000000	85.663	-177.6962
4180.000000	85.607	-178.2503
4250.000000	85.541	-178.8976
4310.000000	85.480	-179.4502
4370.000000	85.414	-179.9849
4440.000000	85.334	179.4315
4500.000000	85.262	178.9638
4550.000000	85.202	178.5951
4620.000000	85.117	178.1219
4680.000000	85.047	177.7352
4750.000000	84.964	177.2865
4820.000000	84.879	176.8484
4870.000000	84.817	176.5505
4940.000000	84.727	176.1548
5000.000000	84.649	175.8344
5080.000000	84.544	175.4438
5150.000000	84.450	175.1403
5220.000000	84.355	174.8750
5300.000000	84.249	174.6148
5380.000000	84.144	174.4055
5450.000000	84.055	174.2626
5520.000000	83.969	174.1560
5600.000000	83.874	174.0666
5700.000000	83.763	174.0074
5800.000000	83.658	174.0182
5900.000000	83.563	174.1060
6000.000000	83.480	174.2764
6080.000000	83.426	174.4691
6150.000000	83.390	174.6767
6220.000000	83.365	174.9059
6300.000000	83.351	175.1770
6400.000000	83.354	175.5235
6500.000000	83.384	175.8687
6600.000000	83.445	176.1480
6700.000000	83.526	176.3307
6800.000000	83.629	176.4528
6900.000000	83.758	176.4767
7000.000000	83.911	176.3710
7100.000000	84.087	176.1060
7200.000000	84.284	175.6579
7300.000000	84.499	175.0064
7400.000000	84.735	174.1486
7500.000000	84.999	173.0287
7620.000000	85.361	171.1633
7750.000000	85.792	168.1316
7880.000000	86.197	163.5923
8000.000000	86.436	157.9402
8120.000000	86.433	151.2114
8250.000000	86.073	143.5445
8380.000000	85.336	136.6094
8500.000000	84.404	131.6667
8620.000000	83.341	128.4176
8750.000000	82.152	126.6753
8850.000000	81.258	126.3782
9000.000000	79.984	127.2846
9120.000000	79.042	128.9031
9250.000000	78.098	131.3155
9380.000000	77.233	134.2609
9500.000000	76.501	137.3539
9620.000000	75.829	140.7253
9750.000000	75.163	144.6184
9880.000000	74.554	148.7134
10000.000000	74.040	152.6320
10150.000000	73.459	157.6709
10300.000000	72.939	162.8417
10440.000000	72.506	167.7713
10600.000000	72.071	173.4901
10750.000000	71.722	178.8899
10900.000000	71.429	-175.7016
11060.000000	71.175	-169.9552
11200.000000	71.001	-164.9634
11380.000000	70.841	-158.6171
