* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 21, 2025 2:40:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (25?)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.018	164.3829
20.299999	98.017	163.8373
20.600000	98.014	163.3062
20.900000	98.010	162.7893
21.200001	98.004	162.2784
21.400000	97.999	161.9429
21.799999	97.988	161.2896
22.000000	97.982	160.9670
22.400000	97.967	160.2941
22.700001	97.955	159.8012
23.000000	97.943	159.3157
23.299999	97.930	158.7967
23.600000	97.916	158.2864
24.000000	97.898	157.6237
24.299999	97.884	157.1005
24.700001	97.867	156.4191
25.000000	97.855	155.9233
25.400000	97.842	155.2348
25.799999	97.831	154.5649
26.200001	97.822	153.9001
26.500000	97.816	153.4023
26.900000	97.809	152.7503
27.200001	97.804	152.2721
27.600000	97.798	151.6478
28.000000	97.792	151.0381
28.500000	97.785	150.3123
29.000000	97.777	149.6061
29.500000	97.768	148.9258
30.000000	97.758	148.2600
30.400000	97.749	147.7334
30.700001	97.742	147.3436
31.100000	97.731	146.8270
31.500000	97.719	146.3044
32.000000	97.702	145.6671
32.500000	97.683	145.0221
33.000000	97.665	144.3948
33.500000	97.649	143.7519
34.000000	97.632	143.1144
34.500000	97.614	142.4702
35.000000	97.596	141.8494
35.500000	97.580	141.2415
36.000000	97.568	140.6422
36.500000	97.556	140.0357
37.000000	97.543	139.4251
37.500000	97.527	138.8333
38.200001	97.503	138.0514
38.700001	97.487	137.5161
39.500000	97.464	136.6506
40.000000	97.447	136.1077
40.599998	97.422	135.4707
41.200001	97.396	134.8627
41.799999	97.373	134.2634
42.500000	97.345	133.5559
43.099998	97.319	132.9544
43.700001	97.292	132.3660
44.400002	97.262	131.6930
45.000000	97.238	131.1107
45.500000	97.216	130.6198
46.200001	97.182	129.9425
46.799999	97.152	129.3809
47.500000	97.116	128.7375
48.200001	97.080	128.0969
48.700001	97.053	127.6424
49.400002	97.013	127.0134
50.000000	96.976	126.4834
50.799999	96.925	125.7846
51.500000	96.876	125.1863
52.200001	96.824	124.6046
53.000000	96.762	123.9532
53.799999	96.694	123.3076
54.500000	96.629	122.7610
55.200001	96.562	122.2366
56.000000	96.482	121.6448
57.000000	96.373	120.9386
58.000000	96.264	120.2719
59.000000	96.145	119.5834
60.000000	96.010	119.0440
60.799999	95.917	118.7139
61.500000	95.845	118.3776
62.200001	95.770	117.9840
63.000000	95.676	117.5248
64.000000	95.552	116.9652
65.000000	95.422	116.4135
66.000000	95.290	115.8713
67.000000	95.157	115.3225
68.000000	95.022	114.7675
69.000000	94.887	114.2190
70.000000	94.752	113.6884
71.000000	94.620	113.1751
72.000000	94.490	112.6756
73.000000	94.360	112.1876
74.000000	94.230	111.7121
75.000000	94.097	111.2557
76.199997	93.937	110.7394
77.500000	93.765	110.2006
78.800003	93.592	109.6776
80.000000	93.433	109.2190
81.199997	93.276	108.7774
82.500000	93.106	108.3210
83.800003	92.936	107.8979
85.000000	92.780	107.5309
86.199997	92.623	107.1770
87.500000	92.454	106.8067
88.500000	92.323	106.5370
90.000000	92.130	106.1546
91.199997	91.979	105.8594
92.500000	91.816	105.5522
93.800003	91.654	105.2640
95.000000	91.504	105.0147
96.199997	91.355	104.7867
97.500000	91.195	104.5547
98.800003	91.036	104.3289
100.000000	90.888	104.1297
101.500000	90.703	103.8987
103.000000	90.518	103.6960
104.400002	90.348	103.5325
106.000000	90.155	103.3557
107.500000	89.975	103.2077
109.000000	89.795	103.0874
110.599998	89.604	102.9899
112.000000	89.440	102.9246
113.800003	89.230	102.8600
115.000000	89.091	102.8234
117.199997	88.835	102.7953
118.000000	88.744	102.8025
120.599998	88.452	102.8719
122.000000	88.299	102.9203
124.099998	88.069	103.0034
125.000000	87.971	103.0503
126.500000	87.808	103.1536
128.000000	87.650	103.2776
131.500000	87.285	103.6069
132.000000	87.233	103.6652
134.000000	87.027	103.9183
136.000000	86.827	104.1792
138.000000	86.633	104.4201
140.000000	86.439	104.6790
143.000000	86.158	105.2076
145.000000	85.978	105.5852
147.500000	85.754	106.0746
150.000000	85.530	106.5898
152.500000	85.308	107.1360
155.000000	85.091	107.7259
157.500000	84.883	108.3977
160.000000	84.688	109.1603
162.500000	84.500	109.9724
165.000000	84.318	110.8320
167.500000	84.156	111.6870
170.000000	84.033	112.4871
172.500000	83.941	113.1784
175.000000	83.843	113.7620
177.500000	83.698	114.1941
180.000000	83.524	114.7139
