* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -6.6 dBFS with no timing reference
* Dated: Mar 21, 2025 2:02:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.323	171.1488
20.299999	96.318	170.6718
20.600000	96.313	170.2094
20.900000	96.306	169.7564
21.200001	96.296	169.3039
21.400000	96.287	169.0060
21.799999	96.265	168.4308
22.000000	96.252	168.1516
22.400000	96.222	167.5764
22.700001	96.198	167.1651
23.000000	96.174	166.7643
23.299999	96.149	166.3295
23.600000	96.123	165.8997
24.000000	96.088	165.3372
24.299999	96.061	164.8844
24.700001	96.025	164.2924
25.000000	95.998	163.8619
25.400000	95.964	163.2589
25.799999	95.931	162.6739
26.200001	95.900	162.0951
26.500000	95.878	161.6639
26.900000	95.849	161.1049
27.200001	95.828	160.6985
27.600000	95.801	160.1705
28.000000	95.774	159.6541
28.500000	95.741	159.0393
29.000000	95.705	158.4429
29.500000	95.666	157.8802
30.000000	95.625	157.3448
30.400000	95.591	156.9300
30.700001	95.565	156.6256
31.100000	95.531	156.2202
31.500000	95.496	155.8004
32.000000	95.450	155.2742
32.500000	95.401	154.7223
33.000000	95.350	154.1832
33.500000	95.298	153.6405
34.000000	95.246	153.1199
34.500000	95.198	152.5950
35.000000	95.151	152.0766
35.500000	95.105	151.5533
36.000000	95.058	151.0425
36.500000	95.012	150.5519
37.000000	94.966	150.0831
37.500000	94.921	149.6335
38.200001	94.858	149.0159
38.700001	94.811	148.5876
39.500000	94.733	147.9319
40.000000	94.684	147.5341
40.599998	94.625	147.0465
41.200001	94.564	146.5560
41.799999	94.500	146.0721
42.500000	94.427	145.5095
43.099998	94.365	145.0194
43.700001	94.299	144.5333
44.400002	94.223	144.0099
45.000000	94.162	143.5893
45.500000	94.115	143.2339
46.200001	94.049	142.7209
46.799999	93.990	142.2879
47.500000	93.919	141.8067
48.200001	93.848	141.3434
48.700001	93.797	141.0183
49.400002	93.724	140.5692
50.000000	93.662	140.1896
50.799999	93.577	139.6829
51.500000	93.502	139.2484
52.200001	93.428	138.8278
53.000000	93.345	138.3548
53.799999	93.261	137.8931
54.500000	93.189	137.5075
55.200001	93.119	137.1273
56.000000	93.037	136.6970
57.000000	92.931	136.1879
58.000000	92.819	135.7003
59.000000	92.705	135.3282
60.000000	92.616	134.9593
60.799999	92.546	134.4903
61.500000	92.467	134.0501
62.200001	92.381	133.6881
63.000000	92.291	133.3281
64.000000	92.187	132.8584
65.000000	92.082	132.3966
66.000000	91.979	131.9741
67.000000	91.877	131.5879
68.000000	91.776	131.2199
69.000000	91.673	130.8732
70.000000	91.570	130.5309
71.000000	91.464	130.1790
72.000000	91.356	129.8293
73.000000	91.248	129.4976
74.000000	91.142	129.1841
75.000000	91.039	128.8735
76.199997	90.916	128.5133
77.500000	90.782	128.1550
78.800003	90.646	127.8362
80.000000	90.523	127.5586
81.199997	90.400	127.2712
82.500000	90.267	126.9547
83.800003	90.134	126.6281
85.000000	90.010	126.3432
86.199997	89.886	126.1056
87.500000	89.757	125.8950
88.500000	89.660	125.7325
90.000000	89.515	125.4905
91.199997	89.398	125.3082
92.500000	89.272	125.1449
93.800003	89.151	124.9928
95.000000	89.038	124.8484
96.199997	88.923	124.7262
97.500000	88.796	124.6048
98.800003	88.666	124.4942
100.000000	88.546	124.4068
101.500000	88.400	124.2999
103.000000	88.257	124.1963
104.400002	88.125	124.1146
106.000000	87.974	124.0612
107.500000	87.836	124.0608
109.000000	87.701	124.0447
110.599998	87.558	124.0078
112.000000	87.433	123.9752
113.800003	87.276	123.9693
115.000000	87.171	123.9958
117.199997	86.977	124.1195
118.000000	86.907	124.1811
120.599998	86.681	124.3348
122.000000	86.561	124.4142
124.099998	86.388	124.5431
125.000000	86.315	124.6120
126.500000	86.194	124.7643
128.000000	86.073	124.9565
131.500000	85.794	125.4475
132.000000	85.755	125.5282
134.000000	85.610	125.8510
136.000000	85.473	126.1291
138.000000	85.324	126.3962
140.000000	85.165	126.8094
143.000000	84.967	127.5030
145.000000	84.854	127.8404
147.500000	84.714	128.2567
150.000000	84.580	128.7519
152.500000	84.447	129.2307
155.000000	84.310	129.7154
157.500000	84.177	130.2014
160.000000	84.046	130.6479
162.500000	83.915	131.1171
165.000000	83.792	131.6394
167.500000	83.670	132.1879
170.000000	83.547	132.7409
172.500000	83.426	133.2850
175.000000	83.314	133.8958
177.500000	83.209	134.5768
180.000000	83.098	135.2510
182.500000	82.976	135.9409
185.000000	82.863	136.6965
187.500000	82.778	137.5957
190.000000	82.737	138.4874
192.500000	82.722	139.1442
195.000000	82.710	139.5940
197.500000	82.680	139.9844
200.000000	82.637	140.4326
203.000000	82.592	140.9565
206.000000	82.556	141.3682
209.000000	82.484	141.6332
212.000000	82.376	142.0168
214.000000	82.318	142.3934
218.000000	82.247	143.3025
220.000000	82.215	143.7538
224.000000	82.142	144.5033
227.000000	82.091	144.9973
230.000000	82.048	145.5286
233.000000	82.012	146.0252
236.000000	81.977	146.4908
240.000000	81.937	147.0959
243.000000	81.909	147.5296
247.000000	81.870	148.0841
250.000000	81.838	148.5162
254.000000	81.798	149.0624
258.000000	81.767	149.5590
262.000000	81.739	150.0688
265.000000	81.716	150.4226
269.000000	81.679	150.8936
272.000000	81.653	151.2457
276.000000	81.627	151.6671
280.000000	81.608	152.0835
285.000000	81.572	152.6299
290.000000	81.538	153.0876
295.000000	81.506	153.5454
300.000000	81.474	153.9637
304.000000	81.450	154.2703
307.000000	81.430	154.5133
311.000000	81.404	154.8476
315.000000	81.379	155.1777
320.000000	81.350	155.5794
325.000000	81.323	155.9621
330.000000	81.297	156.3396
335.000000	81.269	156.7276
340.000000	81.239	157.0540
345.000000	81.215	157.3711
350.000000	81.193	157.7040
355.000000	81.167	158.0479
360.000000	81.140	158.3441
365.000000	81.113	158.6543
370.000000	81.087	158.9825
375.000000	81.064	159.2812
382.000000	81.033	159.6562
387.000000	81.013	159.9138
395.000000	80.978	160.2795
400.000000	80.956	160.4700
406.000000	80.921	160.6901
412.000000	80.881	160.9470
418.000000	80.838	161.2323
425.000000	80.785	161.5583
431.000000	80.742	161.8667
437.000000	80.703	162.1983
444.000000	80.658	162.5814
450.000000	80.619	162.8898
455.000000	80.588	163.1495
462.000000	80.546	163.5386
468.000000	80.511	163.8826
475.000000	80.471	164.2635
482.000000	80.433	164.6398
487.000000	80.406	164.9168
494.000000	80.369	165.3047
500.000000	80.338	165.6292
508.000000	80.297	166.0468
515.000000	80.261	166.4192
522.000000	80.225	166.8020
530.000000	80.185	167.2363
538.000000	80.147	167.6641
545.000000	80.114	168.0419
552.000000	80.082	168.4320
560.000000	80.044	168.8781
570.000000	79.996	169.4183
580.000000	79.951	169.9702
590.000000	79.909	170.5433
600.000000	79.867	171.1136
608.000000	79.835	171.5684
