* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -6.6 dBFS with no timing reference
* Dated: Mar 21, 2025 1:58:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.940	169.7479
20.299999	95.933	169.2814
20.600000	95.924	168.8328
20.900000	95.914	168.4003
21.200001	95.902	167.9738
21.400000	95.892	167.6940
21.799999	95.871	167.1492
22.000000	95.858	166.8799
22.400000	95.830	166.3138
22.700001	95.806	165.9032
23.000000	95.781	165.5028
23.299999	95.754	165.0708
23.600000	95.728	164.6471
24.000000	95.692	164.0942
24.299999	95.665	163.6465
24.700001	95.628	163.0566
25.000000	95.601	162.6256
25.400000	95.565	162.0237
25.799999	95.531	161.4447
26.200001	95.499	160.8751
26.500000	95.476	160.4494
26.900000	95.447	159.8922
27.200001	95.426	159.4834
27.600000	95.398	158.9506
28.000000	95.370	158.4330
28.500000	95.334	157.8246
29.000000	95.299	157.2371
29.500000	95.261	156.6758
30.000000	95.221	156.1312
30.400000	95.186	155.7053
30.700001	95.160	155.3939
31.100000	95.124	154.9847
31.500000	95.086	154.5701
32.000000	95.038	154.0625
32.500000	94.987	153.5376
33.000000	94.936	153.0256
33.500000	94.885	152.5029
34.000000	94.834	151.9924
34.500000	94.785	151.4699
35.000000	94.736	150.9528
35.500000	94.687	150.4348
36.000000	94.639	149.9310
36.500000	94.592	149.4388
37.000000	94.545	148.9531
37.500000	94.498	148.4788
38.200001	94.428	147.8448
38.700001	94.378	147.4234
39.500000	94.301	146.7709
40.000000	94.254	146.3600
40.599998	94.195	145.8573
41.200001	94.133	145.3612
41.799999	94.068	144.8756
42.500000	93.993	144.3268
43.099998	93.932	143.8674
43.700001	93.872	143.3918
44.400002	93.798	142.8145
45.000000	93.730	142.3353
45.500000	93.672	141.9700
46.200001	93.595	141.5015
46.799999	93.534	141.1033
47.500000	93.463	140.6225
48.200001	93.388	140.1478
48.700001	93.334	139.8230
49.400002	93.258	139.3790
50.000000	93.194	139.0000
50.799999	93.105	138.4973
51.500000	93.027	138.0757
52.200001	92.950	137.6611
53.000000	92.862	137.1777
53.799999	92.772	136.7039
54.500000	92.696	136.3033
55.200001	92.622	135.8989
56.000000	92.537	135.4376
57.000000	92.431	134.8979
58.000000	92.333	134.4204
59.000000	92.251	133.8754
60.000000	92.144	133.1998
60.799999	92.032	132.7969
61.500000	91.943	132.5836
62.200001	91.867	132.3669
63.000000	91.781	132.0573
64.000000	91.669	131.6568
65.000000	91.557	131.2476
66.000000	91.443	130.8267
67.000000	91.330	130.4213
68.000000	91.219	130.0410
69.000000	91.113	129.6689
70.000000	91.006	129.2986
71.000000	90.897	128.9594
72.000000	90.789	128.6382
73.000000	90.681	128.3210
74.000000	90.571	128.0120
75.000000	90.461	127.7155
76.199997	90.331	127.3733
77.500000	90.191	127.0090
78.800003	90.053	126.6711
80.000000	89.925	126.3699
81.199997	89.796	126.0920
82.500000	89.656	125.8123
83.800003	89.517	125.5575
85.000000	89.391	125.3252
86.199997	89.266	125.0907
87.500000	89.129	124.8503
88.500000	89.023	124.6925
90.000000	88.866	124.4885
91.199997	88.743	124.3351
92.500000	88.609	124.1710
93.800003	88.475	124.0191
95.000000	88.351	123.8988
96.199997	88.228	123.8069
97.500000	88.099	123.7130
98.800003	87.970	123.6180
100.000000	87.851	123.5449
101.500000	87.703	123.4648
103.000000	87.554	123.3915
104.400002	87.415	123.3586
106.000000	87.261	123.3515
107.500000	87.119	123.3478
109.000000	86.979	123.3620
110.599998	86.832	123.3886
112.000000	86.703	123.4354
113.800003	86.536	123.5239
115.000000	86.425	123.6079
117.199997	86.224	123.7589
118.000000	86.152	123.8121
120.599998	85.921	124.0121
122.000000	85.803	124.1485
124.099998	85.629	124.3870
125.000000	85.555	124.5048
126.500000	85.431	124.7080
128.000000	85.306	124.9246
131.500000	85.036	125.4387
132.000000	84.999	125.5112
134.000000	84.848	125.8264
136.000000	84.692	126.2206
138.000000	84.544	126.6352
140.000000	84.402	126.9437
143.000000	84.184	127.4748
145.000000	84.047	127.9203
147.500000	83.877	128.4917
150.000000	83.711	129.0127
152.500000	83.545	129.5646
155.000000	83.371	130.1969
157.500000	83.190	131.0336
160.000000	83.040	132.0681
162.500000	82.947	133.1641
165.000000	82.895	133.9890
167.500000	82.834	134.5504
170.000000	82.755	135.0743
172.500000	82.664	135.6526
175.000000	82.570	136.1814
177.500000	82.484	136.6274
180.000000	82.399	137.1074
182.500000	82.315	137.8219
185.000000	82.225	138.5523
187.500000	82.136	139.2354
190.000000	82.065	139.8343
192.500000	82.005	140.4025
195.000000	81.943	141.0413
197.500000	81.883	141.6925
200.000000	81.819	142.2970
203.000000	81.745	143.0303
206.000000	81.685	143.7307
209.000000	81.635	144.3504
212.000000	81.586	144.9746
214.000000	81.558	145.4171
218.000000	81.495	146.3475
220.000000	81.464	146.8315
224.000000	81.421	147.6488
227.000000	81.398	148.1993
230.000000	81.376	148.7647
233.000000	81.352	149.2994
236.000000	81.329	149.8173
240.000000	81.301	150.4892
