* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Apr 27, 2025 10:08:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?) S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.318	175.1111
20.600000	94.315	174.6759
20.900000	94.308	174.1799
21.200001	94.299	173.6895
21.400000	94.293	173.3718
21.799999	94.279	172.7656
22.000000	94.271	172.4731
22.400000	94.250	171.8611
22.700001	94.231	171.4169
23.000000	94.210	170.9804
23.299999	94.187	170.5098
23.600000	94.163	170.0476
24.000000	94.131	169.4486
24.299999	94.107	168.9674
24.700001	94.074	168.3376
25.000000	94.050	167.8769
25.400000	94.019	167.2299
25.799999	93.990	166.6032
26.200001	93.963	165.9868
26.500000	93.944	165.5296
26.900000	93.920	164.9379
27.200001	93.902	164.5087
27.600000	93.879	163.9535
28.000000	93.857	163.4148
28.500000	93.829	162.7746
29.000000	93.799	162.1523
29.500000	93.766	161.5599
30.000000	93.730	160.9951
30.400000	93.699	160.5595
30.700001	93.675	160.2424
31.100000	93.641	159.8243
31.500000	93.606	159.4005
32.000000	93.559	158.8859
32.500000	93.511	158.3580
33.000000	93.463	157.8469
33.500000	93.415	157.3172
34.000000	93.369	156.7911
34.500000	93.322	156.2574
35.000000	93.275	155.7411
35.500000	93.229	155.2323
36.000000	93.184	154.7310
36.500000	93.141	154.2308
37.000000	93.100	153.7368
37.500000	93.057	153.2645
38.200001	92.994	152.6363
38.700001	92.948	152.2060
39.500000	92.875	151.5392
40.000000	92.826	151.1458
40.599998	92.766	150.6847
41.200001	92.707	150.2227
41.799999	92.648	149.7457
42.500000	92.577	149.1906
43.099998	92.514	148.7305
43.700001	92.451	148.2636
44.400002	92.382	147.7056
45.000000	92.323	147.2415
45.500000	92.274	146.8853
46.200001	92.205	146.4286
46.799999	92.146	146.0441
47.500000	92.078	145.5813
48.200001	92.008	145.1203
48.700001	91.956	144.7997
49.400002	91.884	144.3587
50.000000	91.821	143.9871
50.799999	91.739	143.4974
51.500000	91.667	143.0876
52.200001	91.595	142.7035
53.000000	91.510	142.2721
53.799999	91.425	141.8278
54.500000	91.353	141.4476
55.200001	91.283	141.0731
56.000000	91.199	140.6566
57.000000	91.088	140.1986
58.000000	90.980	139.7603
59.000000	90.877	139.5115
60.000000	90.780	139.3372
60.799999	90.708	138.9000
61.500000	90.646	138.4316
62.200001	90.582	138.0765
63.000000	90.507	137.7630
64.000000	90.410	137.3526
65.000000	90.313	136.9585
66.000000	90.214	136.5619
67.000000	90.114	136.1736
68.000000	90.015	135.8009
69.000000	89.913	135.4419
70.000000	89.812	135.1125
71.000000	89.713	134.8061
72.000000	89.615	134.5093
73.000000	89.517	134.2119
74.000000	89.419	133.9233
75.000000	89.321	133.6496
76.199997	89.202	133.3396
77.500000	89.075	133.0470
78.800003	88.948	132.7569
80.000000	88.828	132.4913
81.199997	88.713	132.2495
82.500000	88.592	132.0133
83.800003	88.473	131.7766
85.000000	88.363	131.5648
86.199997	88.253	131.3745
87.500000	88.133	131.1752
88.500000	88.042	131.0279
90.000000	87.905	130.8329
91.199997	87.797	130.7053
92.500000	87.682	130.5754
93.800003	87.565	130.4567
95.000000	87.459	130.3410
96.199997	87.354	130.2213
97.500000	87.243	130.1201
98.800003	87.133	130.0419
100.000000	87.032	129.9722
101.500000	86.908	129.8911
103.000000	86.782	129.8194
104.400002	86.665	129.7620
106.000000	86.534	129.7114
107.500000	86.411	129.6727
109.000000	86.291	129.6598
110.599998	86.164	129.6843
112.000000	86.053	129.6963
113.800003	85.911	129.7197
115.000000	85.817	129.7638
117.199997	85.650	129.8683
118.000000	85.590	129.9094
120.599998	85.396	130.0441
122.000000	85.295	130.1111
124.099998	85.147	130.2374
125.000000	85.083	130.3109
126.500000	84.978	130.4535
128.000000	84.876	130.6014
131.500000	84.640	130.9641
132.000000	84.607	131.0234
134.000000	84.478	131.2752
136.000000	84.355	131.5359
138.000000	84.229	131.7921
140.000000	84.095	132.0635
143.000000	83.912	132.4891
145.000000	83.803	132.7252
147.500000	83.669	133.1471
150.000000	83.540	133.5819
152.500000	83.404	133.9765
155.000000	83.284	134.3765
157.500000	83.161	134.7804
160.000000	83.038	135.2579
162.500000	82.926	135.7309
165.000000	82.817	136.1921
167.500000	82.712	136.6665
170.000000	82.612	137.1426
172.500000	82.514	137.6381
175.000000	82.427	138.1296
177.500000	82.353	138.6209
180.000000	82.287	139.1102
182.500000	82.202	139.5513
185.000000	82.111	139.9786
187.500000	82.027	140.4513
190.000000	81.951	140.9321
192.500000	81.882	141.4180
195.000000	81.814	141.8815
197.500000	81.744	142.3113
200.000000	81.680	142.7013
203.000000	81.614	143.2940
206.000000	81.552	143.8935
209.000000	81.500	144.4082
212.000000	81.446	144.8868
214.000000	81.409	145.1836
218.000000	81.339	145.7767
220.000000	81.303	146.0813
224.000000	81.235	146.6734
227.000000	81.188	147.1341
230.000000	81.143	147.6048
233.000000	81.101	148.0126
236.000000	81.062	148.3838
240.000000	81.012	148.9052
243.000000	80.976	149.2999
247.000000	80.927	149.7967
250.000000	80.888	150.1642
254.000000	80.839	150.6436
258.000000	80.793	151.1181
262.000000	80.751	151.5815
265.000000	80.722	151.9350
269.000000	80.686	152.3803
272.000000	80.661	152.6957
276.000000	80.626	153.1006
280.000000	80.592	153.5155
285.000000	80.552	154.0340
290.000000	80.513	154.5023
295.000000	80.475	154.9706
300.000000	80.437	155.4482
304.000000	80.407	155.8189
307.000000	80.385	156.0781
311.000000	80.359	156.4044
315.000000	80.334	156.7203
320.000000	80.304	157.1016
325.000000	80.273	157.4651
330.000000	80.238	157.8304
335.000000	80.204	158.1976
340.000000	80.170	158.5650
345.000000	80.137	158.9218
350.000000	80.105	159.2560
355.000000	80.076	159.5914
360.000000	80.046	159.9508
365.000000	80.016	160.2944
370.000000	79.987	160.6227
375.000000	79.959	160.9433
382.000000	79.919	161.3849
387.000000	79.892	161.7052
395.000000	79.849	162.2003
400.000000	79.820	162.4974
406.000000	79.786	162.8640
412.000000	79.754	163.2340
418.000000	79.724	163.6136
425.000000	79.690	164.0381
431.000000	79.664	164.3967
437.000000	79.638	164.7471
444.000000	79.609	165.1510
450.000000	79.583	165.4961
455.000000	79.561	165.7755
462.000000	79.534	166.1572
468.000000	79.510	166.4859
475.000000	79.483	166.8557
482.000000	79.456	167.2158
487.000000	79.437	167.4737
494.000000	79.411	167.8194
500.000000	79.387	168.1062
508.000000	79.353	168.4956
515.000000	79.324	168.8453
522.000000	79.295	169.1976
530.000000	79.262	169.6014
538.000000	79.230	170.0110
545.000000	79.202	170.3761
552.000000	79.173	170.7390
560.000000	79.140	171.1486
570.000000	79.101	171.6615
580.000000	79.063	172.1860
590.000000	79.025	172.7123
600.000000	78.989	173.2215
608.000000	78.960	173.6301
615.000000	78.935	173.9910
622.000000	78.909	174.3526
630.000000	78.878	174.7685
