* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Apr 27, 2025 10:14:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?) S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.805	173.7681
20.600000	93.799	173.3407
20.900000	93.790	172.8512
21.200001	93.779	172.3669
21.400000	93.772	172.0543
21.799999	93.756	171.4619
22.000000	93.746	171.1779
22.400000	93.722	170.5832
22.700001	93.699	170.1496
23.000000	93.675	169.7201
23.299999	93.649	169.2538
23.600000	93.622	168.7955
24.000000	93.587	168.2054
24.299999	93.560	167.7354
24.700001	93.525	167.1254
25.000000	93.498	166.6804
25.400000	93.465	166.0520
25.799999	93.433	165.4404
26.200001	93.403	164.8381
26.500000	93.381	164.3921
26.900000	93.353	163.8161
27.200001	93.332	163.3979
27.600000	93.306	162.8547
28.000000	93.280	162.3266
28.500000	93.248	161.7039
29.000000	93.214	161.1086
29.500000	93.177	160.5463
30.000000	93.139	160.0036
30.400000	93.107	159.5782
30.700001	93.081	159.2669
31.100000	93.045	158.8583
31.500000	93.007	158.4471
32.000000	92.956	157.9472
32.500000	92.905	157.4257
33.000000	92.854	156.9143
33.500000	92.804	156.3871
34.000000	92.753	155.8723
34.500000	92.703	155.3564
35.000000	92.655	154.8591
35.500000	92.608	154.3693
36.000000	92.561	153.8887
36.500000	92.513	153.4106
37.000000	92.466	152.9388
37.500000	92.420	152.4919
38.200001	92.354	151.9171
38.700001	92.304	151.5369
39.500000	92.224	150.9290
40.000000	92.175	150.5368
40.599998	92.116	150.0535
41.200001	92.054	149.5851
41.799999	91.990	149.1388
42.500000	91.917	148.6306
43.099998	91.856	148.1906
43.700001	91.793	147.7522
44.400002	91.719	147.2811
45.000000	91.658	146.8973
45.500000	91.607	146.5608
46.200001	91.535	146.0577
46.799999	91.472	145.6380
47.500000	91.400	145.1975
48.200001	91.328	144.7838
48.700001	91.275	144.4871
49.400002	91.201	144.0741
50.000000	91.139	143.7328
50.799999	91.056	143.2855
51.500000	90.983	142.9030
52.200001	90.910	142.5345
53.000000	90.826	142.1252
53.799999	90.742	141.7230
54.500000	90.668	141.3869
55.200001	90.594	141.0588
56.000000	90.511	140.6636
57.000000	90.407	140.1882
58.000000	90.304	139.7864
59.000000	90.184	139.1982
60.000000	90.062	138.5939
60.799999	89.989	138.3861
61.500000	89.933	138.2708
62.200001	89.868	138.0771
63.000000	89.785	137.8074
64.000000	89.684	137.4872
65.000000	89.584	137.1395
66.000000	89.485	136.7925
67.000000	89.385	136.4628
68.000000	89.283	136.1587
69.000000	89.180	135.8782
70.000000	89.079	135.6077
71.000000	88.980	135.3413
72.000000	88.881	135.0816
73.000000	88.783	134.8347
74.000000	88.687	134.6052
75.000000	88.590	134.3938
76.199997	88.472	134.1457
77.500000	88.348	133.8938
78.800003	88.223	133.6674
80.000000	88.105	133.4605
81.199997	87.991	133.2681
82.500000	87.869	133.0696
83.800003	87.748	132.8825
85.000000	87.638	132.7207
86.199997	87.530	132.5829
87.500000	87.411	132.4580
88.500000	87.320	132.3617
90.000000	87.186	132.2203
91.199997	87.080	132.1239
92.500000	86.967	132.0377
93.800003	86.854	131.9766
95.000000	86.752	131.9228
96.199997	86.651	131.8743
97.500000	86.544	131.8435
98.800003	86.436	131.8298
100.000000	86.335	131.8149
101.500000	86.212	131.8080
103.000000	86.090	131.8201
104.400002	85.980	131.8316
106.000000	85.855	131.8468
107.500000	85.741	131.8860
109.000000	85.630	131.9596
110.599998	85.510	132.0199
112.000000	85.404	132.0732
113.800003	85.273	132.1748
115.000000	85.187	132.2558
117.199997	85.031	132.4281
118.000000	84.976	132.4979
120.599998	84.803	132.7510
122.000000	84.712	132.8851
124.099998	84.575	133.1136
125.000000	84.517	133.2110
126.500000	84.421	133.3728
128.000000	84.328	133.5462
131.500000	84.117	133.9762
132.000000	84.088	134.0411
134.000000	83.972	134.2940
136.000000	83.861	134.5424
138.000000	83.760	134.8072
140.000000	83.657	135.0462
143.000000	83.488	135.5211
145.000000	83.380	135.8796
147.500000	83.256	136.3109
150.000000	83.143	136.7036
152.500000	83.029	137.0643
155.000000	82.909	137.4408
157.500000	82.792	137.9106
160.000000	82.688	138.4123
162.500000	82.587	138.8426
165.000000	82.493	139.2867
167.500000	82.403	139.7926
170.000000	82.322	140.3513
172.500000	82.245	140.8277
175.000000	82.169	141.2962
177.500000	82.098	141.7728
180.000000	82.032	142.2176
182.500000	81.962	142.6716
185.000000	81.899	143.3412
187.500000	81.855	143.9714
190.000000	81.830	144.3804
192.500000	81.801	144.6616
195.000000	81.758	144.9392
197.500000	81.709	145.2131
200.000000	81.665	145.5116
203.000000	81.615	145.8628
206.000000	81.556	146.1896
209.000000	81.497	146.5411
212.000000	81.441	146.9424
214.000000	81.406	147.2406
218.000000	81.334	147.7199
220.000000	81.302	147.9258
224.000000	81.249	148.4610
227.000000	81.204	148.8284
230.000000	81.157	149.1848
233.000000	81.120	149.5405
236.000000	81.085	149.8869
240.000000	81.041	150.3111
243.000000	81.008	150.5943
247.000000	80.966	150.9780
250.000000	80.935	151.2628
254.000000	80.894	151.6288
258.000000	80.848	151.9819
262.000000	80.801	152.3345
265.000000	80.770	152.6091
269.000000	80.737	152.9586
272.000000	80.713	153.2162
276.000000	80.678	153.5415
280.000000	80.638	153.8447
285.000000	80.590	154.2309
290.000000	80.547	154.6037
295.000000	80.505	154.9615
300.000000	80.463	155.3189
304.000000	80.430	155.6194
307.000000	80.406	155.8267
311.000000	80.375	156.0853
315.000000	80.345	156.3502
320.000000	80.309	156.6823
325.000000	80.271	156.9982
330.000000	80.233	157.2950
335.000000	80.198	157.5894
340.000000	80.164	157.8813
345.000000	80.128	158.1661
350.000000	80.091	158.4503
355.000000	80.054	158.7315
360.000000	80.017	158.9981
365.000000	79.980	159.2703
370.000000	79.945	159.5447
375.000000	79.909	159.8196
382.000000	79.859	160.2080
387.000000	79.824	160.4769
395.000000	79.769	160.9034
400.000000	79.736	161.1677
406.000000	79.697	161.4952
412.000000	79.659	161.8138
418.000000	79.622	162.1300
425.000000	79.579	162.5028
431.000000	79.542	162.8192
437.000000	79.508	163.1256
444.000000	79.469	163.4772
450.000000	79.436	163.7786
455.000000	79.407	164.0283
462.000000	79.367	164.3716
468.000000	79.332	164.6722
475.000000	79.290	165.0270
482.000000	79.250	165.3785
487.000000	79.221	165.6304
494.000000	79.181	165.9895
500.000000	79.149	166.2966
508.000000	79.108	166.7041
515.000000	79.072	167.0674
522.000000	79.037	167.4304
530.000000	78.998	167.8506
538.000000	78.959	168.2691
545.000000	78.925	168.6365
552.000000	78.892	168.9989
560.000000	78.855	169.4108
570.000000	78.808	169.9354
580.000000	78.763	170.4459
590.000000	78.718	170.9588
600.000000	78.673	171.4652
608.000000	78.636	171.8691
615.000000	78.602	172.2277
622.000000	78.565	172.6038
630.000000	78.522	173.0622
640.000000	78.469	173.6948
650.000000	78.423	174.3803
660.000000	78.386	175.0907
670.000000	78.356	175.7957
680.000000	78.332	176.4810
690.000000	78.312	177.1486
700.000000	78.297	177.8014
710.000000	78.283	178.4479
720.000000	78.268	179.0961
730.000000	78.255	179.7463
740.000000	78.245	-179.6008
750.000000	78.239	-178.9468
762.000000	78.234	-178.1646
775.000000	78.231	-177.3199
788.000000	78.232	-176.4704
800.000000	78.236	-175.6885
812.000000	78.245	-174.9057
825.000000	78.259	-174.0603
838.000000	78.278	-173.2203
850.000000	78.300	-172.4453
862.000000	78.326	-171.6805
875.000000	78.360	-170.8623
885.000000	78.389	-170.2370
900.000000	78.439	-169.3142
912.000000	78.483	-168.5958
925.000000	78.534	-167.8373
938.000000	78.591	-167.0996
950.000000	78.646	-166.4380
962.000000	78.706	-165.7969
975.000000	78.774	-165.1247
988.000000	78.845	-164.4850
1000.000000	78.913	-163.9246
1015.000000	79.002	-163.2617
1030.000000	79.092	-162.6388
1044.000000	79.178	-162.0919
1060.000000	79.279	-161.5116
1075.000000	79.374	-161.0198
1090.000000	79.469	-160.5715
1106.000000	79.571	-160.1379
1120.000000	79.659	-159.7903
1138.000000	79.770	-159.3903
1150.000000	79.842	-159.1503
1172.000000	79.970	-158.7526
1180.000000	80.015	-158.6203
1206.000000	80.157	-158.2345
1220.000000	80.230	-158.0509
1241.000000	80.336	-157.7952
1250.000000	80.380	-157.6888
1265.000000	80.450	-157.5161
1280.000000	80.518	-157.3506
1315.000000	80.668	-156.9812
1320.000000	80.688	-156.9285
1340.000000	80.768	-156.7109
1360.000000	80.847	-156.4873
1380.000000	80.924	-156.2612
1400.000000	81.000	-156.0246
1430.000000	81.114	-155.6461
1450.000000	81.193	-155.3816
1475.000000	81.295	-155.0515
1500.000000	81.400	-154.7219
1525.000000	81.512	-154.4056
1550.000000	81.630	-154.1168
1575.000000	81.753	-153.8618
1600.000000	81.880	-153.6525
1625.000000	82.010	-153.5045
1650.000000	82.140	-153.4172
1675.000000	82.268	-153.3940
1700.000000	82.392	-153.4349
1725.000000	82.510	-153.5304
1750.000000	82.622	-153.6668
1775.000000	82.725	-153.8335
1800.000000	82.820	-154.0103
1825.000000	82.908	-154.1881
1850.000000	82.989	-154.3582
1875.000000	83.066	-154.5137
1900.000000	83.139	-154.6515
1925.000000	83.209	-154.7713
1950.000000	83.277	-154.8725
1975.000000	83.344	-154.9552
2000.000000	83.412	-155.0205
2030.000000	83.494	-155.0806
2060.000000	83.579	-155.1359
2090.000000	83.665	-155.1919
2120.000000	83.753	-155.2526
2140.000000	83.813	-155.2977
2180.000000	83.933	-155.4010
2200.000000	83.994	-155.4565
2240.000000	84.117	-155.5844
2270.000000	84.211	-155.6982
2300.000000	84.306	-155.8267
2330.000000	84.402	-155.9719
2360.000000	84.498	-156.1397
2400.000000	84.626	-156.4006
2430.000000	84.722	-156.6195
2470.000000	84.848	-156.9434
2500.000000	84.942	-157.2136
2540.000000	85.066	-157.6125
2580.000000	85.187	-158.0535
2620.000000	85.305	-158.5320
2650.000000	85.390	-158.9115
2690.000000	85.502	-159.4474
2720.000000	85.584	-159.8743
2760.000000	85.689	-160.4753
2800.000000	85.790	-161.1111
2850.000000	85.908	-161.9462
2900.000000	86.018	-162.8239
2950.000000	86.119	-163.7401
3000.000000	86.209	-164.6929
3040.000000	86.274	-165.4775
3070.000000	86.319	-166.0767
3110.000000	86.372	-166.8875
3150.000000	86.418	-167.7119
3200.000000	86.466	-168.7535
3250.000000	86.502	-169.7987
3300.000000	86.528	-170.8409
3350.000000	86.544	-171.8748
3400.000000	86.549	-172.8947
3450.000000	86.544	-173.8926
3500.000000	86.530	-174.8687
3550.000000	86.508	-175.8187
3600.000000	86.477	-176.7371
3650.000000	86.439	-177.6236
3700.000000	86.394	-178.4758
3750.000000	86.344	-179.2965
3820.000000	86.266	179.6134
3870.000000	86.205	178.8742
3950.000000	86.098	177.7576
4000.000000	86.026	177.1048
4060.000000	85.936	176.3640
4120.000000	85.840	175.6709
4180.000000	85.740	175.0289
4250.000000	85.618	174.3495
4310.000000	85.510	173.8398
4370.000000	85.401	173.4040
4440.000000	85.277	172.9823
4500.000000	85.176	172.6727
4550.000000	85.096	172.4309
4620.000000	84.988	172.0993
4680.000000	84.897	171.8182
4750.000000	84.789	171.5029
4820.000000	84.679	171.2166
4870.000000	84.601	171.0359
4940.000000	84.491	170.8130
5000.000000	84.397	170.6450
5080.000000	84.272	170.4582
5150.000000	84.164	170.3321
5220.000000	84.057	170.2438
5300.000000	83.937	170.1884
5380.000000	83.821	170.1827
5450.000000	83.724	170.2166
5520.000000	83.630	170.2831
5600.000000	83.528	170.3966
5700.000000	83.410	170.5854
5800.000000	83.301	170.8273
