* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 27, 2025 11:20:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, 9k, Final E)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.066	171.8128
20.299999	94.061	171.3429
20.600000	94.054	170.8941
20.900000	94.047	170.4634
21.200001	94.036	170.0399
21.400000	94.028	169.7624
21.799999	94.010	169.2236
22.000000	93.999	168.9578
22.400000	93.973	168.3988
22.700001	93.950	167.9927
23.000000	93.926	167.5958
23.299999	93.901	167.1671
23.600000	93.874	166.7484
24.000000	93.838	166.2079
24.299999	93.811	165.7746
24.700001	93.776	165.2068
25.000000	93.752	164.7895
25.400000	93.721	164.1950
25.799999	93.691	163.6093
26.200001	93.661	163.0251
26.500000	93.640	162.5896
26.900000	93.612	162.0270
27.200001	93.592	161.6203
27.600000	93.566	161.0947
28.000000	93.541	160.5838
28.500000	93.510	159.9809
29.000000	93.478	159.4004
29.500000	93.445	158.8501
30.000000	93.409	158.3142
30.400000	93.379	157.8897
30.700001	93.355	157.5771
31.100000	93.320	157.1685
31.500000	93.283	156.7623
32.000000	93.235	156.2780
32.500000	93.188	155.7807
33.000000	93.142	155.2857
33.500000	93.095	154.7640
34.000000	93.047	154.2478
34.500000	92.999	153.7274
35.000000	92.953	153.2254
35.500000	92.909	152.7247
36.000000	92.867	152.2249
36.500000	92.824	151.7234
37.000000	92.780	151.2335
37.500000	92.734	150.7757
38.200001	92.672	150.1776
38.700001	92.630	149.7575
39.500000	92.558	149.0793
40.000000	92.508	148.6775
40.599998	92.449	148.2170
41.200001	92.391	147.7583
41.799999	92.330	147.2943
42.500000	92.256	146.7873
43.099998	92.200	146.3722
43.700001	92.150	145.9103
44.400002	92.085	145.3097
45.000000	92.020	144.8133
45.500000	91.965	144.4416
46.200001	91.894	143.9566
46.799999	91.837	143.5345
47.500000	91.767	143.0358
48.200001	91.695	142.5582
48.700001	91.644	142.2327
49.400002	91.574	141.7870
50.000000	91.514	141.4103
50.799999	91.433	140.9112
51.500000	91.362	140.4858
52.200001	91.291	140.0743
53.000000	91.212	139.6121
53.799999	91.133	139.1473
54.500000	91.061	138.7473
55.200001	90.988	138.3685
56.000000	90.906	137.9586
57.000000	90.806	137.4355
58.000000	90.697	136.8755
59.000000	90.575	136.4235
60.000000	90.475	136.0992
60.799999	90.412	135.7224
61.500000	90.347	135.2996
62.200001	90.271	134.9023
63.000000	90.184	134.5132
64.000000	90.080	134.0534
65.000000	89.978	133.6143
66.000000	89.878	133.1896
67.000000	89.776	132.7819
68.000000	89.675	132.4015
69.000000	89.575	132.0298
70.000000	89.472	131.6641
71.000000	89.367	131.3202
72.000000	89.264	130.9943
73.000000	89.163	130.6700
74.000000	89.061	130.3450
75.000000	88.959	130.0249
76.199997	88.836	129.6463
77.500000	88.701	129.2625
78.800003	88.568	128.9066
80.000000	88.447	128.5892
81.199997	88.328	128.2822
82.500000	88.199	127.9640
83.800003	88.069	127.6770
85.000000	87.950	127.4356
86.199997	87.831	127.2053
87.500000	87.702	126.9398
88.500000	87.600	126.7357
90.000000	87.447	126.4712
91.199997	87.329	126.2906
92.500000	87.206	126.0969
93.800003	87.084	125.9001
95.000000	86.968	125.7362
96.199997	86.851	125.5900
97.500000	86.723	125.4602
98.800003	86.597	125.3459
100.000000	86.482	125.2408
101.500000	86.338	125.1318
103.000000	86.197	125.0483
104.400002	86.065	124.9722
106.000000	85.913	124.9026
107.500000	85.771	124.8701
