* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 27, 2025 11:16:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, 9k, Final E
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.548	169.6033
20.299999	93.541	169.1508
20.600000	93.532	168.7151
20.900000	93.521	168.2955
21.200001	93.508	167.8816
21.400000	93.498	167.6097
21.799999	93.476	167.0792
22.000000	93.463	166.8159
22.400000	93.433	166.2595
22.700001	93.408	165.8546
23.000000	93.381	165.4597
23.299999	93.352	165.0344
23.600000	93.323	164.6195
24.000000	93.284	164.0827
24.299999	93.256	163.6499
24.700001	93.218	163.0809
25.000000	93.189	162.6642
25.400000	93.153	162.0779
25.799999	93.118	161.5113
26.200001	93.085	160.9542
26.500000	93.062	160.5398
26.900000	93.033	160.0001
27.200001	93.012	159.6044
27.600000	92.984	159.0857
28.000000	92.956	158.5769
28.500000	92.921	157.9767
29.000000	92.883	157.4028
29.500000	92.845	156.8635
30.000000	92.805	156.3406
30.400000	92.772	155.9250
30.700001	92.746	155.6165
31.100000	92.710	155.2083
31.500000	92.671	154.7970
32.000000	92.620	154.3018
32.500000	92.569	153.7943
33.000000	92.517	153.2958
33.500000	92.465	152.7819
34.000000	92.412	152.2863
34.500000	92.361	151.7922
35.000000	92.313	151.3074
35.500000	92.267	150.8057
36.000000	92.221	150.2949
36.500000	92.171	149.7905
37.000000	92.118	149.3143
37.500000	92.066	148.8786
38.200001	91.996	148.3080
38.700001	91.948	147.9092
39.500000	91.869	147.2750
40.000000	91.818	146.8882
40.599998	91.756	146.4206
41.200001	91.690	145.9526
41.799999	91.620	145.5085
42.500000	91.540	145.0528
43.099998	91.482	144.6731
43.700001	91.430	144.2267
44.400002	91.361	143.6320
45.000000	91.291	143.1400
45.500000	91.231	142.7723
46.200001	91.152	142.2943
46.799999	91.088	141.8840
47.500000	91.012	141.4088
48.200001	90.937	140.9544
48.700001	90.884	140.6365
49.400002	90.811	140.1910
50.000000	90.748	139.8178
50.799999	90.662	139.3401
51.500000	90.587	138.9407
52.200001	90.512	138.5544
53.000000	90.427	138.1191
53.799999	90.340	137.6741
54.500000	90.260	137.2875
55.200001	90.180	136.9162
56.000000	90.092	136.4730
57.000000	89.973	135.8875
58.000000	89.854	135.3609
59.000000	89.738	134.7956
60.000000	89.603	134.3406
60.799999	89.510	134.1411
61.500000	89.446	133.9367
62.200001	89.382	133.6622
