* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 5:25:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, GateWide
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.253	172.3871
20.299999	94.249	171.9295
20.600000	94.244	171.4899
20.900000	94.237	171.0641
21.200001	94.227	170.6414
21.400000	94.219	170.3630
21.799999	94.201	169.8220
22.000000	94.189	169.5561
22.400000	94.162	169.0013
22.700001	94.139	168.6019
23.000000	94.115	168.2130
23.299999	94.091	167.7913
23.600000	94.065	167.3760
24.000000	94.031	166.8325
24.299999	94.006	166.3915
24.700001	93.971	165.8106
25.000000	93.946	165.3855
25.400000	93.914	164.7881
25.799999	93.882	164.2093
26.200001	93.853	163.6382
26.500000	93.832	163.2129
26.900000	93.805	162.6604
27.200001	93.786	162.2580
27.600000	93.762	161.7352
28.000000	93.737	161.2268
28.500000	93.707	160.6286
29.000000	93.675	160.0537
29.500000	93.641	159.5103
30.000000	93.606	158.9857
30.400000	93.575	158.5735
30.700001	93.552	158.2702
31.100000	93.518	157.8699
31.500000	93.483	157.4651
32.000000	93.436	156.9747
32.500000	93.388	156.4719
33.000000	93.340	155.9801
33.500000	93.293	155.4693
34.000000	93.245	154.9660
34.500000	93.197	154.4578
35.000000	93.151	153.9686
35.500000	93.107	153.4843
36.000000	93.065	153.0062
36.500000	93.024	152.5312
37.000000	92.981	152.0687
37.500000	92.938	151.6305
38.200001	92.880	151.0373
38.700001	92.838	150.6127
39.500000	92.762	149.9397
40.000000	92.712	149.5465
40.599998	92.651	149.0914
41.200001	92.592	148.6341
41.799999	92.531	148.1678
42.500000	92.458	147.6385
43.099998	92.399	147.2002
43.700001	92.343	146.7517
44.400002	92.278	146.2214
45.000000	92.222	145.7788
45.500000	92.177	145.4179
46.200001	92.113	144.9156
46.799999	92.054	144.4980
47.500000	91.982	144.0536
48.200001	91.913	143.6415
48.700001	91.864	143.3404
49.400002	91.790	142.9095
50.000000	91.724	142.5604
50.799999	91.641	142.0948
51.500000	91.569	141.6432
52.200001	91.493	141.1937
53.000000	91.417	140.6632
53.799999	91.336	139.9737
54.500000	91.231	139.4116
55.200001	91.121	139.1612
56.000000	91.051	139.0571
57.000000	91.002	138.5943
58.000000	90.916	138.0133
59.000000	90.823	137.5699
60.000000	90.727	137.1563
60.799999	90.647	136.8417
61.500000	90.577	136.5568
62.200001	90.504	136.2661
63.000000	90.420	135.9399
64.000000	90.315	135.5325
65.000000	90.212	135.1286
66.000000	90.112	134.7267
67.000000	90.013	134.3362
68.000000	89.915	133.9753
69.000000	89.819	133.6320
70.000000	89.721	133.2811
71.000000	89.620	132.9442
72.000000	89.518	132.6318
73.000000	89.417	132.3222
74.000000	89.316	132.0220
75.000000	89.216	131.7302
76.199997	89.096	131.3990
77.500000	88.969	131.0790
78.800003	88.843	130.7708
80.000000	88.725	130.5063
81.199997	88.609	130.2488
82.500000	88.484	129.9620
