* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 5:27:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, GateWide2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.681	170.8115
20.299999	93.676	170.3592
20.600000	93.669	169.9214
20.900000	93.660	169.4960
21.200001	93.648	169.0742
21.400000	93.639	168.7972
21.799999	93.616	168.2612
22.000000	93.603	167.9987
22.400000	93.573	167.4510
22.700001	93.549	167.0565
23.000000	93.523	166.6719
23.299999	93.497	166.2540
23.600000	93.470	165.8422
24.000000	93.434	165.3031
24.299999	93.407	164.8658
24.700001	93.370	164.2908
25.000000	93.343	163.8715
25.400000	93.309	163.2845
25.799999	93.275	162.7183
26.200001	93.245	162.1591
26.500000	93.223	161.7403
26.900000	93.196	161.1926
27.200001	93.175	160.7920
27.600000	93.148	160.2720
28.000000	93.121	159.7688
28.500000	93.088	159.1786
29.000000	93.054	158.6073
29.500000	93.017	158.0615
30.000000	92.977	157.5369
30.400000	92.942	157.1331
30.700001	92.916	156.8416
31.100000	92.880	156.4606
31.500000	92.843	156.0720
32.000000	92.797	155.5891
32.500000	92.748	155.0802
33.000000	92.697	154.5795
33.500000	92.646	154.0677
34.000000	92.595	153.5712
34.500000	92.545	153.0677
35.000000	92.497	152.5728
35.500000	92.450	152.0742
36.000000	92.403	151.5841
36.500000	92.355	151.1072
37.000000	92.307	150.6513
37.500000	92.259	150.2245
38.200001	92.194	149.6586
38.700001	92.149	149.2623
39.500000	92.076	148.6200
40.000000	92.027	148.2220
40.599998	91.966	147.7493
41.200001	91.904	147.2836
41.799999	91.841	146.8173
42.500000	91.767	146.2809
43.099998	91.704	145.8349
43.700001	91.643	145.3883
44.400002	91.570	144.8727
45.000000	91.506	144.4595
45.500000	91.455	144.1419
46.200001	91.389	143.7067
46.799999	91.334	143.3067
47.500000	91.262	142.8276
48.200001	91.185	142.3842
48.700001	91.130	142.0795
49.400002	91.054	141.6381
50.000000	90.985	141.2630
50.799999	90.896	140.7765
51.500000	90.823	140.3202
52.200001	90.747	139.8660
53.000000	90.673	139.3796
53.799999	90.612	138.7233
54.500000	90.524	138.0453
55.200001	90.403	137.6207
56.000000	90.295	137.5152
57.000000	90.224	137.2859
58.000000	90.139	136.8526
59.000000	90.045	136.4573
60.000000	89.942	136.0310
60.799999	89.853	135.7130
61.500000	89.777	135.4351
62.200001	89.700	135.1415
63.000000	89.611	134.8101
64.000000	89.504	134.4059
65.000000	89.398	134.0080
66.000000	89.294	133.6338
67.000000	89.190	133.2842
68.000000	89.087	132.9555
69.000000	88.983	132.6438
70.000000	88.878	132.3286
71.000000	88.770	132.0170
72.000000	88.663	131.7272
73.000000	88.558	131.4349
74.000000	88.453	131.1500
75.000000	88.349	130.8920
76.199997	88.226	130.5969
77.500000	88.091	130.3015
78.800003	87.956	130.0356
80.000000	87.834	129.8117
81.199997	87.715	129.5765
82.500000	87.584	129.3137
83.800003	87.451	129.0878
85.000000	87.330	128.9165
86.199997	87.212	128.7456
87.500000	87.083	128.5588
88.500000	86.983	128.4309
90.000000	86.834	128.2590
91.199997	86.715	128.1424
92.500000	86.589	128.0454
93.800003	86.465	127.9440
95.000000	86.348	127.8655
96.199997	86.231	127.8082
97.500000	86.105	127.7691
98.800003	85.984	127.7526
100.000000	85.877	127.7199
101.500000	85.740	127.6727
103.000000	85.602	127.6547
104.400002	85.475	127.6636
106.000000	85.335	127.6800
107.500000	85.204	127.6935
109.000000	85.071	127.7374
110.599998	84.932	127.8346
112.000000	84.814	127.9323
113.800003	84.663	128.0705
115.000000	84.565	128.1666
117.199997	84.386	128.3697
118.000000	84.322	128.4608
120.599998	84.121	128.7767
122.000000	84.012	128.9467
124.099998	83.848	129.2296
125.000000	83.780	129.3687
126.500000	83.672	129.5934
128.000000	83.565	129.8147
131.500000	83.319	130.3993
132.000000	83.285	130.4861
134.000000	83.146	130.8318
136.000000	83.012	131.1815
138.000000	82.885	131.5389
140.000000	82.761	131.9435
143.000000	82.596	132.6310
145.000000	82.483	133.0211
147.500000	82.338	133.5732
150.000000	82.210	134.1624
152.500000	82.090	134.7636
155.000000	81.974	135.3490
157.500000	81.859	135.9284
160.000000	81.750	136.5114
162.500000	81.646	137.1105
165.000000	81.548	137.7210
167.500000	81.456	138.3126
170.000000	81.370	138.9026
172.500000	81.288	139.4737
175.000000	81.208	140.0349
177.500000	81.133	140.6241
180.000000	81.064	141.2169
182.500000	80.998	141.8079
185.000000	80.937	142.3589
187.500000	80.877	142.8611
190.000000	80.817	143.3881
192.500000	80.762	143.9385
195.000000	80.711	144.4494
197.500000	80.663	144.9218
200.000000	80.619	145.4188
203.000000	80.573	146.0708
206.000000	80.535	146.6531
209.000000	80.499	147.1098
212.000000	80.450	147.6135
214.000000	80.418	148.0844
218.000000	80.368	148.7980
220.000000	80.345	149.0688
224.000000	80.305	149.6539
227.000000	80.272	150.1625
230.000000	80.239	150.6685
