* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -7.3 dBFS with no timing reference
* Dated: Apr 5, 2025 2:51:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, ASMR)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.517	170.0177
20.600000	95.510	169.6072
20.900000	95.498	169.1369
21.200001	95.484	168.6676
21.400000	95.475	168.3604
21.799999	95.455	167.7659
22.000000	95.444	167.4760
22.400000	95.417	166.8668
22.700001	95.394	166.4255
23.000000	95.370	165.9941
23.299999	95.344	165.5307
23.600000	95.317	165.0770
24.000000	95.281	164.4903
24.299999	95.253	164.0189
24.700001	95.216	163.4036
25.000000	95.189	162.9548
25.400000	95.155	162.3237
25.799999	95.123	161.7108
26.200001	95.093	161.1041
26.500000	95.072	160.6513
26.900000	95.044	160.0620
27.200001	95.024	159.6327
27.600000	94.997	159.0759
28.000000	94.971	158.5350
28.500000	94.938	157.8935
29.000000	94.904	157.2733
29.500000	94.868	156.6845
30.000000	94.830	156.1190
30.400000	94.797	155.6768
30.700001	94.771	155.3518
31.100000	94.736	154.9223
31.500000	94.698	154.4888
32.000000	94.650	153.9660
32.500000	94.601	153.4304
33.000000	94.550	152.9089
33.500000	94.499	152.3673
34.000000	94.448	151.8295
34.500000	94.396	151.2811
35.000000	94.346	150.7418
35.500000	94.297	150.2046
36.000000	94.251	149.6809
36.500000	94.206	149.1721
37.000000	94.160	148.6775
37.500000	94.114	148.1983
38.200001	94.047	147.5416
38.700001	93.999	147.0875
39.500000	93.923	146.3848
40.000000	93.873	145.9611
40.599998	93.813	145.4567
41.200001	93.752	144.9587
41.799999	93.688	144.4565
42.500000	93.612	143.8698
43.099998	93.551	143.3865
43.700001	93.495	142.9194
44.400002	93.428	142.3746
45.000000	93.360	141.8908
45.500000	93.301	141.4879
46.200001	93.224	140.9531
46.799999	93.162	140.5142
47.500000	93.089	140.0020
48.200001	93.014	139.5023
48.700001	92.961	139.1568
49.400002	92.889	138.6744
50.000000	92.826	138.2697
50.799999	92.741	137.7519
51.500000	92.665	137.2885
52.200001	92.589	136.8249
53.000000	92.505	136.3455
53.799999	92.417	135.7688
54.500000	92.337	135.1257
55.200001	92.258	134.5999
56.000000	92.172	134.3039
57.000000	92.064	133.9481
58.000000	91.961	133.3799
59.000000	91.857	132.8523
60.000000	91.743	132.3538
60.799999	91.654	131.9492
61.500000	91.580	131.5888
62.200001	91.506	131.2348
63.000000	91.418	130.8543
64.000000	91.308	130.3912
65.000000	91.199	129.9307
66.000000	91.089	129.4862
67.000000	90.979	129.0512
68.000000	90.871	128.6268
69.000000	90.763	128.2165
70.000000	90.656	127.8147
71.000000	90.546	127.4276
72.000000	90.438	127.0598
73.000000	90.329	126.7049
74.000000	90.220	126.3562
75.000000	90.111	126.0110
76.199997	89.980	125.6105
77.500000	89.841	125.1990
78.800003	89.702	124.8022
80.000000	89.574	124.4557
81.199997	89.444	124.1179
82.500000	89.306	123.7727
83.800003	89.168	123.4473
85.000000	89.040	123.1622
