* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -7.3 dBFS with no timing reference
* Dated: Apr 5, 2025 2:50:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, ASMR)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.772	-164.2094
20.600000	91.807	-164.7274
20.900000	91.842	-165.3058
21.200001	91.876	-165.8760
21.400000	91.896	-166.2480
21.799999	91.933	-166.9725
22.000000	91.949	-167.3306
22.400000	91.974	-168.0853
22.700001	91.989	-168.6431
23.000000	92.002	-169.1944
23.299999	92.013	-169.7782
23.600000	92.023	-170.3509
24.000000	92.035	-171.0943
24.299999	92.043	-171.6838
24.700001	92.050	-172.4608
25.000000	92.055	-173.0347
25.400000	92.063	-173.8349
25.799999	92.071	-174.6152
26.200001	92.082	-175.3835
26.500000	92.091	-175.9535
26.900000	92.102	-176.6949
27.200001	92.110	-177.2367
27.600000	92.121	-177.9428
28.000000	92.131	-178.6327
28.500000	92.142	-179.4601
29.000000	92.149	179.7343
29.500000	92.152	178.9624
30.000000	92.151	178.2204
30.400000	92.149	177.6439
30.700001	92.147	177.2214
31.100000	92.142	176.6627
31.500000	92.134	176.0965
32.000000	92.120	175.3983
32.500000	92.103	174.6806
33.000000	92.084	173.9803
33.500000	92.064	173.2719
34.000000	92.044	172.5794
34.500000	92.024	171.8817
35.000000	92.004	171.1929
35.500000	91.983	170.5082
36.000000	91.963	169.8458
36.500000	91.941	169.2090
37.000000	91.921	168.5898
37.500000	91.902	167.9799
38.200001	91.875	167.1250
38.700001	91.853	166.5247
39.500000	91.807	165.5929
40.000000	91.775	165.0357
40.599998	91.738	164.3862
41.200001	91.702	163.7513
41.799999	91.666	163.1048
42.500000	91.621	162.3517
43.099998	91.580	161.7567
43.700001	91.535	161.1968
44.400002	91.483	160.5092
45.000000	91.442	159.8604
45.500000	91.409	159.3192
46.200001	91.360	158.6293
46.799999	91.317	158.0829
47.500000	91.265	157.4408
48.200001	91.211	156.8035
48.700001	91.172	156.3654
49.400002	91.119	155.7641
50.000000	91.073	155.2566
50.799999	91.008	154.5960
51.500000	90.952	154.0204
52.200001	90.898	153.4491
53.000000	90.830	152.8300
53.799999	90.776	152.1698
54.500000	90.751	151.5272
55.200001	90.707	150.9490
56.000000	90.612	150.4504
57.000000	90.494	149.8624
58.000000	90.407	149.2076
59.000000	90.312	148.5802
60.000000	90.222	147.9259
60.799999	90.152	147.3877
61.500000	90.089	146.9397
62.200001	90.026	146.5197
63.000000	89.955	146.0556
64.000000	89.866	145.4720
65.000000	89.774	144.9069
66.000000	89.681	144.3669
67.000000	89.589	143.8286
68.000000	89.497	143.3003
69.000000	89.405	142.7939
70.000000	89.313	142.3052
71.000000	89.219	141.8367
72.000000	89.124	141.3860
73.000000	89.031	140.9409
74.000000	88.936	140.5095
75.000000	88.842	140.1092
76.199997	88.729	139.6291
77.500000	88.605	139.1077
78.800003	88.484	138.6289
80.000000	88.372	138.2230
81.199997	88.259	137.8210
82.500000	88.137	137.3838
83.800003	88.018	136.9732
85.000000	87.906	136.6232
86.199997	87.793	136.2891
87.500000	87.670	135.9462
88.500000	87.576	135.6838
90.000000	87.438	135.3082
91.199997	87.328	135.0240
92.500000	87.207	134.7353
93.800003	87.085	134.5042
95.000000	86.972	134.3073
96.199997	86.863	134.1023
97.500000	86.747	133.8893
98.800003	86.631	133.7070
100.000000	86.527	133.5559
101.500000	86.398	133.3705
103.000000	86.270	133.1920
104.400002	86.152	133.0336
106.000000	86.018	132.8689
107.500000	85.894	132.7465
109.000000	85.772	132.6556
110.599998	85.638	132.5404
112.000000	85.519	132.4275
113.800003	85.367	132.3204
115.000000	85.268	132.2655
117.199997	85.090	132.2018
118.000000	85.027	132.1819
120.599998	84.817	132.1414
122.000000	84.704	132.1298
124.099998	84.542	132.1289
125.000000	84.473	132.1451
126.500000	84.360	132.1827
128.000000	84.247	132.2150
131.500000	83.978	132.2645
132.000000	83.939	132.2727
134.000000	83.774	132.3039
136.000000	83.598	132.3770
138.000000	83.418	132.5206
140.000000	83.244	132.7819
143.000000	82.965	133.6091
145.000000	82.790	134.4420
147.500000	82.644	135.6415
150.000000	82.590	136.6340
152.500000	82.543	137.1095
155.000000	82.464	137.3611
157.500000	82.365	137.6589
160.000000	82.258	137.9835
162.500000	82.154	138.3574
165.000000	82.050	138.7322
167.500000	81.956	139.1326
170.000000	81.866	139.5604
172.500000	81.774	139.9655
175.000000	81.677	140.3680
177.500000	81.578	140.8044
180.000000	81.486	141.2565
