* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 26, 2025 7:44:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, EP-EX11)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.225	170.0929
20.299999	94.218	169.6130
20.600000	94.209	169.1541
20.900000	94.198	168.7133
21.200001	94.184	168.2802
21.400000	94.173	167.9966
21.799999	94.149	167.4464
22.000000	94.136	167.1750
22.400000	94.105	166.6039
22.700001	94.080	166.1870
23.000000	94.053	165.7766
23.299999	94.025	165.3309
23.600000	93.996	164.8914
24.000000	93.956	164.3180
24.299999	93.926	163.8578
24.700001	93.886	163.2551
25.000000	93.858	162.8145
25.400000	93.822	162.1941
25.799999	93.787	161.5873
26.200001	93.754	160.9850
26.500000	93.730	160.5372
26.900000	93.699	159.9603
27.200001	93.676	159.5449
27.600000	93.647	159.0097
28.000000	93.620	158.4883
28.500000	93.587	157.8651
29.000000	93.551	157.2568
29.500000	93.512	156.6821
30.000000	93.470	156.1362
30.400000	93.435	155.7125
30.700001	93.408	155.4006
31.100000	93.372	154.9854
31.500000	93.334	154.5594
32.000000	93.283	154.0340
32.500000	93.231	153.4906
33.000000	93.176	152.9590
33.500000	93.121	152.4166
34.000000	93.067	151.8915
34.500000	93.014	151.3636
35.000000	92.963	150.8462
35.500000	92.914	150.3228
36.000000	92.865	149.8050
36.500000	92.816	149.2997
37.000000	92.767	148.8128
37.500000	92.719	148.3443
38.200001	92.653	147.6913
38.700001	92.603	147.2260
39.500000	92.513	146.5184
40.000000	92.456	146.1190
40.599998	92.390	145.6597
41.200001	92.327	145.1937
41.799999	92.262	144.7095
42.500000	92.182	144.1494
43.099998	92.112	143.6884
43.700001	92.044	143.2326
44.400002	91.963	142.7137
45.000000	91.895	142.2860
45.500000	91.840	141.9324
46.200001	91.764	141.4272
46.799999	91.696	140.9946
47.500000	91.615	140.5184
48.200001	91.535	140.0754
48.700001	91.480	139.7655
49.400002	91.404	139.3270
50.000000	91.339	138.9514
50.799999	91.249	138.4587
51.500000	91.168	138.0486
52.200001	91.088	137.6632
53.000000	90.997	137.2357
53.799999	90.906	136.7942
54.500000	90.822	136.4060
55.200001	90.736	136.0358
56.000000	90.639	135.6198
