* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 26, 2025 7:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, EP-EX11)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.562	167.3687
20.299999	93.553	166.8996
20.600000	93.542	166.4420
20.900000	93.527	165.9975
21.200001	93.509	165.5610
21.400000	93.495	165.2776
21.799999	93.465	164.7357
22.000000	93.448	164.4723
22.400000	93.412	163.9219
22.700001	93.383	163.5216
23.000000	93.354	163.1270
23.299999	93.323	162.6958
23.600000	93.291	162.2693
24.000000	93.248	161.7119
24.299999	93.216	161.2626
24.700001	93.172	160.6737
25.000000	93.139	160.2438
25.400000	93.097	159.6411
25.799999	93.056	159.0587
26.200001	93.018	158.4860
26.500000	92.990	158.0605
26.900000	92.955	157.5073
27.200001	92.930	157.1023
27.600000	92.898	156.5720
28.000000	92.865	156.0516
28.500000	92.824	155.4360
29.000000	92.781	154.8442
29.500000	92.737	154.2842
30.000000	92.690	153.7413
30.400000	92.651	153.3143
30.700001	92.620	153.0016
31.100000	92.576	152.5938
31.500000	92.531	152.1877
32.000000	92.474	151.7019
32.500000	92.417	151.2038
33.000000	92.360	150.7118
33.500000	92.302	150.1964
34.000000	92.244	149.6873
34.500000	92.186	149.1744
35.000000	92.128	148.6820
35.500000	92.073	148.1951
36.000000	92.020	147.7130
36.500000	91.968	147.2284
37.000000	91.915	146.7476
37.500000	91.860	146.2870
38.200001	91.784	145.6769
38.700001	91.730	145.2576
39.500000	91.641	144.5914
40.000000	91.583	144.1889
40.599998	91.511	143.7269
41.200001	91.441	143.2847
41.799999	91.372	142.8370
42.500000	91.289	142.3026
43.099998	91.216	141.8581
43.700001	91.144	141.4294
44.400002	91.063	140.9297
45.000000	90.994	140.4891
45.500000	90.934	140.1252
46.200001	90.848	139.6492
46.799999	90.777	139.2704
47.500000	90.698	138.8329
48.200001	90.619	138.3922
48.700001	90.562	138.0836
49.400002	90.480	137.6631
50.000000	90.410	137.3122
50.799999	90.313	136.8594
51.500000	90.229	136.4846
52.200001	90.145	136.1115
53.000000	90.048	135.6767
53.799999	89.949	135.2567
54.500000	89.865	134.8948
55.200001	89.782	134.5214
56.000000	89.687	134.1026
57.000000	89.573	133.6081
58.000000	89.465	133.1478
59.000000	89.370	132.6558
60.000000	89.258	132.0678
60.799999	89.145	131.7258
61.500000	89.053	131.5557
62.200001	88.973	131.3811
63.000000	88.881	131.1338
64.000000	88.761	130.8226
65.000000	88.642	130.4845
66.000000	88.519	130.1428
67.000000	88.400	129.8097
68.000000	88.284	129.4762
69.000000	88.170	129.1685
70.000000	88.058	128.8756
71.000000	87.945	128.6191
72.000000	87.834	128.3934
73.000000	87.723	128.1576
74.000000	87.608	127.9269
75.000000	87.494	127.7140
76.199997	87.357	127.4509
77.500000	87.207	127.1938
78.800003	87.063	126.9600
80.000000	86.931	126.7538
81.199997	86.799	126.5712
82.500000	86.656	126.3996
83.800003	86.516	126.2442
85.000000	86.388	126.1064
86.199997	86.260	125.9744
87.500000	86.122	125.8630
88.500000	86.017	125.7957
90.000000	85.861	125.7022
91.199997	85.735	125.6476
92.500000	85.602	125.6119
93.800003	85.472	125.5834
95.000000	85.354	125.5509
96.199997	85.235	125.5191
97.500000	85.104	125.5128
98.800003	84.973	125.5421
100.000000	84.855	125.5906
101.500000	84.711	125.6618
103.000000	84.570	125.7313
104.400002	84.440	125.7992
106.000000	84.290	125.8980
107.500000	84.150	126.0270
109.000000	84.013	126.1890
110.599998	83.870	126.3703
112.000000	83.748	126.5234
113.800003	83.592	126.7166
115.000000	83.489	126.8577
117.199997	83.305	127.1749
118.000000	83.241	127.3056
120.599998	83.036	127.7500
122.000000	82.927	128.0182
124.099998	82.768	128.3839
125.000000	82.699	128.5355
126.500000	82.587	128.8168
128.000000	82.479	129.1270
131.500000	82.241	129.9451
132.000000	82.207	130.0615
134.000000	82.076	130.4976
136.000000	81.950	130.9532
138.000000	81.840	131.4713
140.000000	81.730	132.0274
143.000000	81.552	132.8929
145.000000	81.438	133.4017
147.500000	81.316	133.9751
150.000000	81.201	134.6327
152.500000	81.086	135.3807
155.000000	80.964	136.0183
157.500000	80.860	136.6030
160.000000	80.773	137.2029
162.500000	80.692	137.8409
165.000000	80.606	138.4768
167.500000	80.520	139.0872
170.000000	80.440	139.6660
172.500000	80.365	140.2878
175.000000	80.308	141.0176
177.500000	80.256	141.6830
180.000000	80.190	142.2104
182.500000	80.111	142.6837
185.000000	80.044	143.2572
187.500000	79.995	143.8604
190.000000	79.947	144.4514
192.500000	79.909	144.9895
195.000000	79.883	145.4258
197.500000	79.859	145.8303
200.000000	79.832	146.2694
203.000000	79.793	146.9007
206.000000	79.754	147.5271
209.000000	79.714	148.1096
212.000000	79.683	148.6111
214.000000	79.663	148.8892
218.000000	79.619	149.4546
220.000000	79.600	149.7592
224.000000	79.571	150.3777
227.000000	79.548	150.8170
230.000000	79.520	151.2563
233.000000	79.495	151.6777
236.000000	79.479	152.0427
240.000000	79.460	152.5072
243.000000	79.441	152.8784
247.000000	79.415	153.3316
250.000000	79.393	153.6434
254.000000	79.363	154.0807
258.000000	79.341	154.4918
262.000000	79.322	154.8768
265.000000	79.307	155.1616
269.000000	79.284	155.5269
272.000000	79.265	155.7929
276.000000	79.245	156.1093
280.000000	79.230	156.4064
285.000000	79.207	156.7856
290.000000	79.181	157.1699
295.000000	79.155	157.5157
300.000000	79.132	157.8624
304.000000	79.114	158.1445
307.000000	79.099	158.3359
311.000000	79.077	158.5614
315.000000	79.054	158.8102
320.000000	79.028	159.1435
325.000000	79.002	159.4240
330.000000	78.973	159.6660
335.000000	78.938	159.9327
340.000000	78.909	160.2155
345.000000	78.884	160.4709
350.000000	78.863	160.7759
355.000000	78.833	161.0485
360.000000	78.800	161.3176
