* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 22, 2025 3:04:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, ET4)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.969	171.2310
20.299999	93.964	170.7661
20.600000	93.957	170.3194
20.900000	93.948	169.8879
21.200001	93.937	169.4615
21.400000	93.928	169.1817
21.799999	93.907	168.6385
22.000000	93.894	168.3711
22.400000	93.866	167.8107
22.700001	93.842	167.4045
23.000000	93.817	167.0071
23.299999	93.790	166.5766
23.600000	93.762	166.1539
24.000000	93.725	165.6042
24.299999	93.697	165.1623
24.700001	93.659	164.5837
25.000000	93.632	164.1614
25.400000	93.598	163.5666
25.799999	93.565	162.9872
26.200001	93.534	162.4117
26.500000	93.512	161.9813
26.900000	93.483	161.4214
27.200001	93.461	161.0141
27.600000	93.434	160.4871
28.000000	93.407	159.9766
28.500000	93.374	159.3758
29.000000	93.340	158.7939
29.500000	93.304	158.2373
30.000000	93.266	157.6976
30.400000	93.232	157.2767
30.700001	93.206	156.9697
31.100000	93.170	156.5669
31.500000	93.133	156.1585
32.000000	93.085	155.6580
32.500000	93.035	155.1407
33.000000	92.983	154.6381
33.500000	92.932	154.1243
34.000000	92.882	153.6199
34.500000	92.832	153.1045
35.000000	92.783	152.6023
35.500000	92.736	152.1069
36.000000	92.690	151.6243
36.500000	92.646	151.1456
37.000000	92.601	150.6719
37.500000	92.555	150.2185
38.200001	92.490	149.6225
38.700001	92.445	149.2146
39.500000	92.371	148.5588
40.000000	92.322	148.1559
40.599998	92.261	147.6873
41.200001	92.200	147.2325
41.799999	92.139	146.7690
42.500000	92.066	146.2162
43.099998	92.002	145.7512
43.700001	91.937	145.2947
44.400002	91.861	144.7706
45.000000	91.796	144.3311
45.500000	91.741	143.9788
46.200001	91.665	143.5159
46.799999	91.604	143.1399
47.500000	91.536	142.7039
48.200001	91.469	142.2552
48.700001	91.421	141.9254
49.400002	91.350	141.4629
50.000000	91.287	141.0843
50.799999	91.203	140.6027
51.500000	91.130	140.1860
52.200001	91.057	139.7743
53.000000	90.972	139.3216
53.799999	90.887	138.8726
54.500000	90.810	138.4892
55.200001	90.733	138.1377
56.000000	90.650	137.7526
57.000000	90.548	137.2497
58.000000	90.442	136.7646
59.000000	90.339	136.2996
60.000000	90.235	135.8491
60.799999	90.154	135.4930
61.500000	90.082	135.1762
62.200001	90.008	134.8690
