* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 22, 2025 3:03:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, ET4)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.384	169.5847
20.299999	93.377	169.1297
20.600000	93.369	168.6842
20.900000	93.358	168.2485
21.200001	93.343	167.8179
21.400000	93.332	167.5374
21.799999	93.306	167.0008
22.000000	93.291	166.7402
22.400000	93.259	166.1950
22.700001	93.234	165.7975
23.000000	93.207	165.4044
23.299999	93.180	164.9742
23.600000	93.151	164.5496
24.000000	93.110	163.9985
24.299999	93.080	163.5576
24.700001	93.040	162.9828
25.000000	93.011	162.5633
25.400000	92.974	161.9710
25.799999	92.939	161.3929
26.200001	92.905	160.8196
26.500000	92.880	160.3924
26.900000	92.848	159.8385
27.200001	92.825	159.4362
27.600000	92.795	158.9147
28.000000	92.765	158.4078
28.500000	92.728	157.8111
29.000000	92.690	157.2361
29.500000	92.650	156.6900
30.000000	92.608	156.1604
30.400000	92.573	155.7438
30.700001	92.545	155.4378
31.100000	92.506	155.0356
31.500000	92.466	154.6302
32.000000	92.414	154.1385
32.500000	92.361	153.6303
33.000000	92.308	153.1298
33.500000	92.253	152.6141
34.000000	92.198	152.1155
34.500000	92.144	151.6179
35.000000	92.093	151.1346
35.500000	92.045	150.6448
36.000000	91.997	150.1554
36.500000	91.948	149.6726
37.000000	91.898	149.2077
37.500000	91.848	148.7694
38.200001	91.780	148.1803
38.700001	91.732	147.7649
39.500000	91.650	147.1002
40.000000	91.595	146.7005
40.599998	91.527	146.2416
41.200001	91.460	145.8005
41.799999	91.394	145.3562
42.500000	91.315	144.8339
43.099998	91.248	144.3964
43.700001	91.181	143.9579
44.400002	91.103	143.4436
45.000000	91.033	143.0242
45.500000	90.977	142.7009
46.200001	90.906	142.2585
46.799999	90.848	141.8453
47.500000	90.773	141.3387
48.200001	90.690	140.8786
48.700001	90.631	140.5863
49.400002	90.555	140.1844
50.000000	90.489	139.8334
50.799999	90.399	139.3745
51.500000	90.323	138.9811
52.200001	90.246	138.5825
53.000000	90.155	138.1448
53.799999	90.067	137.7153
54.500000	89.989	137.3192
55.200001	89.904	136.9478
56.000000	89.810	136.5948
57.000000	89.705	136.1309
58.000000	89.590	135.6302
59.000000	89.475	135.2242
60.000000	89.370	134.8155
60.799999	89.282	134.4662
61.500000	89.204	134.1791
62.200001	89.126	133.9074
63.000000	89.037	133.6033
64.000000	88.925	133.2399
65.000000	88.815	132.8998
66.000000	88.707	132.5659
67.000000	88.598	132.2335
68.000000	88.489	131.9141
69.000000	88.381	131.6097
70.000000	88.272	131.3097
71.000000	88.163	131.0211
72.000000	88.054	130.7440
73.000000	87.944	130.4879
74.000000	87.836	130.2617
75.000000	87.730	130.0378
76.199997	87.602	129.7819
77.500000	87.465	129.5228
78.800003	87.327	129.2676
80.000000	87.198	129.0492
81.199997	87.071	128.8488
82.500000	86.936	128.6508
83.800003	86.803	128.4587
85.000000	86.680	128.2896
86.199997	86.557	128.1438
87.500000	86.424	128.0192
88.500000	86.323	127.9383
90.000000	86.174	127.8267
91.199997	86.057	127.7556
92.500000	85.933	127.6790
93.800003	85.808	127.6114
95.000000	85.695	127.5776
96.199997	85.583	127.5240
97.500000	85.455	127.4788
98.800003	85.327	127.4846
100.000000	85.212	127.5028
101.500000	85.071	127.5410
103.000000	84.934	127.5875
104.400002	84.808	127.6390
106.000000	84.665	127.7090
107.500000	84.532	127.8044
109.000000	84.403	127.9219
110.599998	84.267	128.0519
112.000000	84.151	128.1895
113.800003	84.005	128.3843
115.000000	83.909	128.5208
117.199997	83.732	128.7963
118.000000	83.668	128.9178
120.599998	83.471	129.3221
122.000000	83.366	129.5273
124.099998	83.211	129.8458
125.000000	83.145	129.9779
126.500000	83.035	130.2055
128.000000	82.926	130.4597
131.500000	82.687	131.1363
132.000000	82.655	131.2336
134.000000	82.525	131.6251
136.000000	82.404	132.0705
138.000000	82.295	132.4818
140.000000	82.178	132.8418
143.000000	81.997	133.5430
145.000000	81.892	134.0095
147.500000	81.771	134.5145
150.000000	81.649	135.0744
152.500000	81.531	135.7319
155.000000	81.418	136.3817
157.500000	81.311	136.9591
160.000000	81.209	137.5171
162.500000	81.116	138.1125
165.000000	81.027	138.7262
167.500000	80.940	139.3316
170.000000	80.857	139.9344
172.500000	80.781	140.5235
175.000000	80.711	141.0961
177.500000	80.644	141.6555
180.000000	80.581	142.1939
182.500000	80.519	142.7433
185.000000	80.461	143.3054
187.500000	80.409	143.8467
190.000000	80.360	144.3518
192.500000	80.311	144.8434
195.000000	80.263	145.3669
197.500000	80.221	145.8839
200.000000	80.181	146.3647
203.000000	80.132	146.9027
206.000000	80.085	147.4141
209.000000	80.045	147.9425
212.000000	80.016	148.5176
214.000000	79.998	148.8917
218.000000	79.957	149.5267
220.000000	79.933	149.8014
224.000000	79.889	150.4361
227.000000	79.858	150.8706
230.000000	79.826	151.1969
233.000000	79.798	151.5372
236.000000	79.777	151.9309
240.000000	79.754	152.4604
243.000000	79.735	152.8596
247.000000	79.710	153.3715
250.000000	79.692	153.6895
254.000000	79.666	154.1057
258.000000	79.638	154.5371
262.000000	79.615	154.9253
265.000000	79.600	155.2119
269.000000	79.581	155.5824
272.000000	79.565	155.8599
276.000000	79.543	156.2500
280.000000	79.523	156.5952
285.000000	79.494	156.9367
290.000000	79.467	157.3117
295.000000	79.444	157.6381
300.000000	79.421	157.9664
304.000000	79.400	158.2366
307.000000	79.383	158.4363
311.000000	79.360	158.6912
315.000000	79.338	158.9312
320.000000	79.309	159.2158
