* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 30, 2025 10:02:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, Final E C)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.934	170.5786
20.600000	94.926	170.1687
20.900000	94.917	169.6964
21.200001	94.909	169.2253
21.400000	94.904	168.9185
21.799999	94.892	168.3303
22.000000	94.884	168.0457
22.400000	94.859	167.4490
22.700001	94.835	167.0162
23.000000	94.809	166.5917
23.299999	94.782	166.1340
23.600000	94.755	165.6857
24.000000	94.721	165.1060
24.299999	94.695	164.6392
24.700001	94.658	164.0269
25.000000	94.631	163.5776
25.400000	94.595	162.9449
25.799999	94.562	162.3334
26.200001	94.532	161.7340
26.500000	94.512	161.2897
26.900000	94.484	160.7124
27.200001	94.464	160.2900
27.600000	94.438	159.7387
28.000000	94.411	159.2021
28.500000	94.379	158.5713
29.000000	94.346	157.9701
29.500000	94.310	157.4020
30.000000	94.271	156.8515
30.400000	94.238	156.4175
30.700001	94.212	156.0983
31.100000	94.177	155.6775
31.500000	94.140	155.2529
32.000000	94.092	154.7363
32.500000	94.042	154.1983
33.000000	93.991	153.6700
33.500000	93.940	153.1269
34.000000	93.889	152.5979
34.500000	93.839	152.0656
35.000000	93.791	151.5417
35.500000	93.744	151.0132
36.000000	93.697	150.4913
36.500000	93.651	149.9815
37.000000	93.605	149.4874
37.500000	93.559	149.0121
38.200001	93.494	148.3639
38.700001	93.447	147.9170
39.500000	93.369	147.2284
40.000000	93.319	146.8113
40.599998	93.259	146.3073
41.200001	93.199	145.8103
41.799999	93.139	145.3228
42.500000	93.067	144.7518
43.099998	93.004	144.2435
43.700001	92.942	143.7272
44.400002	92.871	143.1765
45.000000	92.812	142.7556
45.500000	92.763	142.4066
46.200001	92.691	141.8800
46.799999	92.625	141.4111
47.500000	92.550	140.8925
48.200001	92.479	140.4079
48.700001	92.428	140.0660
49.400002	92.354	139.5878
50.000000	92.290	139.1907
50.799999	92.206	138.6749
51.500000	92.132	138.2261
52.200001	92.058	137.7787
53.000000	91.973	137.2820
53.799999	91.888	136.8069
54.500000	91.813	136.4030
55.200001	91.737	135.9971
56.000000	91.651	135.5335
57.000000	91.548	134.9670
58.000000	91.440	134.3908
59.000000	91.330	133.8459
60.000000	91.226	133.3570
60.799999	91.141	132.9512
61.500000	91.065	132.5896
62.200001	90.990	132.2487
63.000000	90.906	131.8878
64.000000	90.800	131.4442
65.000000	90.695	130.9819
66.000000	90.589	130.5274
67.000000	90.482	130.1033
68.000000	90.377	129.6828
69.000000	90.271	129.2801
70.000000	90.163	128.9020
71.000000	90.057	128.5261
72.000000	89.951	128.1574
73.000000	89.844	127.8041
74.000000	89.736	127.4645
75.000000	89.630	127.1286
76.199997	89.505	126.7327
77.500000	89.368	126.3292
78.800003	89.227	125.9359
80.000000	89.100	125.5939
81.199997	88.974	125.2679
82.500000	88.838	124.9254
83.800003	88.702	124.5950
85.000000	88.578	124.3095
86.199997	88.453	124.0434
87.500000	88.315	123.7805
88.500000	88.210	123.5822
90.000000	88.058	123.2820
91.199997	87.936	123.0526
92.500000	87.803	122.8279
93.800003	87.671	122.6320
95.000000	87.550	122.4520
96.199997	87.428	122.2749
97.500000	87.296	122.1024
98.800003	87.166	121.9475
100.000000	87.046	121.8046
101.500000	86.895	121.6569
103.000000	86.745	121.5258
104.400002	86.607	121.4084
106.000000	86.450	121.3126
107.500000	86.304	121.2431
109.000000	86.159	121.1812
110.599998	86.005	121.1161
112.000000	85.870	121.0816
113.800003	85.697	121.0756
115.000000	85.583	121.0845
117.199997	85.378	121.1206
118.000000	85.303	121.1377
120.599998	85.058	121.2014
122.000000	84.932	121.2807
124.099998	84.747	121.4609
125.000000	84.666	121.5424
126.500000	84.533	121.6896
128.000000	84.402	121.8560
131.500000	84.108	122.2811
132.000000	84.066	122.3487
134.000000	83.904	122.6131
136.000000	83.741	122.8934
138.000000	83.578	123.2291
140.000000	83.429	123.5973
143.000000	83.211	124.1492
145.000000	83.066	124.6056
147.500000	82.902	125.2642
150.000000	82.763	125.8221
152.500000	82.626	126.2514
155.000000	82.478	126.6586
157.500000	82.326	127.0652
160.000000	82.178	127.5321
162.500000	82.035	128.0702
165.000000	81.893	128.6158
167.500000	81.755	129.1750
170.000000	81.626	129.7552
172.500000	81.505	130.3475
175.000000	81.378	130.9588
177.500000	81.252	131.5628
180.000000	81.135	132.1831
182.500000	81.026	132.8490
185.000000	80.934	133.5124
187.500000	80.854	134.1786
190.000000	80.775	134.8150
192.500000	80.694	135.4333
195.000000	80.613	136.0221
197.500000	80.535	136.5958
200.000000	80.461	137.1785
203.000000	80.376	137.8793
206.000000	80.294	138.5905
209.000000	80.218	139.3134
212.000000	80.148	140.0145
214.000000	80.099	140.4644
218.000000	80.002	141.3306
220.000000	79.964	141.7597
224.000000	79.898	142.6521
227.000000	79.849	143.3040
230.000000	79.802	143.9086
233.000000	79.761	144.5049
236.000000	79.723	145.0751
