* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 30, 2025 9:59:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Final E C)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.479	168.7830
20.600000	94.477	168.3618
20.900000	94.471	167.8841
21.200001	94.460	167.4170
21.400000	94.451	167.1176
21.799999	94.426	166.5505
22.000000	94.410	166.2767
22.400000	94.373	165.6954
22.700001	94.344	165.2671
23.000000	94.316	164.8418
23.299999	94.289	164.3806
23.600000	94.263	163.9288
24.000000	94.227	163.3482
24.299999	94.198	162.8838
24.700001	94.158	162.2775
25.000000	94.128	161.8329
25.400000	94.092	161.2043
25.799999	94.057	160.5931
26.200001	94.026	159.9907
26.500000	94.004	159.5430
26.900000	93.973	158.9608
27.200001	93.951	158.5354
27.600000	93.921	157.9818
28.000000	93.892	157.4452
28.500000	93.857	156.8167
29.000000	93.821	156.2184
29.500000	93.782	155.6503
30.000000	93.741	155.0932
30.400000	93.707	154.6487
30.700001	93.681	154.3201
31.100000	93.645	153.8882
31.500000	93.605	153.4587
32.000000	93.553	152.9484
32.500000	93.498	152.4276
33.000000	93.444	151.9179
33.500000	93.392	151.3851
34.000000	93.339	150.8550
34.500000	93.286	150.3138
35.000000	93.233	149.7800
35.500000	93.182	149.2457
36.000000	93.132	148.7226
36.500000	93.083	148.2145
37.000000	93.035	147.7233
37.500000	92.986	147.2526
38.200001	92.917	146.6155
38.700001	92.866	146.1780
39.500000	92.785	145.5028
40.000000	92.735	145.0971
40.599998	92.672	144.6114
41.200001	92.605	144.1227
41.799999	92.538	143.6234
42.500000	92.460	143.0508
43.099998	92.392	142.5900
43.700001	92.324	142.1365
44.400002	92.250	141.5896
45.000000	92.191	141.1070
45.500000	92.139	140.7117
46.200001	92.058	140.1828
46.799999	91.986	139.7431
47.500000	91.907	139.2380
48.200001	91.832	138.7537
48.700001	91.777	138.4225
49.400002	91.699	137.9654
50.000000	91.632	137.5727
50.799999	91.543	137.0499
51.500000	91.465	136.6080
52.200001	91.387	136.1793
53.000000	91.297	135.7038
53.799999	91.207	135.2448
54.500000	91.128	134.8435
55.200001	91.049	134.4321
56.000000	90.958	133.9721
57.000000	90.843	133.4350
58.000000	90.728	132.9180
59.000000	90.612	132.4175
60.000000	90.496	131.9062
60.799999	90.406	131.4996
61.500000	90.331	131.1648
62.200001	90.256	130.8450
63.000000	90.167	130.4912
64.000000	90.050	130.0571
65.000000	89.935	129.6233
66.000000	89.820	129.2000
67.000000	89.706	128.7884
68.000000	89.593	128.3902
69.000000	89.480	128.0123
70.000000	89.366	127.6566
71.000000	89.250	127.3129
72.000000	89.135	126.9747
73.000000	89.024	126.6532
74.000000	88.914	126.3442
75.000000	88.802	126.0435
76.199997	88.669	125.6933
77.500000	88.523	125.3239
78.800003	88.380	124.9618
80.000000	88.249	124.6599
81.199997	88.116	124.3801
82.500000	87.974	124.0872
83.800003	87.832	123.8011
85.000000	87.700	123.5488
86.199997	87.569	123.3192
87.500000	87.429	123.0961
88.500000	87.322	122.9304
90.000000	87.160	122.6860
91.199997	87.030	122.5103
92.500000	86.890	122.3278
93.800003	86.750	122.1670
95.000000	86.623	122.0433
96.199997	86.497	121.9256
97.500000	86.360	121.8111
