* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 27, 2025 11:18:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, Final E)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.928	170.3706
20.299999	93.924	169.8911
20.600000	93.918	169.4251
20.900000	93.909	168.9722
21.200001	93.897	168.5247
21.400000	93.887	168.2318
21.799999	93.864	167.6657
22.000000	93.851	167.3888
22.400000	93.820	166.8133
22.700001	93.795	166.3990
23.000000	93.768	165.9960
23.299999	93.741	165.5606
23.600000	93.713	165.1320
24.000000	93.677	164.5698
24.299999	93.649	164.1137
24.700001	93.611	163.5122
25.000000	93.583	163.0724
25.400000	93.546	162.4585
25.799999	93.511	161.8668
26.200001	93.479	161.2834
26.500000	93.456	160.8469
26.900000	93.427	160.2751
27.200001	93.406	159.8556
27.600000	93.377	159.3096
28.000000	93.348	158.7812
28.500000	93.313	158.1636
29.000000	93.277	157.5692
29.500000	93.241	156.9972
30.000000	93.202	156.4342
30.400000	93.168	155.9908
30.700001	93.141	155.6674
31.100000	93.103	155.2469
31.500000	93.065	154.8263
32.000000	93.017	154.3125
32.500000	92.968	153.7751
33.000000	92.918	153.2429
33.500000	92.866	152.7005
34.000000	92.814	152.1805
34.500000	92.763	151.6612
35.000000	92.714	151.1543
35.500000	92.667	150.6446
36.000000	92.621	150.1420
36.500000	92.574	149.6448
37.000000	92.525	149.1545
37.500000	92.475	148.6830
38.200001	92.401	148.0688
38.700001	92.351	147.6620
39.500000	92.274	147.0010
40.000000	92.226	146.5666
40.599998	92.162	146.0426
41.200001	92.098	145.5384
41.799999	92.037	145.0219
42.500000	91.962	144.3799
43.099998	91.888	143.8576
43.700001	91.813	143.4128
44.400002	91.739	142.9529
45.000000	91.685	142.5304
45.500000	91.639	142.1483
46.200001	91.568	141.6190
46.799999	91.505	141.1984
47.500000	91.433	140.7263
48.200001	91.361	140.2557
48.700001	91.308	139.9231
49.400002	91.233	139.4656
50.000000	91.168	139.0839
50.799999	91.081	138.5849
51.500000	91.006	138.1567
52.200001	90.930	137.7379
53.000000	90.845	137.2708
53.799999	90.761	136.7950
54.500000	90.684	136.3733
55.200001	90.605	135.9702
56.000000	90.517	135.5174
57.000000	90.405	134.9318
58.000000	90.292	134.3706
59.000000	90.179	133.7792
60.000000	90.052	133.2661
60.799999	89.961	132.9789
61.500000	89.896	132.7081
62.200001	89.831	132.3829
63.000000	89.748	132.0186
64.000000	89.645	131.6075
65.000000	89.542	131.1925
66.000000	89.434	130.7845
67.000000	89.325	130.3833
68.000000	89.215	129.9824
69.000000	89.104	129.5946
70.000000	88.995	129.2245
71.000000	88.885	128.8661
72.000000	88.777	128.5297
73.000000	88.670	128.2135
74.000000	88.564	127.9062
75.000000	88.458	127.5997
76.199997	88.329	127.2448
77.500000	88.189	126.8742
78.800003	88.048	126.5260
80.000000	87.921	126.2278
81.199997	87.795	125.9271
82.500000	87.657	125.6185
83.800003	87.522	125.3359
85.000000	87.398	125.0767
86.199997	87.274	124.8424
87.500000	87.140	124.6136
88.500000	87.036	124.4601
90.000000	86.883	124.2435
91.199997	86.760	124.0624
92.500000	86.626	123.8776
93.800003	86.493	123.6938
95.000000	86.369	123.5382
96.199997	86.248	123.4188
97.500000	86.122	123.3018
98.800003	85.996	123.1748
100.000000	85.876	123.0746
101.500000	85.726	122.9868
103.000000	85.577	122.9198
104.400002	85.440	122.8703
106.000000	85.286	122.8192
107.500000	85.140	122.7642
109.000000	84.993	122.7519
110.599998	84.843	122.7597
112.000000	84.715	122.7722
113.800003	84.551	122.8221
115.000000	84.441	122.8961
117.199997	84.243	123.0686
118.000000	84.169	123.1325
120.599998	83.934	123.3767
122.000000	83.812	123.4871
124.099998	83.637	123.7194
125.000000	83.566	123.8461
126.500000	83.452	124.0694
128.000000	83.339	124.2879
131.500000	83.078	124.8257
132.000000	83.043	124.8888
134.000000	82.898	125.1028
136.000000	82.745	125.3611
138.000000	82.595	125.6526
140.000000	82.452	125.9644
143.000000	82.255	126.4844
145.000000	82.128	126.9010
147.500000	81.969	127.4435
150.000000	81.805	127.9484
152.500000	81.644	128.4729
155.000000	81.493	129.0808
157.500000	81.353	129.7627
160.000000	81.229	130.4228
162.500000	81.118	131.0126
165.000000	81.009	131.5630
167.500000	80.897	132.1020
170.000000	80.785	132.6522
172.500000	80.687	133.2108
175.000000	80.590	133.7534
177.500000	80.485	134.3751
180.000000	80.378	134.9933
182.500000	80.277	135.5535
185.000000	80.187	136.0764
187.500000	80.109	136.6593
190.000000	80.037	137.2667
192.500000	79.959	137.8558
195.000000	79.879	138.4026
197.500000	79.805	138.9678
200.000000	79.741	139.5824
203.000000	79.675	140.2867
206.000000	79.615	140.8982
209.000000	79.556	141.5295
212.000000	79.498	142.2370
214.000000	79.457	142.6791
218.000000	79.371	143.4717
