* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 27, 2025 11:14:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Final E)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.376	167.8843
20.299999	93.366	167.4112
20.600000	93.353	166.9561
20.900000	93.339	166.5177
21.200001	93.322	166.0873
21.400000	93.309	165.8068
21.799999	93.282	165.2665
22.000000	93.267	165.0019
22.400000	93.234	164.4461
22.700001	93.207	164.0401
23.000000	93.180	163.6392
23.299999	93.151	163.2021
23.600000	93.120	162.7716
24.000000	93.078	162.2139
24.299999	93.046	161.7693
24.700001	93.004	161.1921
25.000000	92.974	160.7725
25.400000	92.935	160.1806
25.799999	92.898	159.6013
26.200001	92.863	159.0236
26.500000	92.837	158.5912
26.900000	92.803	158.0295
27.200001	92.778	157.6213
27.600000	92.745	157.0922
28.000000	92.713	156.5768
28.500000	92.673	155.9653
29.000000	92.632	155.3713
29.500000	92.588	154.8078
30.000000	92.542	154.2684
30.400000	92.503	153.8495
30.700001	92.474	153.5421
31.100000	92.435	153.1347
31.500000	92.394	152.7180
32.000000	92.340	152.2075
32.500000	92.284	151.6857
33.000000	92.228	151.1815
33.500000	92.172	150.6634
34.000000	92.117	150.1514
34.500000	92.062	149.6296
35.000000	92.006	149.1236
35.500000	91.952	148.6230
36.000000	91.899	148.1331
36.500000	91.845	147.6527
37.000000	91.792	147.1902
37.500000	91.740	146.7530
38.200001	91.670	146.1533
38.700001	91.620	145.7179
39.500000	91.534	145.0229
40.000000	91.477	144.6122
40.599998	91.407	144.1368
41.200001	91.338	143.6796
41.799999	91.268	143.2435
42.500000	91.194	142.7441
43.099998	91.135	142.2764
43.700001	91.071	141.7579
44.400002	90.983	141.1736
45.000000	90.906	140.7425
45.500000	90.845	140.4130
46.200001	90.766	139.9485
46.799999	90.696	139.5458
47.500000	90.615	139.0948
48.200001	90.535	138.6562
48.700001	90.477	138.3412
49.400002	90.395	137.9069
