* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -7.3 dBFS with no timing reference
* Dated: Mar 26, 2025 7:13:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, Foam tip)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.367	172.3219
20.299999	94.364	171.8524
20.600000	94.359	171.3985
20.900000	94.352	170.9593
21.200001	94.342	170.5266
21.400000	94.334	170.2432
21.799999	94.315	169.6941
22.000000	94.303	169.4236
22.400000	94.276	168.8558
22.700001	94.254	168.4431
23.000000	94.230	168.0394
23.299999	94.205	167.6026
23.600000	94.179	167.1730
24.000000	94.144	166.6122
24.299999	94.118	166.1594
24.700001	94.082	165.5647
25.000000	94.056	165.1312
25.400000	94.023	164.5261
25.799999	93.992	163.9422
26.200001	93.963	163.3651
26.500000	93.944	162.9324
26.900000	93.918	162.3661
27.200001	93.899	161.9519
27.600000	93.874	161.4156
28.000000	93.849	160.8980
28.500000	93.819	160.2914
29.000000	93.788	159.7029
29.500000	93.755	159.1378
30.000000	93.717	158.5910
30.400000	93.684	158.1671
30.700001	93.659	157.8591
31.100000	93.624	157.4560
31.500000	93.588	157.0485
32.000000	93.541	156.5515
32.500000	93.493	156.0371
33.000000	93.446	155.5276
33.500000	93.398	154.9939
34.000000	93.349	154.4685
34.500000	93.300	153.9452
35.000000	93.254	153.4433
35.500000	93.211	152.9338
36.000000	93.170	152.4127
36.500000	93.124	151.8931
37.000000	93.074	151.4083
37.500000	93.026	150.9782
38.200001	92.965	150.4182
38.700001	92.925	150.0087
39.500000	92.855	149.3343
40.000000	92.808	148.9264
40.599998	92.751	148.4421
41.200001	92.692	147.9542
41.799999	92.630	147.4660
42.500000	92.556	146.9174
43.099998	92.495	146.4612
43.700001	92.435	145.9948
44.400002	92.365	145.4443
45.000000	92.303	144.9883
45.500000	92.251	144.6293
46.200001	92.182	144.1534
46.799999	92.126	143.7491
47.500000	92.060	143.2659
48.200001	91.991	142.7882
48.700001	91.940	142.4619
49.400002	91.869	142.0200
50.000000	91.808	141.6465
50.799999	91.728	141.1468
51.500000	91.657	140.7122
52.200001	91.585	140.2800
53.000000	91.502	139.7955
53.799999	91.419	139.3376
54.500000	91.348	138.9540
55.200001	91.279	138.5695
56.000000	91.198	138.1410
57.000000	91.096	137.6265
58.000000	90.987	137.1192
59.000000	90.876	136.7585
60.000000	90.796	136.3889
60.799999	90.730	135.9069
61.500000	90.652	135.4589
62.200001	90.567	135.0883
63.000000	90.474	134.7302
64.000000	90.365	134.3039
65.000000	90.262	133.8784
66.000000	90.160	133.4432
67.000000	90.057	133.0320
68.000000	89.954	132.6528
69.000000	89.851	132.3081
70.000000	89.750	131.9786
71.000000	89.648	131.6372
72.000000	89.542	131.3052
73.000000	89.438	130.9984
74.000000	89.336	130.6869
75.000000	89.233	130.3624
76.199997	89.108	129.9968
77.500000	88.976	129.6476
78.800003	88.847	129.2992
80.000000	88.727	128.9925
81.199997	88.608	128.6989
82.500000	88.478	128.3936
83.800003	88.348	128.1179
85.000000	88.228	127.8780
86.199997	88.109	127.6608
87.500000	87.981	127.4235
88.500000	87.881	127.2434
90.000000	87.730	127.0093
91.199997	87.611	126.8309
92.500000	87.484	126.6636
93.800003	87.361	126.5127
95.000000	87.249	126.3683
96.199997	87.137	126.2372
97.500000	87.015	126.1022
98.800003	86.893	125.9840
100.000000	86.780	125.8935
101.500000	86.639	125.7929
103.000000	86.498	125.7216
104.400002	86.367	125.6782
106.000000	86.220	125.6427
107.500000	86.085	125.6178
109.000000	85.953	125.5999
110.599998	85.814	125.5903
112.000000	85.693	125.6047
113.800003	85.539	125.6320
115.000000	85.435	125.6540
117.199997	85.246	125.7315
118.000000	85.178	125.7674
120.599998	84.963	125.9218
122.000000	84.851	126.0502
124.099998	84.690	126.2610
125.000000	84.621	126.3486
126.500000	84.506	126.4940
128.000000	84.390	126.6437
131.500000	84.125	127.0140
132.000000	84.088	127.0668
134.000000	83.943	127.3202
136.000000	83.811	127.6159
138.000000	83.681	127.9079
140.000000	83.546	128.2707
143.000000	83.347	128.8145
145.000000	83.212	129.1464
147.500000	83.051	129.5995
150.000000	82.902	130.0703
152.500000	82.755	130.5342
155.000000	82.614	131.0618
157.500000	82.486	131.5752
160.000000	82.360	132.0656
162.500000	82.235	132.5813
165.000000	82.115	133.1154
167.500000	82.001	133.6700
170.000000	81.891	134.2335
172.500000	81.783	134.8042
175.000000	81.680	135.3835
177.500000	81.583	135.9832
180.000000	81.495	136.5907
182.500000	81.412	137.1291
185.000000	81.328	137.6486
187.500000	81.248	138.1944
190.000000	81.168	138.7681
192.500000	81.092	139.3557
195.000000	81.024	139.9111
197.500000	80.956	140.4811
200.000000	80.889	141.0427
203.000000	80.819	141.6024
206.000000	80.769	142.2007
209.000000	80.717	142.9629
212.000000	80.638	143.6126
214.000000	80.588	143.9059
218.000000	80.536	144.4986
220.000000	80.513	144.9312
224.000000	80.438	145.7652
227.000000	80.385	146.1744
230.000000	80.354	146.6635
233.000000	80.331	147.3092
236.000000	80.300	147.9111
240.000000	80.252	148.5395
243.000000	80.224	148.9808
247.000000	80.189	149.5518
250.000000	80.161	149.9666
254.000000	80.131	150.4988
258.000000	80.103	151.0167
262.000000	80.073	151.5453
265.000000	80.053	151.9305
269.000000	80.031	152.3922
272.000000	80.016	152.7203
276.000000	79.993	153.1469
280.000000	79.968	153.5306
285.000000	79.935	154.0219
290.000000	79.907	154.5284
295.000000	79.881	154.9721
300.000000	79.850	155.4040
304.000000	79.825	155.7455
307.000000	79.810	156.0055
311.000000	79.789	156.3665
315.000000	79.769	156.7372
320.000000	79.750	157.1661
325.000000	79.731	157.5445
330.000000	79.711	157.8732
335.000000	79.691	158.1565
340.000000	79.668	158.4496
345.000000	79.644	158.7513
350.000000	79.614	159.0568
355.000000	79.588	159.3707
360.000000	79.566	159.6672
365.000000	79.546	159.9392
370.000000	79.525	160.1985
375.000000	79.501	160.4480
382.000000	79.467	160.7923
387.000000	79.442	161.0123
395.000000	79.398	161.3369
400.000000	79.368	161.5543
406.000000	79.329	161.8433
412.000000	79.285	162.1062
418.000000	79.242	162.3842
425.000000	79.195	162.7398
431.000000	79.152	163.0634
437.000000	79.112	163.3914
444.000000	79.067	163.7793
450.000000	79.030	164.1237
455.000000	79.000	164.4028
462.000000	78.962	164.7810
468.000000	78.928	165.1176
475.000000	78.890	165.5089
482.000000	78.855	165.9000
487.000000	78.830	166.1772
494.000000	78.794	166.5566
500.000000	78.764	166.8843
508.000000	78.724	167.3214
515.000000	78.689	167.6998
522.000000	78.654	168.0797
530.000000	78.615	168.5096
538.000000	78.579	168.9329
545.000000	78.547	169.3101
552.000000	78.514	169.7090
560.000000	78.478	170.1606
570.000000	78.433	170.7115
580.000000	78.392	171.2684
590.000000	78.351	171.8444
600.000000	78.310	172.4141
608.000000	78.278	172.8720
615.000000	78.251	173.2809
622.000000	78.227	173.6923
630.000000	78.200	174.1736
640.000000	78.165	174.7777
650.000000	78.132	175.3701
660.000000	78.102	175.9650
670.000000	78.074	176.5782
680.000000	78.048	177.2097
690.000000	78.024	177.8443
700.000000	78.001	178.4722
710.000000	77.980	179.1029
720.000000	77.963	179.7459
730.000000	77.948	-179.6134
740.000000	77.934	-178.9761
750.000000	77.922	-178.3318
762.000000	77.911	-177.5425
775.000000	77.902	-176.6885
788.000000	77.899	-175.8287
800.000000	77.900	-175.0358
812.000000	77.906	-174.2465
825.000000	77.916	-173.3901
838.000000	77.931	-172.5342
850.000000	77.947	-171.7431
862.000000	77.969	-170.9494
875.000000	77.997	-170.0992
885.000000	78.022	-169.4488
900.000000	78.065	-168.4940
912.000000	78.105	-167.7451
925.000000	78.152	-166.9496
938.000000	78.204	-166.1762
950.000000	78.256	-165.4865
962.000000	78.312	-164.8152
975.000000	78.376	-164.1066
988.000000	78.443	-163.4236
1000.000000	78.508	-162.8200
1015.000000	78.593	-162.1013
1030.000000	78.680	-161.4254
1044.000000	78.763	-160.8380
1060.000000	78.860	-160.2062
1075.000000	78.952	-159.6581
1090.000000	79.044	-159.1473
1106.000000	79.141	-158.6454
1120.000000	79.226	-158.2409
1138.000000	79.333	-157.7559
1150.000000	79.403	-157.4555
1172.000000	79.527	-156.9479
1180.000000	79.571	-156.7716
1206.000000	79.709	-156.2355
1220.000000	79.782	-155.9676
1241.000000	79.888	-155.5894
1250.000000	79.932	-155.4319
1265.000000	80.004	-155.1715
1280.000000	80.074	-154.9149
1315.000000	80.231	-154.3324
1320.000000	80.253	-154.2502
1340.000000	80.341	-153.9170
1360.000000	80.429	-153.5771
1380.000000	80.516	-153.2328
1400.000000	80.603	-152.8819
1430.000000	80.737	-152.3573
