* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -7.3 dBFS with no timing reference
* Dated: Mar 26, 2025 7:16:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Foam tip)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.827	172.1693
20.299999	92.825	171.7150
20.600000	92.821	171.2704
20.900000	92.815	170.8344
21.200001	92.806	170.4015
21.400000	92.797	170.1184
21.799999	92.778	169.5757
22.000000	92.766	169.3120
22.400000	92.741	168.7614
22.700001	92.720	168.3603
23.000000	92.699	167.9636
23.299999	92.676	167.5296
23.600000	92.651	167.1017
24.000000	92.615	166.5485
24.299999	92.588	166.1089
24.700001	92.553	165.5404
25.000000	92.527	165.1284
25.400000	92.495	164.5475
25.799999	92.465	163.9797
26.200001	92.437	163.4136
26.500000	92.416	162.9892
26.900000	92.389	162.4357
27.200001	92.370	162.0318
27.600000	92.344	161.5072
28.000000	92.318	160.9977
28.500000	92.286	160.3992
29.000000	92.254	159.8214
29.500000	92.221	159.2670
30.000000	92.185	158.7234
30.400000	92.154	158.2961
30.700001	92.129	157.9849
31.100000	92.094	157.5806
31.500000	92.059	157.1765
32.000000	92.013	156.6852
32.500000	91.966	156.1757
33.000000	91.918	155.6790
33.500000	91.869	155.1754
34.000000	91.821	154.6874
34.500000	91.775	154.1869
35.000000	91.729	153.6901
35.500000	91.683	153.1935
36.000000	91.637	152.7120
36.500000	91.593	152.2371
37.000000	91.549	151.7618
37.500000	91.503	151.2981
38.200001	91.436	150.6899
38.700001	91.390	150.2831
39.500000	91.320	149.6202
40.000000	91.272	149.1984
40.599998	91.212	148.7086
41.200001	91.152	148.2480
41.799999	91.094	147.7874
42.500000	91.025	147.2400
43.099998	90.964	146.7866
43.700001	90.902	146.3488
44.400002	90.832	145.8499
45.000000	90.771	145.4341
45.500000	90.721	145.0962
46.200001	90.653	144.6218
46.799999	90.595	144.2008
47.500000	90.522	143.7057
48.200001	90.447	143.2318
48.700001	90.394	142.9067
49.400002	90.320	142.4570
50.000000	90.257	142.0791
50.799999	90.173	141.5955
51.500000	90.103	141.1853
52.200001	90.033	140.7676
53.000000	89.950	140.2923
53.799999	89.863	139.8468
54.500000	89.787	139.4796
55.200001	89.711	139.1185
56.000000	89.625	138.6967
57.000000	89.513	138.1760
58.000000	89.408	137.6422
59.000000	89.293	137.0047
60.000000	89.155	136.5654
60.799999	89.072	136.3860
61.500000	89.022	136.1368
62.200001	88.966	135.7814
63.000000	88.887	135.3926
64.000000	88.786	134.9888
65.000000	88.684	134.6086
66.000000	88.579	134.2525
67.000000	88.473	133.9029
68.000000	88.366	133.5615
69.000000	88.259	133.2116
70.000000	88.151	132.8618
71.000000	88.043	132.5318
72.000000	87.936	132.2159
73.000000	87.831	131.9194
74.000000	87.726	131.6317
75.000000	87.621	131.3626
76.199997	87.497	131.0707
77.500000	87.365	130.7581
78.800003	87.233	130.4448
80.000000	87.110	130.1843
81.199997	86.991	129.9367
82.500000	86.859	129.6569
83.800003	86.724	129.4142
85.000000	86.601	129.2184
86.199997	86.479	129.0348
87.500000	86.348	128.8439
88.500000	86.248	128.7063
90.000000	86.100	128.5111
91.199997	85.980	128.3465
92.500000	85.845	128.2170
93.800003	85.716	128.1212
95.000000	85.598	128.0239
96.199997	85.480	127.9413
97.500000	85.355	127.8673
98.800003	85.232	127.8127
100.000000	85.121	127.7724
101.500000	84.982	127.7391
103.000000	84.842	127.7226
104.400002	84.712	127.7276
106.000000	84.564	127.7596
107.500000	84.430	127.7953
109.000000	84.296	127.8368
110.599998	84.153	127.9070
112.000000	84.027	127.9950
113.800003	83.868	128.1280
115.000000	83.765	128.2225
117.199997	83.578	128.4077
118.000000	83.512	128.4879
120.599998	83.298	128.8110
122.000000	83.188	129.0106
124.099998	83.027	129.3019
125.000000	82.959	129.4229
126.500000	82.846	129.6450
128.000000	82.736	129.9044
131.500000	82.481	130.5635
132.000000	82.445	130.6609
134.000000	82.306	131.0299
136.000000	82.178	131.3674
138.000000	82.059	131.7108
140.000000	81.936	132.1139
143.000000	81.742	132.8258
145.000000	81.615	133.2985
147.500000	81.472	133.8145
150.000000	81.338	134.3396
152.500000	81.201	134.9402
155.000000	81.065	135.6453
157.500000	80.951	136.3251
160.000000	80.845	136.9555
162.500000	80.738	137.5898
165.000000	80.635	138.2228
167.500000	80.536	138.8503
170.000000	80.437	139.4932
172.500000	80.338	140.1103
175.000000	80.252	140.7352
177.500000	80.184	141.3921
180.000000	80.118	142.1008
182.500000	80.046	142.7640
185.000000	79.973	143.3358
187.500000	79.909	143.8535
190.000000	79.849	144.4564
192.500000	79.789	145.0852
195.000000	79.729	145.6788
197.500000	79.679	146.2580
200.000000	79.640	146.8297
203.000000	79.599	147.5324
206.000000	79.563	148.1723
209.000000	79.526	148.8160
212.000000	79.493	149.5416
214.000000	79.474	150.0092
218.000000	79.440	150.8317
220.000000	79.429	151.1578
224.000000	79.410	151.7940
227.000000	79.393	152.3142
230.000000	79.370	152.8008
233.000000	79.346	153.2261
236.000000	79.329	153.6309
240.000000	79.309	154.1635
243.000000	79.293	154.5669
247.000000	79.274	155.0472
250.000000	79.261	155.4178
254.000000	79.245	155.9097
258.000000	79.223	156.3686
262.000000	79.205	156.8321
265.000000	79.192	157.1856
269.000000	79.178	157.6191
272.000000	79.170	157.8974
276.000000	79.154	158.2093
280.000000	79.130	158.5775
285.000000	79.107	159.0779
290.000000	79.090	159.5113
295.000000	79.068	159.9300
300.000000	79.050	160.3331
304.000000	79.039	160.6376
307.000000	79.031	160.8448
311.000000	79.019	161.1154
315.000000	79.005	161.4010
320.000000	78.985	161.7523
325.000000	78.967	162.0824
330.000000	78.949	162.4099
335.000000	78.929	162.7412
340.000000	78.910	163.0550
345.000000	78.891	163.3765
350.000000	78.868	163.7055
355.000000	78.843	163.9767
360.000000	78.823	164.2476
365.000000	78.806	164.5657
370.000000	78.789	164.8741
375.000000	78.772	165.1671
382.000000	78.748	165.5675
387.000000	78.732	165.8463
395.000000	78.707	166.2656
400.000000	78.693	166.5414
406.000000	78.680	166.8837
412.000000	78.668	167.1641
418.000000	78.653	167.4153
425.000000	78.638	167.7261
431.000000	78.623	167.9597
437.000000	78.601	168.1472
444.000000	78.573	168.3713
450.000000	78.548	168.5663
455.000000	78.524	168.7236
462.000000	78.487	168.9738
468.000000	78.454	169.2251
475.000000	78.416	169.5264
482.000000	78.378	169.8248
487.000000	78.350	170.0547
494.000000	78.313	170.3913
500.000000	78.281	170.6840
508.000000	78.241	171.0772
515.000000	78.210	171.4418
522.000000	78.181	171.8194
530.000000	78.147	172.2306
