* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 6:56:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, Gate Nrw)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.074	171.1153
20.299999	94.069	170.6404
20.600000	94.062	170.1859
20.900000	94.053	169.7497
21.200001	94.042	169.3214
21.400000	94.033	169.0412
21.799999	94.013	168.4967
22.000000	94.002	168.2273
22.400000	93.975	167.6582
22.700001	93.952	167.2423
23.000000	93.926	166.8347
23.299999	93.899	166.3957
23.600000	93.871	165.9676
24.000000	93.833	165.4156
24.299999	93.805	164.9733
24.700001	93.769	164.3921
25.000000	93.742	163.9645
25.400000	93.709	163.3588
25.799999	93.677	162.7666
26.200001	93.647	162.1793
26.500000	93.625	161.7412
26.900000	93.597	161.1720
27.200001	93.576	160.7574
27.600000	93.549	160.2198
28.000000	93.523	159.6979
28.500000	93.491	159.0838
29.000000	93.457	158.4921
29.500000	93.421	157.9310
30.000000	93.383	157.3912
30.400000	93.350	156.9703
30.700001	93.325	156.6614
31.100000	93.291	156.2526
31.500000	93.255	155.8354
32.000000	93.207	155.3246
32.500000	93.157	154.8015
33.000000	93.107	154.2953
33.500000	93.058	153.7747
34.000000	93.009	153.2580
34.500000	92.961	152.7271
35.000000	92.912	152.2099
35.500000	92.864	151.7051
36.000000	92.817	151.2228
36.500000	92.774	150.7508
37.000000	92.733	150.2769
37.500000	92.690	149.8033
38.200001	92.626	149.1561
38.700001	92.577	148.7246
39.500000	92.501	148.0675
40.000000	92.454	147.6554
40.599998	92.395	147.1482
41.200001	92.332	146.6534
41.799999	92.268	146.1783
42.500000	92.197	145.6298
43.099998	92.137	145.1568
43.700001	92.077	144.6829
44.400002	92.007	144.1338
45.000000	91.946	143.6615
45.500000	91.891	143.2785
46.200001	91.814	142.7908
46.799999	91.751	142.4089
47.500000	91.683	141.9516
48.200001	91.614	141.4725
48.700001	91.563	141.1346
49.400002	91.492	140.6676
50.000000	91.431	140.2682
50.799999	91.349	139.7535
51.500000	91.282	139.3170
52.200001	91.216	138.8757
53.000000	91.137	138.4389
53.799999	91.079	138.0447
54.500000	91.037	137.5417
55.200001	90.965	136.9200
56.000000	90.845	136.4088
57.000000	90.718	136.0990
58.000000	90.619	135.6740
59.000000	90.507	135.1728
60.000000	90.394	134.6996
60.799999	90.303	134.3226
61.500000	90.227	134.0014
62.200001	90.154	133.6788
63.000000	90.072	133.3077
64.000000	89.970	132.8527
65.000000	89.868	132.4142
66.000000	89.764	132.0078
67.000000	89.660	131.6218
68.000000	89.554	131.2447
69.000000	89.448	130.8823
70.000000	89.343	130.5177
71.000000	89.236	130.1527
72.000000	89.130	129.8087
73.000000	89.027	129.4718
74.000000	88.923	129.1350
75.000000	88.819	128.8251
76.199997	88.698	128.4771
77.500000	88.567	128.0896
78.800003	88.432	127.7172
80.000000	88.307	127.3997
81.199997	88.182	127.1157
82.500000	88.053	126.8286
83.800003	87.924	126.5361
85.000000	87.805	126.2816
86.199997	87.686	126.0309
87.500000	87.556	125.7615
88.500000	87.454	125.5716
90.000000	87.302	125.3254
91.199997	87.184	125.1448
92.500000	87.058	124.9555
93.800003	86.934	124.7695
95.000000	86.818	124.6011
96.199997	86.701	124.4524
97.500000	86.575	124.3210
98.800003	86.450	124.2042
100.000000	86.336	124.1022
101.500000	86.193	123.9851
103.000000	86.051	123.8936
104.400002	85.921	123.8248
106.000000	85.775	123.7476
107.500000	85.638	123.6896
109.000000	85.502	123.6461
110.599998	85.357	123.6188
112.000000	85.233	123.6227
113.800003	85.075	123.6425
115.000000	84.970	123.6761
117.199997	84.779	123.7477
118.000000	84.709	123.7765
120.599998	84.484	123.9138
122.000000	84.369	124.0060
124.099998	84.201	124.1584
125.000000	84.130	124.2321
126.500000	84.012	124.3574
128.000000	83.893	124.4894
131.500000	83.618	124.8340
132.000000	83.580	124.8875
134.000000	83.430	125.1334
136.000000	83.284	125.4253
138.000000	83.137	125.7446
140.000000	82.995	126.0508
143.000000	82.779	126.4475
145.000000	82.640	126.7841
147.500000	82.471	127.2414
150.000000	82.304	127.7836
152.500000	82.150	128.3809
155.000000	82.009	128.9780
157.500000	81.878	129.5607
160.000000	81.757	130.1133
162.500000	81.641	130.6406
165.000000	81.526	131.1667
167.500000	81.407	131.6498
170.000000	81.291	132.1561
172.500000	81.185	132.7098
175.000000	81.077	133.2746
177.500000	80.965	133.8385
180.000000	80.857	134.3972
182.500000	80.762	134.9768
185.000000	80.679	135.5380
187.500000	80.594	136.0819
190.000000	80.510	136.6229
192.500000	80.429	137.1642
195.000000	80.352	137.7183
197.500000	80.276	138.2761
200.000000	80.203	138.8297
203.000000	80.117	139.5320
206.000000	80.029	140.3001
209.000000	79.941	141.0366
212.000000	79.863	141.7711
214.000000	79.827	142.3333
218.000000	79.781	143.4471
220.000000	79.760	143.8809
224.000000	79.737	144.6119
227.000000	79.724	145.0478
230.000000	79.692	145.4922
233.000000	79.653	145.9429
236.000000	79.618	146.3963
240.000000	79.573	146.9995
243.000000	79.535	147.4777
247.000000	79.494	148.0960
250.000000	79.468	148.4827
254.000000	79.435	149.0012
258.000000	79.403	149.5434
262.000000	79.370	150.0906
265.000000	79.347	150.4708
269.000000	79.320	150.9744
272.000000	79.298	151.3379
276.000000	79.271	151.8000
280.000000	79.242	152.2386
285.000000	79.208	152.7507
290.000000	79.182	153.2154
295.000000	79.160	153.6528
300.000000	79.134	154.1031
304.000000	79.107	154.4892
307.000000	79.092	154.7382
311.000000	79.072	155.0459
315.000000	79.050	155.3557
320.000000	79.022	155.7468
325.000000	78.999	156.1127
330.000000	78.975	156.4653
335.000000	78.944	156.8070
340.000000	78.908	157.1274
345.000000	78.875	157.4575
350.000000	78.843	157.8378
355.000000	78.814	158.2488
360.000000	78.792	158.6161
365.000000	78.777	158.9543
370.000000	78.762	159.2621
375.000000	78.742	159.5288
382.000000	78.709	159.8882
387.000000	78.685	160.1770
395.000000	78.640	160.6358
400.000000	78.614	160.9059
406.000000	78.588	161.2136
412.000000	78.559	161.5002
418.000000	78.527	161.7462
425.000000	78.488	162.0626
431.000000	78.450	162.3647
437.000000	78.414	162.6569
444.000000	78.373	163.0233
450.000000	78.336	163.3415
455.000000	78.305	163.6042
462.000000	78.265	163.9775
468.000000	78.233	164.2957
475.000000	78.196	164.6573
482.000000	78.158	165.0194
487.000000	78.131	165.2744
494.000000	78.095	165.6488
500.000000	78.063	165.9832
508.000000	78.021	166.4029
515.000000	77.987	166.7726
522.000000	77.953	167.1498
530.000000	77.916	167.5691
538.000000	77.878	168.0009
545.000000	77.845	168.3815
552.000000	77.814	168.7633
560.000000	77.779	169.2090
570.000000	77.733	169.7717
580.000000	77.688	170.3329
590.000000	77.647	170.8961
600.000000	77.607	171.4618
608.000000	77.574	171.9088
615.000000	77.547	172.3088
622.000000	77.522	172.7226
630.000000	77.494	173.1969
640.000000	77.459	173.7836
650.000000	77.427	174.3716
660.000000	77.396	174.9714
670.000000	77.367	175.5839
680.000000	77.339	176.1972
690.000000	77.313	176.8054
700.000000	77.290	177.4205
710.000000	77.269	178.0489
720.000000	77.248	178.6940
730.000000	77.230	179.3375
740.000000	77.216	179.9749
750.000000	77.203	-179.3800
762.000000	77.191	-178.5901
775.000000	77.181	-177.7383
788.000000	77.177	-176.8843
800.000000	77.176	-176.0816
812.000000	77.180	-175.2824
825.000000	77.189	-174.4265
838.000000	77.204	-173.5727
850.000000	77.222	-172.7830
862.000000	77.244	-171.9965
875.000000	77.273	-171.1542
885.000000	77.300	-170.5178
900.000000	77.344	-169.5809
912.000000	77.383	-168.8510
925.000000	77.430	-168.0731
938.000000	77.481	-167.3055
950.000000	77.531	-166.6165
962.000000	77.586	-165.9528
975.000000	77.648	-165.2582
988.000000	77.713	-164.5891
1000.000000	77.776	-163.9983
1015.000000	77.860	-163.2881
1030.000000	77.948	-162.6127
1044.000000	78.032	-162.0229
1060.000000	78.130	-161.4010
1075.000000	78.223	-160.8713
1090.000000	78.317	-160.3866
1106.000000	78.416	-159.9185
1120.000000	78.502	-159.5443
1138.000000	78.610	-159.1125
1150.000000	78.680	-158.8513
1172.000000	78.804	-158.4177
1180.000000	78.847	-158.2738
1206.000000	78.980	-157.8470
1220.000000	79.048	-157.6332
1241.000000	79.144	-157.3343
1250.000000	79.183	-157.2076
1265.000000	79.247	-156.9944
1280.000000	79.308	-156.7825
1315.000000	79.443	-156.2731
1320.000000	79.462	-156.1987
1340.000000	79.536	-155.8931
1360.000000	79.610	-155.5749
1380.000000	79.683	-155.2509
1400.000000	79.756	-154.9158
1430.000000	79.869	-154.3817
1450.000000	79.948	-154.0214
1475.000000	80.051	-153.5667
1500.000000	80.159	-153.1109
1525.000000	80.273	-152.6736
1550.000000	80.396	-152.2684
1575.000000	80.526	-151.9009
