* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 6:58:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Gate Nrw)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.572	169.2633
20.299999	93.565	168.7946
20.600000	93.555	168.3439
20.900000	93.544	167.9092
21.200001	93.530	167.4810
21.400000	93.519	167.2007
21.799999	93.495	166.6579
22.000000	93.482	166.3911
22.400000	93.450	165.8326
22.700001	93.425	165.4283
23.000000	93.398	165.0331
23.299999	93.370	164.6041
23.600000	93.342	164.1815
24.000000	93.303	163.6298
24.299999	93.274	163.1849
24.700001	93.234	162.6030
25.000000	93.205	162.1799
25.400000	93.169	161.5870
25.799999	93.134	161.0110
26.200001	93.102	160.4377
26.500000	93.079	160.0072
26.900000	93.049	159.4450
27.200001	93.027	159.0354
27.600000	92.998	158.5050
28.000000	92.969	157.9909
28.500000	92.934	157.3840
29.000000	92.898	156.7947
29.500000	92.859	156.2314
30.000000	92.818	155.6848
30.400000	92.782	155.2554
30.700001	92.755	154.9402
31.100000	92.716	154.5264
31.500000	92.675	154.1113
32.000000	92.622	153.6127
32.500000	92.569	153.1031
33.000000	92.517	152.6008
33.500000	92.465	152.0754
34.000000	92.413	151.5566
34.500000	92.361	151.0334
35.000000	92.310	150.5264
35.500000	92.261	150.0189
36.000000	92.213	149.5167
36.500000	92.164	149.0248
37.000000	92.114	148.5564
37.500000	92.065	148.1219
38.200001	92.000	147.5447
38.700001	91.955	147.1322
39.500000	91.878	146.4460
40.000000	91.825	146.0182
40.599998	91.755	145.5243
41.200001	91.686	145.0610
41.799999	91.619	144.6013
42.500000	91.542	144.0418
43.099998	91.474	143.5584
43.700001	91.406	143.0873
44.400002	91.331	142.5450
45.000000	91.267	142.0686
45.500000	91.212	141.6736
46.200001	91.132	141.1601
46.799999	91.064	140.7615
47.500000	90.987	140.3191
48.200001	90.911	139.8840
48.700001	90.855	139.5741
49.400002	90.774	139.1443
50.000000	90.701	138.7899
50.799999	90.605	138.3178
51.500000	90.519	137.8952
52.200001	90.431	137.4996
53.000000	90.341	137.0415
53.799999	90.249	136.4678
54.500000	90.145	136.0153
55.200001	90.045	135.7949
56.000000	89.977	135.6282
57.000000	89.917	135.1144
58.000000	89.823	134.5291
59.000000	89.727	134.0614
60.000000	89.627	133.5904
60.799999	89.541	133.2236
61.500000	89.462	132.9167
62.200001	89.382	132.6188
63.000000	89.291	132.2834
64.000000	89.177	131.8661
65.000000	89.064	131.4524
66.000000	88.954	131.0399
67.000000	88.844	130.6463
68.000000	88.735	130.2819
69.000000	88.628	129.9374
70.000000	88.520	129.5992
71.000000	88.410	129.2703
72.000000	88.299	128.9574
73.000000	88.188	128.6535
74.000000	88.077	128.3602
75.000000	87.967	128.0777
76.199997	87.837	127.7453
77.500000	87.695	127.4165
78.800003	87.554	127.1120
80.000000	87.424	126.8607
81.199997	87.297	126.6345
82.500000	87.161	126.3835
83.800003	87.024	126.1370
85.000000	86.898	125.9326
86.199997	86.772	125.7360
87.500000	86.634	125.5411
88.500000	86.529	125.4146
90.000000	86.377	125.2314
91.199997	86.254	125.0779
92.500000	86.119	124.9407
93.800003	85.986	124.8422
95.000000	85.866	124.7473
96.199997	85.744	124.6654
97.500000	85.614	124.5884
98.800003	85.484	124.5186
100.000000	85.365	124.4744
101.500000	85.218	124.4525
103.000000	85.075	124.4514
104.400002	84.943	124.4443
106.000000	84.790	124.4607
107.500000	84.649	124.5153
109.000000	84.512	124.5825
110.599998	84.368	124.6605
112.000000	84.242	124.7416
113.800003	84.082	124.8593
115.000000	83.979	124.9474
117.199997	83.796	125.0938
118.000000	83.729	125.1433
120.599998	83.505	125.4141
122.000000	83.387	125.6264
124.099998	83.216	125.9085
125.000000	83.142	126.0211
126.500000	83.024	126.2189
128.000000	82.908	126.4253
131.500000	82.641	127.0252
132.000000	82.603	127.1158
134.000000	82.450	127.4683
136.000000	82.309	127.7818
138.000000	82.183	128.0270
140.000000	82.053	128.2877
143.000000	81.846	129.0676
145.000000	81.717	129.6282
147.500000	81.552	130.2223
150.000000	81.396	130.7731
152.500000	81.246	131.3064
155.000000	81.099	131.9279
157.500000	80.956	132.6915
160.000000	80.817	133.5780
162.500000	80.673	134.4438
165.000000	80.567	135.3684
167.500000	80.532	136.1184
170.000000	80.501	136.6992
172.500000	80.425	137.2949
175.000000	80.322	137.8723
177.500000	80.233	138.3982
180.000000	80.164	138.9484
182.500000	80.098	139.5978
185.000000	80.023	140.2070
187.500000	79.950	140.7481
190.000000	79.884	141.2618
192.500000	79.816	141.8725
195.000000	79.747	142.5174
197.500000	79.680	143.1298
200.000000	79.631	143.7045
203.000000	79.588	144.3107
206.000000	79.544	144.9505
209.000000	79.506	145.5699
212.000000	79.473	146.1090
214.000000	79.452	146.5090
218.000000	79.417	147.3146
220.000000	79.395	147.6422
224.000000	79.348	148.3331
227.000000	79.313	148.8702
230.000000	79.277	149.3774
233.000000	79.250	149.8542
236.000000	79.231	150.3144
240.000000	79.205	150.9287
243.000000	79.180	151.3689
247.000000	79.154	151.9324
250.000000	79.136	152.3317
254.000000	79.109	152.8770
258.000000	79.086	153.3846
262.000000	79.068	153.8470
265.000000	79.052	154.1864
269.000000	79.032	154.6453
272.000000	79.017	154.9575
276.000000	78.994	155.3746
280.000000	78.972	155.7923
285.000000	78.953	156.2970
290.000000	78.934	156.7428
295.000000	78.913	157.1996
300.000000	78.897	157.6309
304.000000	78.886	157.9612
307.000000	78.877	158.2065
311.000000	78.864	158.5120
315.000000	78.850	158.7994
320.000000	78.835	159.1567
325.000000	78.819	159.4669
330.000000	78.799	159.7657
335.000000	78.776	160.0631
340.000000	78.753	160.3602
345.000000	78.728	160.6437
350.000000	78.705	160.9201
355.000000	78.682	161.2198
360.000000	78.657	161.5107
365.000000	78.632	161.8054
370.000000	78.608	162.1061
375.000000	78.583	162.4047
382.000000	78.549	162.8133
387.000000	78.527	163.1078
395.000000	78.495	163.5741
400.000000	78.477	163.8578
406.000000	78.459	164.1953
412.000000	78.442	164.5466
418.000000	78.426	164.8681
425.000000	78.408	165.2046
431.000000	78.392	165.4654
437.000000	78.376	165.6880
444.000000	78.354	165.9406
450.000000	78.334	166.1507
455.000000	78.316	166.3281
462.000000	78.285	166.5825
468.000000	78.256	166.7847
475.000000	78.220	167.0204
482.000000	78.183	167.2580
487.000000	78.154	167.4333
494.000000	78.112	167.6965
500.000000	78.075	167.9308
508.000000	78.022	168.2813
515.000000	77.978	168.6157
522.000000	77.936	168.9869
530.000000	77.892	169.4258
538.000000	77.851	169.8600
545.000000	77.816	170.2332
552.000000	77.782	170.6094
560.000000	77.746	171.0600
570.000000	77.705	171.6436
580.000000	77.668	172.2094
590.000000	77.632	172.7717
600.000000	77.598	173.3094
608.000000	77.571	173.7465
615.000000	77.549	174.1216
622.000000	77.528	174.4985
630.000000	77.503	174.9344
640.000000	77.473	175.4789
650.000000	77.444	176.0249
660.000000	77.415	176.5662
670.000000	77.385	177.1257
680.000000	77.353	177.7043
690.000000	77.324	178.3087
700.000000	77.301	178.9433
710.000000	77.283	179.5731
720.000000	77.266	-179.8041
730.000000	77.252	-179.1789
740.000000	77.241	-178.5557
750.000000	77.231	-177.9288
762.000000	77.222	-177.1759
775.000000	77.216	-176.3593
788.000000	77.216	-175.5316
800.000000	77.219	-174.7650
812.000000	77.224	-173.9907
825.000000	77.236	-173.1598
838.000000	77.254	-172.3389
850.000000	77.275	-171.5784
862.000000	77.301	-170.8170
875.000000	77.333	-170.0020
885.000000	77.361	-169.3808
900.000000	77.409	-168.4690
912.000000	77.451	-167.7578
925.000000	77.502	-167.0008
938.000000	77.558	-166.2700
950.000000	77.614	-165.6150
962.000000	77.673	-164.9821
975.000000	77.741	-164.3211
988.000000	77.813	-163.6875
1000.000000	77.882	-163.1276
1015.000000	77.971	-162.4738
1030.000000	78.064	-161.8725
1044.000000	78.151	-161.3530
1060.000000	78.251	-160.8033
1075.000000	78.346	-160.3361
1090.000000	78.441	-159.9198
1106.000000	78.540	-159.5247
1120.000000	78.625	-159.2207
1138.000000	78.730	-158.8722
1150.000000	78.796	-158.6537
1172.000000	78.912	-158.2620
1180.000000	78.954	-158.1260
1206.000000	79.089	-157.7402
1220.000000	79.159	-157.5600
1241.000000	79.258	-157.3184
1250.000000	79.298	-157.2215
1265.000000	79.363	-157.0626
1280.000000	79.424	-156.9053
1315.000000	79.561	-156.5386
1320.000000	79.580	-156.4860
1340.000000	79.653	-156.2726
1360.000000	79.723	-156.0488
1380.000000	79.791	-155.8128
1400.000000	79.857	-155.5701
1430.000000	79.956	-155.1774
1450.000000	80.024	-154.8956
1475.000000	80.111	-154.5303
1500.000000	80.200	-154.1535
1525.000000	80.294	-153.7706
1550.000000	80.394	-153.3854
1575.000000	80.502	-153.0110
1600.000000	80.616	-152.6633
1625.000000	80.735	-152.3617
1650.000000	80.857	-152.1113
1675.000000	80.982	-151.9177
1700.000000	81.107	-151.7917
1725.000000	81.231	-151.7214
1750.000000	81.352	-151.6975
1775.000000	81.467	-151.7220
1800.000000	81.576	-151.7809
1825.000000	81.679	-151.8635
1850.000000	81.776	-151.9594
1875.000000	81.868	-152.0636
1900.000000	81.954	-152.1684
1925.000000	82.037	-152.2620
1950.000000	82.116	-152.3414
1975.000000	82.192	-152.4085
2000.000000	82.268	-152.4661
2030.000000	82.357	-152.5261
2060.000000	82.447	-152.5768
2090.000000	82.537	-152.6154
2120.000000	82.628	-152.6489
2140.000000	82.689	-152.6755
2180.000000	82.812	-152.7314
2200.000000	82.875	-152.7602
2240.000000	83.003	-152.8305
2270.000000	83.100	-152.8998
2300.000000	83.197	-152.9813
2330.000000	83.296	-153.0779
2360.000000	83.395	-153.1940
2400.000000	83.528	-153.3776
2430.000000	83.628	-153.5399
2470.000000	83.761	-153.7872
2500.000000	83.860	-153.9951
2540.000000	83.991	-154.3092
2580.000000	84.119	-154.6551
2620.000000	84.247	-155.0371
2650.000000	84.340	-155.3465
2690.000000	84.464	-155.7865
2720.000000	84.555	-156.1410
2760.000000	84.673	-156.6478
2800.000000	84.788	-157.1904
2850.000000	84.925	-157.9195
2900.000000	85.057	-158.6984
2950.000000	85.180	-159.5379
3000.000000	85.295	-160.4249
3040.000000	85.381	-161.1697
3070.000000	85.440	-161.7458
3110.000000	85.511	-162.5292
3150.000000	85.575	-163.3295
3200.000000	85.644	-164.3389
3250.000000	85.701	-165.3496
3300.000000	85.749	-166.3597
3350.000000	85.787	-167.3590
3400.000000	85.816	-168.3534
3450.000000	85.836	-169.3345
3500.000000	85.848	-170.3015
3550.000000	85.851	-171.2522
3600.000000	85.847	-172.1800
3650.000000	85.836	-173.0847
3700.000000	85.819	-173.9621
3750.000000	85.795	-174.8137
3820.000000	85.753	-175.9627
3870.000000	85.717	-176.7531
3950.000000	85.651	-177.9618
4000.000000	85.605	-178.6764
4060.000000	85.545	-179.5027
4120.000000	85.481	179.7112
4180.000000	85.413	178.9584
4250.000000	85.329	178.1234
4310.000000	85.253	177.4519
4370.000000	85.174	176.8148
4440.000000	85.079	176.1184
4500.000000	84.996	175.5631
4550.000000	84.926	175.1280
4620.000000	84.828	174.5652
4680.000000	84.746	174.1176
4750.000000	84.654	173.6251
4820.000000	84.565	173.1429
4870.000000	84.502	172.7938
4940.000000	84.412	172.2959
5000.000000	84.331	171.8663
5080.000000	84.217	171.3129
5150.000000	84.112	170.8645
5220.000000	84.004	170.4560
5300.000000	83.878	170.0392
5380.000000	83.750	169.6840
5450.000000	83.637	169.4214
5520.000000	83.526	169.2051
5600.000000	83.400	169.0124
5700.000000	83.247	168.8487
5800.000000	83.101	168.7787
5900.000000	82.966	168.7899
6000.000000	82.842	168.8415
6080.000000	82.750	168.9142
6150.000000	82.673	169.0073
6220.000000	82.601	169.1271
6300.000000	82.523	169.3033
6400.000000	82.434	169.6135
6500.000000	82.359	170.0515
6600.000000	82.311	170.6419
6700.000000	82.306	171.3457
6800.000000	82.354	172.0589
6900.000000	82.456	172.6494
7000.000000	82.604	173.0200
7100.000000	82.785	173.1408
7200.000000	83.001	172.9860
7300.000000	83.242	172.4740
7400.000000	83.500	171.6150
7500.000000	83.774	170.3662
7620.000000	84.118	168.2336
