* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 22, 2025 11:36:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, Gate Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.064	170.6327
20.299999	95.058	170.1664
20.600000	95.050	169.7202
20.900000	95.041	169.2918
21.200001	95.029	168.8708
21.400000	95.020	168.5953
21.799999	94.998	168.0605
22.000000	94.986	167.7965
22.400000	94.957	167.2407
22.700001	94.933	166.8367
23.000000	94.908	166.4415
23.299999	94.881	166.0142
23.600000	94.853	165.5955
24.000000	94.816	165.0513
24.299999	94.788	164.6116
24.700001	94.752	164.0315
25.000000	94.726	163.6042
25.400000	94.692	162.9995
25.799999	94.659	162.4099
26.200001	94.627	161.8279
26.500000	94.605	161.3961
26.900000	94.576	160.8383
27.200001	94.555	160.4342
27.600000	94.528	159.9108
28.000000	94.502	159.4013
28.500000	94.470	158.7979
29.000000	94.437	158.2128
29.500000	94.400	157.6580
30.000000	94.361	157.1256
30.400000	94.328	156.7113
30.700001	94.302	156.4080
31.100000	94.266	156.0081
31.500000	94.229	155.6025
32.000000	94.180	155.1096
32.500000	94.129	154.6040
33.000000	94.079	154.1091
33.500000	94.029	153.5927
34.000000	93.980	153.0780
34.500000	93.931	152.5500
35.000000	93.882	152.0333
35.500000	93.834	151.5196
36.000000	93.787	151.0191
36.500000	93.741	150.5319
37.000000	93.695	150.0597
37.500000	93.650	149.6051
38.200001	93.587	148.9863
38.700001	93.540	148.5604
39.500000	93.463	147.9099
40.000000	93.415	147.5186
40.599998	93.357	147.0456
41.200001	93.296	146.5710
41.799999	93.234	146.0982
42.500000	93.159	145.5572
43.099998	93.097	145.1042
43.700001	93.035	144.6502
44.400002	92.963	144.1210
45.000000	92.901	143.6799
45.500000	92.849	143.3292
46.200001	92.781	142.8575
46.799999	92.724	142.4503
47.500000	92.656	141.9701
48.200001	92.584	141.5081
48.700001	92.532	141.1893
49.400002	92.458	140.7474
50.000000	92.393	140.3781
50.799999	92.307	139.8889
51.500000	92.230	139.4502
52.200001	92.152	139.0169
53.000000	92.067	138.5049
53.799999	91.974	137.9241
54.500000	91.875	137.4865
55.200001	91.782	137.2361
56.000000	91.713	136.9881
57.000000	91.641	136.4367
58.000000	91.545	135.8781
59.000000	91.454	135.3862
60.000000	91.355	134.8734
60.799999	91.271	134.5001
61.500000	91.196	134.1901
62.200001	91.121	133.8837
63.000000	91.034	133.5453
64.000000	90.926	133.1269
65.000000	90.820	132.7023
66.000000	90.713	132.2839
67.000000	90.607	131.8791
68.000000	90.502	131.5094
69.000000	90.400	131.1617
70.000000	90.297	130.8162
71.000000	90.193	130.4949
72.000000	90.089	130.1849
73.000000	89.986	129.8681
74.000000	89.880	129.5544
75.000000	89.774	129.2534
76.199997	89.649	128.9119
77.500000	89.517	128.5522
78.800003	89.386	128.1987
80.000000	89.264	127.8947
81.199997	89.143	127.6204
82.500000	89.011	127.3400
83.800003	88.879	127.0847
85.000000	88.759	126.8610
86.199997	88.640	126.6412
87.500000	88.511	126.3902
88.500000	88.410	126.2074
90.000000	88.262	125.9603
91.199997	88.144	125.7929
92.500000	88.020	125.6324
93.800003	87.897	125.4761
95.000000	87.782	125.3410
96.199997	87.665	125.2184
97.500000	87.538	125.0996
98.800003	87.413	125.0052
100.000000	87.301	124.9344
101.500000	87.164	124.8575
103.000000	87.029	124.7907
104.400002	86.904	124.7375
106.000000	86.760	124.6882
107.500000	86.627	124.6445
109.000000	86.492	124.5993
110.599998	86.346	124.6160
112.000000	86.223	124.6646
113.800003	86.068	124.7137
115.000000	85.963	124.7438
117.199997	85.770	124.8719
118.000000	85.704	124.9340
120.599998	85.501	125.1078
122.000000	85.391	125.1929
124.099998	85.224	125.3767
125.000000	85.154	125.4717
126.500000	85.039	125.6197
128.000000	84.926	125.7587
131.500000	84.670	126.0977
132.000000	84.634	126.1586
134.000000	84.493	126.4199
136.000000	84.350	126.6967
138.000000	84.207	127.0212
140.000000	84.079	127.3204
143.000000	83.883	127.7213
145.000000	83.753	128.0771
147.500000	83.592	128.5228
150.000000	83.436	128.9913
152.500000	83.295	129.4785
155.000000	83.162	129.9633
157.500000	83.028	130.4731
160.000000	82.897	130.9877
162.500000	82.769	131.4962
165.000000	82.648	132.0157
167.500000	82.532	132.5339
170.000000	82.421	133.0514
172.500000	82.314	133.5745
175.000000	82.213	134.0955
177.500000	82.111	134.6307
180.000000	82.010	135.1812
182.500000	81.910	135.7191
185.000000	81.811	136.2545
187.500000	81.719	136.8430
190.000000	81.634	137.4421
192.500000	81.545	138.0399
195.000000	81.457	138.6323
197.500000	81.379	139.2780
200.000000	81.328	140.0690
203.000000	81.288	140.9919
206.000000	81.219	141.6196
209.000000	81.132	142.1284
212.000000	81.059	142.9810
214.000000	81.030	143.6273
218.000000	80.987	144.6968
220.000000	80.979	145.0201
224.000000	80.964	145.5808
227.000000	80.952	146.0394
230.000000	80.933	146.3789
233.000000	80.902	146.7128
236.000000	80.867	147.1320
240.000000	80.822	147.7259
243.000000	80.796	148.1401
247.000000	80.764	148.7027
250.000000	80.737	149.1244
254.000000	80.707	149.6431
258.000000	80.688	150.1382
262.000000	80.668	150.6226
265.000000	80.650	150.9232
269.000000	80.625	151.2546
272.000000	80.607	151.5341
276.000000	80.581	151.9241
280.000000	80.553	152.2965
285.000000	80.523	152.7152
290.000000	80.492	153.1192
295.000000	80.459	153.5193
300.000000	80.427	153.9450
304.000000	80.402	154.2501
307.000000	80.386	154.4673
311.000000	80.361	154.7512
315.000000	80.333	155.0322
320.000000	80.306	155.3843
325.000000	80.279	155.7641
330.000000	80.248	156.1004
335.000000	80.223	156.4195
340.000000	80.196	156.7346
345.000000	80.169	157.0461
350.000000	80.143	157.3403
355.000000	80.116	157.5978
360.000000	80.090	157.8704
365.000000	80.064	158.1478
370.000000	80.039	158.4000
375.000000	80.015	158.6261
382.000000	79.978	158.9231
387.000000	79.950	159.1161
395.000000	79.904	159.4113
400.000000	79.872	159.6185
406.000000	79.828	159.8877
412.000000	79.782	160.1517
418.000000	79.736	160.4131
425.000000	79.682	160.7451
431.000000	79.641	161.0485
437.000000	79.600	161.3758
444.000000	79.554	161.7623
450.000000	79.516	162.0660
455.000000	79.487	162.3055
462.000000	79.448	162.6736
468.000000	79.413	162.9974
475.000000	79.371	163.3620
482.000000	79.330	163.7093
487.000000	79.301	163.9619
494.000000	79.261	164.3286
500.000000	79.228	164.6389
508.000000	79.182	165.0422
515.000000	79.143	165.4048
522.000000	79.105	165.7610
530.000000	79.063	166.1487
538.000000	79.022	166.5811
545.000000	78.987	166.9737
552.000000	78.953	167.3699
560.000000	78.917	167.8219
570.000000	78.873	168.3726
580.000000	78.831	168.9065
590.000000	78.788	169.4392
600.000000	78.746	169.9619
608.000000	78.713	170.3875
615.000000	78.684	170.7764
622.000000	78.655	171.1649
630.000000	78.624	171.6115
640.000000	78.587	172.1873
650.000000	78.552	172.7675
660.000000	78.519	173.3504
670.000000	78.487	173.9331
680.000000	78.456	174.5180
