* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 22, 2025 11:40:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Gate Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.484	169.5858
20.299999	94.475	169.1270
20.600000	94.465	168.6851
20.900000	94.452	168.2603
21.200001	94.437	167.8446
21.400000	94.426	167.5743
21.799999	94.402	167.0525
22.000000	94.389	166.7950
22.400000	94.360	166.2471
22.700001	94.337	165.8419
23.000000	94.312	165.4392
23.299999	94.285	164.9995
23.600000	94.257	164.5667
24.000000	94.218	164.0067
24.299999	94.189	163.5601
24.700001	94.150	162.9776
25.000000	94.123	162.5521
25.400000	94.088	161.9509
25.799999	94.055	161.3626
26.200001	94.024	160.7780
26.500000	94.001	160.3420
26.900000	93.971	159.7769
27.200001	93.949	159.3672
27.600000	93.920	158.8371
28.000000	93.892	158.3227
28.500000	93.858	157.7162
29.000000	93.822	157.1304
29.500000	93.784	156.5741
30.000000	93.744	156.0365
30.400000	93.710	155.6153
30.700001	93.683	155.3063
31.100000	93.646	154.9006
31.500000	93.607	154.4926
32.000000	93.556	153.9997
32.500000	93.505	153.4929
33.000000	93.454	152.9933
33.500000	93.402	152.4730
34.000000	93.350	151.9615
34.500000	93.298	151.4450
35.000000	93.247	150.9416
35.500000	93.197	150.4361
36.000000	93.147	149.9381
36.500000	93.098	149.4523
37.000000	93.048	148.9849
37.500000	92.999	148.5395
38.200001	92.932	147.9368
38.700001	92.883	147.5187
39.500000	92.805	146.8624
40.000000	92.754	146.4606
40.599998	92.691	145.9835
41.200001	92.627	145.5215
41.799999	92.562	145.0674
42.500000	92.487	144.5375
43.099998	92.423	144.0858
43.700001	92.358	143.6343
44.400002	92.283	143.1145
45.000000	92.220	142.6762
45.500000	92.168	142.3122
46.200001	92.096	141.7972
46.799999	92.031	141.3565
47.500000	91.953	140.8705
48.200001	91.876	140.4246
48.700001	91.822	140.1206
49.400002	91.748	139.7061
50.000000	91.685	139.3590
50.799999	91.600	138.8898
51.500000	91.520	138.4915
52.200001	91.439	138.1204
53.000000	91.345	137.6907
53.799999	91.239	137.3078
54.500000	91.154	137.0864
55.200001	91.094	136.8392
56.000000	91.032	136.3277
57.000000	90.915	135.5908
58.000000	90.790	135.0287
59.000000	90.677	134.5071
60.000000	90.568	134.0238
60.799999	90.484	133.6472
61.500000	90.410	133.3198
62.200001	90.334	133.0157
63.000000	90.246	132.6958
64.000000	90.137	132.3140
65.000000	90.027	131.9412
66.000000	89.917	131.5645
67.000000	89.805	131.1924
68.000000	89.695	130.8329
69.000000	89.586	130.4766
70.000000	89.476	130.1432
71.000000	89.369	129.8257
72.000000	89.261	129.5102
73.000000	89.151	129.2244
74.000000	89.043	128.9611
75.000000	88.936	128.6950
76.199997	88.807	128.3800
77.500000	88.666	128.0688
78.800003	88.528	127.7847
80.000000	88.401	127.5296
81.199997	88.274	127.2938
82.500000	88.137	127.0424
83.800003	87.999	126.8021
85.000000	87.873	126.5983
86.199997	87.747	126.4082
87.500000	87.613	126.2262
88.500000	87.512	126.1029
90.000000	87.362	125.9241
91.199997	87.242	125.7790
92.500000	87.108	125.6391
93.800003	86.975	125.5485
95.000000	86.857	125.4847
96.199997	86.740	125.4130
97.500000	86.614	125.3471
98.800003	86.488	125.2997
100.000000	86.372	125.2646
101.500000	86.228	125.2283
103.000000	86.083	125.2139
104.400002	85.950	125.2193
106.000000	85.800	125.2471
107.500000	85.663	125.2873
109.000000	85.527	125.3233
110.599998	85.381	125.3911
112.000000	85.255	125.4898
113.800003	85.099	125.6285
115.000000	84.994	125.7216
117.199997	84.805	125.9468
118.000000	84.738	126.0309
120.599998	84.522	126.3057
122.000000	84.408	126.4805
124.099998	84.243	126.7427
125.000000	84.173	126.8608
126.500000	84.057	127.0667
128.000000	83.943	127.2974
131.500000	83.688	127.8860
132.000000	83.651	127.9783
134.000000	83.504	128.3732
136.000000	83.360	128.7443
138.000000	83.218	129.0748
140.000000	83.083	129.4266
143.000000	82.902	130.0894
145.000000	82.784	130.5616
147.500000	82.632	131.1597
150.000000	82.485	131.7140
152.500000	82.351	132.2739
155.000000	82.220	132.8386
157.500000	82.085	133.4759
160.000000	81.954	134.1334
162.500000	81.828	134.7697
165.000000	81.709	135.4353
167.500000	81.597	136.1494
170.000000	81.493	136.9296
172.500000	81.398	137.7516
175.000000	81.314	138.5535
177.500000	81.244	139.3114
180.000000	81.192	140.0233
182.500000	81.156	140.7528
185.000000	81.123	141.4359
187.500000	81.084	142.0146
190.000000	81.032	142.4704
192.500000	80.980	142.9846
195.000000	80.940	143.5217
197.500000	80.899	144.0242
200.000000	80.859	144.4824
203.000000	80.809	145.0583
206.000000	80.764	145.7144
209.000000	80.705	146.2411
212.000000	80.643	146.7167
214.000000	80.613	147.0281
218.000000	80.576	147.7866
220.000000	80.561	148.1944
224.000000	80.530	148.9161
227.000000	80.501	149.3703
230.000000	80.478	149.8456
233.000000	80.460	150.2563
236.000000	80.434	150.6199
240.000000	80.391	151.1111
243.000000	80.362	151.5398
247.000000	80.325	152.0999
250.000000	80.298	152.5132
254.000000	80.272	153.1539
258.000000	80.260	153.7532
262.000000	80.255	154.1873
265.000000	80.249	154.4708
269.000000	80.231	154.8139
272.000000	80.214	155.0529
276.000000	80.196	155.4087
280.000000	80.188	155.8007
285.000000	80.178	156.2379
290.000000	80.158	156.6632
295.000000	80.130	157.0604
300.000000	80.105	157.3902
304.000000	80.090	157.6572
307.000000	80.079	157.8608
311.000000	80.064	158.1297
315.000000	80.048	158.3804
320.000000	80.025	158.6941
325.000000	80.000	159.0046
330.000000	79.975	159.3149
335.000000	79.949	159.6017
340.000000	79.924	159.8854
345.000000	79.903	160.1609
350.000000	79.880	160.4255
355.000000	79.855	160.7119
360.000000	79.829	161.0046
365.000000	79.804	161.2808
370.000000	79.778	161.5572
375.000000	79.750	161.8376
382.000000	79.713	162.2171
387.000000	79.687	162.5021
395.000000	79.652	162.9614
400.000000	79.632	163.2421
406.000000	79.610	163.5833
412.000000	79.590	163.9209
418.000000	79.572	164.2369
425.000000	79.554	164.5593
431.000000	79.541	164.8268
437.000000	79.527	165.0770
444.000000	79.507	165.3077
450.000000	79.486	165.4742
455.000000	79.465	165.6139
462.000000	79.433	165.8205
468.000000	79.405	166.0016
475.000000	79.371	166.2245
482.000000	79.335	166.4554
487.000000	79.307	166.6230
494.000000	79.265	166.8704
500.000000	79.228	167.0953
508.000000	79.177	167.4354
515.000000	79.133	167.7452
522.000000	79.090	168.0754
530.000000	79.044	168.4608
538.000000	78.999	168.8467
545.000000	78.961	169.2036
552.000000	78.926	169.5831
560.000000	78.890	170.0312
570.000000	78.848	170.5926
580.000000	78.809	171.1227
590.000000	78.770	171.6396
600.000000	78.734	172.1630
608.000000	78.706	172.5765
615.000000	78.681	172.9361
622.000000	78.658	173.3035
630.000000	78.630	173.7304
640.000000	78.597	174.2609
650.000000	78.567	174.7982
660.000000	78.537	175.3487
670.000000	78.508	175.9068
680.000000	78.480	176.4684
690.000000	78.456	177.0339
700.000000	78.434	177.6069
710.000000	78.414	178.1884
720.000000	78.394	178.7699
730.000000	78.377	179.3598
740.000000	78.362	179.9626
750.000000	78.350	-179.4305
762.000000	78.338	-178.7024
775.000000	78.330	-177.9157
788.000000	78.326	-177.1150
800.000000	78.327	-176.3600
812.000000	78.332	-175.6097
825.000000	78.341	-174.8048
838.000000	78.357	-174.0014
850.000000	78.375	-173.2637
862.000000	78.398	-172.5233
875.000000	78.429	-171.7236
885.000000	78.456	-171.1212
900.000000	78.503	-170.2374
912.000000	78.543	-169.5416
925.000000	78.593	-168.8014
938.000000	78.649	-168.0862
950.000000	78.704	-167.4495
962.000000	78.762	-166.8378
975.000000	78.829	-166.2023
988.000000	78.901	-165.6027
1000.000000	78.969	-165.0816
1015.000000	79.058	-164.4771
1030.000000	79.149	-163.9261
1044.000000	79.236	-163.4520
1060.000000	79.335	-162.9670
1075.000000	79.426	-162.5731
1090.000000	79.515	-162.2316
1106.000000	79.603	-161.9015
1120.000000	79.675	-161.6287
1138.000000	79.765	-161.2820
1150.000000	79.825	-161.0472
1172.000000	79.936	-160.6387
1180.000000	79.976	-160.5015
1206.000000	80.106	-160.1193
1220.000000	80.173	-159.9484
1241.000000	80.268	-159.7164
1250.000000	80.307	-159.6217
1265.000000	80.370	-159.4711
