* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 15, 2025 8:50:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, LTC Black)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.533	178.4423
20.600000	93.533	178.0193
20.900000	93.530	177.5419
21.200001	93.525	177.0732
21.400000	93.521	176.7700
21.799999	93.513	176.1882
22.000000	93.508	175.9047
22.400000	93.492	175.3035
22.700001	93.477	174.8623
23.000000	93.459	174.4266
23.299999	93.439	173.9564
23.600000	93.419	173.4962
24.000000	93.392	172.9042
24.299999	93.372	172.4320
24.700001	93.346	171.8188
25.000000	93.326	171.3729
25.400000	93.301	170.7471
25.799999	93.277	170.1415
26.200001	93.254	169.5441
26.500000	93.238	169.0982
26.900000	93.217	168.5157
27.200001	93.201	168.0879
27.600000	93.181	167.5286
28.000000	93.162	166.9843
28.500000	93.139	166.3471
29.000000	93.114	165.7467
29.500000	93.085	165.1870
30.000000	93.054	164.6473
30.400000	93.027	164.2194
30.700001	93.006	163.9022
31.100000	92.977	163.4817
31.500000	92.945	163.0577
32.000000	92.904	162.5470
32.500000	92.862	162.0226
33.000000	92.820	161.5111
33.500000	92.778	160.9797
34.000000	92.735	160.4537
34.500000	92.692	159.9230
35.000000	92.648	159.4139
35.500000	92.606	158.9205
36.000000	92.564	158.4444
36.500000	92.523	157.9734
37.000000	92.483	157.5029
37.500000	92.443	157.0426
38.200001	92.386	156.4168
38.700001	92.346	155.9845
39.500000	92.281	155.3109
40.000000	92.241	154.9119
40.599998	92.190	154.4515
41.200001	92.137	154.0067
41.799999	92.082	153.5575
42.500000	92.016	153.0221
43.099998	91.958	152.5642
43.700001	91.902	152.1119
44.400002	91.838	151.6052
45.000000	91.782	151.1868
45.500000	91.736	150.8478
46.200001	91.674	150.3915
46.799999	91.624	150.0090
47.500000	91.563	149.5522
48.200001	91.496	149.0894
48.700001	91.446	148.7713
49.400002	91.379	148.3521
50.000000	91.323	148.0082
50.799999	91.245	147.5451
51.500000	91.177	147.1419
52.200001	91.110	146.7529
53.000000	91.034	146.3237
53.799999	90.957	145.9088
54.500000	90.893	145.5570
55.200001	90.827	145.1949
56.000000	90.749	144.7873
57.000000	90.654	144.3267
58.000000	90.557	143.8460
59.000000	90.486	143.6135
60.000000	90.423	143.4473
60.799999	90.330	142.9381
61.500000	90.239	142.4157
62.200001	90.163	142.0505
63.000000	90.089	141.7469
64.000000	89.991	141.3638
65.000000	89.896	141.0161
66.000000	89.803	140.6593
67.000000	89.709	140.3122
68.000000	89.614	139.9692
69.000000	89.519	139.6437
70.000000	89.424	139.3450
71.000000	89.329	139.0476
72.000000	89.238	138.7614
