* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 15, 2025 8:52:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, LTC Black)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.682	177.8759
20.600000	92.681	177.4768
20.900000	92.677	177.0249
21.200001	92.672	176.5800
21.400000	92.667	176.2910
21.799999	92.658	175.7338
22.000000	92.652	175.4611
22.400000	92.635	174.8817
22.700001	92.619	174.4588
23.000000	92.601	174.0437
23.299999	92.581	173.5960
23.600000	92.561	173.1582
24.000000	92.533	172.5924
24.299999	92.513	172.1355
24.700001	92.485	171.5364
25.000000	92.464	171.0978
25.400000	92.437	170.4807
25.799999	92.411	169.8854
26.200001	92.386	169.3017
26.500000	92.369	168.8688
26.900000	92.347	168.3072
27.200001	92.332	167.8981
27.600000	92.312	167.3667
28.000000	92.294	166.8513
28.500000	92.271	166.2449
29.000000	92.246	165.6644
29.500000	92.219	165.1167
30.000000	92.189	164.5910
30.400000	92.162	164.1806
30.700001	92.140	163.8799
31.100000	92.109	163.4825
31.500000	92.076	163.0780
32.000000	92.035	162.5809
32.500000	91.994	162.0599
33.000000	91.953	161.5545
33.500000	91.912	161.0470
34.000000	91.871	160.5642
34.500000	91.830	160.0769
35.000000	91.788	159.5869
35.500000	91.747	159.0834
36.000000	91.705	158.5875
36.500000	91.665	158.1096
37.000000	91.625	157.6496
37.500000	91.586	157.2063
38.200001	91.531	156.6084
38.700001	91.491	156.2088
39.500000	91.422	155.6004
40.000000	91.377	155.2265
40.599998	91.323	154.7747
41.200001	91.270	154.3371
41.799999	91.215	153.9056
42.500000	91.150	153.3911
43.099998	91.094	152.9474
43.700001	91.041	152.5143
44.400002	90.977	152.0309
45.000000	90.921	151.6176
45.500000	90.875	151.2759
46.200001	90.810	150.8353
46.799999	90.754	150.4937
47.500000	90.691	150.0774
48.200001	90.631	149.6127
48.700001	90.588	149.2822
49.400002	90.524	148.8613
50.000000	90.468	148.5300
50.799999	90.394	148.0827
51.500000	90.330	147.6925
52.200001	90.264	147.3122
53.000000	90.190	146.8845
53.799999	90.116	146.4782
54.500000	90.048	146.1489
55.200001	89.983	145.8263
56.000000	89.911	145.4434
57.000000	89.808	144.9420
58.000000	89.713	144.4811
59.000000	89.578	144.0652
60.000000	89.434	143.6198
60.799999	89.396	143.2862
61.500000	89.378	143.0287
62.200001	89.330	142.7748
63.000000	89.257	142.4776
64.000000	89.170	142.1165
65.000000	89.072	141.7722
66.000000	88.977	141.4337
67.000000	88.883	141.0981
68.000000	88.791	140.7773
69.000000	88.698	140.4686
70.000000	88.605	140.1670
71.000000	88.514	139.8931
72.000000	88.424	139.6429
73.000000	88.334	139.3827
74.000000	88.243	139.1211
75.000000	88.153	138.8935
76.199997	88.046	138.6333
77.500000	87.931	138.3531
78.800003	87.814	138.1151
80.000000	87.701	137.8748
81.199997	87.593	137.6388
82.500000	87.481	137.4405
83.800003	87.369	137.2455
