* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 15, 2025 1:46:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, LTC Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.119	175.6581
20.600000	95.116	175.2195
20.900000	95.110	174.7197
21.200001	95.102	174.2247
21.400000	95.096	173.9032
21.799999	95.084	173.2865
22.000000	95.076	172.9874
22.400000	95.054	172.3596
22.700001	95.034	171.9027
23.000000	95.012	171.4545
23.299999	94.989	170.9751
23.600000	94.966	170.5087
24.000000	94.937	169.9118
24.299999	94.914	169.4365
24.700001	94.884	168.8163
25.000000	94.861	168.3607
25.400000	94.831	167.7154
25.799999	94.802	167.0850
26.200001	94.775	166.4627
26.500000	94.757	166.0014
26.900000	94.732	165.4049
27.200001	94.713	164.9717
27.600000	94.689	164.4093
28.000000	94.665	163.8623
28.500000	94.636	163.2160
29.000000	94.607	162.5989
29.500000	94.575	162.0199
30.000000	94.541	161.4650
30.400000	94.511	161.0289
30.700001	94.487	160.7072
31.100000	94.454	160.2819
31.500000	94.419	159.8544
32.000000	94.373	159.3412
32.500000	94.326	158.8134
33.000000	94.278	158.2928
33.500000	94.229	157.7482
34.000000	94.181	157.2143
34.500000	94.134	156.6857
35.000000	94.086	156.1785
35.500000	94.040	155.6717
36.000000	93.996	155.1664
36.500000	93.951	154.6675
37.000000	93.907	154.1851
37.500000	93.863	153.7258
38.200001	93.800	153.1038
38.700001	93.755	152.6780
39.500000	93.683	152.0327
40.000000	93.636	151.6437
40.599998	93.577	151.1647
41.200001	93.516	150.6841
41.799999	93.455	150.2165
42.500000	93.384	149.6901
43.099998	93.323	149.2399
43.700001	93.263	148.7813
44.400002	93.194	148.2634
45.000000	93.134	147.8395
45.500000	93.084	147.4900
46.200001	93.017	146.9975
46.799999	92.962	146.5813
47.500000	92.894	146.1189
48.200001	92.818	145.6828
48.700001	92.764	145.3799
49.400002	92.693	144.9579
50.000000	92.634	144.5982
50.799999	92.552	144.1207
51.500000	92.479	143.7186
52.200001	92.408	143.3361
53.000000	92.326	142.9111
53.799999	92.244	142.4807
54.500000	92.174	142.1028
55.200001	92.103	141.7377
56.000000	92.020	141.3401
57.000000	91.920	140.8631
58.000000	91.818	140.3964
59.000000	91.726	139.8312
60.000000	91.643	139.2690
60.799999	91.555	139.0011
61.500000	91.471	138.8192
62.200001	91.394	138.5774
63.000000	91.313	138.2602
64.000000	91.213	137.9028
65.000000	91.115	137.5444
66.000000	91.015	137.1808
67.000000	90.914	136.8299
68.000000	90.815	136.4994
69.000000	90.716	136.1964
70.000000	90.618	135.9062
71.000000	90.518	135.6184
72.000000	90.418	135.3361
73.000000	90.320	135.0694
74.000000	90.226	134.8161
75.000000	90.132	134.5647
76.199997	90.016	134.2594
77.500000	89.891	133.9406
78.800003	89.767	133.6662
80.000000	89.653	133.4480
81.199997	89.538	133.2266
82.500000	89.416	132.9936
