* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 15, 2025 1:49:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, LTC Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.672	173.6795
20.600000	94.665	173.2641
20.900000	94.655	172.7883
21.200001	94.644	172.3153
21.400000	94.636	172.0072
21.799999	94.621	171.4149
22.000000	94.612	171.1272
22.400000	94.588	170.5220
22.700001	94.566	170.0821
23.000000	94.542	169.6506
23.299999	94.516	169.1868
23.600000	94.490	168.7339
24.000000	94.455	168.1513
24.299999	94.428	167.6849
24.700001	94.392	167.0763
25.000000	94.366	166.6309
25.400000	94.331	166.0021
25.799999	94.298	165.3905
26.200001	94.268	164.7864
26.500000	94.247	164.3365
26.900000	94.220	163.7515
27.200001	94.200	163.3246
27.600000	94.174	162.7703
28.000000	94.148	162.2347
28.500000	94.117	161.6107
29.000000	94.084	161.0217
29.500000	94.049	160.4676
30.000000	94.010	159.9281
30.400000	93.977	159.4994
30.700001	93.950	159.1834
31.100000	93.914	158.7683
31.500000	93.876	158.3531
32.000000	93.827	157.8529
32.500000	93.779	157.3326
33.000000	93.728	156.8226
33.500000	93.676	156.3024
34.000000	93.623	155.8027
34.500000	93.571	155.2995
35.000000	93.521	154.7959
35.500000	93.473	154.2791
36.000000	93.426	153.7707
36.500000	93.378	153.2860
37.000000	93.331	152.8277
37.500000	93.285	152.3894
38.200001	93.223	151.7843
38.700001	93.178	151.3668
39.500000	93.103	150.7379
40.000000	93.053	150.3650
40.599998	92.991	149.9118
41.200001	92.927	149.4531
41.799999	92.864	148.9917
42.500000	92.791	148.4634
43.099998	92.727	148.0254
43.700001	92.663	147.5920
44.400002	92.588	147.0963
45.000000	92.527	146.6790
45.500000	92.476	146.3358
46.200001	92.402	145.8672
46.799999	92.336	145.4806
47.500000	92.262	145.0456
48.200001	92.193	144.6226
48.700001	92.144	144.3245
49.400002	92.072	143.9105
50.000000	92.010	143.5647
50.799999	91.926	143.1204
51.500000	91.850	142.7423
52.200001	91.774	142.3577
53.000000	91.689	141.9241
53.799999	91.606	141.5193
54.500000	91.533	141.1790
55.200001	91.460	140.8495
56.000000	91.377	140.4945
57.000000	91.274	140.0571
58.000000	91.167	139.6231
59.000000	91.074	139.0855
60.000000	90.991	138.5090
60.799999	90.900	138.2459
61.500000	90.813	138.0951
62.200001	90.735	137.8873
63.000000	90.652	137.6002
64.000000	90.545	137.2755
65.000000	90.443	136.9442
66.000000	90.341	136.6021
67.000000	90.239	136.2673
68.000000	90.138	135.9464
69.000000	90.038	135.6606
70.000000	89.938	135.3952
71.000000	89.836	135.1385
72.000000	89.736	134.8951
73.000000	89.637	134.6524
74.000000	89.539	134.4195
75.000000	89.442	134.2023
76.199997	89.325	133.9411
77.500000	89.195	133.6741
78.800003	89.066	133.4366
80.000000	88.951	133.2240
81.199997	88.840	133.0522
82.500000	88.719	132.8811
83.800003	88.596	132.6985
85.000000	88.483	132.5495
86.199997	88.375	132.4140
87.500000	88.257	132.2776
88.500000	88.166	132.1847
90.000000	88.029	132.0611
91.199997	87.923	131.9755
92.500000	87.809	131.8629
93.800003	87.698	131.7630
95.000000	87.595	131.7102
96.199997	87.489	131.6953
97.500000	87.377	131.6765
98.800003	87.266	131.6495
100.000000	87.166	131.6302
101.500000	87.045	131.6328
103.000000	86.925	131.6600
104.400002	86.813	131.6919
106.000000	86.686	131.7417
107.500000	86.569	131.7927
109.000000	86.454	131.8578
110.599998	86.332	131.9384
112.000000	86.228	132.0074
113.800003	86.096	132.1255
115.000000	86.009	132.2146
117.199997	85.853	132.4172
118.000000	85.797	132.4865
120.599998	85.622	132.7083
122.000000	85.531	132.8572
124.099998	85.396	133.0870
125.000000	85.338	133.1860
126.500000	85.244	133.3623
128.000000	85.151	133.5499
131.500000	84.943	134.0077
