* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Apr 30, 2025 5:32:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, OS300)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.814	173.9880
20.600000	93.809	173.5537
20.900000	93.801	173.0576
21.200001	93.791	172.5637
21.400000	93.784	172.2412
21.799999	93.769	171.6193
22.000000	93.760	171.3173
22.400000	93.739	170.6863
22.700001	93.719	170.2299
23.000000	93.697	169.7832
23.299999	93.674	169.3036
23.600000	93.649	168.8320
24.000000	93.616	168.2185
24.299999	93.590	167.7249
24.700001	93.556	167.0783
25.000000	93.530	166.6060
25.400000	93.497	165.9463
25.799999	93.465	165.3092
26.200001	93.436	164.6829
26.500000	93.415	164.2168
26.900000	93.388	163.6092
27.200001	93.368	163.1642
27.600000	93.342	162.5835
28.000000	93.317	162.0188
28.500000	93.286	161.3546
29.000000	93.254	160.7234
29.500000	93.219	160.1289
30.000000	93.181	159.5532
30.400000	93.149	159.0984
30.700001	93.124	158.7638
31.100000	93.090	158.3251
31.500000	93.054	157.8881
32.000000	93.006	157.3639
32.500000	92.955	156.8209
33.000000	92.903	156.2823
33.500000	92.852	155.7198
34.000000	92.801	155.1660
34.500000	92.751	154.6102
35.000000	92.702	154.0702
35.500000	92.653	153.5341
36.000000	92.605	153.0094
36.500000	92.558	152.4974
37.000000	92.512	152.0028
37.500000	92.466	151.5339
38.200001	92.399	150.9070
38.700001	92.351	150.4711
39.500000	92.273	149.7732
40.000000	92.225	149.3468
40.599998	92.163	148.8511
41.200001	92.096	148.3777
41.799999	92.029	147.9028
42.500000	91.955	147.3312
43.099998	91.892	146.8443
43.700001	91.827	146.3735
44.400002	91.754	145.8493
45.000000	91.696	145.4031
45.500000	91.649	145.0297
46.200001	91.578	144.5191
46.799999	91.512	144.0988
47.500000	91.435	143.6211
48.200001	91.361	143.1560
48.700001	91.309	142.8323
49.400002	91.236	142.3838
50.000000	91.172	142.0024
50.799999	91.088	141.4979
51.500000	91.013	141.0693
52.200001	90.937	140.6546
53.000000	90.849	140.1943
53.799999	90.761	139.7430
54.500000	90.687	139.3595
55.200001	90.612	138.9789
56.000000	90.524	138.5504
57.000000	90.418	138.0464
58.000000	90.309	137.5345
59.000000	90.225	137.1877
60.000000	90.154	136.9585
60.799999	90.052	136.5357
61.500000	89.950	136.0607
62.200001	89.865	135.6685
63.000000	89.781	135.3199
64.000000	89.673	134.8986
65.000000	89.569	134.5132
66.000000	89.464	134.1459
67.000000	89.356	133.7839
68.000000	89.249	133.4322
69.000000	89.144	133.0915
70.000000	89.039	132.7666
71.000000	88.935	132.4490
72.000000	88.833	132.1378
73.000000	88.731	131.8479
74.000000	88.627	131.5717
75.000000	88.523	131.2953
76.199997	88.402	130.9780
77.500000	88.272	130.6755
78.800003	88.140	130.3783
80.000000	88.018	130.0861
81.199997	87.898	129.8291
82.500000	87.769	129.6040
83.800003	87.638	129.3802
85.000000	87.520	129.1682
86.199997	87.403	128.9701
87.500000	87.279	128.7690
88.500000	87.183	128.6225
90.000000	87.038	128.4153
91.199997	86.924	128.2543
92.500000	86.803	128.0913
93.800003	86.683	127.9530
95.000000	86.572	127.8465
96.199997	86.462	127.7735
97.500000	86.341	127.7168
98.800003	86.222	127.6479
100.000000	86.114	127.5810
101.500000	85.981	127.5190
103.000000	85.850	127.4737
104.400002	85.729	127.4397
106.000000	85.590	127.4202
107.500000	85.461	127.4170
109.000000	85.336	127.4282
110.599998	85.205	127.4541
112.000000	85.089	127.4850
113.800003	84.942	127.5398
115.000000	84.845	127.5891
117.199997	84.670	127.7056
118.000000	84.608	127.7584
120.599998	84.411	127.9327
122.000000	84.302	128.0288
124.099998	84.147	128.1937
125.000000	84.080	128.2701
126.500000	83.969	128.4159
128.000000	83.860	128.5782
131.500000	83.614	128.9585
132.000000	83.579	129.0188
134.000000	83.440	129.2839
136.000000	83.300	129.5644
138.000000	83.168	129.8577
140.000000	83.037	130.1664
143.000000	82.845	130.6658
145.000000	82.720	131.0387
147.500000	82.584	131.6429
150.000000	82.466	132.2330
152.500000	82.356	132.6799
155.000000	82.242	133.0302
157.500000	82.123	133.4150
160.000000	82.004	133.8235
162.500000	81.887	134.2596
165.000000	81.772	134.6964
167.500000	81.663	135.1622
170.000000	81.559	135.6475
172.500000	81.458	136.1347
175.000000	81.362	136.6413
177.500000	81.267	137.1598
180.000000	81.177	137.6611
182.500000	81.094	138.1563
185.000000	81.016	138.6436
187.500000	80.941	139.1152
190.000000	80.870	139.6030
192.500000	80.804	140.1031
195.000000	80.737	140.5995
197.500000	80.672	141.0863
200.000000	80.609	141.5687
203.000000	80.537	142.1133
206.000000	80.468	142.6364
209.000000	80.400	143.1623
212.000000	80.336	143.6638
214.000000	80.296	143.9976
218.000000	80.221	144.6472
220.000000	80.185	144.9716
224.000000	80.118	145.6295
227.000000	80.069	146.1125
230.000000	80.018	146.5916
233.000000	79.969	147.0528
236.000000	79.925	147.5106
240.000000	79.872	148.1140
243.000000	79.835	148.5622
247.000000	79.787	149.1374
250.000000	79.753	149.5591
254.000000	79.713	150.0999
258.000000	79.678	150.6269
262.000000	79.645	151.1510
265.000000	79.622	151.5198
269.000000	79.591	151.9731
272.000000	79.568	152.2891
276.000000	79.538	152.6898
280.000000	79.507	153.0816
285.000000	79.467	153.5587
290.000000	79.426	154.0396
295.000000	79.384	154.5079
300.000000	79.345	154.9567
304.000000	79.314	155.3196
307.000000	79.293	155.5869
311.000000	79.264	155.9267
315.000000	79.236	156.2634
320.000000	79.200	156.6800
325.000000	79.167	157.0970
330.000000	79.137	157.5062
335.000000	79.107	157.8880
340.000000	79.078	158.2582
345.000000	79.047	158.6271
350.000000	79.017	158.9961
355.000000	78.987	159.3553
360.000000	78.959	159.7182
365.000000	78.929	160.0682
370.000000	78.899	160.4115
375.000000	78.872	160.7564
382.000000	78.834	161.2326
387.000000	78.809	161.5699
395.000000	78.768	162.1100
400.000000	78.744	162.4461
406.000000	78.716	162.8429
412.000000	78.687	163.2301
418.000000	78.658	163.6060
425.000000	78.627	164.0620
431.000000	78.605	164.4424
437.000000	78.586	164.8092
444.000000	78.562	165.2151
450.000000	78.544	165.5505
455.000000	78.528	165.8222
462.000000	78.505	166.1771
468.000000	78.484	166.4656
475.000000	78.460	166.7927
482.000000	78.435	167.1067
487.000000	78.415	167.3227
494.000000	78.384	167.6125
500.000000	78.355	167.8580
508.000000	78.311	168.2056
515.000000	78.267	168.5250
522.000000	78.220	168.8779
530.000000	78.166	169.3465
538.000000	78.117	169.8800
545.000000	78.082	170.3664
552.000000	78.052	170.8652
