* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Apr 30, 2025 5:38:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, OS300)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.643	174.4147
20.600000	92.638	174.0056
20.900000	92.628	173.5396
21.200001	92.615	173.0769
21.400000	92.606	172.7745
21.799999	92.588	172.1884
22.000000	92.579	171.9009
22.400000	92.556	171.2921
22.700001	92.535	170.8479
23.000000	92.513	170.4120
23.299999	92.488	169.9446
23.600000	92.462	169.4889
24.000000	92.428	168.9031
24.299999	92.403	168.4340
24.700001	92.369	167.8202
25.000000	92.343	167.3696
25.400000	92.311	166.7330
25.799999	92.278	166.1151
26.200001	92.248	165.5093
26.500000	92.228	165.0621
26.900000	92.202	164.4842
27.200001	92.183	164.0630
27.600000	92.159	163.5137
28.000000	92.134	162.9783
28.500000	92.102	162.3472
29.000000	92.068	161.7436
29.500000	92.033	161.1679
30.000000	91.996	160.6074
30.400000	91.964	160.1716
30.700001	91.939	159.8588
31.100000	91.903	159.4568
31.500000	91.865	159.0549
32.000000	91.815	158.5534
32.500000	91.764	158.0064
33.000000	91.714	157.4597
33.500000	91.666	156.9117
34.000000	91.617	156.3977
34.500000	91.567	155.8879
35.000000	91.519	155.3828
35.500000	91.472	154.8696
36.000000	91.426	154.3637
36.500000	91.380	153.8707
37.000000	91.335	153.3951
37.500000	91.290	152.9460
38.200001	91.225	152.3513
38.700001	91.177	151.9383
39.500000	91.098	151.2674
40.000000	91.050	150.8551
40.599998	90.992	150.3777
41.200001	90.934	149.9220
41.799999	90.873	149.4691
42.500000	90.799	148.9394
43.099998	90.734	148.4856
43.700001	90.670	148.0220
44.400002	90.597	147.4946
45.000000	90.537	147.0789
45.500000	90.488	146.7525
46.200001	90.419	146.2928
46.799999	90.356	145.8847
47.500000	90.282	145.4127
48.200001	90.211	144.9607
48.700001	90.160	144.6464
49.400002	90.089	144.2159
50.000000	90.028	143.8639
50.799999	89.946	143.4107
51.500000	89.874	143.0157
52.200001	89.800	142.6235
53.000000	89.716	142.2103
53.799999	89.633	141.8096
54.500000	89.559	141.4252
55.200001	89.483	141.0420
56.000000	89.393	140.6413
57.000000	89.292	140.1472
58.000000	89.192	139.7149
59.000000	89.105	139.0753
60.000000	89.030	138.3248
60.799999	88.938	138.1436
61.500000	88.846	138.1328
62.200001	88.765	137.9787
63.000000	88.684	137.6796
64.000000	88.576	137.3313
65.000000	88.469	136.9437
66.000000	88.365	136.5865
67.000000	88.263	136.2679
68.000000	88.162	135.9464
69.000000	88.061	135.6306
70.000000	87.961	135.3274
71.000000	87.857	135.0415
72.000000	87.755	134.7567
73.000000	87.659	134.4968
74.000000	87.562	134.2603
75.000000	87.461	134.0177
76.199997	87.343	133.7326
77.500000	87.217	133.4487
78.800003	87.092	133.2128
80.000000	86.974	133.0070
81.199997	86.858	132.7910
82.500000	86.734	132.5735
83.800003	86.611	132.3814
