* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Apr 15, 2025 2:59:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, ST35)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.840	170.6717
20.600000	94.833	170.2528
20.900000	94.821	169.7739
21.200001	94.808	169.2971
21.400000	94.799	168.9855
21.799999	94.779	168.3839
22.000000	94.769	168.0913
22.400000	94.742	167.4783
22.700001	94.719	167.0361
23.000000	94.695	166.6052
23.299999	94.670	166.1431
23.600000	94.644	165.6906
24.000000	94.609	165.1035
24.299999	94.582	164.6294
24.700001	94.546	164.0080
25.000000	94.518	163.5538
25.400000	94.482	162.9169
25.799999	94.448	162.3012
26.200001	94.416	161.6943
26.500000	94.394	161.2418
26.900000	94.365	160.6522
27.200001	94.345	160.2216
27.600000	94.319	159.6622
28.000000	94.293	159.1195
28.500000	94.260	158.4784
29.000000	94.226	157.8593
29.500000	94.189	157.2674
30.000000	94.149	156.6943
30.400000	94.115	156.2473
30.700001	94.089	155.9221
31.100000	94.052	155.4973
31.500000	94.014	155.0718
32.000000	93.966	154.5560
32.500000	93.915	154.0212
33.000000	93.863	153.5007
33.500000	93.810	152.9680
34.000000	93.759	152.4448
34.500000	93.708	151.9075
35.000000	93.658	151.3706
35.500000	93.608	150.8305
36.000000	93.559	150.3038
36.500000	93.512	149.7929
37.000000	93.466	149.2970
37.500000	93.421	148.8203
38.200001	93.357	148.1766
38.700001	93.310	147.7321
39.500000	93.231	147.0314
40.000000	93.181	146.6039
40.599998	93.120	146.0955
41.200001	93.056	145.5942
41.799999	92.992	145.0942
42.500000	92.921	144.5253
43.099998	92.862	144.0545
43.700001	92.799	143.5771
44.400002	92.717	143.0069
45.000000	92.647	142.5178
45.500000	92.592	142.1184
46.200001	92.517	141.5756
46.799999	92.452	141.1244
47.500000	92.375	140.6155
48.200001	92.298	140.1243
48.700001	92.242	139.7791
49.400002	92.162	139.2976
50.000000	92.095	138.8886
50.799999	92.006	138.3445
51.500000	91.926	137.8787
52.200001	91.844	137.4314
53.000000	91.750	136.9360
53.799999	91.655	136.4468
54.500000	91.569	136.0257
55.200001	91.480	135.6024
56.000000	91.377	135.1284
57.000000	91.249	134.5757
58.000000	91.116	134.0359
59.000000	90.979	133.6856
60.000000	90.834	133.4338
60.799999	90.707	133.0964
61.500000	90.598	132.8449
62.200001	90.499	132.7657
63.000000	90.400	132.8421
64.000000	90.307	133.0413
65.000000	90.254	133.1584
66.000000	90.226	133.0058
67.000000	90.201	132.6377
68.000000	90.159	132.1112
69.000000	90.099	131.5087
70.000000	90.023	130.9208
71.000000	89.934	130.3658
72.000000	89.836	129.8429
73.000000	89.732	129.3527
74.000000	89.627	128.8968
75.000000	89.522	128.4771
76.199997	89.395	128.0109
77.500000	89.255	127.5309
78.800003	89.114	127.0798
80.000000	88.986	126.7024
81.199997	88.858	126.3428
82.500000	88.716	125.9756
83.800003	88.574	125.6302
85.000000	88.445	125.3200
86.199997	88.317	125.0326
87.500000	88.178	124.7547
88.500000	88.070	124.5581
90.000000	87.909	124.2901
91.199997	87.781	124.1002
92.500000	87.644	123.9242
93.800003	87.508	123.7624
95.000000	87.383	123.6334
96.199997	87.263	123.5315
97.500000	87.133	123.4420
98.800003	87.006	123.3587
100.000000	86.891	123.2848
101.500000	86.752	123.2059
103.000000	86.616	123.1349
104.400002	86.490	123.0706
106.000000	86.348	122.9878
107.500000	86.216	122.9067
109.000000	86.082	122.8219
110.599998	85.939	122.7658
112.000000	85.814	122.7413
113.800003	85.653	122.7052
115.000000	85.546	122.6868
