* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 9:08:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Spring F)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.668	-168.7970
20.299999	77.683	-169.0662
20.600000	77.696	-169.3242
20.900000	77.709	-169.5754
21.200001	77.718	-169.8284
21.400000	77.722	-169.9952
21.799999	77.727	-170.3148
22.000000	77.727	-170.4706
22.400000	77.724	-170.8076
22.700001	77.720	-171.0471
23.000000	77.715	-171.2800
23.299999	77.709	-171.5494
23.600000	77.703	-171.8146
24.000000	77.692	-172.1568
24.299999	77.684	-172.4416
24.700001	77.673	-172.8045
25.000000	77.666	-173.0609
25.400000	77.660	-173.4337
25.799999	77.655	-173.7958
26.200001	77.650	-174.1566
26.500000	77.646	-174.4203
26.900000	77.639	-174.7405
27.200001	77.636	-174.9534
27.600000	77.635	-175.2135
28.000000	77.638	-175.4713
28.500000	77.645	-175.8025
29.000000	77.645	-176.1548
29.500000	77.635	-176.4787
30.000000	77.622	-176.7612
30.400000	77.612	-176.9721
30.700001	77.605	-177.1293
31.100000	77.593	-177.3438
31.500000	77.577	-177.5635
32.000000	77.554	-177.7983
32.500000	77.534	-178.0080
33.000000	77.521	-178.1925
33.500000	77.517	-178.4239
34.000000	77.515	-178.7088
34.500000	77.507	-179.0620
35.000000	77.486	-179.4181
35.500000	77.453	-179.7166
36.000000	77.418	-179.9021
36.500000	77.394	179.9932
37.000000	77.384	179.8777
37.500000	77.380	179.6873
38.200001	77.360	179.3357
38.700001	77.336	179.1197
39.500000	77.303	178.8468
40.000000	77.289	178.6703
40.599998	77.270	178.4634
41.200001	77.258	178.3078
41.799999	77.262	178.1275
42.500000	77.266	177.7731
43.099998	77.242	177.4734
43.700001	77.208	177.3499
44.400002	77.195	177.3254
45.000000	77.197	177.1599
45.500000	77.179	176.9190
46.200001	77.120	176.6652
46.799999	77.071	176.5919
47.500000	77.033	176.4582
48.200001	76.990	176.2053
48.700001	76.956	176.0271
49.400002	76.919	175.7780
50.000000	76.893	175.5472
50.799999	76.865	175.3447
51.500000	76.873	175.2210
52.200001	76.886	175.0444
53.000000	76.896	175.1677
53.799999	77.011	175.3914
54.500000	77.141	174.6962
55.200001	77.108	173.4274
56.000000	76.881	172.8765
57.000000	76.674	173.7475
58.000000	76.609	174.4162
59.000000	76.563	174.5654
60.000000	76.504	174.3908
60.799999	76.452	174.2619
61.500000	76.427	174.1075
62.200001	76.402	173.8367
63.000000	76.354	173.5753
64.000000	76.299	173.4944
65.000000	76.260	173.5441
66.000000	76.234	173.6122
67.000000	76.203	173.5587
68.000000	76.146	173.5042
69.000000	76.092	173.5534
70.000000	76.052	173.5446
71.000000	76.012	173.4453
72.000000	75.969	173.3046
73.000000	75.913	173.2124
74.000000	75.863	173.2613
75.000000	75.829	173.3106
76.199997	75.789	173.2834
77.500000	75.735	173.2596
78.800003	75.679	173.2947
80.000000	75.628	173.3468
81.199997	75.577	173.4357
82.500000	75.518	173.5063
83.800003	75.450	173.6389
85.000000	75.397	173.7821
86.199997	75.349	173.9119
87.500000	75.312	174.0544
88.500000	75.287	174.0800
90.000000	75.225	174.1546
91.199997	75.172	174.3805
92.500000	75.127	174.6165
93.800003	75.064	174.7529
95.000000	75.001	175.0252
96.199997	74.965	175.2466
97.500000	74.922	175.3240
98.800003	74.878	175.4940
100.000000	74.851	175.6422
101.500000	74.804	175.7709
103.000000	74.737	176.0092
104.400002	74.673	176.2975
106.000000	74.595	176.5938
107.500000	74.536	176.9300
109.000000	74.503	177.1449
110.599998	74.475	177.3180
112.000000	74.437	177.4838
113.800003	74.385	177.9400
115.000000	74.349	178.2328
117.199997	74.259	178.6859
118.000000	74.223	178.8566
120.599998	74.136	179.5532
122.000000	74.112	179.9503
124.099998	74.079	-179.3155
125.000000	74.067	-178.9735
126.500000	74.044	-178.4926
128.000000	74.007	-178.0845
131.500000	73.942	-177.0923
132.000000	73.934	-176.9472
134.000000	73.896	-176.2891
136.000000	73.836	-175.4268
138.000000	73.814	-174.4032
140.000000	73.830	-173.8353
143.000000	73.848	-173.4322
145.000000	73.829	-173.1388
147.500000	73.812	-172.5702
150.000000	73.813	-172.1721
152.500000	73.800	-171.8897
155.000000	73.770	-171.5543
157.500000	73.681	-170.8771
160.000000	73.602	-169.5830
162.500000	73.582	-168.1034
165.000000	73.627	-166.8113
167.500000	73.695	-165.9413
170.000000	73.753	-165.3232
172.500000	73.785	-164.7022
175.000000	73.810	-163.8999
177.500000	73.851	-163.1138
180.000000	73.902	-162.5706
182.500000	73.955	-162.0486
185.000000	74.034	-161.2560
187.500000	74.123	-160.3552
190.000000	74.190	-159.4869
192.500000	74.250	-158.8245
195.000000	74.315	-158.4056
197.500000	74.380	-157.9329
200.000000	74.452	-157.2482
203.000000	74.554	-156.5863
206.000000	74.655	-156.0928
209.000000	74.758	-155.5622
212.000000	74.842	-155.0904
214.000000	74.907	-154.7822
218.000000	75.072	-154.1235
220.000000	75.147	-153.8128
224.000000	75.216	-153.1923
227.000000	75.251	-152.4615
230.000000	75.350	-151.9883
