* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 9:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.247	170.0394
20.299999	94.242	169.5598
20.600000	94.235	169.0944
20.900000	94.225	168.6434
21.200001	94.211	168.2003
21.400000	94.201	167.9120
21.799999	94.176	167.3591
22.000000	94.163	167.0893
22.400000	94.132	166.5247
22.700001	94.108	166.1126
23.000000	94.082	165.7056
23.299999	94.055	165.2621
23.600000	94.027	164.8239
24.000000	93.988	164.2524
24.299999	93.959	163.7936
24.700001	93.920	163.1920
25.000000	93.892	162.7518
25.400000	93.856	162.1331
25.799999	93.821	161.5314
26.200001	93.788	160.9365
26.500000	93.765	160.4930
26.900000	93.735	159.9152
27.200001	93.714	159.4925
27.600000	93.686	158.9411
28.000000	93.658	158.4028
28.500000	93.622	157.7673
29.000000	93.585	157.1564
29.500000	93.545	156.5786
30.000000	93.503	156.0222
30.400000	93.467	155.5874
30.700001	93.440	155.2682
31.100000	93.402	154.8467
31.500000	93.363	154.4178
32.000000	93.313	153.8901
32.500000	93.260	153.3425
33.000000	93.206	152.8038
33.500000	93.152	152.2505
34.000000	93.097	151.7091
34.500000	93.044	151.1584
35.000000	92.991	150.6151
35.500000	92.937	150.0709
36.000000	92.883	149.5457
36.500000	92.829	149.0467
37.000000	92.777	148.5692
37.500000	92.728	148.1003
38.200001	92.658	147.4325
38.700001	92.604	146.9613
39.500000	92.514	146.2393
40.000000	92.458	145.7972
40.599998	92.390	145.2505
41.200001	92.317	144.6990
41.799999	92.241	144.1568
42.500000	92.151	143.5338
43.099998	92.073	143.0005
43.700001	91.991	142.4644
44.400002	91.891	141.8403
45.000000	91.798	141.3035
45.500000	91.713	140.8668
46.200001	91.581	140.3151
46.799999	91.459	139.9199
47.500000	91.308	139.5521
48.200001	91.145	139.3252
48.700001	91.024	139.2930
49.400002	90.859	139.4783
50.000000	90.734	139.8852
50.799999	90.628	140.7625
51.500000	90.624	141.6077
52.200001	90.697	142.1583
53.000000	90.817	142.2218
53.799999	90.931	141.7354
54.500000	90.994	140.9352
55.200001	90.997	139.9785
56.000000	90.939	139.0464
57.000000	90.850	138.2104
58.000000	90.762	137.4235
59.000000	90.661	136.6674
60.000000	90.558	135.9664
60.799999	90.474	135.4200
61.500000	90.401	134.9592
62.200001	90.328	134.5192
63.000000	90.246	134.0413
64.000000	90.146	133.4620
65.000000	90.041	132.9022
66.000000	89.932	132.3887
67.000000	89.822	131.9117
68.000000	89.712	131.4462
69.000000	89.600	130.9940
70.000000	89.488	130.5633
71.000000	89.379	130.1441
72.000000	89.270	129.7331
73.000000	89.161	129.3422
74.000000	89.051	128.9822
75.000000	88.941	128.6527
76.199997	88.810	128.2794
77.500000	88.666	127.9013
78.800003	88.521	127.5557
80.000000	88.389	127.2667
81.199997	88.261	127.0002
82.500000	88.127	126.7347
83.800003	87.996	126.4788
85.000000	87.877	126.2657
86.199997	87.762	126.0660
87.500000	87.641	125.8357
88.500000	87.549	125.6382
90.000000	87.410	125.3316
91.199997	87.297	125.0964
92.500000	87.175	124.8599
93.800003	87.052	124.6562
95.000000	86.941	124.4872
96.199997	86.829	124.3174
97.500000	86.705	124.1280
98.800003	86.576	123.9617
100.000000	86.457	123.8378
101.500000	86.312	123.6974
103.000000	86.168	123.5571
104.400002	86.035	123.4485
106.000000	85.887	123.3311
107.500000	85.747	123.2363
109.000000	85.608	123.1822
110.599998	85.461	123.1445
112.000000	85.332	123.1358
113.800003	85.167	123.1496
115.000000	85.058	123.1714
117.199997	84.863	123.2413
118.000000	84.792	123.2723
120.599998	84.567	123.4085
122.000000	84.446	123.4900
124.099998	84.268	123.6542
125.000000	84.196	123.7283
126.500000	84.077	123.8559
128.000000	83.961	124.0151
131.500000	83.699	124.4121
132.000000	83.661	124.4740
134.000000	83.514	124.7238
136.000000	83.375	124.9145
138.000000	83.236	125.0857
140.000000	83.095	125.3250
143.000000	82.884	125.8301
145.000000	82.744	126.2086
147.500000	82.572	126.6769
150.000000	82.409	127.1523
152.500000	82.255	127.5983
155.000000	82.101	128.0609
157.500000	81.951	128.5606
160.000000	81.807	129.0951
162.500000	81.674	129.6604
165.000000	81.545	130.2421
167.500000	81.422	130.8215
170.000000	81.311	131.3707
172.500000	81.210	131.9136
175.000000	81.109	132.5257
177.500000	81.007	133.1515
180.000000	80.903	133.6903
182.500000	80.798	134.2365
185.000000	80.706	134.8497
187.500000	80.620	135.4526
190.000000	80.535	136.0292
192.500000	80.458	136.5966
195.000000	80.388	137.1682
197.500000	80.318	137.7202
200.000000	80.247	138.2610
203.000000	80.177	138.8973
206.000000	80.115	139.5043
209.000000	80.053	140.1410
212.000000	79.993	140.7395
214.000000	79.954	141.1225
