* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 23, 2025 9:13:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.760	168.3195
20.299999	93.750	167.8472
20.600000	93.737	167.3960
20.900000	93.723	166.9661
21.200001	93.705	166.5479
21.400000	93.693	166.2765
21.799999	93.666	165.7535
22.000000	93.651	165.4963
22.400000	93.619	164.9538
22.700001	93.593	164.5576
23.000000	93.565	164.1669
23.299999	93.537	163.7396
23.600000	93.508	163.3164
24.000000	93.468	162.7613
24.299999	93.438	162.3127
24.700001	93.397	161.7251
25.000000	93.366	161.2974
25.400000	93.327	160.6989
25.799999	93.290	160.1188
26.200001	93.254	159.5439
26.500000	93.229	159.1142
26.900000	93.195	158.5557
27.200001	93.171	158.1500
27.600000	93.139	157.6249
28.000000	93.108	157.1146
28.500000	93.070	156.5101
29.000000	93.031	155.9227
29.500000	92.990	155.3646
30.000000	92.946	154.8276
30.400000	92.909	154.4081
30.700001	92.880	154.1003
31.100000	92.841	153.6950
31.500000	92.800	153.2860
32.000000	92.748	152.7902
32.500000	92.694	152.2787
33.000000	92.640	151.7733
33.500000	92.585	151.2504
34.000000	92.529	150.7454
34.500000	92.474	150.2451
35.000000	92.422	149.7591
35.500000	92.373	149.2590
36.000000	92.324	148.7490
36.500000	92.271	148.2437
37.000000	92.216	147.7656
37.500000	92.162	147.3239
38.200001	92.089	146.7281
38.700001	92.037	146.3023
39.500000	91.948	145.6406
40.000000	91.891	145.2572
40.599998	91.826	144.8052
41.200001	91.763	144.3431
41.799999	91.697	143.8672
42.500000	91.619	143.3124
43.099998	91.550	142.8470
43.700001	91.480	142.3953
