* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 27, 2025 10:30:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5?, T300B)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.810	170.6838
20.299999	94.805	170.2084
20.600000	94.799	169.7493
20.900000	94.790	169.3049
21.200001	94.778	168.8674
21.400000	94.768	168.5819
21.799999	94.746	168.0322
22.000000	94.734	167.7632
22.400000	94.705	167.2003
22.700001	94.682	166.7898
23.000000	94.658	166.3848
23.299999	94.632	165.9434
23.600000	94.605	165.5074
24.000000	94.567	164.9397
24.299999	94.539	164.4849
24.700001	94.501	163.8904
25.000000	94.474	163.4560
25.400000	94.440	162.8435
25.799999	94.408	162.2448
26.200001	94.376	161.6503
26.500000	94.354	161.2073
26.900000	94.325	160.6330
27.200001	94.304	160.2159
27.600000	94.277	159.6750
28.000000	94.251	159.1487
28.500000	94.217	158.5290
29.000000	94.183	157.9352
29.500000	94.147	157.3748
30.000000	94.110	156.8310
30.400000	94.078	156.4005
30.700001	94.053	156.0826
31.100000	94.017	155.6646
31.500000	93.980	155.2452
32.000000	93.931	154.7393
32.500000	93.882	154.2173
33.000000	93.833	153.6995
33.500000	93.783	153.1603
34.000000	93.733	152.6307
34.500000	93.683	152.0952
35.000000	93.634	151.5713
35.500000	93.586	151.0464
36.000000	93.538	150.5329
36.500000	93.491	150.0332
37.000000	93.445	149.5477
37.500000	93.399	149.0768
38.200001	93.334	148.4345
38.700001	93.286	147.9971
39.500000	93.210	147.3275
40.000000	93.162	146.9138
40.599998	93.102	146.4132
41.200001	93.039	145.9385
41.799999	92.978	145.4937
42.500000	92.916	144.9492
43.099998	92.862	144.4193
43.700001	92.796	143.8718
44.400002	92.709	143.3144
45.000000	92.641	142.9063
45.500000	92.591	142.5691
46.200001	92.523	142.0679
46.799999	92.461	141.6343
