* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Mar 27, 2025 10:27:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5?, T300B)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.342	168.6408
20.299999	94.334	168.1717
20.600000	94.323	167.7205
20.900000	94.311	167.2858
21.200001	94.296	166.8585
21.400000	94.285	166.5793
21.799999	94.259	166.0395
22.000000	94.245	165.7742
22.400000	94.213	165.2175
22.700001	94.187	164.8129
23.000000	94.160	164.4159
23.299999	94.132	163.9847
23.600000	94.103	163.5602
24.000000	94.063	163.0070
24.299999	94.034	162.5618
24.700001	93.994	161.9783
25.000000	93.965	161.5521
25.400000	93.928	160.9524
25.799999	93.892	160.3694
26.200001	93.858	159.7925
26.500000	93.834	159.3628
26.900000	93.803	158.8051
27.200001	93.780	158.3994
27.600000	93.750	157.8723
28.000000	93.722	157.3580
28.500000	93.686	156.7485
29.000000	93.649	156.1567
29.500000	93.609	155.5917
30.000000	93.566	155.0451
30.400000	93.530	154.6193
30.700001	93.502	154.3097
31.100000	93.463	153.9055
31.500000	93.423	153.4981
32.000000	93.372	152.9984
32.500000	93.321	152.4753
33.000000	93.267	151.9581
33.500000	93.212	151.4279
34.000000	93.157	150.9146
34.500000	93.104	150.3983
35.000000	93.052	149.8938
35.500000	93.002	149.3871
36.000000	92.953	148.8875
36.500000	92.904	148.3952
37.000000	92.856	147.9139
37.500000	92.807	147.4509
38.200001	92.738	146.8283
38.700001	92.689	146.4018
39.500000	92.610	145.7313
40.000000	92.558	145.3145
40.599998	92.492	144.8186
41.200001	92.422	144.3584
41.799999	92.354	143.9401
42.500000	92.284	143.4544
43.099998	92.228	142.9879
43.700001	92.165	142.4766
44.400002	92.082	141.8999
45.000000	92.009	141.4548
45.500000	91.952	141.1022
46.200001	91.874	140.6073
46.799999	91.807	140.1807
47.500000	91.728	139.6935
48.200001	91.649	139.2222
48.700001	91.593	138.8932
49.400002	91.515	138.4390
50.000000	91.448	138.0574
50.799999	91.359	137.5577
51.500000	91.280	137.1341
52.200001	91.202	136.7238
53.000000	91.113	136.2676
53.799999	91.023	135.8210
54.500000	90.944	135.4403
55.200001	90.866	135.0682
56.000000	90.778	134.6385
57.000000	90.663	134.0989
58.000000	90.547	133.6015
59.000000	90.437	133.1188
60.000000	90.327	132.6259
60.799999	90.237	132.2436
61.500000	90.159	131.9237
62.200001	90.080	131.6163
63.000000	89.990	131.2777
64.000000	89.879	130.8685
65.000000	89.767	130.4724
66.000000	89.655	130.0800
67.000000	89.542	129.6949
68.000000	89.429	129.3252
69.000000	89.315	128.9760
