* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 6, 2025 2:13:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (5, stk300)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.118	174.3709
20.600000	94.113	173.9305
20.900000	94.106	173.4282
21.200001	94.098	172.9294
21.400000	94.092	172.6047
21.799999	94.080	171.9799
22.000000	94.072	171.6759
22.400000	94.050	171.0366
22.700001	94.029	170.5688
23.000000	94.005	170.1078
23.299999	93.981	169.6137
23.600000	93.955	169.1312
24.000000	93.922	168.5119
24.299999	93.897	168.0201
24.700001	93.862	167.3794
25.000000	93.837	166.9105
25.400000	93.805	166.2505
25.799999	93.775	165.6088
26.200001	93.748	164.9763
26.500000	93.728	164.5059
26.900000	93.703	163.8934
27.200001	93.683	163.4450
27.600000	93.658	162.8609
28.000000	93.633	162.2947
28.500000	93.603	161.6315
29.000000	93.571	161.0009
29.500000	93.537	160.4010
30.000000	93.500	159.8132
30.400000	93.468	159.3470
30.700001	93.442	159.0052
31.100000	93.407	158.5601
31.500000	93.370	158.1205
32.000000	93.322	157.5965
32.500000	93.272	157.0545
33.000000	93.222	156.5168
33.500000	93.171	155.9573
34.000000	93.120	155.4105
34.500000	93.072	154.8632
35.000000	93.024	154.3268
35.500000	92.976	153.7863
36.000000	92.929	153.2549
36.500000	92.882	152.7420
37.000000	92.835	152.2513
37.500000	92.788	151.7801
38.200001	92.722	151.1308
38.700001	92.675	150.6796
39.500000	92.599	149.9852
40.000000	92.548	149.5665
40.599998	92.486	149.0652
41.200001	92.425	148.5776
41.799999	92.364	148.1005
42.500000	92.285	147.5401
43.099998	92.212	147.0514
43.700001	92.145	146.5638
44.400002	92.080	146.0257
45.000000	92.025	145.5857
45.500000	91.974	145.2217
46.200001	91.900	144.7123
46.799999	91.838	144.2830
47.500000	91.766	143.7995
48.200001	91.692	143.3351
48.700001	91.640	143.0103
49.400002	91.567	142.5602
50.000000	91.505	142.1835
50.799999	91.420	141.6867
51.500000	91.346	141.2552
52.200001	91.272	140.8345
53.000000	91.187	140.3750
53.799999	91.102	139.9286
54.500000	91.026	139.5452
55.200001	90.950	139.1595
56.000000	90.865	138.7241
57.000000	90.760	138.2169
58.000000	90.654	137.7200
59.000000	90.538	137.3624
60.000000	90.421	137.0458
60.799999	90.342	136.5862
61.500000	90.277	136.1402
62.200001	90.205	135.7837
63.000000	90.119	135.4482
64.000000	90.015	135.0385
65.000000	89.910	134.6527
66.000000	89.805	134.2592
67.000000	89.701	133.8830
68.000000	89.596	133.5271
69.000000	89.493	133.1741
70.000000	89.389	132.8393
71.000000	89.284	132.5211
72.000000	89.180	132.2057
73.000000	89.077	131.9004
74.000000	88.976	131.6194
75.000000	88.874	131.3523
76.199997	88.750	131.0377
77.500000	88.618	130.7212
78.800003	88.489	130.3956
80.000000	88.369	130.1219
81.199997	88.248	129.8791
82.500000	88.119	129.6167
83.800003	87.990	129.3753
85.000000	87.872	129.1679
86.199997	87.755	128.9682
87.500000	87.630	128.7634
88.500000	87.532	128.6078
90.000000	87.388	128.4009
91.199997	87.274	128.2683
92.500000	87.151	128.1279
93.800003	87.027	127.9954
95.000000	86.915	127.8808
96.199997	86.804	127.7893
97.500000	86.686	127.6999
98.800003	86.570	127.6170
100.000000	86.463	127.5463
101.500000	86.331	127.4627
103.000000	86.199	127.3946
104.400002	86.077	127.3544
106.000000	85.938	127.3398
107.500000	85.810	127.3425
109.000000	85.684	127.3323
110.599998	85.549	127.3536
112.000000	85.433	127.3872
113.800003	85.285	127.4422
115.000000	85.188	127.5035
117.199997	85.013	127.6202
118.000000	84.949	127.6687
120.599998	84.746	127.8441
122.000000	84.643	127.9274
124.099998	84.487	128.0833
125.000000	84.419	128.1662
126.500000	84.311	128.3218
128.000000	84.205	128.4820
131.500000	83.955	128.8387
132.000000	83.920	128.8966
134.000000	83.783	129.1633
136.000000	83.652	129.4723
138.000000	83.528	129.7697
140.000000	83.402	130.0511
143.000000	83.215	130.4286
145.000000	83.095	130.7355
147.500000	82.949	131.1886
150.000000	82.809	131.6167
152.500000	82.672	132.0084
155.000000	82.539	132.4209
157.500000	82.410	132.8459
160.000000	82.282	133.3077
162.500000	82.157	133.7582
165.000000	82.035	134.2156
167.500000	81.913	134.7019
170.000000	81.794	135.2292
172.500000	81.676	135.8056
175.000000	81.561	136.5054
177.500000	81.455	137.3209
180.000000	81.371	138.0287
182.500000	81.311	138.5055
185.000000	81.257	138.9583
187.500000	81.189	139.4890
190.000000	81.126	140.0635
192.500000	81.076	140.6222
195.000000	81.032	141.1032
197.500000	80.985	141.5032
200.000000	80.934	141.8878
203.000000	80.866	142.3329
206.000000	80.798	142.8054
209.000000	80.736	143.3290
212.000000	80.676	143.8523
214.000000	80.636	144.1638
218.000000	80.557	144.7585
220.000000	80.520	145.0757
224.000000	80.449	145.6913
227.000000	80.397	146.1562
230.000000	80.345	146.6537
233.000000	80.299	147.1107
