* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 6, 2025 2:16:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (5, stk300)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.696	172.6524
20.600000	93.690	172.2411
20.900000	93.679	171.7730
21.200001	93.667	171.3078
21.400000	93.658	171.0029
21.799999	93.640	170.4100
22.000000	93.629	170.1185
22.400000	93.602	169.5025
22.700001	93.578	169.0553
23.000000	93.553	168.6201
23.299999	93.526	168.1566
23.600000	93.498	167.7063
24.000000	93.461	167.1256
24.299999	93.434	166.6560
24.700001	93.396	166.0349
25.000000	93.369	165.5755
25.400000	93.334	164.9263
25.799999	93.301	164.2976
26.200001	93.270	163.6824
26.500000	93.247	163.2282
26.900000	93.216	162.6406
27.200001	93.193	162.2128
27.600000	93.163	161.6559
28.000000	93.135	161.1129
28.500000	93.101	160.4678
29.000000	93.067	159.8444
29.500000	93.029	159.2516
30.000000	92.989	158.6832
30.400000	92.954	158.2434
30.700001	92.928	157.9245
31.100000	92.891	157.5076
31.500000	92.852	157.0885
32.000000	92.800	156.5789
32.500000	92.747	156.0488
33.000000	92.693	155.5293
33.500000	92.641	154.9921
34.000000	92.588	154.4632
34.500000	92.536	153.9283
35.000000	92.484	153.4072
35.500000	92.432	152.8913
36.000000	92.382	152.3868
36.500000	92.333	151.8896
37.000000	92.285	151.3991
37.500000	92.237	150.9251
38.200001	92.169	150.2995
38.700001	92.119	149.8903
39.500000	92.037	149.2701
40.000000	91.986	148.8815
40.599998	91.923	148.4008
41.200001	91.858	147.9293
41.799999	91.792	147.4667
42.500000	91.718	146.9139
43.099998	91.659	146.4305
43.700001	91.598	145.9626
44.400002	91.516	145.4664
45.000000	91.442	145.0597
45.500000	91.384	144.7149
46.200001	91.310	144.2296
46.799999	91.247	143.8264
47.500000	91.171	143.3690
48.200001	91.096	142.9200
48.700001	91.042	142.6085
49.400002	90.965	142.1857
50.000000	90.899	141.8323
50.799999	90.811	141.3647
51.500000	90.735	140.9640
52.200001	90.659	140.5727
53.000000	90.572	140.1445
53.799999	90.484	139.7307
54.500000	90.406	139.3737
55.200001	90.327	139.0319
56.000000	90.236	138.6484
57.000000	90.128	138.1608
58.000000	90.022	137.7216
59.000000	89.918	137.1416
60.000000	89.818	136.5150
60.799999	89.729	136.2772
61.500000	89.648	136.1546
62.200001	89.570	135.9491
63.000000	89.484	135.6408
64.000000	89.377	135.2749
65.000000	89.270	134.9120
66.000000	89.164	134.5639
67.000000	89.058	134.2397
68.000000	88.952	133.9316
69.000000	88.846	133.6373
70.000000	88.741	133.3465
71.000000	88.636	133.0600
72.000000	88.533	132.7935
73.000000	88.431	132.5399
74.000000	88.327	132.2961
75.000000	88.225	132.0702
76.199997	88.104	131.8188
77.500000	87.973	131.5702
78.800003	87.843	131.3100
80.000000	87.722	131.0794
81.199997	87.601	130.8802
82.500000	87.473	130.6877
83.800003	87.346	130.4926
85.000000	87.230	130.3296
86.199997	87.114	130.1893
87.500000	86.990	130.0611
88.500000	86.894	129.9673
90.000000	86.752	129.8300
91.199997	86.642	129.7285
92.500000	86.525	129.6413
93.800003	86.407	129.5800
95.000000	86.298	129.5198
96.199997	86.190	129.4656
97.500000	86.070	129.4245
98.800003	85.955	129.3821
100.000000	85.852	129.3498
101.500000	85.724	129.3434
103.000000	85.598	129.3615
104.400002	85.481	129.3988
106.000000	85.347	129.4469
107.500000	85.224	129.4831
109.000000	85.102	129.5218
110.599998	84.977	129.5833
112.000000	84.871	129.6862
113.800003	84.733	129.8354
115.000000	84.642	129.9197
117.199997	84.481	130.0860
118.000000	84.422	130.1639
120.599998	84.235	130.4436
122.000000	84.139	130.5844
124.099998	83.993	130.7884
125.000000	83.931	130.8864
126.500000	83.829	131.0632
128.000000	83.731	131.2569
131.500000	83.513	131.7199
132.000000	83.482	131.7897
134.000000	83.363	132.0634
136.000000	83.238	132.3267
138.000000	83.118	132.6270
140.000000	83.003	132.9404
143.000000	82.842	133.4479
145.000000	82.739	133.7883
147.500000	82.611	134.2112
150.000000	82.482	134.6746
152.500000	82.360	135.1157
155.000000	82.252	135.5870
157.500000	82.143	136.0778
160.000000	82.037	136.5158
162.500000	81.936	136.9427
165.000000	81.837	137.3689
167.500000	81.736	137.7874
170.000000	81.638	138.2283
172.500000	81.542	138.6930
175.000000	81.443	139.1433
177.500000	81.346	139.5848
180.000000	81.252	140.1349
182.500000	81.175	140.8021
185.000000	81.115	141.4987
187.500000	81.064	142.0842
190.000000	81.010	142.5014
192.500000	80.946	142.9313
195.000000	80.878	143.4871
197.500000	80.819	144.1337
200.000000	80.779	144.7492
203.000000	80.761	145.3214
206.000000	80.757	145.7352
209.000000	80.736	146.0560
212.000000	80.686	146.3408
214.000000	80.652	146.5452
218.000000	80.585	146.9742
220.000000	80.552	147.1959
224.000000	80.490	147.6869
227.000000	80.443	148.0749
230.000000	80.395	148.4444
233.000000	80.352	148.8407
236.000000	80.312	149.2721
240.000000	80.260	149.8086
243.000000	80.222	150.1628
247.000000	80.174	150.6534
250.000000	80.147	151.0060
254.000000	80.109	151.3808
258.000000	80.070	151.7437
262.000000	80.036	152.1231
265.000000	80.012	152.4216
269.000000	79.976	152.7991
272.000000	79.948	153.0619
276.000000	79.912	153.4006
280.000000	79.877	153.7471
285.000000	79.834	154.1502
290.000000	79.790	154.5486
295.000000	79.748	154.9540
300.000000	79.706	155.3664
304.000000	79.671	155.6849
307.000000	79.647	155.9221
311.000000	79.615	156.2305
315.000000	79.585	156.5337
320.000000	79.548	156.9023
325.000000	79.513	157.2536
330.000000	79.479	157.6098
335.000000	79.443	157.9451
340.000000	79.410	158.2859
345.000000	79.375	158.6557
350.000000	79.340	158.9746
355.000000	79.306	159.2725
360.000000	79.276	159.5973
365.000000	79.244	159.9202
370.000000	79.211	160.2384
375.000000	79.179	160.5565
382.000000	79.135	161.0200
387.000000	79.104	161.3657
395.000000	79.065	161.9059
400.000000	79.048	162.2046
406.000000	79.025	162.5154
412.000000	78.996	162.8055
418.000000	78.965	163.1053
425.000000	78.929	163.4758
431.000000	78.898	163.7897
437.000000	78.866	164.1010
444.000000	78.830	164.4612
450.000000	78.801	164.7572
455.000000	78.777	165.0013
462.000000	78.742	165.3577
468.000000	78.713	165.6644
475.000000	78.677	166.0169
482.000000	78.642	166.3711
487.000000	78.617	166.6258
494.000000	78.582	166.9829
500.000000	78.552	167.2986
508.000000	78.513	167.7269
515.000000	78.481	168.0949
522.000000	78.448	168.4582
530.000000	78.412	168.8739
538.000000	78.376	169.2866
545.000000	78.344	169.6399
552.000000	78.312	169.9874
560.000000	78.274	170.3971
570.000000	78.223	170.9413
580.000000	78.171	171.5238
590.000000	78.122	172.1454
600.000000	78.079	172.7929
608.000000	78.051	173.3207
615.000000	78.030	173.7855
622.000000	78.011	174.2493
630.000000	77.992	174.7753
640.000000	77.971	175.4155
650.000000	77.950	176.0399
660.000000	77.932	176.6674
670.000000	77.916	177.3000
680.000000	77.901	177.9254
690.000000	77.888	178.5482
700.000000	77.876	179.1730
710.000000	77.867	179.8006
720.000000	77.859	-179.5679
730.000000	77.854	-178.9387
740.000000	77.851	-178.3050
750.000000	77.851	-177.6666
762.000000	77.853	-176.9030
775.000000	77.860	-176.0746
788.000000	77.870	-175.2431
800.000000	77.884	-174.4767
812.000000	77.901	-173.7150
825.000000	77.925	-172.8892
838.000000	77.955	-172.0674
850.000000	77.986	-171.3121
862.000000	78.022	-170.5607
875.000000	78.065	-169.7656
885.000000	78.102	-169.1640
900.000000	78.164	-168.2710
912.000000	78.217	-167.5775
925.000000	78.279	-166.8497
938.000000	78.346	-166.1409
950.000000	78.412	-165.5064
962.000000	78.482	-164.8970
975.000000	78.560	-164.2675
988.000000	78.642	-163.6656
1000.000000	78.720	-163.1383
1015.000000	78.821	-162.5236
1030.000000	78.925	-161.9584
1044.000000	79.023	-161.4731
1060.000000	79.135	-160.9645
1075.000000	79.242	-160.5371
1090.000000	79.347	-160.1503
1106.000000	79.459	-159.7781
1120.000000	79.555	-159.4862
1138.000000	79.677	-159.1595
1150.000000	79.758	-158.9664
1172.000000	79.901	-158.6591
1180.000000	79.952	-158.5629
1206.000000	80.112	-158.2962
1220.000000	80.195	-158.1746
1241.000000	80.314	-158.0177
1250.000000	80.364	-157.9583
1265.000000	80.444	-157.8647
1280.000000	80.522	-157.7737
