* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 26, 2025 7:05:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (Foam tip)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.105	175.1797
20.299999	90.102	174.7432
20.600000	90.097	174.3255
20.900000	90.092	173.9217
21.200001	90.084	173.5204
21.400000	90.078	173.2558
21.799999	90.061	172.7410
22.000000	90.050	172.4879
22.400000	90.024	171.9595
22.700001	90.002	171.5819
23.000000	89.979	171.2175
23.299999	89.955	170.8224
23.600000	89.930	170.4349
24.000000	89.898	169.9273
24.299999	89.874	169.5111
24.700001	89.841	168.9606
25.000000	89.816	168.5576
25.400000	89.784	167.9914
25.799999	89.753	167.4459
26.200001	89.725	166.9074
26.500000	89.705	166.5037
26.900000	89.680	165.9749
27.200001	89.661	165.5883
27.600000	89.636	165.0891
28.000000	89.611	164.6120
28.500000	89.580	164.0637
29.000000	89.552	163.5386
29.500000	89.523	163.0308
30.000000	89.491	162.5286
30.400000	89.462	162.1341
30.700001	89.438	161.8475
31.100000	89.406	161.4737
31.500000	89.372	161.0945
32.000000	89.327	160.6294
32.500000	89.279	160.1524
33.000000	89.229	159.7048
33.500000	89.181	159.2583
34.000000	89.138	158.8151
34.500000	89.097	158.3378
35.000000	89.054	157.8560
35.500000	89.009	157.3854
36.000000	88.965	156.9442
36.500000	88.926	156.5099
37.000000	88.888	156.0630
37.500000	88.845	155.6194
38.200001	88.777	155.0605
38.700001	88.729	154.7239
39.500000	88.663	154.2096
40.000000	88.624	153.8626
40.599998	88.572	153.4206
41.200001	88.515	152.9867
41.799999	88.456	152.5673
42.500000	88.388	152.0823
43.099998	88.329	151.6720
43.700001	88.272	151.2697
44.400002	88.208	150.8021
45.000000	88.156	150.3812
45.500000	88.109	150.0227
46.200001	88.036	149.5609
46.799999	87.975	149.2278
47.500000	87.910	148.8693
48.200001	87.848	148.4968
48.700001	87.801	148.2314
49.400002	87.734	147.8785
50.000000	87.677	147.5826
50.799999	87.601	147.1724
51.500000	87.532	146.8142
52.200001	87.464	146.4529
53.000000	87.384	146.0307
53.799999	87.305	145.6286
54.500000	87.239	145.2697
55.200001	87.170	144.8967
56.000000	87.084	144.5597
57.000000	86.995	144.2565
58.000000	86.915	143.9477
59.000000	86.853	143.6775
60.000000	86.797	143.1059
60.799999	86.701	142.5744
61.500000	86.600	142.3253
62.200001	86.516	142.1902
63.000000	86.436	141.9752
64.000000	86.331	141.6386
65.000000	86.228	141.3104
66.000000	86.126	140.9931
67.000000	86.031	140.7005
68.000000	85.939	140.3973
69.000000	85.843	140.1205
70.000000	85.748	139.8818
71.000000	85.654	139.6427
72.000000	85.559	139.4023
73.000000	85.464	139.1538
74.000000	85.365	138.9057
75.000000	85.266	138.6914
76.199997	85.151	138.4663
77.500000	85.032	138.2585
78.800003	84.916	138.0461
80.000000	84.803	137.8477
81.199997	84.690	137.6768
82.500000	84.568	137.4900
83.800003	84.447	137.3155
85.000000	84.336	137.1692
86.199997	84.226	137.0476
87.500000	84.109	136.9350
88.500000	84.020	136.8569
90.000000	83.886	136.7551
91.199997	83.781	136.6890
92.500000	83.669	136.6208
93.800003	83.553	136.5560
95.000000	83.446	136.5553
96.199997	83.344	136.5593
97.500000	83.234	136.5420
98.800003	83.120	136.5277
100.000000	83.015	136.5365
101.500000	82.889	136.5698
103.000000	82.767	136.6102
104.400002	82.653	136.6405
106.000000	82.519	136.7128
107.500000	82.396	136.8212
109.000000	82.280	136.9518
110.599998	82.158	137.0686
112.000000	82.050	137.1665
113.800003	81.907	137.3276
115.000000	81.812	137.4662
117.199997	81.652	137.7726
118.000000	81.600	137.8820
120.599998	81.431	138.2023
122.000000	81.335	138.4083
124.099998	81.184	138.7301
125.000000	81.116	138.8815
126.500000	81.007	139.1571
128.000000	80.908	139.4339
131.500000	80.695	140.0862
132.000000	80.665	140.1927
134.000000	80.546	140.6156
136.000000	80.416	140.9974
138.000000	80.285	141.4535
140.000000	80.171	141.9131
143.000000	80.021	142.6335
145.000000	79.927	143.0876
147.500000	79.802	143.6628
150.000000	79.682	144.2487
152.500000	79.569	144.8363
155.000000	79.461	145.5077
157.500000	79.361	146.2263
160.000000	79.263	146.8989
162.500000	79.164	147.5387
165.000000	79.074	148.2005
167.500000	78.995	148.8798
170.000000	78.915	149.5107
172.500000	78.831	150.1215
175.000000	78.757	150.7744
177.500000	78.699	151.4474
180.000000	78.642	152.0927
182.500000	78.577	152.7524
185.000000	78.517	153.4252
187.500000	78.465	154.0958
190.000000	78.422	154.7513
192.500000	78.377	155.3650
195.000000	78.332	156.0152
197.500000	78.290	156.6779
200.000000	78.253	157.3455
203.000000	78.223	158.0642
206.000000	78.195	158.7467
209.000000	78.163	159.3972
212.000000	78.139	160.0316
214.000000	78.131	160.4616
218.000000	78.124	161.3823
220.000000	78.113	161.8136
224.000000	78.077	162.6391
227.000000	78.058	163.2052
230.000000	78.053	163.6988
233.000000	78.043	164.1740
236.000000	78.031	164.7189
240.000000	78.028	165.4598
243.000000	78.035	165.9803
247.000000	78.042	166.6177
250.000000	78.044	167.1148
254.000000	78.054	167.7740
258.000000	78.059	168.3206
262.000000	78.054	168.8311
265.000000	78.055	169.2306
269.000000	78.067	169.7861
272.000000	78.078	170.2048
276.000000	78.087	170.7242
280.000000	78.100	171.1740
285.000000	78.121	171.6770
290.000000	78.134	172.1895
295.000000	78.146	172.6905
300.000000	78.157	173.1201
304.000000	78.168	173.4582
307.000000	78.179	173.7221
311.000000	78.193	174.0731
315.000000	78.203	174.4200
320.000000	78.218	174.8253
325.000000	78.237	175.2254
330.000000	78.253	175.5966
335.000000	78.268	175.9451
340.000000	78.284	176.2639
345.000000	78.294	176.5628
350.000000	78.304	176.9013
355.000000	78.320	177.2060
360.000000	78.338	177.4639
365.000000	78.352	177.7343
370.000000	78.361	177.9998
375.000000	78.369	178.2558
382.000000	78.382	178.5709
387.000000	78.390	178.7804
395.000000	78.400	179.0945
400.000000	78.404	179.2726
406.000000	78.406	179.4939
412.000000	78.405	179.7346
418.000000	78.399	179.9805
425.000000	78.391	-179.7292
431.000000	78.385	-179.4635
437.000000	78.380	-179.1776
444.000000	78.375	-178.8612
450.000000	78.368	-178.5925
455.000000	78.363	-178.3624
462.000000	78.359	-178.0508
468.000000	78.357	-177.7802
475.000000	78.356	-177.4539
482.000000	78.354	-177.1261
487.000000	78.352	-176.9013
494.000000	78.348	-176.6009
500.000000	78.343	-176.3434
508.000000	78.336	-175.9913
515.000000	78.334	-175.6872
522.000000	78.330	-175.3744
530.000000	78.325	-175.0260
538.000000	78.321	-174.6862
545.000000	78.318	-174.3756
552.000000	78.312	-174.0650
560.000000	78.307	-173.7138
570.000000	78.301	-173.2525
580.000000	78.295	-172.8006
