* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 26, 2025 7:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (Foam tip)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.956	173.6032
20.299999	88.951	173.1669
20.600000	88.943	172.7496
20.900000	88.934	172.3501
21.200001	88.923	171.9582
21.400000	88.914	171.7018
21.799999	88.894	171.2043
22.000000	88.883	170.9586
22.400000	88.855	170.4395
22.700001	88.833	170.0635
23.000000	88.808	169.6967
23.299999	88.783	169.2971
23.600000	88.757	168.9046
24.000000	88.721	168.3929
24.299999	88.694	167.9772
24.700001	88.657	167.4323
25.000000	88.630	167.0366
25.400000	88.595	166.4825
25.799999	88.561	165.9510
26.200001	88.531	165.4276
26.500000	88.509	165.0351
26.900000	88.482	164.5196
27.200001	88.462	164.1398
27.600000	88.435	163.6447
28.000000	88.407	163.1674
28.500000	88.372	162.6196
29.000000	88.337	162.1029
29.500000	88.302	161.6107
30.000000	88.265	161.1238
30.400000	88.232	160.7391
30.700001	88.205	160.4607
31.100000	88.168	160.1035
31.500000	88.130	159.7499
32.000000	88.084	159.3200
32.500000	88.037	158.8580
33.000000	87.989	158.3890
33.500000	87.937	157.9037
34.000000	87.884	157.4461
34.500000	87.833	156.9983
35.000000	87.786	156.5616
35.500000	87.741	156.1087
36.000000	87.694	155.6560
36.500000	87.644	155.2287
37.000000	87.595	154.8439
37.500000	87.551	154.4913
38.200001	87.496	153.9817
38.700001	87.454	153.5942
39.500000	87.374	153.0021
40.000000	87.323	152.6790
40.599998	87.266	152.2981
41.200001	87.210	151.8857
41.799999	87.148	151.4501
42.500000	87.069	150.9725
43.099998	87.003	150.5967
43.700001	86.939	150.2187
44.400002	86.862	149.7869
45.000000	86.796	149.4542
45.500000	86.746	149.1926
46.200001	86.682	148.7990
46.799999	86.625	148.4236
47.500000	86.550	147.9944
48.200001	86.472	147.6163
48.700001	86.420	147.3648
49.400002	86.349	147.0083
50.000000	86.290	146.6967
50.799999	86.211	146.2772
51.500000	86.140	145.9177
52.200001	86.066	145.5824
53.000000	85.982	145.2409
53.799999	85.896	144.9425
54.500000	85.822	144.7141
55.200001	85.751	144.4866
56.000000	85.667	144.2000
57.000000	85.555	143.8218
58.000000	85.432	143.3333
59.000000	85.267	142.9738
60.000000	85.139	143.0306
60.799999	85.098	142.9031
61.500000	85.057	142.5218
62.200001	84.992	142.1210
63.000000	84.911	141.7755
64.000000	84.817	141.4117
65.000000	84.722	141.1049
